audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
bxE-t0uDGxM,0.0,20.0,20.0,MIGUEL,"Hoy vamos a analizar 10 decisiones que tienen que tomar 10 de los 20 entrenadores de la liga tras este nuevo comienzo. Para muchos entrenadores este parón les sirve para meter en dinámica fichajes, para trabajar cosas, futbolistas que se recuperan. Y hay varias decisiones que nos parecen trascendentales y que tienen que tomar.",328,54
bxE-t0uDGxM,20.0,24.0,4.0,NAHUEL,"No hay ningún entrenador que tenga que tomar dos decisiones, ¿no? Hay alguno, pero no. Solo uno. Solo uno.",106,19
bxE-t0uDGxM,24.0,52.0,28.0,MIGUEL,"Solo uno. Solo uno. Ten el objetivo. 10 entrenadores, 10 decisiones. Vale, vale. 12 meses, 12 vidas. 12 causas. Bueno, arrancamos con Sergio Francisco, técnico de la Real Sociedad. Creo que es un tema muy interesante porque está ligado al gran rendimiento de Miquel Hoyarzabal como 9 de la selección española. Ya analizamos el otro día. El contexto es completamente diferente. Yo, por ejemplo, en el Miquel Hoyarzabal delantero centro no creo tanto en esta Real Sociedad.",471,77
bxE-t0uDGxM,53.0,66.0,13.0,MIGUEL,"Sí que creo más en su versión en banda izquierda o incluso en la media punta, cosa que hemos visto durante los partidos. Pero una cosa es lo que creo yo y otra es la que cree Sergio Francisco, que es lo que importa. Y todavía no sabemos por qué va a apostar.",258,53
bxE-t0uDGxM,66.0,75.0,9.0,ALEX,Segunda parte ante el español en la primera media hora frente al Real Oviedo. A mí me convenció mucho esa posición de Miquel Hoyarzabal por detrás de Óscar Soler.,162,29
bxE-t0uDGxM,75.0,78.0,3.0,MIGUEL,"Pero con la llegada de Soler, con tanto media punta...",54,10
bxE-t0uDGxM,78.0,97.0,19.0,ALEX,"Sí, pero ahora no están. Ahora por el momento no van a estar. O por lo menos de Ángel, que creo que es el que más le puede hacer crecer a la Real Sociedad en esa idea y vuelta. Yo, sinceramente, me sigo convenciendo o sigo convencido, mejor dicho, de que Hoyarzabal es el 10 que necesita la Real Sociedad. Sobre todo teniendo en cuenta el tipo de 9 que tiene la Real. Me parece que con Guedes y con O'Reilly puede encajar bien.",427,84
bxE-t0uDGxM,97.0,134.0,37.0,MIGUEL,"Yo es que soy partidario de... A mí Barrenechea... Yo esperaba mucha más evolución. Creo que Barrenechea desde el rol de suplente puede aportar más y ser más importante para el equipo. Entonces, ver a un... ...Yángel más Gorrocha en banda izquierda, Hoyarzabal en la media punta, Carlos Soler o Guedes en derecha, a Taque Cubo y arriba O'Ríos Casón, que por cierto se tiene que recuperar de los problemas físicos. A mí eso me encaja bastante. Veo más a Miquel en esa banda. Lo que pasa es que es verdad que el lateral izquierdo de largo recorrido, que podía ser Javi López, no lo va a ser ya.",592,109
bxE-t0uDGxM,134.0,142.0,8.0,ADRIAN,"Sí, y esto es importante porque pierdes esa profundidad, ese vuelo por ese costado, porque Hoyarzabal no te lo va a dar. Te lo digo, a mí...",140,27
bxE-t0uDGxM,142.0,162.0,20.0,MIGUEL,"Fíjate que son jugadores diferentes, ¿no? Pero Hoyarzabal tiene cositas de Rafinha en ese sentido, un jugador que es muy inteligente, que se mueve bien, muy dinámico, con olfato. Claro, el Barça lo compensa con Valdé. Aquí la Real, a Yen creo que aporta en otro sentido. Y Sergio Gómez, que todavía no tenemos clara si va a ser su posición, tampoco es ese lateral largo. Es cierto.",381,68
bxE-t0uDGxM,162.0,185.0,23.0,ADRIAN,"A mí me gusta más por dentro. Yo sigo confiando en Miquel por dentro. Yo también. No sé si como nuevo o como media punta, como dice Alex, que me parece una variante interesante. Recordó la temporada pasada en Montilivi. El juega muy bien, tiene una racha de partidos que son dos, tres... En derecha. En derecha, efectivamente. En derecha ahora está Atake Cubo, lógicamente. Pero bueno, acercándolo al área, acercándolo al remate, la temporada pasada creo que también supo rendir con Imanol en esa seguidilla de partidos, pero aún así yo lo veo por dentro.",555,96
bxE-t0uDGxM,186.0,194.0,8.0,NAHUEL,Le damos ataque a un estatus de indiscutible y yo creo que está siendo un jugador lo suficiente irregular como para que nos hagamos alguna pregunta al respecto.,160,28
bxE-t0uDGxM,194.0,198.0,4.0,MIGUEL,"Sí, pero es que no hay más. Pero menos me lo hago con Barnechea, Mariano Salmón...",82,16
bxE-t0uDGxM,198.0,217.0,19.0,NAHUEL,"Claro, es que Oscar Son entre que no han apostado mucho por él... Bueno, no apostó. ...y que él también ha tenido problemas de lesiones y falta de continuidad. Es complicado. Yo sobre todo tengo ganas de ver a Oliar Zalcon Guedes. Yo creo que se pueden entender los dos muy bien, pueden jugar a una doble punta o con uno de los dos partidos del costado y creo que puede ser una buena sociedad.",393,75
bxE-t0uDGxM,217.0,251.0,34.0,MIGUEL,"Estoy de acuerdo. Segunda decisión de Bordalas, claro. Aquí Bordalas nos va a mandar a paseo porque tú me planteabas tú esta decisión. De hecho, Adria, ese que te miro a ti, me decías ¿hay que hablar de quién hará de Uche en el Getafe? Uche. A ver, yo creo que nadie va a hacer de Uche en el Getafe, pero es verdad que Uche le daba cosas que le daba en su día a la pareja Mata-Molina. Ese juego de espaldas, ese poner de cara al tercer hombre normalmente Luis Milla, ese equipo que es capaz de jugar vertical con sentido y que en tres pases se planta en área contraria. Esto pasaba con Uche. Ahora...",600,117
bxE-t0uDGxM,251.0,277.0,26.0,ADRIAN,"Sobre todo en este arranque de temporada, Uche desde la posición de nueve, al lado de Adrián Liso le estaba permitiendo a Bordalas ser más conservador en su propuesta. No ir tan arriba en la presión, sino poder defender un poquito más abajo, acularse más cerquita de la área de visoria y desplegarse a través del juego directo sobre Uche. Ahora que no va a estar Uche, entiendo que a Bordalas no le queda otra que recuperar el plan habitual del Getafe, de ir a morder arriba, ser mucho más incómodo y acercar más cerca de la corte de arriba.",541,100
bxE-t0uDGxM,277.0,282.0,5.0,MIGUEL,"No hay nada parecido. Porque eso no lo de Randi en teca el último día de mercado. Bueno, le reconoció Martín Presa.",115,22
bxE-t0uDGxM,282.0,284.0,2.0,NAHUEL,Carlos Martín también sonó que podía...,39,6
bxE-t0uDGxM,284.0,290.0,6.0,MIGUEL,"Mayoral sí que te aporta ese fútbol de espaldas, pero ya sabemos que Borja Mayoral no puede jugar con esa continuidad.",118,21
bxE-t0uDGxM,290.0,318.0,28.0,ALEX,"Chicos, en duelo aéreos, esta temporada el que más había ganado era el propio Uche. La temporada pasada estaba Álvaro Rodríguez ahí, que podía ser un perfil que quizás lo podría aprovechar. ¿Y su bienatasa? Sí, justo. Pero es que esta temporada, fíjate, para irnos al atacante que más duelo aéreos ganó después de Uche y de Álvaro Rodríguez la temporada pasada, nos vamos a Mayoral. Pero con un número bajísimo, 17. Para que os hagáis una idea, Uche el año pasado fueron 91 duelo aéreos ganados. Es un perfil muy diferente ahora.",529,93
bxE-t0uDGxM,318.0,327.0,9.0,NAHUEL,"Me ha acordado de Vertug. Sí, Vertug, efectivamente. 73 duelo aéreos. Se ha quedado el Reims. Ha jugado dos minutos, un partido. Bueno, mira...",143,24
bxE-t0uDGxM,327.0,340.0,13.0,MIGUEL,Recordemos que llegó al Getafe o había marcado un gol o ninguno. Así como presagio del delantero ya tenía la pinta de irme. Como jugó la Eurocopa. El tema es que me llegue el típico delante del necni mega que ha marcado 15 goles que me engañe.,243,47
bxE-t0uDGxM,340.0,352.0,12.0,NAHUEL,"Pero si ya llega con ninguno o uno... Sería muy de gordo a las inventarse una solución para que Koba, que es un futbolista que nos ha gustado hasta el momento, más a todos los de fuera que a bógaras, de repente sea una estrella del Getafe ahí arriba.",250,49
bxE-t0uDGxM,352.0,365.0,13.0,MIGUEL,"A ver qué inventas. Javi Muñoz. Estoy viendo la plantilla y digo que puede ser algo parecido Javi Muñoz, pero... Pues que no. Bueno, pero Uche... No era... Te gusta defender, te gustaba. Uche tampoco era eso.",208,37
bxE-t0uDGxM,365.0,382.0,17.0,ALEX,"Pero al menos el cuerpo lo tenía. Sí, sí. El cuerpazo. Y chicos, si el equipo pasa a atacar con dos delanteros que sean dos extremos, es decir, que en lugar de estirarse a través de una referencia, sea a través de estirar precisamente al rival y que pique en esa zona, por ejemplo Mario Mantis...",296,56
bxE-t0uDGxM,382.0,419.0,37.0,MIGUEL,"Liso puede ser un poquito eso. A ver, Abu Kamara. Nos le conocemos esta Juami. Bueno, vamos a ver. Tercera cuestión, bastante concreta y muy debatida, pero todavía no tenemos respuesta y vamos a ampliar con una cosa que hemos comentado en el debate. Flick. Tienen que encontrar compañero Pau Cubarsí. Román aportó el nombre de Jules Conde poniendo a Eric García de lateral derecho. Albert Fernández dijo directamente Eric García. Los nombres más lógicos serían Ronald Araujo y Andreas Christensen. ¿Qué queréis que va a hacer Flick? No lo queréis vosotros. ¿Qué queréis que va a hacer Hans Dieter Flick? Araujo. ¿Apostar por el que tiene más potencial? Yo creo que sí.",668,113
bxE-t0uDGxM,419.0,424.0,5.0,ADRIAN,Yo creo que va a apostar por Araujo. A mí me gusta ver a Christensen. A mí también.,83,18
bxE-t0uDGxM,424.0,426.0,2.0,MIGUEL,A lao de Cubarsí. Porque crees que encaja mejor.,48,9
bxE-t0uDGxM,426.0,429.0,3.0,ADRIAN,Creo que encaja mejor y porque creo que el momento de Araujo es tan tan bajo ahora mismo.,89,18
bxE-t0uDGxM,429.0,438.0,9.0,NAHUEL,"Marca un golazo con Dinamarca el otro día y no mueves a Cubarsí el perfil favorito. Sí, pero es verdad que... Christensen es un central muy diferente a Iñigo.",158,29
bxE-t0uDGxM,438.0,447.0,9.0,MIGUEL,"Si el fútbol te ha obligado a darle una segunda oportunidad a zarrono al Araujo, porque la marcha de Iñigo es a lo que te lleva... Si hay un momento, está ahora en septiembre.",175,34
bxE-t0uDGxM,447.0,458.0,11.0,NAHUEL,"Es que realmente, yo creo en Estebarca, mira que se debatió mucho en su día entre el Araujo lateral y el Araujo central. Es que el Araujo lateral creo que tendría mucho más juego con Estebarca.",193,36
bxE-t0uDGxM,458.0,464.0,6.0,MIGUEL,"Sí, pero necesita... Ahí la MIM necesita un jugador con buen pie al lado. Es que por eso Erick funciona también.",112,21
bxE-t0uDGxM,464.0,470.0,6.0,NAHUEL,Claro. Pero es tan imprescindible un jugador de buen pie. Yo creo que sobre todo lo que necesita es un buen defensor para hacer frente.,135,25
bxE-t0uDGxM,471.0,478.0,7.0,NAHUEL,"Sí, sí, pero... Es que la MIM parece que el partido de Levante son 28 pérdidas. Alguien que pueda correr y que pueda cologir.",125,24
bxE-t0uDGxM,478.0,486.0,8.0,MIGUEL,Pero creo que la MIM interpreta muy bien el juego de pares y de hecho el 2x2 con Cundé. Funciona de loco. Entonces ahí Araujo tengo mi duda.,140,28
bxE-t0uDGxM,486.0,499.0,13.0,ALEX,"Y de hecho, por cierto, pensando en esto, en la Champions tengo un poco de... Se me enciende una bombilla y decir, ostras, un extremo rápido que le planteé un Anthony Gordon, por ejemplo, con el Newcastle, que le planteé una dificultad a Araujo a campo abierto, es que se me viene el recuerdo de Barcola.",304,56
bxE-t0uDGxM,500.0,502.0,2.0,ALEX,"Sí, es que a ver, es difícil.",29,7
bxE-t0uDGxM,502.0,516.0,14.0,MIGUEL,"Es difícil. Esa posición es muy demandante. Yo creo que a mí lo de probar a Cundé y con Éric en el lateral derecho no me parece ninguna locura. No es locura. No me lo había planteado y Éric nos ha gustado ahí, encajado con la MIM y Cundé...",240,49
bxE-t0uDGxM,516.0,523.0,7.0,ALEX,"También sería la leche que después de que Cundé, con todo lo de que no quería jugar de lateralidad, lo convences. Es lateral titular en la sesión francesa.",155,28
bxE-t0uDGxM,523.0,569.0,46.0,MIGUEL,"Que puedes marear a Cundé, sí. Cundé ha llegado tarde alguna vez, pasa de Cundé. Cundé, apaga, apaga. ¿Te acuerdas cuando viniste tarde, Cundé? ¿Te acuerdas de que ibas a ser central? Cuarta decisión, cuarto entrenador, Chacho Coudet. Me planteabas dos posibilidades sales para hablar de esto. Una era el centro del campo, llega Denis, cae Pablo Ibáñez, pasa a Juan Pablo por delante. Antonio Blanco es sin móvil, evidentemente. Pero me gusta más el tema del 9 porque ha fichado a Mariano, ha fichado a... Voye, menos mal. Voye que se ha entrenado ya con el grupo. Está Toni Martínez, está jugando John Guridi. A veces un poquito por detrás, a veces al lado del punta. Y esta es una idea interesante. ¿Qué va a hacer ahí? ¿Qué perfiles va a elegir?",748,133
bxE-t0uDGxM,569.0,604.0,35.0,ALEX,"Yo lo que creo que va a ocurrir es que Denis Suárez, una vez esté a punto físico idóneo, me parece que la plaza de Guridi, o bueno, la plaza de Ibáñez la va a ocupar Denis Suárez. ¿Denis con Antonio? Denis con Antonio Blanco y que va a ser un segundo punta que juegue ahí. Fíjate el partiente. ¿Quién? Yo entiendo que va a ser Voye. Porque creo que Voye le va a aportar ese juego entre líneas y Toni le puede aportar ese movimiento hacia la espalda. Yo te digo una cosa. La sensación que tengo es que Guridi ha jugado muy bien pero le ha faltado el paso. Es que no marca. El día del Betis. Es que el día del Betis te cambia esa jugada, te cambia el partido.",657,133
bxE-t0uDGxM,604.0,607.0,3.0,NAHUEL,"Es la tónica habitual de Guridi. Sí, sí.",40,8
bxE-t0uDGxM,607.0,646.0,39.0,MIGUEL,"Y creo que viendo que no va sobrado de goles, no te puedes permitir a Guridi. Hace unos años en el diario de un playlist deportivo en mi canal de YouTube, lo podemos hacer un día porque ha pasado unos cuantos años, hice un vídeo, un análisis de, le mejoras un defecto a un jugador. Ah, muy chulo. Yo decía, por ejemplo, Iñaki Williams mejorando los controles. Sería otro jugador. De hecho creo que ha mejorado bastante los controles. Y ahí está su mejora. Pues si a John Guridi le arreglas el tema del disparo a puerta, ha desesperado a no pocos entrenadores. Pasa a otro nivel. Sí, porque es que llega… A mí me recuerda, fíjate, Sami Khedira era un fotodista que llegaba muy bien desde atrás, pero es que no… No lo sentía así. No definía bien.",744,139
bxE-t0uDGxM,646.0,654.0,8.0,NAHUEL,"Yo cuando me levanto esta mañana no esperaba escuchar a John Guridi, a Sami Khedira la misma frase. Es Los Misterios de la Pizarra. Sí, sí. A ver, te sorprende.",160,30
bxE-t0uDGxM,654.0,661.0,7.0,ADRIAN,"Fútbol. Yo no sentaba… A mí te digo que si mejoras a Boye de cara a puerta, sería Benzema. No, claro. Claro. El inseco, eh.",123,25
bxE-t0uDGxM,661.0,666.0,5.0,ALEX,"El inseco. Sería el titular de la selección argentina, ¿no? No habríamos oído el autónomo.",90,15
bxE-t0uDGxM,666.0,671.0,5.0,ADRIAN,"Pero si piese las cifras que debería hacer un 9 como Boye… Sí, pero imagina… No teníamos ni debate.",99,19
bxE-t0uDGxM,671.0,676.0,5.0,MIGUEL,"Es un ejercicio que está chulo porque hemos acabado de hablar de ronar a Ujo, pues imagínate si tuviese un pie derecho. Ya, ya.",127,24
bxE-t0uDGxM,676.0,683.0,7.0,ADRIAN,"Eso te digo. Y si Boye tuviese mejores cifras, sería él el 9. ¿Sabes cómo podría llamarse el formato?",101,19
bxE-t0uDGxM,683.0,686.0,3.0,MIGUEL,¿Cómo? Y si mi abuela tuviera tres ruedas. Me gusta.,52,10
bxE-t0uDGxM,686.0,693.0,7.0,ADRIAN,"Compro, compro. Pero me gusta la fórmula que plantea Alex, de la doble punta. Me gusta hasta que Mariano Díaz Mejía tirela por abajo.",133,24
bxE-t0uDGxM,694.0,737.0,43.0,MIGUEL,"Hay que tener en cuenta que además la necesidad de un juego interior es relativa porque Aleñá se mete mucho por dentro. Claro. Así que ahí puede compensar. Julián Calero, Levante Unión Deportiva. Aquí es una pregunta un poquito más genérica, now. Un poquito más abstracta porque todos entendemos que Taeyong tiene que ser fundamental para el Levante. Nos está encantando. El primer impacto en el Levante parece que es muy bueno por lo que se comenta, que Calero está enamorado. El punto es cómo le acompañas y cuánto le acercas al área contraria. No es que sea un jugador de área, es un jugador que se puede mover muy bien también a campo abierto. Pero sí que me parece que es un futbolista que en el Villarreal estaba muy bien alimentado. Igual ahora mismo en el Levante pasa a Bruna.",785,141
bxE-t0uDGxM,737.0,753.0,16.0,NAHUEL,"Me llama mucho la atención porque Taeyong en su presentación ha hablado mucho de Bruguí y de Carlos Álvarez, que dice que le parece muy buenos compañeros para la delantera. ¿Es futbolero, Taeyong? Eso parece. Habrá que pegarle un toque a Taeyong.",246,42
bxE-t0uDGxM,753.0,766.0,13.0,ALEX,"Además de llegar como medio centro a la cantera del Cádiz y de repente que alguien le puso ahí… Llegó como medio centro. Sí, él empieza como medio centro. La temporada en la que debuta efectivamente y se empieza a salir a nivel goleador y es espectacular lo suyo.",263,49
bxE-t0uDGxM,766.0,772.0,6.0,NAHUEL,"El debate en el Levante es renunciar a la línea de cinco, que parecía el plan A de Calero.",90,19
bxE-t0uDGxM,772.0,776.0,4.0,MIGUEL,Que le mete muy atrás los partidos que hemos visto del Levante.,63,12
bxE-t0uDGxM,776.0,797.0,21.0,NAHUEL,"Al final va a poder contar con las gasti con vencedor. Que unos fichaje de último día y otros una inscripción. Yo creo que tiene cierto sentido. Esperaba algo más parecido con 4-3-3. Es cierto que tienes laterales muy largos con manos antes de con y con Tolyan. A ver si el equipo lo puede soportar a nivel defensivo, pero creo que todo esto puede repercutir en una buena versión de Taeyong. Aquí confío en Carlos Romero.",421,77
bxE-t0uDGxM,797.0,809.0,12.0,ADRIAN,Esa me perdoné en Carlos Álvarez. Confío en él. Es que estaba leyendo Iván Romero en la página de Fútbol Fantasy. Tienen puesto de Taeyong y bajo Iván Romero. Por eso me he mezclado los dos nombres. Carlos Romero juega bien.,224,41
bxE-t0uDGxM,809.0,811.0,2.0,MIGUEL,Juega dos partidos contra el Taeyong.,37,6
bxE-t0uDGxM,811.0,816.0,5.0,ADRIAN,Podemos confiar en él. Pero confío en que sea él. Por talento que sea él quien acerque a el Taeyong.,100,20
bxE-t0uDGxM,816.0,818.0,2.0,NAHUEL,Es una asustada porque está jugando bien Iván Romero.,53,9
bxE-t0uDGxM,818.0,829.0,11.0,MIGUEL,"Sí, pero le falta... Pero a quién marca el gol? Al Barça. Sí, es un golazo. La cinta esa. Me pareció escandalosa. El día de la laves no me convenció demasiado.",159,31
bxE-t0uDGxM,829.0,831.0,2.0,NAHUEL,El día de la elcha estuvo muy bien.,35,8
bxE-t0uDGxM,831.0,833.0,2.0,MIGUEL,Es que...,9,2
bxE-t0uDGxM,833.0,859.0,26.0,NAHUEL,"El Levante... Para mí me sobran... Por ejemplo, el que no me convence demasiado es el Rey. No. Pablo Martínez sí. O Rey. Pero es que Pablo Martínez está jugando fuera de posición. Está jugando muy abajo. Entonces me da la sensación de que aspirar a una doble punta... Aprovechado que Bruguet puede jugar por dentro o por fuera. Con esa alternativa de Iván Romero. Es que al final, yo creo que Levante tiene con qué. Pero hasta ahora Julián no ha tenido pocas alternativas.",472,85
bxE-t0uDGxM,859.0,886.0,27.0,MIGUEL,"Vamos con otro recién ascendido. Vamos con Belko Pounovic. La pregunta es... La decisión es... Debe entregarse a Hassan. Porque Hassan fue indiscutible en el Real Lobo del año pasado. Pero ya hemos visto algún partido donde ha jugado Ilic. El otro día... Bueno, hace ya dos semanas. Estuvo realmente bien. Evidentemente Hassan. Pero entrando desde el banquillo.",361,58
bxE-t0uDGxM,886.0,889.0,3.0,NAHUEL,"Luego hubo dedicatoria. Luego ha habido perdón, disculpa y tal.",63,10
bxE-t0uDGxM,889.0,897.0,8.0,MIGUEL,Pero sí que me parece que es una pregunta casi filosófica. ¿Me entrego a un tío que genera caos al contrario?,109,21
bxE-t0uDGxM,897.0,898.0,1.0,ALEX,Y a mí.,7,3
bxE-t0uDGxM,898.0,911.0,13.0,MIGUEL,"O voy con un centrocampista, porque Ilic es un centrocampista... Que me controla más todo. Pero también que le facilita más la tarea del lateral contrario. ¿Yo soy lateral contrario? Yo prefiero Ilic.",200,33
bxE-t0uDGxM,911.0,936.0,25.0,ALEX,"¿Sabes lo que pasa? En los partidos que hemos visto a Ilic de inicio... Mi sensación es que el Real Oviedo no ha terminado de generar caos. No tenía manera de generar demasiado caos. Yo entiendo que Hassan tiene que jugar porque el Real Oviedo va a tener que aprovechar al máximo... Las oportunidades que pueda precisamente generarle incertidumbre al rival. Y si hay alguien que genera incertidumbre es el Hassan. Para mí, tiene que jugar Hassan de titular en posición de extremo derecho. Para mí también.",505,87
bxE-t0uDGxM,936.0,945.0,9.0,ADRIAN,"Después de tanto tiempo sin estar en primera división, regresa al Real Oviedo. No te quedes con el Icy. Icy hubiese tenido que... Hombre, si te podías quedar con Icy Palazón...",176,31
