start_sec;end_sec;speaker;text
0.000;4.560;SPEAKER_01;Es una temporada muy importante para varios futbolistas, para los que quizás sea su última
4.560;6.360;SPEAKER_01;oportunidad de brillar en la Premier League.
6.360;9.280;SPEAKER_01;Hoy, en la media inglesa, 10 jugadores que no pueden fallar.
9.280;16.440;SPEAKER_01;Un momento, un momento, antes de que arranque el vídeo, dejadme contaros que se acerca
16.440;18.400;SPEAKER_01;un nuevo viaje de la media inglesa.
18.400;23.760;SPEAKER_01;Al fin de semana, el 18 y 19 de octubre, viajamos a Inglaterra para vivir en directo a un nuevo
23.760;26.680;SPEAKER_01;partido del Harvard Town como hicimos la temporada pasada.
26.680;30.680;SPEAKER_01;Solo 289 euros, que incluye todo el fin de semana.
30.680;35.080;SPEAKER_01;El viernes saldremos desde Londres en autobús hacia Leicester.
35.080;38.400;SPEAKER_01;Esa noche ya estaremos ahí en Leicester tomando unas cervecillas.
38.400;44.240;SPEAKER_01;Sábado haremos un tour por Leicester por la mañana, nos iremos a Harvard para ver el
44.240;46.160;SPEAKER_01;partido y vivir el tercer tiempo con los muchachos.
46.160;51.200;SPEAKER_01;Y por la noche, los que hayan venido a otros viajes ya saben lo que les espera.
51.200;53.240;SPEAKER_01;Y domingo regreso a Londres.
53.240;55.600;SPEAKER_01;¿Qué incluyen esos 289 euros?
55.600;59.160;SPEAKER_01;Lo que no incluyen son los vuelos, pero sí que incluyen todos los traslados en autobús,
59.160;63.000;SPEAKER_01;dos noches de hotel, desayuno y por supuesto la entrada al partido.
63.000;68.400;SPEAKER_01;Con el enlace que tenéis aquí abajo podéis comprar ya vuestro viaje para acompañarnos,
68.400;71.720;SPEAKER_01;para ir juntos con toda la comunidad de la media inglesa a vivir este partido el sábado
71.720;72.720;SPEAKER_01;18 de octubre.
72.720;73.720;SPEAKER_01;Os esperamos.
73.720;80.320;SPEAKER_01;El año pasado, Pablo, hicimos un vídeo sobre futbolistas que estaban ante su última oportunidad,
80.320;84.160;SPEAKER_01;que no podían fallar y antes de este vídeo, de hecho, vamos a hacer un repaso.
84.160;88.200;SPEAKER_01;Porque si hacemos este vídeo ahora es porque el anterior nos gustó y ha dado resultados
88.200;89.200;SPEAKER_01;interesantes.
89.200;91.560;SPEAKER_00;Somos el anti-youtube, es la realidad.
91.560;95.640;SPEAKER_00;La gente haría ahora un reaccionando a los 10 jugadores que no podían fallar y luego
95.640;98.600;SPEAKER_00;subirían el 10 jugadores que no pueden fallar de este año.
98.600;102.120;SPEAKER_00;Pero como no nos da tiempo y queremos ya subir este vídeo, porque si no lo vamos a subir
102.120;106.800;SPEAKER_00;en la jornada decimoquinta, pues tenemos que hacer ahora un mini reaccionando rápido.
106.800;110.480;SPEAKER_00;Los futbolistas que pusimos el año pasado fueron Sandro Tonali.
110.480;111.480;SPEAKER_01;No falló.
111.480;112.480;SPEAKER_01;Fantástico.
112.480;113.480;SPEAKER_01;No falló.
114.360;118.120;SPEAKER_00;Rastford, que se fue en enero cedido al Villa tras ser apartado por Amorim y las lesiones
118.120;121.280;SPEAKER_00;frenaron su recuperación y ahora está en el Barça.
121.280;122.280;SPEAKER_00;Yo creo...
122.280;124.400;SPEAKER_00;Te diré que mitad-mitad.
124.400;128.600;SPEAKER_00;O sea, si no llega a hacer esos buenos seis meses en el Aston Villa, ahora mismo no estaría
128.600;131.720;SPEAKER_00;en el Barça y creo que ahora vuelve a tener una oportunidad para hacerlo bien.
131.720;133.480;SPEAKER_01;Yo creo que no falló, fíjate.
133.480;134.480;SPEAKER_01;A pesar de todo.
134.480;139.040;SPEAKER_01;Pero con lo que hizo en el Villa se ganó ese paso al Barça.
139.040;142.960;SPEAKER_00;Regim Sterling ni siquiera ha tirado a puerto con el Arsenal en 500 minutos y ahora está
142.960;144.920;SPEAKER_00;apartado por el Chelsea.
144.920;147.960;SPEAKER_00;Recuerdo que Regim Sterling es del 94, tiene 31 años.
147.960;148.960;SPEAKER_00;Quiere un año más que yo.
148.960;150.920;SPEAKER_00;Bueno, no fue nuestra culpa.
150.920;153.120;SPEAKER_00;No podía fallar, pues ha fallado y está apartado.
153.120;156.080;SPEAKER_00;Bueno, pero no era un vídeo diciendo estos futbores no van a fallar.
156.080;158.920;SPEAKER_01;Claro, claro, era un vídeo analizando que es la última oportunidad.
158.920;164.280;SPEAKER_01;No, pero quiero decir que me llama la atención que hay varios que fallaron y efectivamente
164.280;168.360;SPEAKER_01;no podían fallar, en el sentido de que se han llevado un gran palo después de fallar
168.440;172.600;SPEAKER_01;En esa temporada, Regim Sterling estaba apartado por el Chelsea y salió fatal lo suyo en el
172.600;173.600;SPEAKER_01;Arsenal.
173.600;177.000;SPEAKER_01;Pero es que el siguiente es Darwin Núñez, que lo pusimos en ese vídeo, fue titular
177.000;179.080;SPEAKER_01;solo ocho partidos y marcó cinco goles.
179.080;180.680;SPEAKER_01;Se ha ido a la legilal.
180.680;182.720;SPEAKER_01;Así que es otro ejemplo de no podías fallar.
182.720;186.080;SPEAKER_01;Era tu año para establecerte en el Liverpool y no lo hizo.
186.080;188.680;SPEAKER_00;Otro que creo que no terminó de fallar es Jadon Sancho.
188.680;192.920;SPEAKER_00;Jugó 31 partidos con el Chelsea, 19 de titular, tres goles, cuatro asistencias y ahora se
192.920;194.680;SPEAKER_00;ha ido al Aston Villa.
194.760;198.920;SPEAKER_00;Se parece un poco al caso Rashford, un poco peor, en el sentido de que ha comprado otra
198.920;199.920;SPEAKER_00;vida.
199.920;203.720;SPEAKER_00;Ahora creo que ahora sí que va a ser su última oportunidad a Aston Villa, no vamos a repetir
203.720;208.440;SPEAKER_00;su nombre en este vídeo, pero al menos ha conseguido una temporada más de margen.
208.440;210.760;SPEAKER_01;Otro que metimos en ese vídeo es Calvin Phillips.
210.760;215.300;SPEAKER_01;Bueno, jugó 19 partidos con el Eapswich Town, bajaron a segunda división los Tractor Boys
215.300;219.320;SPEAKER_01;y él se ha quedado en la plantilla del Manchester City, pero como ultimísima opción si hay
219.320;223.320;SPEAKER_01;una hecatombe y se lesiona por ocho meses Rodrigo Hernández.
223.320;224.840;SPEAKER_01;Así que no contéis mucho con él.
224.840;230.720;SPEAKER_00;Aaron Ramsdale encajó 66 goles en 30 partidos con el Southampton, encajó 2,5 goles más
230.720;234.000;SPEAKER_00;de los que deberías o alguna estadística avanzada, ahora está cedo en el Newcastle
234.000;236.520;SPEAKER_00;con una opción de compra, pero suplente.
236.520;242.560;SPEAKER_00;Y para mí yo te diría que Aaron Ramsdale falló, porque no dio ninguna razón para
242.560;245.560;SPEAKER_00;que un equipo de la Premier League lo fichara para seguir siendo titular.
245.560;248.960;SPEAKER_01;Mi problema con él es el destino que eligió, que es un destino en el que creo que casi
248.960;251.880;SPEAKER_01;cualquier portero del mundo no habría destacado.
252.040;256.120;SPEAKER_01;Ahora bien, se fue al Newcastle, yo pensaba que por la apuesta que hacía el Newcastle
256.120;259.760;SPEAKER_01;el que iba a jugar era él, pero no estaba a favor de eso, porque creo que Nick Pope
259.760;263.640;SPEAKER_01;sigue siendo mejor portero que Ramsdale y una certeza para el Newcastle.
263.640;266.920;SPEAKER_01;Bueno, pues en el momento en que hacemos este vídeo Nick Pope sigue siendo titular indiscutible
266.920;269.000;SPEAKER_01;en la portería de los MacPies.
269.000;274.280;SPEAKER_01;Otro de los que metimos fue Emil Smith-Rowe, y Emil Smith-Rowe como siempre con él te
274.280;277.400;SPEAKER_01;deja a veces con buena sensación, a veces con mala.
277.400;283.320;SPEAKER_00;Luego 25 partidos de titular, 6 goles, 3 asistencias, empezó bien, luego se desinfló
283.320;286.320;SPEAKER_00;y ahora mismo su pente Josh King, que tiene 18 años.
286.320;290.280;SPEAKER_00;Entonces bueno, creo que sí que ha fallado en el concepto de que no es un futbolista
290.280;293.480;SPEAKER_00;que la tengamos en cuenta cuando pensemos mucho en el fulham.
293.480;299.120;SPEAKER_00;Kepa, caso extrañísimo, porque Kepa no falló, jugó 31 partidos de titular con el Bournemouth,
299.120;303.880;SPEAKER_00;con el Bournemouth recibió 39 goles tan solo y además paró dos goles más de los que
303.880;305.400;SPEAKER_00;debería según la estadística avanzada.
305.400;309.440;SPEAKER_00;Sí, hizo muy bien, clave para ir a Ola, pero es él el que ha decidido en vez de quedarse
309.440;313.560;SPEAKER_00;en el Bournemouth y seguir siendo titular en un equipo de esa parte de la tabla irse al
313.560;315.840;SPEAKER_00;Arsenal al ser suplente a Virraya.
315.840;320.200;SPEAKER_00;Creo que deportivamente no falló y es él el que ha elegido volver a estar en un equipo
320.200;324.480;SPEAKER_00;top para ser suplente, pero la oportunidad de jugar en un Bournemouth lo hubiera seguido
324.480;325.480;SPEAKER_01;teniendo.
325.480;328.920;SPEAKER_01;Pero sí que creo que fue una buena temporada para él, el Bournemouth lo quería, se lo
328.920;331.920;SPEAKER_01;quería quedar y ya a partir de su decisión.
331.920;336.880;SPEAKER_01;Evidentemente no se lo deseo, pero si en Rayas rompe la mano mañana, estás ya directamente
336.880;341.320;SPEAKER_01;el siguiente en la parrilla para tener minutos de grandísima calidad, como también tiene
341.320;343.080;SPEAKER_01;un poco la experiencia en el Real Madrid.
343.080;347.160;SPEAKER_01;No fue bueno el paso de Kepa por el Real Madrid, pero ahí tuvo muchos minutos en una portería
347.160;349.920;SPEAKER_01;de primerísimo nivel cuando estuvo lesionado Courtois.
349.920;353.480;SPEAKER_01;Y terminamos con el último de todos, que este me temo que sí ha fallado aunque sigue
353.480;356.080;SPEAKER_01;en la Premier League, pero no le está viendo mucho mejor en el Leeds.
356.080;360.500;SPEAKER_01;Dominic Calderluin, el antiguo delantero del Everton, que jugó 19 partidos de titular
360.500;362.580;SPEAKER_01;y metió tres goles con los Toffees.
362.580;368.160;SPEAKER_01;Se ha ido ahora con los Whites libre y sigue con la misma deriva en cuanto a sus problemas
368.160;369.620;SPEAKER_01;con el gol graves.
369.620;373.540;SPEAKER_01;De hecho ha tenido uno de los peores estrenos con el Leeds United que yo he visto nunca,
373.540;377.220;SPEAKER_01;fue en Copa de la Liga si no me equivoco y fue un partido en el que falló un penalti
377.220;382.620;SPEAKER_01;en la tanda, falló dos ocasiones clarísimas, en fin, no andan las cosas muy bien para Calderluin,
382.620;384.140;SPEAKER_01;otro que no podía fallar y falló.
384.140;387.780;SPEAKER_00;Esa fue la lista del año pasado, por lo tanto ninguno de estos se va a repetir en la de
387.780;391.380;SPEAKER_00;año y para que veáis un poco cómo es la dinámica de este vídeo y que lo que decimos
391.380;392.380;SPEAKER_00;se cumple.
392.380;395.900;SPEAKER_00;Si eres alguno de los que están en esta lista y estás viendo el vídeo, ponte las pilas
395.900;397.860;SPEAKER_00;porque no vas a tener otra oportunidad.
397.860;401.300;SPEAKER_01;Es tu momento de hacer una buena temporada, si no haces una buena temporada, tiene pinta
401.300;403.340;SPEAKER_01;de que ya es un punto de no retorno.
403.340;407.420;SPEAKER_00;Y sabes quién me haría mucha ilusión que viera este vídeo porque fue durante muchos
407.420;409.940;SPEAKER_00;años mi jugador favorito.
409.940;411.180;SPEAKER_00;Abrimos el vídeo con él.
411.180;417.700;SPEAKER_00;Mason Mount, hombre, es ahora nunca, jugador del Manchester United de 26 años, en la 20-21
417.820;421.660;SPEAKER_00;se convirtió en el jugador más joven en marcar un gol en eliminatorias de Champions
421.660;423.100;SPEAKER_00;League con el Chelsea.
423.100;427.100;SPEAKER_00;Ganó esa Champions League siendo clave en la semifinal y dando también una asistencia
427.100;428.100;SPEAKER_00;en la final.
428.100;431.940;SPEAKER_00;Fue nombrado jugador del año del club, al igual que también lo fue nombrado en la siguiente
431.940;437.340;SPEAKER_00;temporada, la 21-22, donde marcó 11 goles y dio dos asistencias en Premier League.
437.340;441.420;SPEAKER_00;La siguiente temporada, la 22-23, aquella temporada de desastrosa con Graz Hanpotter,
441.420;446.000;SPEAKER_00;en el Chelsea no pudo mantener su nivel y fue titular solo 20 partidos de Premier con
446.000;447.800;SPEAKER_00;tres goles y dos asistencias.
447.800;452.140;SPEAKER_00;En verano se marchó al Manchester United por 55 millones de libras y ha sido un completo
452.140;455.320;SPEAKER_00;desastre porque apenas ha podido jugar por las lesiones.
455.320;460.000;SPEAKER_00;Con los red de Evils se ha jugado solo 1.125 minutos en dos temporadas en Premier League,
460.000;463.960;SPEAKER_00;marcando dos goles y todavía no ha dado ni una asistencia en más de dos temporadas en
463.960;464.960;SPEAKER_00;Premier.
464.960;469.120;SPEAKER_00;Se ha perdido ya 50 partidos por lesión y esta temporada ha empezado siendo titular
469.120;471.400;SPEAKER_00;pero se ha vuelto a lesionar, como veis en la imagen.
471.400;475.980;SPEAKER_00;Cumple 27 años en enero y es año mundial, así que es la última oportunidad también
476.960;480.740;SPEAKER_00;para no solo recuperar el estatus que tenía de gran estrella de la Premier League, sino
480.740;485.820;SPEAKER_00;de poder ir al Mundial con Inglaterra, cosa que no hace ir con Inglaterra desde el Mundial
485.820;487.020;SPEAKER_00;de Qatar 2022.
487.020;490.940;SPEAKER_01;Al menos que sirva de punto de inflexión un mínimo buen rendimiento en el Manchester
490.940;495.900;SPEAKER_01;United de cara a volver a construir una carrera como lo que prometía que iba a ser.
495.900;500.340;SPEAKER_01;Yo sigo pensando que si Mason Mount mañana se retira del fútbol puede decir que los
500.340;503.980;SPEAKER_01;tres buenos años que tuvo en el Chelsea fueron fantásticos y que eso ya no se los quita
