start_sec;end_sec;speaker;text
0.000;7.520;SPEAKER_00;Mientras la Premier League se está convirtiendo en la mejor competición del mundo, los ingleses están perdiendo su liga. Hoy en la media inglesa lo explicamos.
11.680;16.100;SPEAKER_00;Chozas, pongo el temporizador de mi reloj porque estamos ante un vídeo
16.420;20.540;SPEAKER_00;muy interesante, un vídeo de investigación como los que hemos hecho en los últimos meses
20.980;26.960;SPEAKER_00;que hicimos de si faltaban delanteros, si era verdad que faltaban delanteros el mundo del fútbol, el problema de la Premier League,
27.080;30.320;SPEAKER_00;porque la Premier League es la liga que más ficha... Un TFG, vamos.
30.320;32.320;SPEAKER_00;Sí, un TFG, estaban haciendo un TFG, un TFG.
32.320;34.320;SPEAKER_00;Sí, sí, la verdad que sí nos lo había pensado.
34.320;39.720;SPEAKER_00;Entonces, ponemos el temporizador porque en estos vídeos, que aunque son interesantes, son más densos,
39.840;45.880;SPEAKER_00;si nos vamos de media hora vais a acabar hasta los huevos de nosotros. Así que ponemos el temporizador para,
46.480;48.240;SPEAKER_00;sin ser
48.240;50.720;SPEAKER_00;máquinas de ceñinos al guion y, evidentemente, dar opinión,
50.840;56.880;SPEAKER_00;pues que no nos extendamos demasiado y que el vídeo nos haga muy denso y lo quitéis dentro de cinco minutos. Que no demos la chapa, vamos.
57.760;64.540;SPEAKER_01;Vamos a hablar del problema que está teniendo el futbolista inglés en la Premier League. A ver, para empezar, la Premier League empieza en
65.080;72.400;SPEAKER_01;1992 y en la primera jornada de aquella liga solo había 13 futbolistas que no eran ni británicos ni
72.800;79.760;SPEAKER_01;irlandeses entre las 22 alineaciones titulares. Ojo, ni 13, o sea, hubo 13 futbolistas clavados entre 22 alineaciones.
80.000;86.680;SPEAKER_01;Bueno, el 70% de los minutos los disputaron ingleses. Partimos de esa base de la primera temporada de la Premier League.
87.000;89.000;SPEAKER_01;Ahora, como hemos hecho un TFG,
89.000;95.440;SPEAKER_01;hemos dicho, pues vamos a decir nuestra hipótesis. Partimos de una hipótesis. A ver, es evidente que ahora hay menos ingleses.
95.440;100.080;SPEAKER_00;En el primer partido de la Premier League solo había 13 que no fueran ni británicos ni irlandeses.
100.080;106.160;SPEAKER_01;Entonces, ¿cuál es nuestra hipótesis? Pues nuestra hipótesis es que el número de jugadores británicos en la Premier League está en mínimos históricos.
106.840;112.040;SPEAKER_01;Creemos que por el aumento de ingresos que ha convertido a la Premier League en la liga más potente del mundo,
112.320;119.160;SPEAKER_01;les ha permitido fichar a las mayores estrellas del mundo, pero se han olvidado de sus propios jugadores, de los jugadores locales.
119.720;121.720;SPEAKER_01;Hay que dar una explicación, Pablo.
121.720;128.120;SPEAKER_00;Explicación necesaria porque incluso nosotros que nos dedicamos al fútbol inglés a veces nos cuesta hacer el click mental de cómo es la estructura
128.120;134.160;SPEAKER_00;de Inglaterra, de Reino Unido, así que imagino que los que ni seáis de Europa lo tendréis todavía menos claros.
134.320;139.320;SPEAKER_00;En este vídeo vamos a hablar tanto de Reino Unido como de Inglaterra. ¿Qué es Reino Unido y qué es Inglaterra?
139.960;146.640;SPEAKER_00;Reino Unido es un país soberano que se divide en cuatro grandes territorios, Inglaterra, Gales, Escocia e Irlanda del Norte.
146.640;152.920;SPEAKER_00;Aunque en el fútbol compitan como países independientes, es decir, existe la selección inglesa, existe la selección escocesa,
152.920;161.080;SPEAKER_00;verdaderamente en términos de fichajes y en muchos términos se comportan como un mismo país, porque verdaderamente Reino Unido es todo un país.
161.440;169.480;SPEAKER_00;Ejemplo, tras el Brexit, que fue el momento en el que Reino Unido, y no Inglaterra, sino Reino Unido en conjunto salió de la Unión Europea,
169.480;177.040;SPEAKER_00;los equipos ingleses dejaron de poder fichar a jugadores de 16 años del resto de Europa, es decir, dejaron de poder fichar a los Héctor Bellerín,
177.040;182.840;SPEAKER_00;por ejemplo, los Eric García, los ex fábregas que fichaban con 16 años de otros equipos europeos,
183.160;191.600;SPEAKER_00;pero siguen pudiendo fichar a jugadores de 16 y 17 años que sean escoceses, galeses y norirlandeses y vengan de esos países.
191.600;197.080;SPEAKER_00;Esto es muy importante, pero cuando hagamos la comparativa de cuántos jugadores tiene una liga de cada país,
197.080;202.720;SPEAKER_00;con Inglaterra hay que hablar de jugadores ingleses, pero también hay que hablar de jugadores británicos, es decir, de Reino Unido,
