start_sec;end_sec;speaker;text
0.000;5.540;SPEAKER_01;Creo que es el mejor guión que he hecho nunca, ha dicho José Alberto Chozas al empezar este
5.540;7.560;SPEAKER_01;vídeo antes de empezarlo.
7.560;12.880;SPEAKER_01;No sé si eso pone el listo muy alto o muy bajo, pero hoy aquí en La Media Inglesa,
12.880;18.440;SPEAKER_01;ex jugadores de la Premier que siguen jugando en el barro, en ligas no inferiores, muy inferiores.
22.440;25.560;SPEAKER_01;Un momento, un momento, antes de que arranque el vídeo, dejadme contaros que se acerca
26.120;30.000;SPEAKER_01;un nuevo viaje de La Media Inglesa al fin de semana, el 18 y 19 de octubre.
30.000;33.800;SPEAKER_01;Viajamos a Inglaterra para vivir en directo un nuevo partido del Harvard,
33.800;35.800;SPEAKER_01;tal como hicimos la temporada pasada.
35.800;39.800;SPEAKER_01;Por solo 289 euros, se incluye todo el fin de semana.
39.800;43.800;SPEAKER_01;El viernes saldremos desde Londres en autobús hacia Leicester.
43.800;47.320;SPEAKER_01;Esa noche ya estaremos ahí en Leicester tomando unas cervecillas.
47.320;53.800;SPEAKER_01;Sábado haremos un tour por Leicester por la mañana, nos iremos a Harvard para ver el partido
54.040;60.040;SPEAKER_01;y por la noche, los que hayan venido a otros viajes, ya saben lo que les espera.
60.040;62.040;SPEAKER_01;Domingo, regreso a Londres.
62.040;64.040;SPEAKER_01;¿Qué incluyen esos 289 euros?
64.040;68.040;SPEAKER_01;Lo que no incluyen son los vuelos, pero sí todos los traslados en autobús,
68.040;72.040;SPEAKER_01;dos noches de hotel, desayuno y por supuesto la entrada al partido.
72.040;77.040;SPEAKER_01;Con el enlace que tenéis aquí abajo podéis comprar vuestro viaje para acompañarnos
77.040;82.040;SPEAKER_01;para ir juntos con toda la comunidad de La Media Inglesa a vivir este partido el 18 de octubre.
82.280;84.280;SPEAKER_01;Esperamos.
84.280;87.280;SPEAKER_01;Chozas, dinos, ¿es el mejor guión que has hecho nunca?
87.280;89.280;SPEAKER_00;Lo cual no implica que sea bueno.
89.280;92.280;SPEAKER_00;Yo solo he dicho que es el mejor que he hecho hasta ahora.
92.280;94.280;SPEAKER_00;Lo cual no implica que sea bueno.
94.280;96.280;SPEAKER_01;¿Cuál es el guión, cuál es la explicación?
96.280;97.280;SPEAKER_01;Cuéntanos.
97.280;101.280;SPEAKER_00;Vamos a ver, me he puesto a bucear en las carreras de los futbolistas
101.280;105.280;SPEAKER_00;a ver qué exjugadores de la Premier League están ahora mismo
105.280;108.280;SPEAKER_00;en las divisiones más bajas que he podido encontrar,
108.280;111.280;SPEAKER_00;lo más abajo, lo más al fondo posible.
111.520;112.520;SPEAKER_00;Lo más abajo.
112.520;114.520;SPEAKER_00;Lo más abajo, lo más abajo.
114.520;118.520;SPEAKER_00;Hay auténticas barbaridades, o sea hay octavas divisiones de países bajos.
118.520;121.520;SPEAKER_01;Vale, vale, nos gusta, nos gusta.
121.520;125.520;SPEAKER_00;Me ha llevado a esto, por supuesto, el primero de nuestros nombres.
125.520;127.520;SPEAKER_00;Luego lo llevaremos, pero claro.
127.520;130.520;SPEAKER_01;Es un vídeo en el que evidentemente teníamos que empezar
