start_sec;end_sec;speaker;text
0.000;2.920;SPEAKER_01;No creo que tengas ningún motivo para seguir esta guía práctica,
2.920;5.600;SPEAKER_01;pero hoy te vamos a dar los pasos que tienes que seguir
5.600;8.240;SPEAKER_01;para poner en riesgo tu vida en un campo de fútbol.
12.440;16.320;SPEAKER_01;Bueno, chozas, esto es una guía práctica en la que no hay nadie muerto, tranquilos,
16.320;19.400;SPEAKER_01;y por eso hemos puesto el casi en el título delante de perder,
19.400;23.680;SPEAKER_01;porque es una guía práctica para aprender cómo casi perder la vida en un estadio.
23.680;25.720;SPEAKER_00;Y sobre todo para que no nos lo mate el algoritmo, ¿no?
25.720;27.440;SPEAKER_00;Para que YouTube no diga, ¡hey!
27.440;28.200;SPEAKER_00;Cuidado, cuidado.
28.200;29.800;SPEAKER_00;A tomar por culo tu vida y todo.
29.840;30.560;SPEAKER_01;Cuidado.
30.560;34.200;SPEAKER_01;Tengo que decir que para chequear cómo trata el algoritmo
34.200;38.120;SPEAKER_01;al tema de las palabras como muerte y todo esto,
38.120;40.120;SPEAKER_01;bueno, metí la palabra en YouTube,
40.120;42.600;SPEAKER_01;me salió todo cosas religiosas y filosóficas.
42.600;43.880;SPEAKER_01;Ah, bueno, claro, es verdad, claro.
43.880;45.960;SPEAKER_01;Pero con un chorro de visitas.
45.960;46.520;SPEAKER_01;Sí, claro.
46.520;47.240;SPEAKER_01;Chorro de visitas.
47.240;48.840;SPEAKER_00;¿Qué hay después de la muerte y cosas así?
48.840;52.600;SPEAKER_01;No, no, directamente, no sé, vídeos muy...
52.600;57.640;SPEAKER_01;No sé, no sé, que descubrí que hay mucha gente monetizando a Jesucristo.
57.640;58.240;SPEAKER_01;¡Hostia!
58.240;59.240;SPEAKER_01;La leche, una cosa...
59.240;61.080;SPEAKER_00;Lo cual es grave.
61.080;62.080;SPEAKER_01;Es grave.
62.080;64.360;SPEAKER_01;Hombre, se enterá a Jesucristo y te hace...
64.360;65.400;SPEAKER_01;Es bastante grave.
65.400;67.000;SPEAKER_00;Se llama blasfemar eso.
67.000;69.800;SPEAKER_01;Bueno, amigos, lo que no va a ser desde luego una blasfemia
69.800;72.520;SPEAKER_01;es esta guía práctica en la que, como os decimos, pues...
73.960;77.960;SPEAKER_01;hay a vosotros, pero, bueno, si alguno ha tenido la duda alguna vez de
77.960;81.960;SPEAKER_01;oye, ¿cómo podría correr riesgo en mi vida en un campo de fútbol?
81.960;83.800;SPEAKER_01;Pues vamos a dar varios pasos
83.800;86.760;SPEAKER_01;siempre basándonos en cosas que han sucedido en el fútbol inglés.
86.840;89.560;SPEAKER_01;Así que, Chozas, pues te voy a contar varias historias que he ido encontrando.
89.560;90.840;SPEAKER_01;Yo vengo a ciegas, vengo a ciegas.
90.840;92.360;SPEAKER_01;Te aviso, amigo, que estás al otro lado.
92.360;94.840;SPEAKER_01;Casi todas las historias son sobre la Non League.
94.840;96.520;SPEAKER_01;¡Uuuh!
96.520;98.040;SPEAKER_00;A ver, claro, lógicamente...
98.040;99.360;SPEAKER_01;Ni fútbol profesional ni nada.
99.360;101.920;SPEAKER_00;Claro, los profesionales creo que...
101.920;104.000;SPEAKER_00;por lo menos en los estadios hay un pelín de seguridad.
104.000;105.200;SPEAKER_00;Luego llega la Non League y...
105.200;107.720;SPEAKER_01;Pero vamos a empezar con la Premier League, porque...
107.720;111.160;SPEAKER_01;el primer consejo de esta guía práctica es que te tires en paracaídas.
111.160;112.440;SPEAKER_01;Hombre, a ver, empezamos bien.
112.440;115.200;SPEAKER_01;Es lógico, si te tires en paracaídas tienes más posibilidades de morirte
115.200;116.520;SPEAKER_01;que si estás ahora mismo sentado aquí.
116.560;118.560;SPEAKER_01;¿En qué vídeo lo sacamos esto?
118.560;120.960;SPEAKER_01;En el vídeo de los recién ascendidos.
120.960;122.040;SPEAKER_01;De por qué se van a salvar.
122.040;124.920;SPEAKER_01;Ya os hablamos de aquel paracaidista de un espectáculo
124.920;128.240;SPEAKER_01;que hizo prepartido el Burnley en un partido contra el Ipswich Town,
128.240;130.640;SPEAKER_01;que acabó con el Ipswich Town ganando 3-0
130.640;133.160;SPEAKER_01;y el partido pospuesto durante una hora.
133.160;135.080;SPEAKER_01;Os dejamos el vídeo por aquí arriba, pero no.
135.080;137.160;SPEAKER_01;Esto no va sobre ese paracaidista.
137.160;140.120;SPEAKER_01;Ahora, os tengo que reconocer que ha sido uno de los casos
140.120;141.840;SPEAKER_01;que nos ha dado pie a este vídeo.
141.840;144.160;SPEAKER_01;Nos vamos a una historia aún peor,
144.200;146.800;SPEAKER_01;que es la del 13 de diciembre de 1998.
146.800;150.680;SPEAKER_01;Chozas, ese día, Aston Villa y Arsenal se enfrentan en Premier League
150.680;153.960;SPEAKER_01;y el Aston Villa prepara como espectáculo para el descanso
153.960;157.840;SPEAKER_01;una lluvia de Santa Claus, una lluvia de papás noeles.
158.800;159.320;SPEAKER_00;Bien.
159.320;160.680;SPEAKER_00;Empieza mal la historia.
160.680;162.960;SPEAKER_01;La idea era que para celebrar un poco la Navidad
162.960;166.920;SPEAKER_01;descendiesen del cielo muchos Santa Claus y aterrizasen en el campo.
166.920;170.880;SPEAKER_01;Pero la tarde se fue complicando, ya estaba todo perfectamente montado
170.880;172.760;SPEAKER_01;y se levantó un viento que era para verlo.
173.720;174.720;SPEAKER_01;Muy complicado.
174.720;176.520;SPEAKER_00;¿Venían con los renos o Santa Claus?
