start_sec;end_sec;speaker;text
0.000;4.500;SPEAKER_01;íbamos a hacer un vídeo sobre lo mal que está el Aston Villa y justo cuando nos decidimos a hacerlo
4.500;11.900;SPEAKER_01;también sabemos que Monchi se va a marchar del equipo villano, así que todo en uno. ¿Qué está pasando en el Aston Villa?
15.740;22.980;SPEAKER_01;El Aston Villa amigos que está en un momento muy difícil, en un momento complicado porque ahora mismo
22.980;27.700;SPEAKER_01;cuando grabamos este vídeo es decimo octavo y lleva tres puntos.
28.100;34.460;SPEAKER_00;Yo iba a hacer Nacho y un vídeo sobre las canteras de los equipos de la Premier League, luego iba a hacer un equipo
34.460;41.120;SPEAKER_00;analizando sólo deportivamente al Villa, y al final he tenido que hacer un vídeo analizando todo lo que está pasando
41.120;49.260;SPEAKER_00;ahora mismo en Birmingham. Como dijiste tú hace unas semanas, es una frase que me voy a quedar, ojalá dedicarme al periodismo
49.260;57.220;SPEAKER_00;del cine, periodismo de peliculitas, vas a la Premier, ves una peli y te es muy buena, 7 de 10, te vas a tu casa,
57.220;64.540;SPEAKER_01;no pasa nada, es que se ha acogido porque es Alejandro G. Calvo, él va a ver sus pelis, dice si le ha molao y todo el mundo
64.540;74.820;SPEAKER_00;le quiere, no cae mal a nadie creo. Y no pasan cosas de que el director deportivo de la legopelícula no se va
74.820;82.180;SPEAKER_01;y llega el director deportivo de Avatar, esas cosas no suceden. Yo estoy con un guión sobre equipos que han desaparecido
82.180;88.500;SPEAKER_01;y a mi se desapareció. No, dijo este paso que va a desaparecer en las zumbilas porque madre mía como está la cosa
88.500;92.900;SPEAKER_01;ya os estaba diciendo que van de cimo octavos en esta temporada de la Premier League que llevan sólo 3 puntos
92.900;100.300;SPEAKER_01;aún no han ganado ni un solo partido de liga y sólo han marcado un gol, hace un año eran terceros con 12 puntos
100.300;107.540;SPEAKER_01;y 4 victorias, ahí tenéis la comparación entre las dos temporadas, pues fíjate yo creo que una IMEI te cambiaría
107.540;115.100;SPEAKER_00;y a cambio está como estaba. Pues sí, y tú dirás, el Ville ha tenido el calendario más difícil de toda la Premier League
115.100;120.260;SPEAKER_00;se han enfrentado a todo el Big Six, se han enfrentado los Lover Trotters, no se han enfrentado a ningún Big Six
120.260;126.620;SPEAKER_00;han jugado contra el Newcastle que además es un Newcastle sin Woltemar de Ixinvisa, han perdido dos veces contra el Bramford
126.620;132.540;SPEAKER_00;tanto en Copa de la Liga en los penantis como luego en Liga, empataron contra el Everton, empataron contra Sanderlán con 10
132.540;137.180;SPEAKER_00;y además también recibieron una goleada del Cristal Palace. Habiendo presentado...
137.180;144.460;SPEAKER_01;Y todo esto insisto con la noticia de que se va a Monchi de su puesto, de su puesto, eso sí, luego os lo explicaremos
144.460;150.220;SPEAKER_01;pero también por daros un poco ese titular que ahora hablaremos de eso en este vídeo, pero antes, ¿qué le pasa al Ville?
150.220;157.100;SPEAKER_00;Con todo esto vamos a intentar desengranar qué le está pasando al Ville a nivel deportivo y luego qué está pasando en los despachos del equipo villano
157.180;163.340;SPEAKER_00;Lo primero es que es un equipo evidentemente sin gol, han tardado cinco partidos en marcar un gol en la Premier League
163.340;170.380;SPEAKER_00;de hecho, tras la cuarta jornada eran el único equipo de las siete primeras divisiones inglesas que todavía no había marcado en Liga
170.380;175.020;SPEAKER_00;es la primera vez en la historia del club que se queda sin marcar en las primeras cuatro jornadas de Liga
175.020;182.060;SPEAKER_00;no de Premier League, no de primera división, no, en general nunca habían tardado más de cuatro jornadas en marcar en una Liga
182.300;188.140;SPEAKER_00;El primer gol del equipo de Unai Emery lo marcó Matías, desde aquí parece un golazo espectacular, pero es una cantada de Roofs
188.140;193.500;SPEAKER_00;el portero de Sunderland bastante grande y lo metió tras 427 minutos de competición
193.500;197.100;SPEAKER_00;tan solo dos equipos en la historia de la Premier League han tardado más en marcar
197.100;206.540;SPEAKER_00;el Newcastle de la temporada 05-06 que tardó 438 minutos y el Crystal Palace de la temporada 17-18 que estuvo siete partidos sin marcar
206.540;208.540;SPEAKER_00;641 minutos
209.020;211.020;SPEAKER_00;Ahí está!
211.020;213.020;SPEAKER_00;Idolo!
213.020;215.980;SPEAKER_00;Como que no? Ah no, no está aquí?
215.980;217.980;SPEAKER_00;No está aquí, ¿dónde estás Frank?
217.980;219.980;SPEAKER_01;Sí, míalo, míalo, ahí está
219.980;221.980;SPEAKER_01;Un momento
221.980;223.980;SPEAKER_01;Mira Frank, ahí está
223.980;225.980;SPEAKER_00;Esto una vez tuvo pegamento
225.980;227.980;SPEAKER_00;Suscribite, suscribite
227.980;233.500;SPEAKER_00;Bueno, que solo han tenido un peor arranque goleador una vez en Newcastle y una vez en el Crystal Palace
234.460;240.460;SPEAKER_01;Bueno, si queréis algún dato más son el equipo número 12 en disparos tan solo están a seis tiros del sexto
240.460;243.660;SPEAKER_01;así que alguno podría pensar en este caso que es un tema de puntería
243.660;250.780;SPEAKER_01;pero es de creación de juego porque en el Aston Villa tenemos al equipo con menos goles esperados de toda la liga
250.780;256.140;SPEAKER_01;tan solo 3,7 goles esperados generados, es decir 0,74 por partido
256.780;263.740;SPEAKER_01;Os lo traduzco, según la estadística avanzada han generado por calidad de sus ocasiones menos de 4 goles
263.740;269.100;SPEAKER_01;según lo lógico que dice la estadística avanzada que serían los goles que han debido marcar
269.100;272.140;SPEAKER_01;por tanto, por partido lo lógico es que ni siquiera marquen un gol
272.140;277.580;SPEAKER_00;Es increíble, o sea que normalmente cuando vemos estas cosas es que los equipos están fallando ocasiones clarísimas
277.580;279.580;SPEAKER_00;que van a terminar metiendo, pero no es el caso
279.580;282.380;SPEAKER_00;el mejor ejemplo se ve con Ollie Watkins el futbolista
282.620;287.420;SPEAKER_00;la gran estrella de la Aston Villa que ha llegado a los 15 goles en las últimas tres Premier League
287.420;288.940;SPEAKER_00;y todavía no ha visto puerta
288.940;293.740;SPEAKER_00;solo ha tirado 8 veces en 5 partidos y ha generado 1,1 expected goals
293.740;299.420;SPEAKER_00;siendo el tercero con más diferencia entre sus goals y expected goals por detrás de Dani Wohlbeck y Ahmad Diallo
299.420;303.020;SPEAKER_00;de todas formas, según la estadística avanzada Watkins tendría que haber metido un gol
303.020;305.820;SPEAKER_00;o sea no es que Watkins esté fallando ocasiones clarísimas
305.820;309.340;SPEAKER_00;ni él está acertado ni le están encontrando en zonas de remate
309.420;313.500;SPEAKER_00;vamos a ver el mapa de toques de Ollie Watkins según Juegyscorp
313.500;315.980;SPEAKER_00;en los partidos contra el Everton y contra el Sunderland
315.980;320.700;SPEAKER_00;contra el Sunderland tiene tres toques en el área y contra el Everton tiene un toque en el área
320.700;322.220;SPEAKER_00;y ahí le ves súper esquinado
322.220;326.540;SPEAKER_00;es muy difícil pedirle al delantero inglés que meta goles si ni siquiera le están llegando pases
326.540;330.060;SPEAKER_01;para que nos entendáis está atacando hacia la izquierda el Aston Villa
330.060;335.020;SPEAKER_01;y por eso veis esos toques de Ollie Watkins que está sufriendo bastante en su participación
335.020;338.700;SPEAKER_01;con el Aston Villa en ataque en esta temporada
338.780;341.740;SPEAKER_01;pero no es el único que ahora mismo está pasando por un valle de rendimiento
341.740;348.220;SPEAKER_01;porque otra de las estrellas de este equipo Morgan Rogers también está sufriendo el bajón de todo el conjunto
348.220;353.900;SPEAKER_01;lleva 0,82 disparos por partido mientras que el año pasado acabó con 1,59
353.900;359.420;SPEAKER_01;lo mismo está pasando con los pases claves de Morgan Rogers que está promediendo 0,82
359.420;365.100;SPEAKER_01;cuando venía de 1,47 es un jugador que yo estoy viendo ahora especialmente impreciso
365.100;368.380;SPEAKER_01;y que además está sufriendo algo que veremos después
368.380;374.780;SPEAKER_01;pero creo que explica también el bajón de rendimiento ofensivo y de la portación de Rogers
374.780;380.060;SPEAKER_01;que tiene que ver con lo que está pasando detrás de él sin tampoco excluirlo a él de sus culpas
380.060;385.820;SPEAKER_01;los otros dos titulares en el ataque están siendo Evan Gesand y Emy Buendía
385.820;390.060;SPEAKER_01;que no esperábamos ver a Emy Buendía en 2025 con el Aston Villa siendo titular
390.060;391.260;SPEAKER_01;pero así están siendo las cosas
391.260;396.780;SPEAKER_01;el primero costó 30 millones procedente del Niza este verano y está teniendo una adaptación francamente complicada
396.780;399.820;SPEAKER_01;y el segundo está rindiendo las cosas como son
399.820;404.460;SPEAKER_01;pero la temporada pasada ya sabemos que acabó cedido en el Leverkusen jugando 89 minutos
404.460;407.500;SPEAKER_01;en los primeros seis meses de Premier League con el Villa
407.500;411.420;SPEAKER_01;así que también da la sensación sin despreciar el nivel de Buendía
411.420;415.740;SPEAKER_01;que siempre hemos dicho aquí que nos ha parecido un muy buen futbolista en su etapa Premier
415.740;418.700;SPEAKER_01;y está mejor que Morgan Rogers ahora mismo en estos primos partidos
418.700;425.100;SPEAKER_01;pero vaya que a lo que voy es que suena más a una especie de adaptación incluso de parche
425.180;430.220;SPEAKER_01;¿Qué piensas de la situación del club que es un argumento que se crea del todo una Imery?
430.220;432.620;SPEAKER_00;El principal problema es la creación de juego
432.620;435.500;SPEAKER_00;de aquí es donde tenemos que hablar de Yuri Tielemans
435.500;441.580;SPEAKER_00;sin él no tiene nadie capaz de sacar el balón desde atrás y de luego también generar verdaderas ventajas
441.580;443.020;SPEAKER_00;entre tres cuartos de campo
443.020;444.780;SPEAKER_00;el último partido se lo perdió por lesión
444.780;447.180;SPEAKER_00;parece que ya va a poder volver este fin de semana
447.180;450.300;SPEAKER_00;pero Nacho recordarás que los dos primeros los jugó de media punta
450.380;455.180;SPEAKER_00;jugó una posición en la que no nos gusta tanto con Onana y Camará por detrás
455.180;457.980;SPEAKER_00;y ahí había un gran problema en la salida de balón de las Tombilla
457.980;463.980;SPEAKER_00;de hecho sólo ha disputado 90 minutos contra el Pallas y 45 minutos contra el Everton en su posición
463.980;466.140;SPEAKER_00;aunque ya hemos solo cinco partidos
466.140;469.660;SPEAKER_00;es que verdaderamente Tielemans no está jugando por lesión
469.660;474.460;SPEAKER_00;o por elección de una Imery porque no tiene otros jugadores en la posición en la que más destaca
474.460;478.620;SPEAKER_00;y Nacho yo aquí veo tres principales problemas cuando no está Tielemans en el campo
478.700;480.700;SPEAKER_00;o no está Tielemans en el centro del campo
480.700;483.660;SPEAKER_00;lo primero los problemas que tiene el Villa en salida de balón
483.660;487.660;SPEAKER_00;he puesto la primera imagen que esto es de una captura del partido contra el Sunderland
487.660;490.780;SPEAKER_00;el que veis ahí en el área para sacar el balón es John McGinn
490.780;495.820;SPEAKER_00;un futbolista que a mi me encanta pero que donde más destaca es en tres cuartos de campo
495.820;498.300;SPEAKER_00;y en la gran llegada que tiene como interior diestro
498.300;499.820;SPEAKER_00;pero ya le vimos a...
499.820;500.540;SPEAKER_00;Zurdo, Zurdo
500.540;501.500;SPEAKER_00;por la derecha
501.500;502.940;SPEAKER_00;por la derecha pero siendo el Zurdo
502.940;507.420;SPEAKER_00;ya le vimos en esas posiciones con Steven Gerrard en aquel Villa
507.420;510.220;SPEAKER_00;y no es la posición perfecta para el futbolista escocés
510.220;514.300;SPEAKER_00;luego también hay dos, tres, cuatro imágenes que voy a poner ahora
514.300;517.660;SPEAKER_00;y creo que ejemplifican muy bien cuál está siendo el problema del Aston Villa
517.660;521.660;SPEAKER_00;la primera es la matriz de pases del Aston Villa contra el Sunderland
521.660;523.180;SPEAKER_00;que nos da OptaAnalyst
523.180;525.340;SPEAKER_00;aquí lo que ves es un auténtico drama
525.340;527.660;SPEAKER_00;porque las líneas entre los jugadores significan...
527.660;529.180;SPEAKER_00;Esas calcitas, eh, que es justo
529.180;530.940;SPEAKER_00;Bien, ahí las calcitas que apostó Jesús
530.940;535.100;SPEAKER_00;las líneas significan pases que dan de un jugador a otro
535.180;538.300;SPEAKER_00;Cuanta más gorda sea la línea significa que más pases hay
538.300;542.860;SPEAKER_00;por ejemplo hay más pases de Konza, amáticas, que del Divu, amáticas
542.860;543.900;SPEAKER_00;¿Cuál es el problema?
543.900;548.380;SPEAKER_00;Que Hollywood Kings solo está conectado y por una finísima línea con Taron Minks
548.380;554.460;SPEAKER_00;ni Morgan Rogers, ni McGinn, ni Kamara, ni Gesang, ni Digne, ni Emi Buendía
554.460;559.020;SPEAKER_00;consiguieron conectar con Hollywood Kings contra Sunderland en un partido
559.020;562.060;SPEAKER_00;que durante 60 minutos el Aston Villa jugó contra 10
562.140;567.180;SPEAKER_01;Para mí en esa matriz de pases también lo que se ve es uno de los problemas que te decía antes
567.180;573.500;SPEAKER_01;A la hora de activar a Morgan Rogers no solo la cantidad de pases sino la calidad de los mismos
573.500;575.500;SPEAKER_01;Ya sabéis que a mí John McGinn me encanta
575.500;578.860;SPEAKER_01;pero Morgan Rogers es un jugador que necesita por detrás a Yuri Tillemans
578.860;583.180;SPEAKER_01;Kamara me parece que es un jugador con suficiente nivel para acompañar a Tillemans
583.180;587.260;SPEAKER_01;y ser al mismo tiempo también un jugador que asuma labores de director de juego
587.340;592.300;SPEAKER_01;Pero cuando veo que en la matriz de pases la línea más gruesa es la que que de Morgan Rogers
592.300;593.820;SPEAKER_01;es la que lo une con John McGinn
593.820;598.060;SPEAKER_01;veo que Rogers no va a recibir siempre en las mejores posiciones
598.060;602.700;SPEAKER_01;ni en las mejores condiciones balones que de verdad si le puede dar Yuri Tillemans para este equipo
602.700;605.260;SPEAKER_01;y es ahí donde Rogers me gusta
605.260;607.980;SPEAKER_01;porque Rogers no me parece un jugador especialmente fino con el balón
607.980;609.420;SPEAKER_01;ya lo he comentado más de una vez
609.420;614.460;SPEAKER_01;Rogers es una máquina a la hora de correr hacia adelante con el balón
614.460;616.700;SPEAKER_01;conducir, es muy difícil tirarlo al suelo
616.700;618.700;SPEAKER_01;es muy difícil ganarle duelos
618.700;621.260;SPEAKER_01;pero en un equipo que lo proyecte hacia adelante
621.260;625.580;SPEAKER_01;y haga que el equipo acompañe a Morgan Rogers en esas conducciones
625.580;629.340;SPEAKER_01;no es un jugador que ahora mismo esté explotado entre otras cosas
629.340;631.340;SPEAKER_01;porque estoy viendo poco a Yuri Tillemans
631.340;633.340;SPEAKER_01;sea por lesión, sea por su posición
633.340;634.620;SPEAKER_01;en esa base de la jugada
634.620;636.140;SPEAKER_00;Y aunque a Morgan Rogers ahí me encanta
636.140;639.900;SPEAKER_00;tampoco creo que sea el jugador para filtrar pases en tres cuartos de campo
639.900;641.340;SPEAKER_00;es capaz de hacerlo
641.340;644.620;SPEAKER_00;pero cuando el Villa está plantado ya en campo rival
644.700;646.700;SPEAKER_00;El que verdaderamente es capaz de filtrar pases
646.700;648.220;SPEAKER_00;es de nuevo Yuri Tillemans
648.220;651.420;SPEAKER_00;Voy aquí a poner tres gráficos seguidos
651.420;654.700;SPEAKER_00;que están sacados, si no me equivoco, estos de OptaAnalyst también
654.700;657.820;SPEAKER_00;en el que vais a ver los pases acertados y fallados de Gastón Villa
657.820;658.860;SPEAKER_00;contra Sunderland
658.860;660.860;SPEAKER_00;Aquí la primera son los pases acertados
660.860;663.020;SPEAKER_00;y aquí vemos el principal problema
663.020;665.020;SPEAKER_00;Ataca, por cierto, el Villa hacia la izquierda
665.020;667.020;SPEAKER_00;Nadie mete un balón por dentro
667.020;671.900;SPEAKER_00;Ataca por la derecha y ese número 23 es un cuchillo
672.540;674.540;SPEAKER_00;No deje de dar pases cortos en el área rival
674.540;675.580;SPEAKER_00;Es buenísimo
675.580;677.580;SPEAKER_00;Bueno, no hay pases al área
677.580;679.580;SPEAKER_00;y sobre todo no hay pases en zona central
679.580;680.780;SPEAKER_00;es todo a las bandas
680.780;682.780;SPEAKER_00;Vamos ahora a ver los pases fallados
682.780;686.300;SPEAKER_00;Aquí ya vemos que se intentaron verdaderamente pases por el centro
686.300;687.740;SPEAKER_00;pero no salieron ninguno
687.740;690.300;SPEAKER_00;y luego si veis la matriz de pases general
690.300;693.420;SPEAKER_00;pues veis que todos los pases que se intentaron meter
693.420;695.420;SPEAKER_00;entre líneas por dentro en el área
695.420;697.980;SPEAKER_00;fueron pases fallados
697.980;701.500;SPEAKER_00;Tillemans es tan importante en el Villa
701.580;704.540;SPEAKER_00;como para que el Villa no esté ganando ningún partido sin él
704.540;706.540;SPEAKER_00;Hombre, no exageraría
706.540;708.540;SPEAKER_00;Creo que con Tillemans también ha habido partidos
708.540;710.540;SPEAKER_00;que igual este Villa, como no está bien Morgan Royes
710.540;712.540;SPEAKER_00;como no está bien Watkins
712.540;714.540;SPEAKER_00;como Dibu empezó de suplente
714.540;716.540;SPEAKER_00;pues tampoco hubiera ganado
716.540;718.540;SPEAKER_00;pero es evidente que por ejemplo el día de Sunderland
718.540;720.540;SPEAKER_00;con el Belga en el campo
720.540;722.540;SPEAKER_01;el partido hubiera sido muy diferente
722.540;724.540;SPEAKER_01;Sólo los tres recién ascendidos y el Brenford
724.540;726.540;SPEAKER_01;llevan menos pases claves que el Villa
726.540;728.540;SPEAKER_01;está teniendo un problema de creatividad y visión de juego
728.540;730.540;SPEAKER_01;el equipo Unai Emery a estas alturas de temporada
730.540;732.540;SPEAKER_01;a pesar de que son el cuarto equipo con más pases en el último tercio
732.540;734.540;SPEAKER_01;que esto es un grave problema a solventar
734.540;736.540;SPEAKER_01;por el entrenador español
736.540;738.540;SPEAKER_01;tras el último partido
738.540;740.540;SPEAKER_01;Emery reconoció estar enfadado
740.540;742.540;SPEAKER_01;no tanto por los resultados sino por el juego
742.540;744.540;SPEAKER_01;y acusó a su equipo de ser vago
744.540;746.540;SPEAKER_01;a la hora de ir a los duelos
746.540;748.540;SPEAKER_01;Lazy fue la palabra que usó
748.540;750.540;SPEAKER_01;y eso también creo que es un bajo en respecto al año pasado
750.540;752.540;SPEAKER_01;porque tiene más que ver
752.540;754.540;SPEAKER_01;no solo tiene que ver con los juegos
754.540;756.540;SPEAKER_01;sino también con el ambiente que ahora mismo reina
756.540;758.540;SPEAKER_01;en el equipo de la UEFA
758.540;760.540;SPEAKER_01;y también con el ambiente que ahora mismo reina
760.540;762.540;SPEAKER_01;en el asombi la de cierto pesimismo
