start_sec;end_sec;speaker;text
0.000;4.400;SPEAKER_01;Hoy en la media inglesa nos vamos atrás en el tiempo y nos ponemos de gala porque os
4.400;8.560;SPEAKER_01;vamos a decir cuál es la camiseta más bonita de la historia de cada uno de los 20 clubes
8.560;9.720;SPEAKER_01;que forman la Premier League.
9.720;16.980;SPEAKER_01;Un momento, un momento, antes de que arranque el vídeo, dejadme contaros que se acerca
16.980;18.880;SPEAKER_01;un nuevo viaje de la media inglesa.
18.880;24.300;SPEAKER_01;Al fin de semana, el 18 y 19 de octubre viajamos a Inglaterra para vivir en directo a un nuevo
24.300;27.240;SPEAKER_01;partido del Harvard Town como hicimos la temporada pasada.
27.240;31.320;SPEAKER_01;Solo 289 euros, que incluye todo el fin de semana.
31.320;35.760;SPEAKER_01;El viernes saldremos desde Londres en autobús hacia Leicester.
35.760;38.880;SPEAKER_01;Esa noche ya estaremos ahí en Leicester tomando unas cervecillas.
38.880;44.720;SPEAKER_01;Sábado haremos un tour por Leicester por la mañana, nos iremos a Harvard para ver el
44.720;46.880;SPEAKER_01;partido y vivir el tercer tiempo con los muchachos.
46.880;51.640;SPEAKER_01;Por la noche, los que hayan venido a otros viajes ya saben lo que les espera.
51.640;53.760;SPEAKER_01;Y domingo regreso a Londres.
53.760;56.120;SPEAKER_01;¿Qué incluyen esos 289 euros?
56.120;59.680;SPEAKER_01;Lo que no incluyen son los vuelos, pero sí que incluyen todos los traslados en autobús,
59.680;63.520;SPEAKER_01;dos noches de hotel, desayuno y por supuesto la entrada al partido.
63.520;68.760;SPEAKER_01;Con el enlace que tenéis aquí abajo podéis comprar ya vuestro viaje para acompañarnos
68.760;72.240;SPEAKER_01;para ir juntos con toda la comunidad de la media inglesa a vivir este partido el sábado
72.240;73.240;SPEAKER_01;18 de octubre.
73.240;74.240;SPEAKER_01;Os esperamos.
74.240;80.040;SPEAKER_01;Estoy algo afónico, Andrés, porque venimos de grabar un vídeo para miembros jugando al
80.040;84.080;SPEAKER_01;ping pong y yo las cosas no me las tomo a medias, me las tomo muy en serio.
84.080;85.080;SPEAKER_00;Mucho gritito, ¿no?
85.080;86.080;SPEAKER_00;Mucho alarido.
86.080;91.360;SPEAKER_01;Mucho alarido, mucho lirili, mucho lerele.
91.360;92.800;SPEAKER_00;Es más lerele que lirili, posiblemente.
92.800;95.480;SPEAKER_01;Mucho lorolo y muy poco ping pong.
95.480;96.480;SPEAKER_01;Vale.
96.480;99.840;SPEAKER_01;Esto también es importante destacarlo, se ríe uno de los causantes de que le haces
