start_sec;end_sec;speaker;text
0.000;8.400;SPEAKER_01;Escándalo en este vídeo, escándalo es lo que os vamos a contar porque hoy os vamos a hablar de amaños, de gánsters, de mafias, de engaños...
8.400;14.400;SPEAKER_01;Los tres grandes escándalos de partidos amañados que ha visto nunca el fútbol inglés.
18.000;21.400;SPEAKER_01;Oye, cada vez que escucho la palabra escándalo nos apetece cantarla...
23.400;26.200;SPEAKER_01;Esto queda grabado y empezamos así el vídeo, de hecho.
26.600;27.600;SPEAKER_01;¿Ha quedado grabado, no?
27.600;41.600;SPEAKER_00;Sí, sí, espero que se haya escuchado como en un vídeo que queremos ponernos serios y queremos denunciar a mafias, a gánsters y a criminales, Jesús nos rompe todo el mood bailando y cantando escándalo.
41.600;42.600;SPEAKER_00;Sí, en el fondo están todos muertos.
42.600;43.600;SPEAKER_00;Sí, sabe, perdona.
43.600;44.600;SPEAKER_00;No hay nada que denunciar.
44.600;45.600;SPEAKER_00;¡Pablo, vamos a hablar de escándalos!
45.600;52.600;SPEAKER_00;El de los últimos alguno queda vivo pero bueno, ya poco le queda y no creo que llegue a ver este vídeo.
53.000;62.000;SPEAKER_00;Para que ubique un poco a la gente, hace una semana dijimos, oye, ¿estaría bien hacer un vídeo de los amaños o partidos que la gente piensa que han sido amañados en historia del fútbol inglés?
62.000;63.000;SPEAKER_00;Y me puse a ello.
63.000;73.000;SPEAKER_00;Encontré seis, siete historias que son bastante buenas pero como todas tienen cosas que contar y son interesantes, en este vídeo vamos a traer las tres mejores o las tres más importantes.
73.400;87.400;SPEAKER_00;Si a la gente le gusta, deja un like, hypea el vídeo, pone un comentario, consiguen que YouTube nos metan tendencias, pues volveremos en una semana, dos, tres o cuando sea con las otras historias que también son espectaculares y sobre todo muchas, mucho más actuales.
87.400;89.400;SPEAKER_00;Pero he cogido las tres que más tiempo ha pasado.
89.400;92.400;SPEAKER_01;He cumplido un sueño, he matado a Jesús con mi pistola imaginaria.
92.400;93.400;SPEAKER_00;Ojalá yo, ¿eh?
93.800;104.800;SPEAKER_01;Vamos a empezar con el primero de los grandes escándalos que hemos repasado en este vídeo y Pablo, nos marchamos a inicios del siglo XX al escándalo de 1905.
104.800;113.800;SPEAKER_01;Tú que estás al otro lado, escucha bien porque este amaño fue el que hizo que el Manchester United adelantase al Manchester City.
113.800;115.800;SPEAKER_01;¡Escándalo, escándalo!
