start_sec;end_sec;speaker;text
0.000;6.840;SPEAKER_01;Tengo una gran noticia que darte, amigo que has pulsado en este vídeo, que le has dado a clic y has dicho a ver que me cuenta esta gente.
6.840;13.840;SPEAKER_01;Te voy a dar motivos por los que los recién ascendidos de la Premier League se van a salvar. ¡Vamos!
18.200;24.920;SPEAKER_01;¡A primera hoy! ¡A primera hoy!
24.920;28.480;SPEAKER_01;Eh, ya. Calma. Porque todavía había que haber mucha temporada.
28.480;32.680;SPEAKER_01;Pero amigos, es el resumen del vídeo. A primera porque se van a mantener en primera.
32.680;39.200;SPEAKER_00;¡A primera es cuando asciendes! Claro, claro, claro. En este caso es a primera que se quedan en primera.
39.200;41.280;SPEAKER_00;En primera, ¿no? Tendría que ser. Habría que repetirlo.
41.280;45.840;SPEAKER_01;¡A primera! ¡A primera! Pero qué bajón de cántico, ¿no?
45.840;51.680;SPEAKER_01;¡A primera! ¡Celebrad donde ya estás! Es el cántico más mediocre de la historia.
51.760;55.680;SPEAKER_01;Amigos, tenemos algo bueno que deciros.
55.680;65.760;SPEAKER_01;Hemos montado un vídeo en el que hemos encontrado razones para pensar que los tres recién ascendidos, después de muchos años haciendo el ridículo, se van a mantener en la primera division.
65.760;68.920;SPEAKER_01;¡Otro aplauso! ¡Otro aplauso! ¡Otro aplauso!
68.920;71.600;SPEAKER_01;¡Aviso! Hemos encontrado razones. Ya con eso...
71.600;78.160;SPEAKER_01;Hay razones soportadas por los hechos. Hay otras que tienen que ver con la fe.
78.160;82.080;SPEAKER_01;Así que aquí hay ciencia y también hay religión. Está todo en este vídeo.
82.080;91.360;SPEAKER_01;Todo cubierto. Pero chozas, tengo que decirte que tras siete jornadas, la temporada pasada, los recién ascendidos sumaban la friolera de once puntos.
91.360;101.120;SPEAKER_01;Increíble. Bien, pues entre todos, esta temporada, tras los mismos partidos y con esos músculos que Dios le ha dado a Dan Ballard, suman veintitrés puntazos.
101.120;102.480;SPEAKER_01;¡Vaya voz! Dime que no es para creer.
102.480;104.160;SPEAKER_01;¡Vaya voz! Dime que no es para creer.
104.160;105.560;SPEAKER_01;De hecho, once tiene solo el Sunderland.
105.560;109.320;SPEAKER_01;¡Qué bonito! Once el Sunderland, ocho el Leeds y cuatro el Berlín.
109.320;114.240;SPEAKER_01;Bueno, pero también te digo una cosa. Es el único de los tres que está en descenso y a un punto de la salvación.
114.240;118.320;SPEAKER_01;Así que he decidido ponerme absolutamente optimista.
118.320;121.800;SPEAKER_01;Quien venga en este vídeo a darme razones por las que no van a bajar, yo sé.
121.800;123.360;SPEAKER_01;Ahora la gente me va a venir.
123.360;125.600;SPEAKER_01;¿Y es que en tus predicciones pusiste a los tres y tal?
125.600;127.800;SPEAKER_01;Que se muera el Nacho que hizo las predicciones.
127.800;131.360;SPEAKER_01;Que se muera, que le peguen un tiro. No, por la calle no me pedís un tiro, pero que se muera.
131.360;134.960;SPEAKER_01;Porque hoy os vamos a dar razones por las que esta gente se puede quedar en la Premier League.
134.960;141.120;SPEAKER_01;Y la primera de todas las chozas es que los tres están practicando el fútbol de toda la vida de Dios.
141.120;146.560;SPEAKER_00;Menos mal, por fin, gracias a Dios nos han hecho caso y se han dejado de chorradas.
146.560;151.120;SPEAKER_00;Los tres están entre los cinco equipos con menos posesión de la Premier League.
151.120;154.200;SPEAKER_00;¡Bravo! Enhorabuena, lo habéis entendido todo, tío.
154.200;156.600;SPEAKER_00;Lo habéis entendido todo.
156.600;160.840;SPEAKER_00;El Barley es el que menos con un 35,4%.
160.840;163.040;SPEAKER_00;35% acosonante.
163.080;167.360;SPEAKER_00;El Sunderland un 44,1% y el Leeds un 45,3%.
167.360;170.880;SPEAKER_00;A ver, es verdad que hay diferencias.
170.880;177.640;SPEAKER_00;El Barley es algo más tradicional y el Sunderland y el Leeds están tratando bastante mejor el balón que el Barley.
177.640;182.640;SPEAKER_00;Y tienen altura, juego aéreo, son equipos bastante más físicos.
182.640;186.840;SPEAKER_00;Hay diferencias entre ellos, pero oye, come back to the basics.
186.840;190.560;SPEAKER_00;Fantástico, joven Macho. Qué inglés de Cambridge que tienes.
190.560;191.600;SPEAKER_01;La madre que me parió.
191.640;193.120;SPEAKER_00;Claro, es que volviendo a los básicos.
193.120;195.600;SPEAKER_01;Estamos volviendo a los básicos y eso nos hace muy feliz.
195.600;201.080;SPEAKER_01;Club por club, si hacemos el repaso vais a ver que al menos son equipos que, como recién ascendidos,
201.080;204.400;SPEAKER_01;están cumpliendo lo primero que le pedimos a un club de estos.
204.400;208.720;SPEAKER_01;Y empezamos por el que está volviendo a lo que queríamos ver, que es el Barley.
208.720;215.880;SPEAKER_01;Nuestros amigos, los Clarets, ahí lo tenemos, por fin, ya era hora de volver a decir que con el Barley se acabó el Vogue Nonsense.
215.880;217.920;SPEAKER_01;Ojo, que igual le volvemos a ver en Premier.
218.720;221.840;SPEAKER_01;Este paso no queda mucho para ver a que es mi colega de Sondage.
221.840;223.520;SPEAKER_01;Pero en Europa con el Forrest.
223.520;225.520;SPEAKER_01;¿Te gustaría en el Forrest, Jesús?
225.520;226.520;SPEAKER_01;Ni de coña.
226.520;227.920;SPEAKER_01;Ni de coña, dice.
228.800;235.320;SPEAKER_01;Amigos, en su última temporada en la Premier League el Barley tuvo un 46,9% de posesión media.
235.320;237.720;SPEAKER_01;Se ha acabado ya el Barley modernito, ¿vale?
237.720;240.720;SPEAKER_01;Ya se ha acabado esa other Vogue Nonsense.
240.720;242.320;SPEAKER_01;Ahora defender y punto.
242.320;245.520;SPEAKER_01;Y nos estamos acercando a ese fútbol Brexit.
245.520;246.720;SPEAKER_01;Pero, chozas.
247.720;250.320;SPEAKER_01;Quiero decirte que todavía no es momento de lanzar las campanas al vuelo.
250.320;253.920;SPEAKER_01;Porque te quiero decir que aún no hemos llegado al esplendor del Barley.
253.920;259.720;SPEAKER_01;Y tú dirás, hostia, el esplendor del Barley fue sin duda alguna con Sondage, aquel fútbol tan directo, inteligente.
259.720;261.120;SPEAKER_01;Chris Wood, Ashley Barnes.
261.120;262.520;SPEAKER_01;No, amigos, no.
262.520;263.920;SPEAKER_01;Hay que irse a 2008.
263.920;264.520;SPEAKER_01;Hostia.
264.520;267.520;SPEAKER_01;Por alguna razón hubo la crisis que hubo en 2008.
267.520;274.120;SPEAKER_01;Pero es que en 2008 es cuando el Barley era el equipo absolutamente reconocible como Club Brexit.
274.120;275.320;SPEAKER_01;Y te voy a contar una historia.
275.320;278.520;SPEAKER_01;En 2008 se enfrentaban al Ipswich Sound.
278.520;282.320;SPEAKER_01;Y decidieron en el Barley hacer un espectáculo prepartido.
282.320;287.520;SPEAKER_01;Un espectáculo prepartido que entre otras cosas implicaba la caída desde los cielos de un paracaidista.
287.520;291.920;SPEAKER_01;El paracaidista, al aterrizar en Turf Moor, acabó esta guisa.
293.520;303.920;SPEAKER_01;Efectivamente, amigos, este tipazo que agarró el paracaidas acabó atascado con el techo de una de las tribunas.
303.920;306.920;SPEAKER_01;Y el partido sufrió una hora de retraso.
306.920;307.920;SPEAKER_01;Están gallumbos, ¿no?
307.920;309.120;SPEAKER_01;Una hora de retraso.
309.120;310.920;SPEAKER_01;Bueno, es que el tío iba con la equipación del Barley.
310.920;311.320;SPEAKER_01;Hostia.
311.320;312.120;SPEAKER_01;¿Qué te parece?
312.120;312.720;SPEAKER_01;Hostia.
312.720;315.120;SPEAKER_01;La miradita hacia abajo de Macho Laqueliao.
315.120;315.720;SPEAKER_01;Laqueliao.
315.720;316.320;SPEAKER_01;Laqueliao.
316.320;317.520;SPEAKER_01;No es la primera vez que veo esto.
317.520;319.120;SPEAKER_01;Y si te cuento que una vez que se...
319.120;320.520;SPEAKER_01;Bueno, no se ha ranudo el partido.
320.520;323.320;SPEAKER_01;Empezó el partido, acabaron perdiendo 0-3 con un gol en propia.
323.320;325.520;SPEAKER_01;El Ipswich se fue con los tres puntos, con tres goles.
325.520;332.920;SPEAKER_01;Y el Barley, en una reunión dos días después, anuló, suspendió cualquier otra celebración prepartido
332.920;335.520;SPEAKER_01;o espectáculo prepartido para evitar ridículos así.
335.520;337.320;SPEAKER_00;Hombre, está bien, está bien pesado, ¿eh?
337.320;337.920;SPEAKER_00;Está bien pesado.
337.920;338.720;SPEAKER_00;¿Por qué os cuento esto?
338.720;339.320;SPEAKER_00;Porque...
339.320;339.920;SPEAKER_00;Qué superstición.
339.920;341.920;SPEAKER_01;Ya es hora de volver al Barley de toda la vida.
341.920;344.120;SPEAKER_01;Y no al Barley del Big Data y de Vincent Company.
344.120;344.920;SPEAKER_01;No lo queremos más.
344.920;347.120;SPEAKER_01;El equipo Brexit antes del Brexit, macho.
347.120;349.720;SPEAKER_00;Vamos ahora con el Sunderland.
349.720;357.320;SPEAKER_00;Los Black Cats que, bueno, vamos a ver el mejor ejemplo de que se está volviendo al fútbol como Dios manda.
