start_sec;end_sec;speaker;text
0.000;4.320;SPEAKER_00;Hoy os traemos un nuevo tier list y en este caso vamos a ir posición por posición.
4.320;6.920;SPEAKER_00;El turno esta vez es los porteros de la primera.
10.680;16.720;SPEAKER_00;Pues nada amigos, vamos con un nuevo tier list y esta vez vamos a atender las peticiones de las gentes
16.720;25.760;SPEAKER_00;porque nos debemos al pueblo, nos debemos a nuestros compatriotas del internet.
26.240;32.640;SPEAKER_00;Y vamos a hacer una tier list para ordenar todos los porteros del actuar en Premier League 24-25.
32.640;38.240;SPEAKER_01;Es muy fácil, vamos a ordenar 36, todos los titulares y algunos que consideramos que son importantes,
38.240;43.800;SPEAKER_01;por ejemplo el caso de Trafford que no es titular pero lo tenemos que incluir y los ha ordenado Chozas.
43.800;47.840;SPEAKER_01;Nadie se muy bien por qué, por el porcentaje de paradas que llevan en esta Premier League.
47.840;52.920;SPEAKER_01;Porque, bueno, no es un dato que nos guste mucho dar pero Chozas lo ha querido ordenar así y se acabó.
52.920;53.840;SPEAKER_01;Bueno pues métele Jesús.
53.840;63.200;SPEAKER_01;Métele a fuego y el primero en porcentajes con un 100% de paradas en la Premier League es Sene Lámenz.
63.200;68.320;SPEAKER_01;Ahí veis las categorías que la mejor es top mundial, la segunda es gran portero, la tercera es clase media,
68.320;71.640;SPEAKER_01;la cuarta mal portero y la última es no para un taxi.
71.640;75.480;SPEAKER_01;Sene Lámenz no le hemos visto lo suficiente casi como para...
75.480;80.720;SPEAKER_00;Había grandes estadísticas sobre él porque leí que era de las 10 primeras ligas.
80.720;82.920;SPEAKER_00;El que más paradas había hecho.
82.960;86.160;SPEAKER_00;Le hemos visto un partido y ese partido estuvo francamente bien.
86.160;90.160;SPEAKER_00;Pero eso quiere decir que no lo podemos poner en ninguna de las dos últimas.
90.160;91.720;SPEAKER_00;Pero hombre, tampoco hemos visto más.
91.720;95.720;SPEAKER_00;Entonces, encuadrándolo en este momento del vídeo, clase media, ¿no?
95.720;96.520;SPEAKER_01;Pues que sí, sí.
96.520;97.240;SPEAKER_01;Va a solucionar.
97.240;98.040;SPEAKER_01;No puedo hacer nada más.
98.040;101.520;SPEAKER_01;Llevo un partido y ya lleva 0,9 pos-expected goals positivos.
101.520;105.480;SPEAKER_01;Es decir, ha evitado un gol según lo que nos dice la estadística lanzada.
105.480;112.000;SPEAKER_00;Es tal la situación en la portería Manchester United que si es un portero que no te quita más de lo que te da,
112.120;113.200;SPEAKER_00;ya te vale.
113.200;114.200;SPEAKER_00;Muy bien.
114.200;117.800;SPEAKER_01;Y te quita más de lo que te da David Raya.
117.800;123.280;SPEAKER_01;Que bueno, David Raya, insisto, me parece un infravaloradísimo,
123.280;124.600;SPEAKER_01;sobre todo en España.
124.600;125.160;SPEAKER_01;¡Arriba!
125.160;128.160;SPEAKER_01;Y es un top mundial sin ningún tipo de duda.
128.160;129.240;SPEAKER_01;A estas alturas ya.
129.240;131.640;SPEAKER_00;Es el mejor portero de la Premier League pasada.
131.640;134.080;SPEAKER_00;Y mira que es difícil además jugar sin medio cerebro.
134.080;135.280;SPEAKER_00;Pues mira, lo hace.
135.280;136.160;SPEAKER_00;Pues lo hace.
136.160;136.800;SPEAKER_00;A ver.
137.040;144.400;SPEAKER_00;Es que David Raya además ni siquiera se corresponde su habilidad para los centros laterales y para el juego aéreo
144.400;147.120;SPEAKER_00;con la altura que tiene.
147.120;148.560;SPEAKER_00;No es un portero altísimo.
148.560;150.600;SPEAKER_00;Y no me parece que sea un mal portero por arriba.
150.600;151.600;SPEAKER_00;De hecho, me parece un mal portero.
151.600;155.120;SPEAKER_00;Es valiente, sabe proteger bien su espacio aéreo, digamos.
155.120;156.960;SPEAKER_00;Y luego es de los más ágiles.
156.960;160.600;SPEAKER_00;Siempre una cosa que decimos mucho David Raya, que me gusta destacar de él,
160.600;163.520;SPEAKER_00;su velocidad de reacción para levantarse del suelo.
163.520;166.640;SPEAKER_00;Por eso es un portero que hace tantas buenas segundas paradas.
166.800;168.800;SPEAKER_00;Porque es rapidísimo y muy ágil.
168.800;170.800;SPEAKER_00;Y el juego de pies además es extraordinario.
170.800;171.360;SPEAKER_00;Y de élite.
171.360;173.360;SPEAKER_00;Bueno, ya es un portero completísimo.
173.360;178.080;SPEAKER_01;Lo buen parador que es, lo bien que va por arriba y lo buen juego de pies que tiene,
