start_sec;end_sec;speaker;text
0.000;9.840;SPEAKER_00;Hoy en Los Ángeles de Javi, Sesney.
9.840;12.040;SPEAKER_??;Muy bien.
12.040;27.040;SPEAKER_01;Te podría dar hasta el vapor.
27.040;32.040;SPEAKER_01;Joder, las cosas hay que hacer para innovar.
32.040;36.040;SPEAKER_01;Yo he de decir, Oliart.
36.040;37.040;SPEAKER_01;¿Qué tal?
37.040;38.040;SPEAKER_01;Javier Torres.
38.040;39.040;SPEAKER_01;Quifuentes.
39.040;41.040;SPEAKER_01;De todos los santos.
41.040;44.040;SPEAKER_01;No, no me ha pedido así.
44.040;48.040;SPEAKER_01;De hecho es curioso, porque mi tercer ha pedido Torres también.
48.040;49.040;SPEAKER_01;¿En serio?
49.040;51.040;SPEAKER_01;Sí, yo creo que había Endogamia en mi familia.
51.040;53.040;SPEAKER_01;¿Torres, Quifuentes, Torres?
53.040;56.040;SPEAKER_01;Sí, de Castro.
56.040;58.040;SPEAKER_01;¿Cuál es tu tercer apellido?
58.040;61.040;SPEAKER_00;Es el segundo del padre, ¿no?
61.040;65.040;SPEAKER_00;Oliart de Pladevay García.
65.040;66.040;SPEAKER_00;Pladevay García.
66.040;67.040;SPEAKER_00;Pladevay.
67.040;68.040;SPEAKER_01;Pladevay.
68.040;70.040;SPEAKER_01;Te imaginas que te llamas es Ili Pladevay.
70.040;73.040;SPEAKER_01;Igual tu carrera había sido completamente distinta.
73.040;74.040;SPEAKER_01;No sé si me has fueron peor.
74.040;80.040;SPEAKER_01;Los apellidos te pueden condenar o aupar.
80.040;83.040;SPEAKER_00;Me viene fenomenal, no sé si lo has hecho apuesta o no.
83.040;86.040;SPEAKER_00;Precisamente empezamos hablando del apellido de Chesney.
86.040;87.040;SPEAKER_00;Que es Chesney.
87.040;88.040;SPEAKER_00;¿Cómo es?
88.040;89.040;SPEAKER_00;Claro, ni idea.
89.040;91.040;SPEAKER_00;Yo llamo Chesney.
91.040;95.040;SPEAKER_00;En Inglaterra lo pronunciaban y lo escribían Chesney.
95.040;96.040;SPEAKER_00;Chesney.
96.040;97.040;SPEAKER_00;Chesney.
97.040;98.040;SPEAKER_00;Pero...
98.040;100.040;SPEAKER_00;Mi mujer le llama Chely.
100.040;101.040;SPEAKER_01;¿Tu mujer llama...?
101.040;103.040;SPEAKER_01;A Chesney Chely.
103.040;105.040;SPEAKER_00;Lo que me parece es que la conozca.
