start_sec;end_sec;speaker;text
0.000;5.520;SPEAKER_01;¿Te gusta salir del bar y oler a choto?
5.520;11.960;SPEAKER_01;¿Te gusta comer con las manos y que acaben llenas de aceite, de grasa?
11.960;16.600;SPEAKER_01;¿Te gusta poner la música alta en el coche?
16.600;21.920;SPEAKER_01;¿Te gusta ir contra las normas? ¿Te ponen una multa y dices
21.920;23.880;SPEAKER_01;la pago con honor?
23.880;26.160;SPEAKER_01;¿Esto es una medalla para mí?
26.160;28.600;SPEAKER_01;Pues este es tu vídeo porque amigo
28.760;31.240;SPEAKER_01;Sean Dyche ha vuelto a la Premiere
39.680;42.120;SPEAKER_01;Me he debatido, Pablo
42.120;46.000;SPEAKER_01;Me he debatido si hacer este vídeo sin camiseta
46.000;47.200;SPEAKER_01;¿Sabes por qué?
47.200;49.560;SPEAKER_01;Porque no me he depilado
49.560;53.120;SPEAKER_00;Tú te has debatido, yo te comunico que estoy haciendo este vídeo sin pantalones
53.120;53.920;SPEAKER_00;No, no, mira
53.920;55.080;SPEAKER_00;A ver, tienes que pillar
55.080;56.200;SPEAKER_00;No, no, mira, mira
56.200;57.120;SPEAKER_00;¡Hacemos dos!
57.120;57.800;SPEAKER_00;¿Y eso?
57.800;58.280;SPEAKER_00;¡Chocad!
59.240;62.440;SPEAKER_00;Si la gente tiene hambre aquí tiene merienda por parte de Nacho
62.440;63.760;SPEAKER_00;¡Hombre, caballero!
63.760;66.280;SPEAKER_01;Ya sabéis de todas maneras que la 9mm mata igual
66.280;67.760;SPEAKER_00;¿Cuántos vídeos se graba contigo?
67.760;69.160;SPEAKER_00;Bueno, 300
69.160;73.920;SPEAKER_00;Creo que has sido tu mejor intro
73.920;75.920;SPEAKER_00;Te doy la enhorabuena
75.920;76.880;SPEAKER_00;Además no me la esperaba
76.880;78.760;SPEAKER_00;Por eso se me ha escuchado la risa hasta que me silencia
78.760;81.080;SPEAKER_01;A los grandes autores
81.080;83.160;SPEAKER_01;Lo que pasa es que la obra en sí
83.160;85.560;SPEAKER_01;el mérito nada tiene el autor, la inspiración
85.640;88.560;SPEAKER_01;Y mi inspiración no es otra que el regreso de Sean Dyche
88.560;89.360;SPEAKER_01;ya no al fútbol
89.360;90.200;SPEAKER_01;¿Qué digo al fútbol?
90.200;91.120;SPEAKER_01;A nuestras vidas
91.120;92.760;SPEAKER_01;Un hombre que jamás se debió oír
92.760;96.960;SPEAKER_01;y que ahora retorna como retornó el rey en la Tierra Media
96.960;99.320;SPEAKER_00;Literalmente a la luz de...
99.320;99.640;SPEAKER_00;¿Cómo es?
99.640;100.840;SPEAKER_00;Al quinto día la luz del...
100.840;101.480;SPEAKER_00;No
101.480;103.240;SPEAKER_00;Al quinto día al Alba Miraleste
103.240;103.920;SPEAKER_00;Era algo así
103.920;105.120;SPEAKER_01;Lo estoy viendo llegar
105.120;106.200;SPEAKER_00;con los rojirrim
106.200;108.360;SPEAKER_00;Mientras sube el sol aparece ahí
108.360;110.640;SPEAKER_01;con la espada blandiéndola ahí
110.640;112.400;SPEAKER_01;¡Vamos por la libertad!
112.400;113.960;SPEAKER_00;Está Gandalf y los rojirrim
113.960;115.320;SPEAKER_01;Se está haciendo mezcla de pelitos, da igual
115.720;116.600;SPEAKER_00;Chris Wood
116.600;117.960;SPEAKER_00;Tenemos un poquito...
117.960;118.920;SPEAKER_00;Sí, Cork
118.920;119.680;SPEAKER_00;Cork también está por ahí
119.680;120.760;SPEAKER_01;Viene también Tarkovsky
120.760;121.240;SPEAKER_01;Chris Wood
121.240;122.320;SPEAKER_01;¿Chris Wood son los árboles?
122.320;122.760;SPEAKER_01;Claro
122.760;123.880;SPEAKER_01;¿Qué les ayudaron?
123.880;124.920;SPEAKER_00;Mucho meme
124.920;126.920;SPEAKER_00;Luego lo veremos de lo feliz que está Chris Wood
126.920;128.720;SPEAKER_00;de volver a tener a Sean Dyche
128.720;129.880;SPEAKER_00;Lo primero que hay que decir
129.880;132.080;SPEAKER_01;Sí, no le deseamos ningún mal a Anshfost y Koglu
132.080;132.800;SPEAKER_01;Me cae muy bien
132.800;136.000;SPEAKER_01;De hecho, te voy a decirte, Pablo, que esto ya está escrito en el cielo
136.000;138.320;SPEAKER_01;El Celtic va a echar a Brendan Rogers en algún momento
138.320;139.400;SPEAKER_01;porque por si no lo sabéis
139.400;142.560;SPEAKER_01;ahora mismo liberan la Premiership escocesa
142.560;143.880;SPEAKER_01;Los Harts
143.880;144.760;SPEAKER_01;¿Cómo?
144.800;145.360;SPEAKER_01;Pues sí, sí
145.360;150.040;SPEAKER_01;Ahora mismo Hart of Midlothian es el líder de la Premiership
150.040;151.240;SPEAKER_01;Entonces van a echar a Brendan Rogers
151.240;152.160;SPEAKER_01;¡Imagínate de la Premier League!
152.160;153.680;SPEAKER_01;Bueno, esto ya sería
153.680;156.360;SPEAKER_01;Echan a Brendan Rogers y fichan a Anshfost y Koglu
156.360;159.400;SPEAKER_01;Y Anshfost que se gane siete ligas seguidas en el Celtic
159.400;162.120;SPEAKER_01;Pero ahora mismo nos alegramos de que llegue Dyche
162.120;163.320;SPEAKER_01;¿Qué ha pasado con Anshfost y Koglu?
163.320;164.160;SPEAKER_01;Pues ya lo sabéis todos
164.160;166.200;SPEAKER_01;Que se ha ido tras 39 días
166.200;169.000;SPEAKER_00;8 partidos, 6 derrotas y ni una sola victoria
169.000;172.080;SPEAKER_00;Es el segundo entrenador que en menos tiempo ha estado en su puesto
172.080;173.320;SPEAKER_00;como veis en la foto
173.360;175.720;SPEAKER_00;Aquí hay que hacer la creación de que Sam Allardy se contrataron
175.720;178.160;SPEAKER_00;para los últimos cuatro partidos de temporada
178.160;180.720;SPEAKER_00;Así que puede que sea el entrenador más breve
180.720;182.200;SPEAKER_00;en la historia de la Premier League
182.200;183.040;SPEAKER_01;Depende de cómo te lo tome
183.040;184.240;SPEAKER_00;Claro, depende de cómo quieras verlo
184.240;185.120;SPEAKER_01;Técnicamente
185.120;187.880;SPEAKER_00;El Forrest está en puestos de descenso con cinco puntos
187.880;189.320;SPEAKER_00;y he hecho un cálculo rápido
189.320;190.880;SPEAKER_00;Llevo una victoria a tres entrenadores
190.880;192.920;SPEAKER_00;Por lo tanto, lleva ya el triple de entrenadores
192.920;194.800;SPEAKER_00;que victorias esta temporada
194.800;197.480;SPEAKER_01;Cocas cosas me aterran más que una frase tuya
197.480;198.920;SPEAKER_01;empiece por he hecho un cálculo rápido
198.920;200.120;SPEAKER_00;Hombre, pero esto es fácil
200.120;200.960;SPEAKER_01;Ya, pero...
200.960;202.440;SPEAKER_00;Tres entrenadores, una victoria
202.480;203.760;SPEAKER_01;En la media inglesa un cálculo rápido
203.760;204.840;SPEAKER_01;nunca se debe dar...
204.840;206.040;SPEAKER_01;o sea, es rápido, no fácil
206.040;207.640;SPEAKER_01;Son dos conceptos muy diferentes
207.640;210.360;SPEAKER_00;Y bueno, el ABBC ha hecho un calendario
210.360;211.520;SPEAKER_00;que le hemos robado un poquito
211.520;213.280;SPEAKER_00;mencionándolo que ilustra un poco
213.280;216.320;SPEAKER_00;cómo han sido los 39 días de auténtica histeria
216.320;218.000;SPEAKER_00;en el Nottingham Forrest
218.000;220.440;SPEAKER_00;Ahí veis el día que se cambió en uno por Poste Kogelou
220.440;222.240;SPEAKER_00;Lo siguiente que veis son muchos partidos
222.240;223.920;SPEAKER_00;y ninguna victoria
223.920;226.560;SPEAKER_00;Ahí veis cómo un sábado echan a Poste Kogelou
226.560;228.840;SPEAKER_00;y un martes pues Sondage es contratado
228.840;229.920;SPEAKER_01;Madre mía de mi vida
229.920;230.840;SPEAKER_01;Además me gusta la variedad
230.880;232.160;SPEAKER_01;Lo mismo empatas contra el Betis
232.160;232.760;SPEAKER_01;que contra el Berlick
232.760;233.880;SPEAKER_01;que perdes contra el Michelin
233.880;234.880;SPEAKER_00;Te da igual
234.880;236.160;SPEAKER_01;En el caso de jugar, manda el fútbol
236.160;238.840;SPEAKER_00;Agradezco que si vas a hacer algo así
238.840;241.560;SPEAKER_00;si vas a cargarte una temporada ilusionante
241.560;242.080;SPEAKER_00;para tu equipo
242.080;244.000;SPEAKER_00;lo hagas generando un auténtico show
244.000;246.240;SPEAKER_00;Porque la última hora de Poste Kogelou
246.240;247.360;SPEAKER_00;en el Nottingham Forrest
247.360;249.080;SPEAKER_00;es algo que no vamos a olvidar jamás
249.080;251.200;SPEAKER_00;y que queremos aquí dejar unas fotos
251.200;253.480;SPEAKER_00;y aplaudir, por cierto, al realizador de la Premier League
253.480;255.480;SPEAKER_00;porque es todo un nivel excelso
255.480;258.000;SPEAKER_00;La primera foto es clara, es Marinaquís
258.000;259.600;SPEAKER_00;Bueno, pues donde tiene que estar
259.640;260.600;SPEAKER_01;1.53
260.600;263.720;SPEAKER_00;1.53 en su puesto cabreado como una mona
263.720;266.320;SPEAKER_00;porque iba perdiendo 0-2 ya en Nottingham Forrest
266.320;268.080;SPEAKER_00;La siguiente foto se ve además porque...
268.080;269.280;SPEAKER_01;Detrás está Cimo Puc
269.280;270.280;SPEAKER_01;Es verdad
270.280;272.240;SPEAKER_00;El expresidente de la Unión Alemziana
272.240;273.000;SPEAKER_01;El expresidente
273.000;274.800;SPEAKER_00;Sí, tiene unos días liados, Cimo Puc
274.800;276.440;SPEAKER_00;Tiene unos días liados
276.440;277.880;SPEAKER_00;Aquí veis el cabreo
277.880;279.920;SPEAKER_00;porque no entendía por qué un calvo italiano
279.920;282.840;SPEAKER_00;le estaba celebrando goles en su cara, en su casa
282.840;286.120;SPEAKER_01;Es que, de verdad, puede que la perspectiva nos traicione un poco
286.120;288.560;SPEAKER_01;pero aquí de verdad parece que está mirando directamente a Manezca
288.560;289.240;SPEAKER_01;Es increíble
289.280;291.080;SPEAKER_01;¿Alguien puede echar este calvo en mi palco?
291.080;294.400;SPEAKER_00;Porque además, ya sabes que Postegolo es un tío bastante territorial
294.400;296.000;SPEAKER_00;que pregunten en los puertos de Atenas
296.000;296.640;SPEAKER_00;Entonces él...
296.640;298.840;SPEAKER_01;Sí, él mea por las estrellas pero a modo animal
298.840;299.760;SPEAKER_01;para marcar territorio
299.760;302.360;SPEAKER_00;Que en su casa le vengan a reírse un calvo
302.360;303.200;SPEAKER_00;No, no, no
303.200;306.600;SPEAKER_00;La siguiente foto ya sabéis que es absoluta historia ya de la Premier League
306.600;308.560;SPEAKER_00;que es el palco del Nottingham Forrest
308.560;310.360;SPEAKER_00;Directamente vacío, no hay más
310.360;311.520;SPEAKER_00;1.66
311.520;314.800;SPEAKER_00;Aquí ya no hay absolutamente nada
314.800;318.320;SPEAKER_00;Y bueno, y lo siguiente es también absoluto puritito cine
318.360;320.760;SPEAKER_00;que es que el Nottingham Forrest 20 minutos después del partido
320.760;323.560;SPEAKER_00;puso un tweet comunicando que ya Manche Postegolo
323.560;326.040;SPEAKER_00;no iba a ser el entrenador de el Nottingham Forrest
326.040;329.840;SPEAKER_00;y tiene exactamente 39 palabras como las hemos contado
329.840;334.000;SPEAKER_00;que son el mismo número de días que estuvo Postegolo en el cargo del Forrest
334.000;334.480;SPEAKER_00;Yo aquí...
334.480;338.280;SPEAKER_01;Hablo de tú porque yo estoy buscando significado del número...
338.280;339.000;SPEAKER_01;¿Cuánto era?
339.000;339.680;SPEAKER_00;39
339.680;341.880;SPEAKER_01;No, no, con caracteres
341.880;342.680;SPEAKER_01;A ver
342.680;343.600;SPEAKER_00;Todos los caracteres
343.600;344.440;SPEAKER_00;A ver si me dice algo
344.440;344.920;SPEAKER_00;Chauza
344.920;345.640;SPEAKER_00;243
345.640;347.280;SPEAKER_01;243
347.280;350.520;SPEAKER_01;Significado del número 243
350.520;352.240;SPEAKER_01;El número...
352.240;353.560;SPEAKER_00;A ver
353.560;356.240;SPEAKER_01;A ver, ¿por qué esto puede sonar increíble?
356.240;357.800;SPEAKER_01;Esto es la IA de Google, ¿eh?
357.800;359.320;SPEAKER_01;Lo primero que me ha salido
359.320;362.440;SPEAKER_01;El número 243 tiene múltiples significados
362.440;364.120;SPEAKER_01;Bueno, nada tal
364.120;366.560;SPEAKER_01;Tiene un significado personal relacionado con la frase
366.560;367.680;SPEAKER_01;Te amamos
367.680;370.560;SPEAKER_01;Ya que tiene tres letras por cada dígito
370.560;374.440;SPEAKER_01;Pero cuidado, porque en el código penal de California
374.480;381.200;SPEAKER_01;El artículo 243D se refiere a la agresión agravada que causa lesiones corporales graves
381.200;385.480;SPEAKER_01;Anx Postegoglu, yo no estaría tan seguro en mi casa sin una alarma
385.480;388.040;SPEAKER_01;Una cosa, ¿alguien ha vuelto a ver a Postegoglu después de que le...
388.040;389.640;SPEAKER_00;Claro, ¿alguien ha vuelto a ver?
389.640;392.600;SPEAKER_01;Nadie ha vuelto a ver a Postegoglu que a lo mejor está en el fondo de un río
392.600;397.000;SPEAKER_00;Por cierto, estamos convencidos de que el jefe de prensa del Forrest
397.000;400.160;SPEAKER_00;avisó al periodista de la BBC que había hecho lo de las 39 palabras
400.160;401.320;SPEAKER_00;O sea, nadie...
