start_sec;end_sec;speaker;text
0.000;3.360;SPEAKER_01;Hoy os traemos la guerra de los mundos, la guerra de dos generaciones.
3.360;8.400;SPEAKER_01;Hoy el once de los jugadores más jóvenes de la Premier League se enfrenta al once de los más viejos,
8.400;11.120;SPEAKER_01;que no abuelos, los más viejos, los más veteranos, los más sabios.
15.120;21.160;SPEAKER_01;Yo ya estoy en ese bando, chozas, en el bando de los treintañeros y por tanto es el bando que defiendo.
21.160;28.920;SPEAKER_01;No son viejos, son sabios, son expertos, experimentados, pero el fútbol no perdona.
29.680;33.160;SPEAKER_01;El fútbol macho, tienes 33 años y ya te hacen sentir que eres un...
33.160;36.000;SPEAKER_01;Hacer este guión me ha pegado una hostia de realidad.
36.000;37.640;SPEAKER_00;Terrible, terrible.
37.640;44.560;SPEAKER_00;O sea, tengo 28 años, me siento en la flor de la vida y este guión me ha hecho sentirme a un paso de la tumba.
44.560;54.040;SPEAKER_01;Es que de hecho he visto un vídeo de la NBA preguntándole a varios de los más jóvenes,
54.520;58.840;SPEAKER_01;yo qué sé, Gwen Van Yamma, Gilius Alexander, todos estos,
58.840;61.800;SPEAKER_01;qué recuerdos tenían de la NBA de los 90.
61.800;65.720;SPEAKER_01;Y claro, la respuesta de la mayoría es que no había nacido.
65.720;71.280;SPEAKER_01;Y solo podían hablar Kevin Durán, Stephen Curry, gente así.
71.280;73.560;SPEAKER_01;Bueno, es que tú y yo ya los hemos visto en highlights.
73.560;77.480;SPEAKER_01;No, no, yo la NBA de los 90, hostia, en los 2000 tenía cinco años.
77.480;78.000;SPEAKER_01;Claro.
78.000;79.000;SPEAKER_01;Pero...
79.000;81.680;SPEAKER_01;Las hemos visto en highlights, imagina de Gwen Van Yamma.
81.680;83.400;SPEAKER_01;Pero que me digan gente que no había nacido.
84.200;87.120;SPEAKER_01;Pero bueno, el gancho que es realidad, sin duda alguna,
87.120;91.160;SPEAKER_01;sin duda alguna, hasta la fecha ha sido Alejandro Morán
91.160;95.600;SPEAKER_01;diciéndonos que no tiene recuerdo alguno de qué era de la primera Eurocopa de España.
95.600;101.360;SPEAKER_01;No lo digo, porque tú no te acuerdas de una...
101.360;102.560;SPEAKER_00;Bueno, estábamos hablando...
102.560;105.840;SPEAKER_00;Joder, es que no se puede decir, pero...
105.840;106.840;SPEAKER_00;Joder.
108.640;111.040;SPEAKER_01;Pero ahora mismo estamos en el vídeo o no estamos en el vídeo?
111.040;112.800;SPEAKER_00;Estamos en el vídeo.
112.840;114.640;SPEAKER_00;Claro que estamos en el vídeo, pero es que no se puede decir.
114.640;119.000;SPEAKER_00;Me ha asustado porque pensaba que ibas a decir lo que de verdad sucedió.
119.000;122.240;SPEAKER_00;Lo que de verdad sucedió no se puede decir, que fue nuestro mayor golpe de realidad,
122.240;129.080;SPEAKER_00;que fue Alejandro Morán no conoce a una persona que conocemos absolutamente todos,
129.080;131.040;SPEAKER_00;por motivos que no se pueden decir.
131.040;134.480;SPEAKER_01;Madre mía, madre mía, ya sé a quién de quién estás hablando.
134.480;137.000;SPEAKER_00;Claro, claro, pero es que tú has sido mi mayor golpe de realidad
137.000;139.640;SPEAKER_00;y lo hablamos literalmente la semana pasada y has sido como...
139.640;140.640;SPEAKER_00;¿Dónde vas tú, animal?
140.640;142.080;SPEAKER_00;Bueno, la gente no está entendiendo nada.
142.120;147.720;SPEAKER_01;El caso es que Morán no recuerda la Eurocopa de 2008 de España
147.720;150.280;SPEAKER_01;y claro, eso para mí es un golpe, un golpe auténtico,
150.280;153.560;SPEAKER_01;porque considero que todo el mundo que me rodea ha visto el gol de Torres.
153.560;155.520;SPEAKER_01;Y no, Morán no tiene sus recuerdos.
155.520;157.440;SPEAKER_01;Ni a mi estazo no ha visto nada.
157.440;159.240;SPEAKER_01;Ni mucha gente que va a salir en este vídeo,
159.240;163.240;SPEAKER_01;porque hoy vamos a enfrentar al once de los futbolistas más jóvenes de la Premier League
163.240;166.240;SPEAKER_01;contra el once de los futbolistas más veteranos.
166.240;171.040;SPEAKER_01;Y cuidado, cuidado, porque una vez que os presentemos los dos once's,
171.080;173.400;SPEAKER_01;le hemos pedido a la inteligencia artificial
173.400;176.080;SPEAKER_01;que nos diga cómo sería ese partido, cómo se desarrollaría.
176.080;178.040;SPEAKER_01;Yo no sé nada, pero me habéis dicho que es delirante.
178.040;179.520;SPEAKER_00;Es delirante, es delirante.
179.520;182.560;SPEAKER_00;Lo primero que vamos a hacer es un disclaimer, luego os presentamos los once's,
182.560;185.360;SPEAKER_00;pero disclaimer inicial es,
185.360;187.800;SPEAKER_00;hemos elegido a los jugadores con un criterio muy sencillo,
187.800;191.200;SPEAKER_00;tienen que haber jugado esta temporada al menos un partido en Premier League
191.200;193.360;SPEAKER_00;en esa posición en la que lo colocamos.
193.360;196.800;SPEAKER_00;Luego entenderéis el por qué la formación en ambos equipos
196.800;200.080;SPEAKER_00;para luego poder compararlos bien va a ser la misma,
200.120;201.720;SPEAKER_00;1-4-3-3.
201.720;205.720;SPEAKER_01;Y tú dices las formaciones con el portero, eres de esos.
205.720;207.960;SPEAKER_00;A ver, no, normalmente digo 4-3-3.
207.960;208.960;SPEAKER_00;¿Y qué te ha pasado?
208.960;212.240;SPEAKER_00;Hay veces que me da por... Esto es enseñanza de Frank Garrido, macho.
212.240;216.320;SPEAKER_01;Ya, ya, sé que a todos los entrenadores les ofende lo de decir uno tal.
216.320;218.240;SPEAKER_01;A mí me parece absolutamente innecesario.
218.240;219.240;SPEAKER_01;Es totalmente innecesario.
219.240;223.840;SPEAKER_01;Y un resumen que, o sea, 4-3-3, es un 4-3-3, solo hay un portero,
223.840;227.000;SPEAKER_01;pero ya no solo por capricho, sino por norma, solo puede jugar un portero.
227.000;228.160;SPEAKER_01;Normalmente lo digo, pero...
228.160;229.160;SPEAKER_00;Se puede omitir.
229.200;231.240;SPEAKER_00;Hay veces que, no sé, a la hora de escribirlo,
231.240;233.080;SPEAKER_00;Frank Garrido me salta en la cabecita y dice...
233.080;235.280;SPEAKER_00;Lo entiendo, eh. Porque esto es una cosa de todos los entrenadores.
235.280;238.720;SPEAKER_00;Pero como periodista me niego, 4-3-3.
238.720;241.360;SPEAKER_00;Cuando decimos lo de colgar balón, él siempre decía,
241.360;244.160;SPEAKER_00;colgarse tiene que ser la ropa, el balón se centra.
245.160;248.440;SPEAKER_01;Y como... Un disparo, es con una pistola, el balón se tira.
248.440;251.040;SPEAKER_01;También depende, también depende.
251.040;252.040;SPEAKER_01;Yo lo van a ver, lo cuelgo.
253.760;254.760;SPEAKER_01;El tramo no sale ninguno.
254.760;257.160;SPEAKER_01;Y la ropa la centra.
257.160;258.920;SPEAKER_01;La ropa la centro, al cesto.
259.720;261.240;SPEAKER_01;Bueno, el caso, que puede ser 3-3.
261.240;264.760;SPEAKER_00;Esta idea nos la ha dado Jack Sparrow.
264.760;265.560;SPEAKER_00;Ah, mira.
265.560;267.560;SPEAKER_00;Nos la ha mandado por correo electrónico, Jack Sparrow.
267.560;268.920;SPEAKER_00;O sea, es así, literalmente.
268.920;269.920;SPEAKER_01;Muy bien.
269.920;272.400;SPEAKER_01;Bueno, pues nada, esperamos que le guste allí donde esté navegando.
272.400;273.400;SPEAKER_01;Un abrazo.
273.400;276.240;SPEAKER_01;Vamos a empezar con el once más joven, amigos, de la Premier League.
276.240;280.600;SPEAKER_01;Y vamos a arrancar en la portería con el portero más joven
280.600;283.680;SPEAKER_01;que sale bastante bien parado este once, porque es Robin Roofs.
283.680;285.960;SPEAKER_01;Ahí lo tenéis, al guardameta del Sunderland,
285.960;288.240;SPEAKER_01;que muy probablemente estemos hablando del mejor portero
288.240;289.240;SPEAKER_01;de lo que va de Premier League.
289.240;292.880;SPEAKER_01;Solo 22 años y 278 días.
292.880;293.880;SPEAKER_01;Es un chaval.
