audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
h1JjHoy-xHI,0.0,18.44,18.44,OTRO,"Creo que es el mejor guión que he hecho nunca, ha dicho José Alberto Chozas al empezar este vídeo antes de empezarlo. No sé si eso pone el listo muy alto o muy bajo, pero hoy aquí en La Media Inglesa, ex jugadores de la Premier que siguen jugando en el barro, en ligas no inferiores, muy inferiores.",299,58
h1JjHoy-xHI,22.44,87.28,64.84,OTRO,"Un momento, un momento, antes de que arranque el vídeo, dejadme contaros que se acerca un nuevo viaje de La Media Inglesa al fin de semana, el 18 y 19 de octubre. Viajamos a Inglaterra para vivir en directo un nuevo partido del Harvard, tal como hicimos la temporada pasada. Por solo 289 euros, se incluye todo el fin de semana. El viernes saldremos desde Londres en autobús hacia Leicester. Esa noche ya estaremos ahí en Leicester tomando unas cervecillas. Sábado haremos un tour por Leicester por la mañana, nos iremos a Harvard para ver el partido y por la noche, los que hayan venido a otros viajes, ya saben lo que les espera. Domingo, regreso a Londres. ¿Qué incluyen esos 289 euros? Lo que no incluyen son los vuelos, pero sí todos los traslados en autobús, dos noches de hotel, desayuno y por supuesto la entrada al partido. Con el enlace que tenéis aquí abajo podéis comprar vuestro viaje para acompañarnos para ir juntos con toda la comunidad de La Media Inglesa a vivir este partido el 18 de octubre. Esperamos. Chozas, dinos, ¿es el mejor guión que has hecho nunca?",1077,192
h1JjHoy-xHI,87.28,94.28,7.0,OTRO,Lo cual no implica que sea bueno. Yo solo he dicho que es el mejor que he hecho hasta ahora. Lo cual no implica que sea bueno.,126,27
h1JjHoy-xHI,94.28,97.28,3.0,OTRO,"¿Cuál es el guión, cuál es la explicación? Cuéntanos.",53,9
h1JjHoy-xHI,97.28,118.52,21.239999999999995,OTRO,"Vamos a ver, me he puesto a bucear en las carreras de los futbolistas a ver qué exjugadores de la Premier League están ahora mismo en las divisiones más bajas que he podido encontrar, lo más abajo, lo más al fondo posible. Lo más abajo. Lo más abajo, lo más abajo. Hay auténticas barbaridades, o sea hay octavas divisiones de países bajos.",339,62
h1JjHoy-xHI,118.52,121.52,3.0,OTRO,"Vale, vale, nos gusta, nos gusta.",33,6
h1JjHoy-xHI,121.52,127.52,6.0,OTRO,"Me ha llevado a esto, por supuesto, el primero de nuestros nombres. Luego lo llevaremos, pero claro.",100,17
h1JjHoy-xHI,127.52,154.76,27.239999999999995,OTRO,"Es un vídeo en el que evidentemente teníamos que empezar por un hombre que se debe al pueblo. Es un hombre que se debe al pueblo, se cansó de la élite y se fue con las gentes. No, se cansó el de la élite. Claro, amigos, es que el jugador con el que empezamos, sí, ahí lo estáis viendo en su época en el Liverpool, pero no es lo que nos interesa en este vídeo porque el ex de Liverpool, Newcastle y West Ham United jugó su último partido de Premier League en 2021 con los Magpies, de hecho, y a partir de entonces se le dio a la gente.",534,110
h1JjHoy-xHI,154.76,168.76,14.0,OTRO,"Y tanto que se le dio a la gente. Ha pasado por el Reading, por el West Brom en Champions League, no es una división tan baja, por el Amiens en segunda división francesa, sigue sin ser algo tan bajo, y aquí ya bajamos a cuarta división con el Girondins de Bourdeau.",265,52
h1JjHoy-xHI,169.76,173.76,4.0,OTRO,¡Cuidado! Girondins de Bourdeau. De Bourdeau.,45,6
