audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
tQTprgZ9-7A,0.0,14.4,14.4,OTRO,"Escándalo en este vídeo, escándalo es lo que os vamos a contar porque hoy os vamos a hablar de amaños, de gánsters, de mafias, de engaños... Los tres grandes escándalos de partidos amañados que ha visto nunca el fútbol inglés.",226,40
tQTprgZ9-7A,18.0,21.4,3.3999999999999986,OTRO,"Oye, cada vez que escucho la palabra escándalo nos apetece cantarla...",70,11
tQTprgZ9-7A,23.4,27.6,4.200000000000003,OTRO,"Esto queda grabado y empezamos así el vídeo, de hecho. ¿Ha quedado grabado, no?",79,14
tQTprgZ9-7A,27.6,89.4,61.800000000000004,OTRO,"Sí, sí, espero que se haya escuchado como en un vídeo que queremos ponernos serios y queremos denunciar a mafias, a gánsters y a criminales, Jesús nos rompe todo el mood bailando y cantando escándalo. Sí, en el fondo están todos muertos. Sí, sabe, perdona. No hay nada que denunciar. ¡Pablo, vamos a hablar de escándalos! El de los últimos alguno queda vivo pero bueno, ya poco le queda y no creo que llegue a ver este vídeo. Para que ubique un poco a la gente, hace una semana dijimos, oye, ¿estaría bien hacer un vídeo de los amaños o partidos que la gente piensa que han sido amañados en historia del fútbol inglés? Y me puse a ello. Encontré seis, siete historias que son bastante buenas pero como todas tienen cosas que contar y son interesantes, en este vídeo vamos a traer las tres mejores o las tres más importantes. Si a la gente le gusta, deja un like, hypea el vídeo, pone un comentario, consiguen que YouTube nos metan tendencias, pues volveremos en una semana, dos, tres o cuando sea con las otras historias que también son espectaculares y sobre todo muchas, mucho más actuales. Pero he cogido las tres que más tiempo ha pasado.",1142,207
tQTprgZ9-7A,89.4,92.4,3.0,OTRO,"He cumplido un sueño, he matado a Jesús con mi pistola imaginaria.",66,12
tQTprgZ9-7A,92.4,93.4,1.0,OTRO,"Ojalá yo, ¿eh?",14,3
tQTprgZ9-7A,93.8,119.8,26.0,OTRO,"Vamos a empezar con el primero de los grandes escándalos que hemos repasado en este vídeo y Pablo, nos marchamos a inicios del siglo XX al escándalo de 1905. Tú que estás al otro lado, escucha bien porque este amaño fue el que hizo que el Manchester United adelantase al Manchester City. ¡Escándalo, escándalo! ¡El Manchester United es un club ladrón! Para, dejártelo con temas porque en realidad no va tanto por ahí.",417,73
tQTprgZ9-7A,119.8,138.2,18.39999999999999,OTRO,"Pero podría ser la moral hecha final. Una vez de la temporada 1904-1905 el Manchester City podría ganar la que iba a ser su primera liga y se enfrentaba a Bonaston Villa que ya no tenía nada en juego. Billy Meredith, este muchacho que estáis viendo por aquí, era la gran estrella de los sky blues. Se bigotito, pago.",316,59
tQTprgZ9-7A,138.2,141.2,3.0,OTRO,¡Cabón! Ha pasado de moda por razones siguientes.,49,8
tQTprgZ9-7A,141.2,172.6,31.400000000000006,OTRO,"Fue acusado de intentar pagar 10 libras, que con el cálculo de la inflación ahora mismo serían 1000 libras, a Alex Lake del Villa para mañana del partido. El muchacho intentó pagarle 10 libras a un jugador del Villa para que el City ganara el partido y poder levantar el título de liga. El Villa de todas formas ganó 3-2 y las sospechas empezaron cuando tras el final del partido el jugador del City, Sandy Turbul, fue a pegar a Alex Lake por no aceptar o no cumplir el amaño. Hay que se han puesto dos fotos, una coloreada y otra sin colorear, pero es el mismo hombre.",569,108
tQTprgZ9-7A,172.6,177.6,5.0,OTRO,"¿Te metes un hígado? Es de estos que tiene mandíbula sacada, el tono salido.",76,14
tQTprgZ9-7A,178.0,220.4,42.400000000000006,OTRO,"Este fue el que fue a pegar a Alex Lake por no aceptar el amaño o por no cumplirlo. La EFE comenzó a investigar el incidente y Turbul dijo que el culpable había sido Meredith, el cual fue suspendido del fútbol por un año sin ningún tipo de pruebas. El City se negó a pagarle para cumplir con la suspensión y Meredith se vengó declarando que el City pagaba a los futbolistas más del límite permitido, que en aquella época eran tan solo 4 libras por semana y confesando que él tan solo había sido el portavoz del City en el intento del amaño. Es decir, que todo venía de más arriba y que además estos tíos que no me pagan que se entere todo el mundo que están incumpliendo las normas del amateurismo y no están pagando más de las 4 libras por semanas permitidas.",760,146
tQTprgZ9-7A,220.4,270.2,49.79999999999998,OTRO,"¿Qué hizo la EFE? La EFE acabó suspendiendo de por vida al entrenador, al manager del Manchester City tras descubrir que era él el que había obligado a Meredith a hacer dicho soborno. Además, suspendió la EFE a varios directivos del City y sancionaron a 17 jugadores con no poder volver a jugar para los Sky Blues. 17 jugadores. La EFE obligó al Club Mancuniano a vender a todos sus futbolistas en una subasta en el Queen Hotel de Manchester. Esto no era tan extraño en la época, lo de la subasta y todo esto. Y el Manchester United, aquí es donde aparece su vecino Mancuniano, fichó a los mejores, incluidos por supuesto Meredith y Sandy Turnbull. Así que con todo esto vemos que el Manchester United dijo, espérenme un segundo que si nos interesa o si nos sancionan, ya me los llevo yo.",788,144
tQTprgZ9-7A,270.6,306.0,35.39999999999998,OTRO,"Cuando estaba leyendo esta historia me estaba dando cuenta que mucha gente hablaba mucho de Billy Meredith para haber pasado 120 años. Y dije, oye a mi este nombre me suena, voy a investigar quién fue el tal Meredith este. Bueno, pues el tal Meredith es una leyenda como la copa de un pino. Galeés de nacimiento, el Manchester City intentó ficharlo, pero al llegar a su ciudad, sus amigos mineros, los amigos de Meredith, echaron a los representantes del Meredith básicamente a palos. Como estaban muy interesados en fichar al futbolista, tuvieron que sobornar a los amigos mineros de Meredith con alcohol para que así les dejaran acceder a la negociación y poder llevar a Meredith de Gales a Manchester.",704,121
