audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
GtOaDDac0Tk,0.0,13.84,13.84,OTRO,"Tengo una gran noticia que darte, amigo que has pulsado en este vídeo, que le has dado a clic y has dicho a ver que me cuenta esta gente. Te voy a dar motivos por los que los recién ascendidos de la Premier League se van a salvar. ¡Vamos!",238,49
GtOaDDac0Tk,18.2,32.68,14.48,OTRO,"¡A primera hoy! ¡A primera hoy! Eh, ya. Calma. Porque todavía había que haber mucha temporada. Pero amigos, es el resumen del vídeo. A primera porque se van a mantener en primera.",179,32
GtOaDDac0Tk,32.68,41.28,8.600000000000001,OTRO,"¡A primera es cuando asciendes! Claro, claro, claro. En este caso es a primera que se quedan en primera. En primera, ¿no? Tendría que ser. Habría que repetirlo.",160,28
GtOaDDac0Tk,41.28,141.12,99.84,OTRO,"¡A primera! ¡A primera! Pero qué bajón de cántico, ¿no? ¡A primera! ¡Celebrad donde ya estás! Es el cántico más mediocre de la historia. Amigos, tenemos algo bueno que deciros. Hemos montado un vídeo en el que hemos encontrado razones para pensar que los tres recién ascendidos, después de muchos años haciendo el ridículo, se van a mantener en la primera division. ¡Otro aplauso! ¡Otro aplauso! ¡Otro aplauso! ¡Aviso! Hemos encontrado razones. Ya con eso... Hay razones soportadas por los hechos. Hay otras que tienen que ver con la fe. Así que aquí hay ciencia y también hay religión. Está todo en este vídeo. Todo cubierto. Pero chozas, tengo que decirte que tras siete jornadas, la temporada pasada, los recién ascendidos sumaban la friolera de once puntos. Increíble. Bien, pues entre todos, esta temporada, tras los mismos partidos y con esos músculos que Dios le ha dado a Dan Ballard, suman veintitrés puntazos. ¡Vaya voz! Dime que no es para creer. ¡Vaya voz! Dime que no es para creer. De hecho, once tiene solo el Sunderland. ¡Qué bonito! Once el Sunderland, ocho el Leeds y cuatro el Berlín. Bueno, pero también te digo una cosa. Es el único de los tres que está en descenso y a un punto de la salvación. Así que he decidido ponerme absolutamente optimista. Quien venga en este vídeo a darme razones por las que no van a bajar, yo sé. Ahora la gente me va a venir. ¿Y es que en tus predicciones pusiste a los tres y tal? Que se muera el Nacho que hizo las predicciones. Que se muera, que le peguen un tiro. No, por la calle no me pedís un tiro, pero que se muera. Porque hoy os vamos a dar razones por las que esta gente se puede quedar en la Premier League. Y la primera de todas las chozas es que los tres están practicando el fútbol de toda la vida de Dios.",1772,325
GtOaDDac0Tk,141.12,190.56,49.44,OTRO,"Menos mal, por fin, gracias a Dios nos han hecho caso y se han dejado de chorradas. Los tres están entre los cinco equipos con menos posesión de la Premier League. ¡Bravo! Enhorabuena, lo habéis entendido todo, tío. Lo habéis entendido todo. El Barley es el que menos con un 35,4%. 35% acosonante. El Sunderland un 44,1% y el Leeds un 45,3%. A ver, es verdad que hay diferencias. El Barley es algo más tradicional y el Sunderland y el Leeds están tratando bastante mejor el balón que el Barley. Y tienen altura, juego aéreo, son equipos bastante más físicos. Hay diferencias entre ellos, pero oye, come back to the basics. Fantástico, joven Macho. Qué inglés de Cambridge que tienes.",683,120
GtOaDDac0Tk,190.56,191.6,1.039999999999992,OTRO,La madre que me parió.,22,5
GtOaDDac0Tk,191.64,193.12,1.4800000000000182,OTRO,"Claro, es que volviendo a los básicos.",38,7
GtOaDDac0Tk,193.12,217.92,24.799999999999983,OTRO,"Estamos volviendo a los básicos y eso nos hace muy feliz. Club por club, si hacemos el repaso vais a ver que al menos son equipos que, como recién ascendidos, están cumpliendo lo primero que le pedimos a un club de estos. Y empezamos por el que está volviendo a lo que queríamos ver, que es el Barley. Nuestros amigos, los Clarets, ahí lo tenemos, por fin, ya era hora de volver a decir que con el Barley se acabó el Vogue Nonsense. Ojo, que igual le volvemos a ver en Premier.",477,92
GtOaDDac0Tk,218.72,227.92,9.199999999999989,OTRO,"Este paso no queda mucho para ver a que es mi colega de Sondage. Pero en Europa con el Forrest. ¿Te gustaría en el Forrest, Jesús? Ni de coña. Ni de coña, dice.",160,33
GtOaDDac0Tk,228.8,246.72,17.919999999999987,OTRO,"Amigos, en su última temporada en la Premier League el Barley tuvo un 46,9% de posesión media. Se ha acabado ya el Barley modernito, ¿vale? Ya se ha acabado esa other Vogue Nonsense. Ahora defender y punto. Y nos estamos acercando a ese fútbol Brexit. Pero, chozas.",265,47
GtOaDDac0Tk,247.72,291.92,44.20000000000002,OTRO,"Quiero decirte que todavía no es momento de lanzar las campanas al vuelo. Porque te quiero decir que aún no hemos llegado al esplendor del Barley. Y tú dirás, hostia, el esplendor del Barley fue sin duda alguna con Sondage, aquel fútbol tan directo, inteligente. Chris Wood, Ashley Barnes. No, amigos, no. Hay que irse a 2008. Hostia. Por alguna razón hubo la crisis que hubo en 2008. Pero es que en 2008 es cuando el Barley era el equipo absolutamente reconocible como Club Brexit. Y te voy a contar una historia. En 2008 se enfrentaban al Ipswich Sound. Y decidieron en el Barley hacer un espectáculo prepartido. Un espectáculo prepartido que entre otras cosas implicaba la caída desde los cielos de un paracaidista. El paracaidista, al aterrizar en Turf Moor, acabó esta guisa.",780,134
