audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
NRgZ6RCmoxQ,0.0,9.84,9.84,OTRO,"Hoy en Los Ángeles de Javi, Sesney.",35,7
NRgZ6RCmoxQ,9.84,12.04,2.1999999999999993,OTRO,Muy bien.,9,2
NRgZ6RCmoxQ,12.04,58.04,46.0,OTRO,"Te podría dar hasta el vapor. Joder, las cosas hay que hacer para innovar. Yo he de decir, Oliart. ¿Qué tal? Javier Torres. Quifuentes. De todos los santos. No, no me ha pedido así. De hecho es curioso, porque mi tercer ha pedido Torres también. ¿En serio? Sí, yo creo que había Endogamia en mi familia. ¿Torres, Quifuentes, Torres? Sí, de Castro. ¿Cuál es tu tercer apellido?",376,67
NRgZ6RCmoxQ,58.04,67.04,9.000000000000007,OTRO,"Es el segundo del padre, ¿no? Oliart de Pladevay García. Pladevay García. Pladevay.",83,13
NRgZ6RCmoxQ,67.04,80.04,13.0,OTRO,Pladevay. Te imaginas que te llamas es Ili Pladevay. Igual tu carrera había sido completamente distinta. No sé si me has fueron peor. Los apellidos te pueden condenar o aupar.,175,30
NRgZ6RCmoxQ,80.04,100.04,20.0,OTRO,"Me viene fenomenal, no sé si lo has hecho apuesta o no. Precisamente empezamos hablando del apellido de Chesney. Que es Chesney. ¿Cómo es? Claro, ni idea. Yo llamo Chesney. En Inglaterra lo pronunciaban y lo escribían Chesney. Chesney. Chesney. Pero... Mi mujer le llama Chely.",277,46
NRgZ6RCmoxQ,100.04,103.04,3.0,OTRO,¿Tu mujer llama...? A Chesney Chely.,36,6
NRgZ6RCmoxQ,103.04,105.04,2.0,OTRO,Lo que me parece es que la conozca.,35,8
NRgZ6RCmoxQ,105.04,107.04,2.0,OTRO,"Sí, porque es muy del Barça.",28,6
NRgZ6RCmoxQ,107.04,116.04,9.0,OTRO,"¿Tú eres muy del Barça? Sí, súper. ¿Y es fan de Chely? Nos encanta Chely. ¿Te gusta? Pero lo hace apuesta. Es un tema porque se llama... Porque tengaba.",152,29
NRgZ6RCmoxQ,116.04,123.04,7.0,OTRO,"¿Sabes qué te digo? Oye, una cosa. El apellido es complicado, pero el nombre, ¿tú sabes pronunciarlo? Wojciech, ¿no? Sí.",120,20
