audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
uJUMVWz8TdA,0.0,11.12,11.12,OTRO,"Hoy os traemos la guerra de los mundos, la guerra de dos generaciones. Hoy el once de los jugadores más jóvenes de la Premier League se enfrenta al once de los más viejos, que no abuelos, los más viejos, los más veteranos, los más sabios.",238,45
uJUMVWz8TdA,15.12,28.92,13.800000000000002,OTRO,"Yo ya estoy en ese bando, chozas, en el bando de los treintañeros y por tanto es el bando que defiendo. No son viejos, son sabios, son expertos, experimentados, pero el fútbol no perdona.",187,34
uJUMVWz8TdA,29.68,36.0,6.32,OTRO,"El fútbol macho, tienes 33 años y ya te hacen sentir que eres un... Hacer este guión me ha pegado una hostia de realidad.",121,24
uJUMVWz8TdA,36.0,44.56,8.560000000000002,OTRO,"Terrible, terrible. O sea, tengo 28 años, me siento en la flor de la vida y este guión me ha hecho sentirme a un paso de la tumba.",130,28
uJUMVWz8TdA,44.56,83.4,38.84,OTRO,"Es que de hecho he visto un vídeo de la NBA preguntándole a varios de los más jóvenes, yo qué sé, Gwen Van Yamma, Gilius Alexander, todos estos, qué recuerdos tenían de la NBA de los 90. Y claro, la respuesta de la mayoría es que no había nacido. Y solo podían hablar Kevin Durán, Stephen Curry, gente así. Bueno, es que tú y yo ya los hemos visto en highlights. No, no, yo la NBA de los 90, hostia, en los 2000 tenía cinco años. Claro. Pero... Las hemos visto en highlights, imagina de Gwen Van Yamma. Pero que me digan gente que no había nacido.",547,107
uJUMVWz8TdA,84.2,101.36,17.159999999999997,OTRO,"Pero bueno, el gancho que es realidad, sin duda alguna, sin duda alguna, hasta la fecha ha sido Alejandro Morán diciéndonos que no tiene recuerdo alguno de qué era de la primera Eurocopa de España. No lo digo, porque tú no te acuerdas de una...",244,45
uJUMVWz8TdA,101.36,106.84,5.480000000000004,OTRO,"Bueno, estábamos hablando... Joder, es que no se puede decir, pero... Joder.",76,12
uJUMVWz8TdA,108.64,111.04,2.4000000000000057,OTRO,Pero ahora mismo estamos en el vídeo o no estamos en el vídeo?,62,13
uJUMVWz8TdA,111.04,131.04,19.999999999999986,OTRO,"Estamos en el vídeo. Claro que estamos en el vídeo, pero es que no se puede decir. Me ha asustado porque pensaba que ibas a decir lo que de verdad sucedió. Lo que de verdad sucedió no se puede decir, que fue nuestro mayor golpe de realidad, que fue Alejandro Morán no conoce a una persona que conocemos absolutamente todos, por motivos que no se pueden decir.",359,67
uJUMVWz8TdA,131.04,134.48,3.4399999999999977,OTRO,"Madre mía, madre mía, ya sé a quién de quién estás hablando.",60,12
uJUMVWz8TdA,134.48,142.08,7.600000000000023,OTRO,"Claro, claro, pero es que tú has sido mi mayor golpe de realidad y lo hablamos literalmente la semana pasada y has sido como... ¿Dónde vas tú, animal? Bueno, la gente no está entendiendo nada.",192,35
uJUMVWz8TdA,142.12,178.04,35.91999999999999,OTRO,"El caso es que Morán no recuerda la Eurocopa de 2008 de España y claro, eso para mí es un golpe, un golpe auténtico, porque considero que todo el mundo que me rodea ha visto el gol de Torres. Y no, Morán no tiene sus recuerdos. Ni a mi estazo no ha visto nada. Ni mucha gente que va a salir en este vídeo, porque hoy vamos a enfrentar al once de los futbolistas más jóvenes de la Premier League contra el once de los futbolistas más veteranos. Y cuidado, cuidado, porque una vez que os presentemos los dos once's, le hemos pedido a la inteligencia artificial que nos diga cómo sería ese partido, cómo se desarrollaría. Yo no sé nada, pero me habéis dicho que es delirante.",672,128
uJUMVWz8TdA,178.04,201.72,23.680000000000007,OTRO,"Es delirante, es delirante. Lo primero que vamos a hacer es un disclaimer, luego os presentamos los once's, pero disclaimer inicial es, hemos elegido a los jugadores con un criterio muy sencillo, tienen que haber jugado esta temporada al menos un partido en Premier League en esa posición en la que lo colocamos. Luego entenderéis el por qué la formación en ambos equipos para luego poder compararlos bien va a ser la misma, 1-4-3-3.",433,74
uJUMVWz8TdA,201.72,205.72,4.0,OTRO,"Y tú dices las formaciones con el portero, eres de esos.",56,11
uJUMVWz8TdA,205.72,212.24,6.52000000000001,OTRO,"A ver, no, normalmente digo 4-3-3. ¿Y qué te ha pasado? Hay veces que me da por... Esto es enseñanza de Frank Garrido, macho.",125,24
uJUMVWz8TdA,212.24,228.16,15.919999999999987,OTRO,"Ya, ya, sé que a todos los entrenadores les ofende lo de decir uno tal. A mí me parece absolutamente innecesario. Es totalmente innecesario. Y un resumen que, o sea, 4-3-3, es un 4-3-3, solo hay un portero, pero ya no solo por capricho, sino por norma, solo puede jugar un portero. Normalmente lo digo, pero...",310,56
uJUMVWz8TdA,228.16,244.16,16.0,OTRO,"Se puede omitir. Hay veces que, no sé, a la hora de escribirlo, Frank Garrido me salta en la cabecita y dice... Lo entiendo, eh. Porque esto es una cosa de todos los entrenadores. Pero como periodista me niego, 4-3-3. Cuando decimos lo de colgar balón, él siempre decía, colgarse tiene que ser la ropa, el balón se centra.",322,59
uJUMVWz8TdA,245.16,252.04,6.8799999999999955,OTRO,"Y como... Un disparo, es con una pistola, el balón se tira. También depende, también depende. Yo lo van a ver, lo cuelgo.",121,23
uJUMVWz8TdA,253.76,258.92,5.160000000000025,OTRO,"El tramo no sale ninguno. Y la ropa la centra. La ropa la centro, al cesto.",75,16
uJUMVWz8TdA,259.72,261.24,1.5199999999999818,OTRO,"Bueno, el caso, que puede ser 3-3.",34,7
uJUMVWz8TdA,261.24,268.92,7.680000000000007,OTRO,"Esta idea nos la ha dado Jack Sparrow. Ah, mira. Nos la ha mandado por correo electrónico, Jack Sparrow. O sea, es así, literalmente.",133,24
uJUMVWz8TdA,268.92,303.24,34.31999999999999,OTRO,"Muy bien. Bueno, pues nada, esperamos que le guste allí donde esté navegando. Un abrazo. Vamos a empezar con el once más joven, amigos, de la Premier League. Y vamos a arrancar en la portería con el portero más joven que sale bastante bien parado este once, porque es Robin Roofs. Ahí lo tenéis, al guardameta del Sunderland, que muy probablemente estemos hablando del mejor portero de lo que va de Premier League. Solo 22 años y 278 días. Es un chaval. Sí, el segundo cual dirías que es, que ahora justo me acuerdo de él. Demonio. Contando suplentes, claro. Que han jugado. Ah, es verdad, es verdad. Que han jugado al menos un partido.",636,115
uJUMVWz8TdA,307.24,310.68,3.4399999999999977,OTRO,No es tan fácil acordarse de él. ¿Mammar Dasvili?,49,9
uJUMVWz8TdA,310.68,312.68,2.0,OTRO,No. Mucho menos.,16,3
uJUMVWz8TdA,312.68,316.68,4.0,OTRO,"Es que no sé cuántos años tiene Mamar Dasvili, pero no el mayor.",64,13
uJUMVWz8TdA,317.12,344.64,27.519999999999982,OTRO,"Mamar Dasvili tendrá sus 27. Roofs estamos hablando de que tiene 22 años. Pues es James Trafford, el segundo. No caes en él. Vamos al lateral derecho. Vais a oír bien. Lateral derecho. Esto viene desde el lunes. Ha entrado en este vídeo. Gracias al lunes, porque nuestro lateral derecho es Oliver Scarls por la ida de Oya de Nuno Espíritu Santo el lunes contra el Brenfurt. Tiene 19 añitos y 314 días. Es decir, va a cumplir 20 tacos en nada.",442,82
uJUMVWz8TdA,345.6,360.6,15.0,OTRO,"Y siendo zurdo, solo ha jugado un partido esta temporada en Premier League y lo ha hecho como lateral derecho. El otro día a pierna cambiada. Para los que os lo preguntéis, no puede entrar Josa Champón, que es el lateral derecho, pero que no ha jugado el lateral derecho en esta Premier League. Está jugando todo el central, muchacho.",334,60
uJUMVWz8TdA,360.6,374.6,14.0,OTRO,"Vale, o sea que tú eres mucho más estricto que yo haciendo los 112S. Soy absolutamente estricto. Vale, vale. Pues nos vamos a la posición de central. Y ahí tenemos a Adelko Milošajević, el central del Bournemouth, que con solo 18 años y 116 días no está jugando mucho.",268,49
uJUMVWz8TdA,375.56,386.56,11.0,OTRO,"Y cuando ha jugado, lo ha hecho muy bien. Tengo más ganas de verlo más a menudo. Porque lo que ha hecho en el Bournemouth, aunque sea un partido en concreto, lo hizo extraordinariamente bien.",191,35
uJUMVWz8TdA,386.56,400.56,14.0,OTRO,"En la defensa, en el centro de la defensa, le va a acompañar Eiden Geben, que esta temporada no está contando con muchas oportunidades. De hecho, ha jugado muy poquito. Tiene 18 años y 116 días, pero sí que es uno de los mayores proyectos. No, no, 19 años y 30 días.",266,52
uJUMVWz8TdA,400.56,403.56,3.0,OTRO,¿Y qué he dicho? 18 años y 116 días. Me confundió con México.,61,13
uJUMVWz8TdA,404.52,408.52,4.0,OTRO,Eso es. Pues 19 años que tiene el bueno de Eiden Geben.,55,12
uJUMVWz8TdA,408.52,424.52,16.0,OTRO,"Vamos al lateral izquierdo y ahí es donde tenemos a Miles Luis Schielli, que ha perdido el puesto con Calafiori, pero por supuesto ha jugado sus minutos. Un futbolista del año pasado era muy titular con el Arsenal y sigue siendo muy importante la rotación. 19 años y 26 días. Vaya, 11 nos está quedando.",303,55
uJUMVWz8TdA,424.52,433.52,9.0,OTRO,"Muy guapo, muy guapo el 11. Y lo que viene ahora es de traca. A ver, la verdad es que tienen todos un futuro de la leche. Y si no, no estarían jugando tan jóvenes en la Premier League.",184,39
uJUMVWz8TdA,434.48,456.48,22.0,OTRO,"De interior por la derecha hemos metido a Izan Nuaneri. 18 años y 215 días para jugar por ese interior. No puede entrar Josh Kinn, a pesar de ser el décimo en su edad. Es decir, Nuaneri le ha quitado el puesto a Josh Kinn. Tiene el jugador del Fulham 18 años y 292 días. O sea que por poquito no entra.",302,62
uJUMVWz8TdA,456.48,462.48,6.0,OTRO,"Vamos a seguir con el centro del campo y aquí aparece un magpie como Luis Maily, el futbolista del Newcastle,",109,20
uJUMVWz8TdA,463.44,481.44,18.0,OTRO,"que tiene 19 años y 174 días. Es tremendo porque hace ya dos temporadas tuvo que cubrir muchas veces lesiones y si no me equivoco fue titular en aquel partido que vi en el Parque de los Príncipes contra el PSG. Ahí estaba el muchacho. Bueno, pues dos años han pasado y tiene 19 años y 174 días. A cojar a él.",308,62
uJUMVWz8TdA,481.44,491.44,10.0,OTRO,"Y el pibote más joven de la Premier League, por supuesto. Centro campista por izquierda en ese interior va a estar Chris Riegel, jugador del Sunderland 18 años.",160,28
uJUMVWz8TdA,492.4,504.4,12.0,OTRO,Y 126 días que con esa lesión de Javid D'Arra está teniendo minutos Chris Riegel y completa el centro del campo. Centro del campo con muchísimo futuro.,151,27
uJUMVWz8TdA,504.4,520.4,16.0,OTRO,"Muchísimo. Sí señor. Ha habido un atasco cerebral. Ha habido algún tipo de cortocircuito en las neuronas y lo has sorteado de una manera bastante digna. Sí, como he podido. Están siendo días complicados. Lo entiendo. Si en algún momento de repente veis que hace",261,45
uJUMVWz8TdA,521.36,549.36,28.0,OTRO,"un infarto cerebral hay que llevárselo al médico. O algo que me ríe y me pongo serio como para el otro día. Sí, sí. Algo de esto va a terminar. Esta semana están pasando cosas muy raras en esta oficina y porque no habéis visto la cara de Jesús, que es una persona descompuesta. Chris Riegel que también es de los que ya llevamos mucho tiempo hablando de él, pero es que también es un talento muy precoz en cuanto a sorrupción en la élite. Vamos al extremo derecho y aquí hablando de precociedad. Pues el más joven de toda la Premier. 15 años y 295 días contemplan a Max Daumann,",578,111
uJUMVWz8TdA,550.32,560.32,10.0,OTRO,"el futbolista del Arsenal. No entra Estebao a pesar de ser el sexto futbolista más joven porque tiene 18 años y 181 días. No entra, macho. Tiene casi tres años más que Daumann.",176,33
uJUMVWz8TdA,560.32,562.32,2.0,OTRO,Joder.,6,1
uJUMVWz8TdA,562.32,564.32,2.0,OTRO,No entra el pobre Estebao.,26,5
uJUMVWz8TdA,564.32,566.32,2.0,OTRO,Ni 16 años tiene Daumann.,25,5
uJUMVWz8TdA,566.32,572.32,6.0,OTRO,Ni 16 años. Ya sabéis que el año pasado no podía jugar con el Arsenal directamente porque era ilegal.,101,19
uJUMVWz8TdA,572.32,578.32,6.0,OTRO,"Iba contra la norma, era demasiado joven. No podían entrenar. No podían entrenar.",81,13
