audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
jxkj1xprGys,0.0,7.52,7.52,SPEAKER_00,"Mientras la Premier League se está convirtiendo en la mejor competición del mundo, los ingleses están perdiendo su liga. Hoy en la media inglesa lo explicamos.",159,26
jxkj1xprGys,11.68,56.88,45.2,SPEAKER_00,"Chozas, pongo el temporizador de mi reloj porque estamos ante un vídeo muy interesante, un vídeo de investigación como los que hemos hecho en los últimos meses que hicimos de si faltaban delanteros, si era verdad que faltaban delanteros el mundo del fútbol, el problema de la Premier League, porque la Premier League es la liga que más ficha... Un TFG, vamos. Sí, un TFG, estaban haciendo un TFG, un TFG. Sí, sí, la verdad que sí nos lo había pensado. Entonces, ponemos el temporizador porque en estos vídeos, que aunque son interesantes, son más densos, si nos vamos de media hora vais a acabar hasta los huevos de nosotros. Así que ponemos el temporizador para, sin ser máquinas de ceñinos al guion y, evidentemente, dar opinión, pues que no nos extendamos demasiado y que el vídeo nos haga muy denso y lo quitéis dentro de cinco minutos. Que no demos la chapa, vamos.",870,154
jxkj1xprGys,57.76,95.44,37.68,SPEAKER_01,"Vamos a hablar del problema que está teniendo el futbolista inglés en la Premier League. A ver, para empezar, la Premier League empieza en 1992 y en la primera jornada de aquella liga solo había 13 futbolistas que no eran ni británicos ni irlandeses entre las 22 alineaciones titulares. Ojo, ni 13, o sea, hubo 13 futbolistas clavados entre 22 alineaciones. Bueno, el 70% de los minutos los disputaron ingleses. Partimos de esa base de la primera temporada de la Premier League. Ahora, como hemos hecho un TFG, hemos dicho, pues vamos a decir nuestra hipótesis. Partimos de una hipótesis. A ver, es evidente que ahora hay menos ingleses.",637,109
jxkj1xprGys,95.44,100.08,4.640000000000001,SPEAKER_00,En el primer partido de la Premier League solo había 13 que no fueran ni británicos ni irlandeses.,98,18
jxkj1xprGys,100.08,121.72,21.64,SPEAKER_01,"Entonces, ¿cuál es nuestra hipótesis? Pues nuestra hipótesis es que el número de jugadores británicos en la Premier League está en mínimos históricos. Creemos que por el aumento de ingresos que ha convertido a la Premier League en la liga más potente del mundo, les ha permitido fichar a las mayores estrellas del mundo, pero se han olvidado de sus propios jugadores, de los jugadores locales. Hay que dar una explicación, Pablo.",429,72
jxkj1xprGys,121.72,236.2,114.47999999999999,SPEAKER_00,"Explicación necesaria porque incluso nosotros que nos dedicamos al fútbol inglés a veces nos cuesta hacer el click mental de cómo es la estructura de Inglaterra, de Reino Unido, así que imagino que los que ni seáis de Europa lo tendréis todavía menos claros. En este vídeo vamos a hablar tanto de Reino Unido como de Inglaterra. ¿Qué es Reino Unido y qué es Inglaterra? Reino Unido es un país soberano que se divide en cuatro grandes territorios, Inglaterra, Gales, Escocia e Irlanda del Norte. Aunque en el fútbol compitan como países independientes, es decir, existe la selección inglesa, existe la selección escocesa, verdaderamente en términos de fichajes y en muchos términos se comportan como un mismo país, porque verdaderamente Reino Unido es todo un país. Ejemplo, tras el Brexit, que fue el momento en el que Reino Unido, y no Inglaterra, sino Reino Unido en conjunto salió de la Unión Europea, los equipos ingleses dejaron de poder fichar a jugadores de 16 años del resto de Europa, es decir, dejaron de poder fichar a los Héctor Bellerín, por ejemplo, los Eric García, los ex fábregas que fichaban con 16 años de otros equipos europeos, pero siguen pudiendo fichar a jugadores de 16 y 17 años que sean escoceses, galeses y norirlandeses y vengan de esos países. Esto es muy importante, pero cuando hagamos la comparativa de cuántos jugadores tiene una liga de cada país, con Inglaterra hay que hablar de jugadores ingleses, pero también hay que hablar de jugadores británicos, es decir, de Reino Unido, porque si no estaríamos siendo injustos y estaríamos solo contando una parte del país. Esta es la norma FIFA para que lo tengáis aquí en esta normativa de los traspasos de FIFA, como veis que en el punto 2, el que tenéis subrayado, el punto 2, te dice que puedes fichar a jugadores entre 16 y 18 años si están en un mismo territorio de la Unión Europea o si, por ejemplo, los traspasos suceden entre dos asociaciones dentro del mismo país, llevado al español que sucedan en dos asociaciones, por ejemplo, federaciones, la inglesa y la escocesa, dentro del mismo país, Reino Unido.",2095,360
jxkj1xprGys,236.28,315.08,78.79999999999998,SPEAKER_01,"Exacto. Por tanto, en este vídeo nos vamos a centrar en la falta de jugadores ingleses, pero habrá alguna comparación en la que veáis también el tema de los jugadores británicos de Reino Unido, que claro, que esto de británicos no es por Gran Bretaña, porque el Reino Unido es el Reino Unido de Gran Bretaña e Irlanda, del norte. Sí, con lo fácil que es en otros países. Es un jaleo. Es un jaleo. Bueno, vamos a empezar haciéndonos la pregunta, lógicamente, de si de verdad ha disminuido el número de ingleses en la Premier League. Lo hemos dividido en un análisis cuantitativo y en un análisis cualitativo. Análisis cuantitativo, pues hemos cogido los datos de FBRef de, literalmente, cuántos ingleses hay, cuántos ingleses había, cuántos españoles hay en España. Hemos cogido todo esto. Vamos a empezar viendo la evolución del número de jugadores ingleses en la propia Premier League, ingleses y británicos. Pues aquí lo estáis viendo. Vemos cómo hemos pasado de que en el año 2000, cuando empezamos el siglo, había más de la mitad de jugadores de la Premier League británicos y un 44% de ingleses. O sea, el 44% puede parecer bajo, pero si unimos el británico ya es más de la mitad. Y hemos visto cómo ha ido paulatinamente bajando. Es verdad que entre 2010 y 2020, pues más o menos se mantiene ahí, pero ahora mismo estamos en esos mínimos históricos que decíamos desde el principio.",1387,243
jxkj1xprGys,315.32,322.32,7.0,SPEAKER_00,"Choza, ¿significa eso que ahora hay más ingleses fuera de Inglaterra? Es decir, que los jugadores ingleses están yendo a jugar en otras ligas.",142,24
jxkj1xprGys,322.32,353.56,31.24000000000001,SPEAKER_01,"Claro, esta gráfica nos llevaba a esa pregunta. Pues vamos a verlo. Pues, efectivamente, ahora mismo hay una barbaridad más de ingleses que lo que había a principios del siglo. Incluso estamos viendo que en el año, en la temporada 2010-2011, no había ni un solo inglés que no estuviera en la Premier. Dentro de las cinco grandes ligas, ¿eh? Dentro de las cinco grandes ligas. Sin contar la Premier. Exacto. Pues dentro de las cinco grandes ligas no había ninguno fuera de la Premier. Hace cinco años, cuando la temporada después del COVID, sí que había 13, ya hay un aumento y ahora es que hay 34, que es máximo histórico.",622,112
jxkj1xprGys,353.56,383.8,30.24000000000001,SPEAKER_00,"Y tenemos la mala suerte que no nos ha cuadrado por años, porque siempre estamos cogiendo los mismos años, pero en la 15-16 había uno. Había un inglés, solo uno, dentro de las otras cuatro grandes ligas. No lo vamos a decir dejándonoslo en los comentarios porque además es una persona que de una manera u otra sigue muy relacionada con la Premier League. Chozas, siguiente pregunta. Entonces, ya está, fin del vídeo. Esa es la explicación. ¿Hay menos ingleses en la Premier League? Porque ahora hay más ingleses fuera de la Premier League.",539,94
