audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
nxUAsQlMn2Q,0.0,8.24,8.24,SPEAKER_01,"No creo que tengas ningún motivo para seguir esta guía práctica, pero hoy te vamos a dar los pasos que tienes que seguir para poner en riesgo tu vida en un campo de fútbol.",172,34
nxUAsQlMn2Q,12.44,23.68,11.24,SPEAKER_01,"Bueno, chozas, esto es una guía práctica en la que no hay nadie muerto, tranquilos, y por eso hemos puesto el casi en el título delante de perder, porque es una guía práctica para aprender cómo casi perder la vida en un estadio.",228,43
nxUAsQlMn2Q,23.68,29.8,6.120000000000001,SPEAKER_00,"Y sobre todo para que no nos lo mate el algoritmo, ¿no? Para que YouTube no diga, ¡hey! Cuidado, cuidado. A tomar por culo tu vida y todo.",138,28
nxUAsQlMn2Q,29.84,47.24,17.400000000000002,SPEAKER_01,"Cuidado. Tengo que decir que para chequear cómo trata el algoritmo al tema de las palabras como muerte y todo esto, bueno, metí la palabra en YouTube, me salió todo cosas religiosas y filosóficas. Ah, bueno, claro, es verdad, claro. Pero con un chorro de visitas. Sí, claro. Chorro de visitas.",293,51
nxUAsQlMn2Q,47.24,48.84,1.6000000000000014,SPEAKER_00,¿Qué hay después de la muerte y cosas así?,42,9
nxUAsQlMn2Q,48.84,59.24,10.399999999999999,SPEAKER_01,"No, no, directamente, no sé, vídeos muy... No sé, no sé, que descubrí que hay mucha gente monetizando a Jesucristo. ¡Hostia! La leche, una cosa...",146,25
nxUAsQlMn2Q,59.24,61.08,1.8399999999999963,SPEAKER_00,Lo cual es grave.,17,4
nxUAsQlMn2Q,61.08,65.4,4.320000000000007,SPEAKER_01,"Es grave. Hombre, se enterá a Jesucristo y te hace... Es bastante grave.",72,13
nxUAsQlMn2Q,65.4,67.0,1.5999999999999943,SPEAKER_00,Se llama blasfemar eso.,23,4
nxUAsQlMn2Q,67.0,72.52,5.519999999999996,SPEAKER_01,"Bueno, amigos, lo que no va a ser desde luego una blasfemia es esta guía práctica en la que, como os decimos, pues...",117,23
nxUAsQlMn2Q,73.96,96.52,22.560000000000002,SPEAKER_01,"hay a vosotros, pero, bueno, si alguno ha tenido la duda alguna vez de oye, ¿cómo podría correr riesgo en mi vida en un campo de fútbol? Pues vamos a dar varios pasos siempre basándonos en cosas que han sucedido en el fútbol inglés. Así que, Chozas, pues te voy a contar varias historias que he ido encontrando. Yo vengo a ciegas, vengo a ciegas. Te aviso, amigo, que estás al otro lado. Casi todas las historias son sobre la Non League. ¡Uuuh!",444,83
nxUAsQlMn2Q,96.52,98.04,1.5200000000000102,SPEAKER_00,"A ver, claro, lógicamente...",28,4
nxUAsQlMn2Q,98.04,99.36,1.3199999999999932,SPEAKER_01,Ni fútbol profesional ni nada.,30,5
nxUAsQlMn2Q,99.36,105.2,5.840000000000003,SPEAKER_00,"Claro, los profesionales creo que... por lo menos en los estadios hay un pelín de seguridad. Luego llega la Non League y...",123,22
nxUAsQlMn2Q,105.2,157.84,52.64,SPEAKER_01,"Pero vamos a empezar con la Premier League, porque... el primer consejo de esta guía práctica es que te tires en paracaídas. Hombre, a ver, empezamos bien. Es lógico, si te tires en paracaídas tienes más posibilidades de morirte que si estás ahora mismo sentado aquí. ¿En qué vídeo lo sacamos esto? En el vídeo de los recién ascendidos. De por qué se van a salvar. Ya os hablamos de aquel paracaidista de un espectáculo que hizo prepartido el Burnley en un partido contra el Ipswich Town, que acabó con el Ipswich Town ganando 3-0 y el partido pospuesto durante una hora. Os dejamos el vídeo por aquí arriba, pero no. Esto no va sobre ese paracaidista. Ahora, os tengo que reconocer que ha sido uno de los casos que nos ha dado pie a este vídeo. Nos vamos a una historia aún peor, que es la del 13 de diciembre de 1998. Chozas, ese día, Aston Villa y Arsenal se enfrentan en Premier League y el Aston Villa prepara como espectáculo para el descanso una lluvia de Santa Claus, una lluvia de papás noeles.",1003,185
nxUAsQlMn2Q,158.8,160.68,1.8799999999999955,SPEAKER_00,Bien. Empieza mal la historia.,30,5
nxUAsQlMn2Q,160.68,172.76,12.079999999999984,SPEAKER_01,"La idea era que para celebrar un poco la Navidad descendiesen del cielo muchos Santa Claus y aterrizasen en el campo. Pero la tarde se fue complicando, ya estaba todo perfectamente montado y se levantó un viento que era para verlo.",231,41
nxUAsQlMn2Q,173.72,174.72,1.0,SPEAKER_01,Muy complicado.,15,2
nxUAsQlMn2Q,174.72,176.52,1.8000000000000114,SPEAKER_00,¿Venían con los renos o Santa Claus?,36,7
nxUAsQlMn2Q,176.52,222.4,45.879999999999995,SPEAKER_01,"No, no, los renos dijeron, ya vuelas tú, monstruo, porque aquí hay una ventisca del copón. Bueno, fue entonces cuando nuestro amigo Nigel Rogoff, paracaidista del ejército británico, no era ningún novato, chocó con uno de los tejados de la grada desviado por ese viento y cayó desde esa altura en un lateral de la pista que rodeaba el césped de Villa Park. Como podéis ver aquí en estas imágenes del accidente gravísimo. Inmediatamente después de este accidente, por megafonía, se avisó a todos los paracaidistas que venían detrás de Nigel que intentasen aterrizar en cualquier sitio, menos en el centro del campo, para evitar así más acumulación de paracaidistas en la zona. Yo sé que estás a medio camino de ¿me río o no me río?",730,127
nxUAsQlMn2Q,222.4,227.0,4.599999999999994,SPEAKER_00,"porque no sé si este tío se ha matado. Hombre, no, porque el título pone casi.",78,16
nxUAsQlMn2Q,227.0,318.68,91.68,SPEAKER_01,"A ver, os tengo que decir que las cosas como son, ya os voy avisando, esto fue una cosa bastante grave, pero tuvo un final feliz, así que quedaos conmigo. Villa Park ya sabéis que está rodeado de casas, de una autopista y un parque en el que supongo que no vieron muy factible aterrizar. Así que los paracaidistas que venían detrás de nuestro amigo Nigel Rogoff tuvieron que aterrizar reparteos entre las porterías, los corners, todo lo que fuera, esquivar el centro del campo para ayudar a los servicios a atender a nuestro amigo Nigel. Bueno, insisto, esto fue serio, porque Rogoff se lo tuvieron que llevar al hospital a una operación a vida o muerte. Cayó a plomo desde el techo de una de las gradas. Es una caída que leía un aficionado que daba sus declaraciones después de este partido, es más o menos como caerte desde un segundo piso. Te puedes matar perfectamente. Bueno, sobrevivió a una caída que habría matado a mucha gente y las lesiones le provocaron la amputación de una pierna. Y dices, hostia, hostia Nacho, ¿cómo has elegido esta historia? Bueno, es una historia, amigos, que tú deciros que tiene un final para sacar una sonrisa. Y hasta cierto punto, yo creo que mi amigo Nigel, porque es amigo, creo que también piensa que todo pasa por algo. Porque resulta, amigo chozas, que durante su rehabilitación, ya con la pierna amputada, conoció a Sara, una de las enfermeras que lo ayudó. Se enamoraron y tuvieron dos gemelos.",1440,255
nxUAsQlMn2Q,318.68,326.92,8.240000000000009,SPEAKER_00,"Bravo, bravo, viva el amor. Joder, hostia, claro, ya lo de la amputación de la pierna he dicho, hostia, muy serio esto ya.",122,23
nxUAsQlMn2Q,326.92,369.68,42.75999999999999,SPEAKER_01,"Y no solo eso, porque además me gusta la gente que tiene humor para afrontar estas cosas, es un tipo que ha logrado varias gestas benéficas como formar parte de la primera expedición de hombres con miembros amputados que cruzan el océano a remo. Y es un grupo, es una embarcación solo formada por gente que tiene como mínimo una pierna amputada. Y entre todos cruzaron el océano atlántico a remo. Pero lo mejor es cómo se llama ese grupo de hombres. Se hacen llamar cuatro hombres, tres piernas. Vas a ver por qué. ¡Fíjalo! Son cuatro hombres, pero efectivamente solo hay tres piernas. Nuestro amigo Nigel, que sepáis que es el segundo por la derecha. El calvo con barba, que me cae fantásticamente bien.",704,125
nxUAsQlMn2Q,369.72,370.72,1.0,SPEAKER_00,"¡Hombre, claro!",15,2
nxUAsQlMn2Q,370.72,371.72,1.0,SPEAKER_01,¡Véalo!,7,1
nxUAsQlMn2Q,371.72,374.96,3.2399999999999523,SPEAKER_00,¡Véalo qué te pasa! Y el otro levantando sus piernas.,53,10
nxUAsQlMn2Q,374.96,399.36,24.400000000000034,SPEAKER_01,"El nombre de cuatro hombres, tres piernas me parece una auténtica genialidad. Y por cierto, a la hora de buscar este foto, he puesto lo de, en inglés, cuatro hombres, tres piernas. Me ha salido el caso de un señor que nació con tres piernas y una cosa... Hacía muchos años y que debían usarlo ahí como... Como una atracción. Sí, en la época en la que no se respetaba mucho a la gente que tenía malformaciones y tal. ¡Hostia, chaval! Y me he quedado también un poco impactado.",475,89
nxUAsQlMn2Q,399.4,401.44,2.0400000000000205,SPEAKER_00,"Sí, esta imagen has preferido no ponerla.",41,7
nxUAsQlMn2Q,401.44,402.92,1.4800000000000182,SPEAKER_01,Ahí está nuestro amigo Nigel.,29,5
nxUAsQlMn2Q,402.92,409.4,6.479999999999961,SPEAKER_00,"Como varón, me molesta que no hagan referencia a sus partes en algún momento.",77,14
nxUAsQlMn2Q,409.4,410.4,1.0,SPEAKER_01,"Ya, ya, ya.",11,3
nxUAsQlMn2Q,410.4,411.4,1.0,SPEAKER_00,Me molesta.,11,2
nxUAsQlMn2Q,411.4,427.12,15.720000000000027,SPEAKER_01,"Bueno, oye, después del grave accidente, las partes de nuestro amigo Nigel siguieron funcionando y ahí está la historia con Sara. Salieron para que os hagáis una idea y tienen relación con España desde San Sebastián de la Gomera, en las Canarias, y llegaron hasta Antigua y Barbuda, todo remando durante cuarenta y pico días. Un momento. O un mínimo con una pierna.",365,63
nxUAsQlMn2Q,428.08,439.12,11.04000000000002,SPEAKER_00,"¿Qué? Pero... ¿Qué es una barbaridad? No estaba ubicando... Yo me imaginaba... Que el Océano Atlántico... Un cruzar, yo qué sé, el estrecho o algo así. Cuarenta y pico días. Cuarenta y pico días.",195,34
nxUAsQlMn2Q,439.12,450.12,11.0,SPEAKER_01,"Pero qué puto zumbado. Y ando con una pierna o ninguna. Que sí, que sí, que sí. Hombre, pesas menos. Ah, ahora... Bueno, ya, hombre. A la hora de remar. Sí, claro, no se ha jodido. Ah, no, ahora va a ser una ventaja, José Alberto Chozas. Ahora va a ser una ventaja.",265,53
nxUAsQlMn2Q,450.12,453.12,3.0,SPEAKER_00,"A ver, la cabeza se la dejó tocada, el laos que está.",53,12
nxUAsQlMn2Q,453.12,485.12,32.0,SPEAKER_01,"Bueno, ya ves que el tío es un ejemplo de superación. Madre de Dios. Además, también he querido recoger unas declaraciones del Guardian, en las que nuestro amigo Nigel se tomó... Porque siempre empiezo con nuestro amigo Nigel, pero es nuestro amigo. Se tomó con humor su accidente y dijo, pido perdón a la gente que estaba en Villa Park porque fueron a ver un partido de fútbol y acabaron viendo a la madre navidad rebotando contra el tejado de su estadio. Hombre, es verdad que... Tela. No hemos terminado... Vale, se lo toma bien. Se lo toma bien. Tuvo dos hijos a raíz del accidente. Genial. Hay razones para sonreír por mucho que lo me he perdido una pierna.",662,120
nxUAsQlMn2Q,485.12,490.0,4.8799999999999955,SPEAKER_00,Este tío cuando entra en el ejército si alguien le dice que iba a perder una pierna en Villa Park... Vestido de Santa Claus.,124,24
nxUAsQlMn2Q,490.0,537.76,47.75999999999999,SPEAKER_01,"Hostias. De Papa Noel. No pensé yo que esto iba a salir así para un veterano de guerra. ¿Creéis que hemos terminado con el paracaidismo de Inglaterra? No. Esta es una historia sin lesiones, pero que también quiero que veáis. Hablamos del partido entre el Salisbury City y el Chester de 2013. Chozas, lo que viene a continuación, quiero que lo veas. Se está desarrollando el juego con total normalidad. Atención porque hay un ataque ahí por el centro del campo, un regatito, un cambio de ritmo. Ahí un poquito que si tal, los moraos... Ahí va. Perdona, ¿qué? Hola, chavales. Mira la gente. Me encanta la gente. Los aficionados de Salisbury City. Se la apela. Ovación cerrada. Ovación cerrada al paracaidista. Buenas tardes. Yo me iba, eh. Yo me estaba yendo. Como si no hubiera pasado nada.",789,138
nxUAsQlMn2Q,537.76,547.44,9.680000000000064,SPEAKER_00,"Vosotros seguid a lo vuestro. Al jugador al que se le está cayendo un poquito y tal. No, pero que se le está cayendo un poquito el paracaidista y se piensa que le va a caer encima la torre Eiffel.",196,40
nxUAsQlMn2Q,547.44,585.32,37.879999999999995,SPEAKER_01,"No me jodas. Bueno, pues ya lo puedes quitar si quieres, Jesús. Ahí tenemos al Liniers completamente impactado. Este hombre formaba parte de un evento benéfico de paracaidistas, pero se encontró con nubes bajas y perdió la referencia del aeródromo en el que tenía que aterrizar. Así que cuando volvió a recuperar cierta visibilidad, solo vio un campo de fútbol y dijo... Allá que voy. Yo sé que esté jugando la jornada del fin de semana, pero me toca. No había otro momento para aterrizar que justo donde estaba jugando. Ya veis que las dos aficiones lo ovacionaron. La policía, por cierto, se lo dijo por interrogarlo y se marchó sin cargos. Muy bien la policía aquí también. Claro, ¿qué iba a decir el muchacho? Pues no, no he sido un terrorista. Es que me he perdido con las nubes. Me he perdido con las nubes.",813,146
nxUAsQlMn2Q,585.32,599.52,14.199999999999932,SPEAKER_00,"Iba a decir habría estado guapo, no habría estado guapo, pero joder que el tío bajé con un ametrallista, con un paracaídas. No habría estado guapo. Claro, por eso digo, iba a decir habría estado guapo, pero no habría estado. O sea, habría estado guapo en una película.",268,48
nxUAsQlMn2Q,602.52,606.52,4.0,SPEAKER_01,"José Alberto Chozas, habría estado guapo que aterrizase en el campo con un ametrallista.",88,14
nxUAsQlMn2Q,607.52,619.52,12.0,SPEAKER_01,"Ese macho. Yo en Valdemoro no sé las cosas que vivís, pero macho, os dejan muy tocado. Vamos con el siguiente consejo. El primero era tírate en paracaídas, el segundo es tírate unos petarditos, hombre.",201,35
nxUAsQlMn2Q,619.52,627.72,8.200000000000045,SPEAKER_00,"Cuidado con el doble significado de esto. En Valdemoro sí que te digo que tirarte unos petardos puede ser otra cosa. Ya, ya, ya.",128,24
nxUAsQlMn2Q,628.72,663.92,35.19999999999993,SPEAKER_01,"Bueno, significado global, ¿vale? Vamos a ver si manejamos las acepciones que están recogidas por la Real Academia Española. A ver, la primera de todas es una cosa seria, pero insisto, no murió nadie. Entonces, bueno, tampoco hubo lesiones muy graves. Hay una señora que sí que tuvo un tema en la cara, pero no más que una herida aparatosa. Pero os tengo que contar que los Wolverhampton Wanderers vuelven a escena por una razón que no les gustaría. Porque un espectáculo pirotécnico prepartido en 2003 en el Molineo antes de un Wolf New Castle, que por si no es suficiente castigo irá a ver un Wolf New Castle encima, te tiene que pasar esto.",643,115
nxUAsQlMn2Q,663.92,669.92,6.0,SPEAKER_00,"También te digo, de Chiripa está aquí la camiseta del New Castle de un vídeo que hemos hecho antes. Se ha quedado aquí de Chiripa, parecen.",139,26
nxUAsQlMn2Q,669.92,679.92,10.0,SPEAKER_01,"Pero esto no es culpa del New Castle, esto es culpa de los Wolves. Porque amigos, en ese espectáculo pirotécnico resulta que varios fuegos artificiales salieron disparados en horizontal en vez de vertical.",205,33
nxUAsQlMn2Q,680.12,681.12,1.0,SPEAKER_00,¡Hor-quida!,11,1
nxUAsQlMn2Q,681.12,686.12,5.0,SPEAKER_01,"Claro, es el ABC de un fuego artificial. El fuego artificial va hacia arriba, porque si va hacia los lados...",109,20
nxUAsQlMn2Q,686.12,687.12,1.0,SPEAKER_00,Se estrella contra alguien.,27,4
nxUAsQlMn2Q,687.12,715.32,28.200000000000045,SPEAKER_01,"...se lia la de Cristo. Bueno, se lió la de Cristo. Hasta ocho aficionados que estaban en la grada salieron heridos por esos proyectiles que salieron en horizontal. Y el feo por aquella época de los Wolverhampton Wanderers, Jess Moxey, dijo que puedo confirmar sin lugar a dudas que no habrá más espectáculos en el Molineo. Porque no hemos matado a alguien de milagro. Imagínate tú ahí en el asiento del Molineo, a fuegos artificiales, ¡pum! en la cara. La madre que me parió.",476,84
nxUAsQlMn2Q,715.32,717.32,2.0,SPEAKER_00,Puedo confirmar sin lugar a dudas.,34,6
nxUAsQlMn2Q,718.32,726.32,8.0,SPEAKER_00,"¡Hombre, hombre! Gracias, Jess. Gracias, Jess. Te lo agradezco. Menos mal que no te quedan dudas. Es verdad que no ha vuelto a haber espectáculo en el Molineo.",159,28
nxUAsQlMn2Q,726.32,748.52,22.199999999999932,SPEAKER_01,"Bueno, el tema es que los Wolves no han aprendido demasiado. Porque en 2019, como ya has visto en la imagen, que les gusta tirar fueguitos y cosas así y tal, que es ante ayer, durante un espectáculo pirotécnico, mira lo que pasó. No dieron a nadie los cohetes. Pero mira el techo, mira el techo de la grada. Todo muy guapo, tal. ¡Uay! Inpectacular. ¡Pim! ¡Vámonos!",364,67
nxUAsQlMn2Q,748.52,751.52,3.0,SPEAKER_00,"Oye, de verdad. ¡Ahhh!",22,4
nxUAsQlMn2Q,751.52,755.52,4.0,SPEAKER_01,"¡Lo aprenden! ¡Mira, mira, mira!",32,5
nxUAsQlMn2Q,755.52,757.52,2.0,SPEAKER_00,"Pero qué cojones, la hostia, qué pega.",38,7
nxUAsQlMn2Q,757.52,758.52,1.0,SPEAKER_01,Es increíble.,13,2
