audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
OVbNGRB6EPg,0.0,84.08,84.08,SPEAKER_01,"Hoy en la media inglesa nos vamos atrás en el tiempo y nos ponemos de gala porque os vamos a decir cuál es la camiseta más bonita de la historia de cada uno de los 20 clubes que forman la Premier League. Un momento, un momento, antes de que arranque el vídeo, dejadme contaros que se acerca un nuevo viaje de la media inglesa. Al fin de semana, el 18 y 19 de octubre viajamos a Inglaterra para vivir en directo a un nuevo partido del Harvard Town como hicimos la temporada pasada. Solo 289 euros, que incluye todo el fin de semana. El viernes saldremos desde Londres en autobús hacia Leicester. Esa noche ya estaremos ahí en Leicester tomando unas cervecillas. Sábado haremos un tour por Leicester por la mañana, nos iremos a Harvard para ver el partido y vivir el tercer tiempo con los muchachos. Por la noche, los que hayan venido a otros viajes ya saben lo que les espera. Y domingo regreso a Londres. ¿Qué incluyen esos 289 euros? Lo que no incluyen son los vuelos, pero sí que incluyen todos los traslados en autobús, dos noches de hotel, desayuno y por supuesto la entrada al partido. Con el enlace que tenéis aquí abajo podéis comprar ya vuestro viaje para acompañarnos para ir juntos con toda la comunidad de la media inglesa a vivir este partido el sábado 18 de octubre. Os esperamos. Estoy algo afónico, Andrés, porque venimos de grabar un vídeo para miembros jugando al ping pong y yo las cosas no me las tomo a medias, me las tomo muy en serio.",1456,269
OVbNGRB6EPg,84.08,86.08,2.0,SPEAKER_00,"Mucho gritito, ¿no? Mucho alarido.",34,5
OVbNGRB6EPg,86.08,91.36,5.280000000000001,SPEAKER_01,"Mucho alarido, mucho lirili, mucho lerele.",42,6
OVbNGRB6EPg,91.36,92.8,1.4399999999999977,SPEAKER_00,"Es más lerele que lirili, posiblemente.",39,6
OVbNGRB6EPg,92.8,99.84,7.040000000000006,SPEAKER_01,"Mucho lorolo y muy poco ping pong. Vale. Esto también es importante destacarlo, se ríe uno de los causantes de que le haces",123,23
OVbNGRB6EPg,99.84,101.84,2.0,SPEAKER_00,eso. ¿Qué tal se te ha dado el asunto?,38,9
OVbNGRB6EPg,101.84,111.6,9.759999999999991,SPEAKER_01,"No diré nada. Vale. No diré nada, pero sí diré que quien lleve tiempo viendo el desempeño en la media inglesa de cualquier cosa que implique un juego competitivo sabrá cómo se me ha dado.",187,35
OVbNGRB6EPg,111.6,118.84,7.240000000000009,SPEAKER_00,"Vale, bueno, me parece más que suficiente. ¿Crees que vamos a tener consenso en las camisetas que vamos a ver hoy?",114,21
OVbNGRB6EPg,118.84,120.68,1.8400000000000034,SPEAKER_01,"No lo sé, no lo sé, la verdad.",30,8
OVbNGRB6EPg,120.68,122.72,2.039999999999992,SPEAKER_00,Yo creo que hay alguna que no te va a acabar de gustar.,55,13
OVbNGRB6EPg,122.72,124.72,2.0,SPEAKER_01,"Alguna no va a caer bien, ¿no? En mi…",37,9
OVbNGRB6EPg,124.72,137.6,12.879999999999995,SPEAKER_00,"En ti y posiblemente tampoco en la comunidad. Quiero mandar un aviso, ¿vale? Posiblemente… Lo has hecho tú, el ranking es tuyo. El ranking es mío. Puede que aquellos a los que no os gustan los cuellos de polo…",209,39
OVbNGRB6EPg,137.6,141.0,3.4000000000000057,SPEAKER_01,"Adiós, la luz. Son todo cuellos de polo.",40,8
OVbNGRB6EPg,141.0,175.8,34.80000000000001,SPEAKER_00,"Tiene que irse a un momento por sobre estímulos de cuellos de polo. Pero no es mi culpa, Nacho, que entre 1985 y 2005 una de cada dos camisetas de los clubes llevaba cuellos de polo. Bueno, tranquilo, que quedan tres personas viendo el vídeo. No es mi culpa. El resto ya es en el rostro. Bueno, empezamos con una que no tiene cuellos de polo, si te parece, Nacho. Con orden alfabético, que es el Arsenal. Y aquí podía haber escogido la mítica de la diosa Haybury, pero aunque no es una camiseta preciosa como tal, a mí me parece la mejor camiseta de Arsenal en toda su historia, la Bruce Banana, llevada entre el 91 y el 93.",624,120
OVbNGRB6EPg,175.8,187.88,12.079999999999984,SPEAKER_01,"No acepto un no por respuesta, porque es una camiseta que nunca ha tenido nada ni parecido. De hecho, los rumores indican, según Foot y Headlines, que en la próxima temporada va a haber una inspirada en la Bruce Banana.",219,40
OVbNGRB6EPg,187.88,195.8,7.920000000000016,SPEAKER_00,"¿Has visto los intentos de acercamiento de Foot y Headlines a la camiseta? Sí, sí. Son las dos horribles. Sí, lo bueno.",119,22
OVbNGRB6EPg,196.12,208.92,12.799999999999983,SPEAKER_01,"Como no hagan una cosa muy parecida a esta, pues no será horrible. A ver, entiendo a la gente que diga que es horrorosa. Hay camisetas que es que hay que entender que hay una compatibilidad entre ser horrorosa y ser preciosa. Este es el ejemplo.",245,46
OVbNGRB6EPg,208.92,226.56,17.640000000000015,SPEAKER_00,"Sí, y es icónica. Es una camiseta, además, ahora que se lleva esto de llevar camisetas retro como ropa de vestir y tal, es una camiseta muy llevable como ropa de vestir. Hombre, llevable no lo veo. Sí, es muy llevable. El logo de adidas antiguo, la publicidad que no molesta, el logo también, el escudo antiguo del Arsenal.",323,59
OVbNGRB6EPg,226.56,261.72,35.160000000000025,SPEAKER_01,"Llevable, llevable no es la palabra. Me parece llevable. Pero es icónica, es icónica. Puedo entenderlo. Lo que pasa es que el Arsenal ha tenido camisetas muy bonitas a lo largo de su historia. Yo no soy tan fan como todo el mundo de la de la de la homenaje a Haybury porque me parece bonita pero creo que gana con toda la equipación y con la mística que tenía esa temporada. Pero la camiseta como tal no es necesariamente la más bonita de la historia del Arsenal. Me gusta aquella del rayo azul, alguna de rojo y blanco, yo incluso la pondría a lo mejor por encima de aquella granate, pero estoy contento con esta decisión.",623,117
OVbNGRB6EPg,261.72,285.36,23.639999999999986,SPEAKER_00,"Muy bien. Vamos a la siguiente que es el Aston Villa, una camiseta también muy mítica, local, también de los años 90, va a haber muchos años 90. Lo siento, es la época dorada de las camisetas de fútbol con la camiseta local que llevaron entre el 90 y el 92, una muy mítica con mita copiers, esos triangulitos de fondo, los patrones alocados en las mangas y evidentemente el primer cuello de polo del vídeo que no el último.",423,80
OVbNGRB6EPg,285.36,294.44,9.079999999999984,SPEAKER_01,"Muy bien, muy bien, me encanta esta camiseta, además de humbro que siempre ya sabéis que me ha gustado mucho, esta todavía hoy se sigue viendo, creo que hecho Pablo la tiene.",174,32
OVbNGRB6EPg,294.44,305.24,10.800000000000011,SPEAKER_00,"Es que JD, bueno, Scordro vendió a través de JD Sports unas... Le quitan humbro. Sí, y pone el Scordro y ya está. Y tira para adelante.",135,27
OVbNGRB6EPg,305.24,307.04,1.8000000000000114,SPEAKER_01,Muy bonita esta camiseta.,25,4
OVbNGRB6EPg,307.16,310.96,3.7999999999999545,SPEAKER_00,"Y me gusta el detalle del cuello, de los diferentes colores ahí al fondo del cuello.",84,16
OVbNGRB6EPg,310.96,319.24,8.28000000000003,SPEAKER_01,"Sí, ese borde en el cuello muy chulo, los detalles de las mangas, los colores además respetando la identidad cromática de la Aston Villa, lo tiene todo esta camiseta.",166,29
OVbNGRB6EPg,319.24,338.44,19.19999999999999,SPEAKER_00,"Lo tiene todo y es muy bonita. Vamos a una visitante que puede ser muy llamativa y que fue reeditada hace poco, que es la del Borwood, visitante entre el 96 y el 98, mitad amarilla, mitad azul marino barra negro. Camiseta, puede ser polémica.",242,45
OVbNGRB6EPg,338.44,339.44,1.0,SPEAKER_01,"Sí, lo es, lo es.",17,5
OVbNGRB6EPg,339.44,343.56,4.1200000000000045,SPEAKER_00,"A mí me gusta mucho, me gusta mucho. A ti no, ¿no?",50,12
OVbNGRB6EPg,343.56,366.0,22.439999999999998,SPEAKER_01,"Jesús, ¿qué opinas? Es horrible. Es horrible. A mí, a mí no me gusta, no te voy a engañar. No me gusta el cuello, no me gusta, ese cuello a medio camino entre el cuello de polo, una especie de cuello de pico cerrado, no me gusta cómo queda en esta camiseta, no me gusta el contraste de los bordes rojos de la publicidad y del escudo.",333,67
OVbNGRB6EPg,366.0,367.0,1.0,SPEAKER_00,Es lo único malo que tiene.,27,6
OVbNGRB6EPg,367.0,370.48,3.480000000000018,SPEAKER_01,"Con el amarillo y con el azul, no me gusta.",43,10
OVbNGRB6EPg,370.48,372.48,2.0,SPEAKER_00,A mí me gusta. No me gusta.,27,7
OVbNGRB6EPg,372.48,376.56,4.079999999999984,SPEAKER_01,A mí me gusta y además... Creo que habría elegido alguna roja y negra del Borwood.,82,16
OVbNGRB6EPg,376.56,384.16,7.600000000000023,SPEAKER_00,"Puede ser, estaba entre una roja y negra del 2001 o 2002 o algo así y esta, pero esta me ha parecido original y diferente y he querido resaltar.",144,29
OVbNGRB6EPg,384.16,385.16,1.0,SPEAKER_01,A Bucheo para Andrés.,21,4
