audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
cvofPcZn1J0,0.0,8.0,8.0,SPEAKER_00,"¿Qué país puede montar ahora mismo, con la Premier League actual, el mejor once posible? Hoy lo vas a descubrir.",112,20
cvofPcZn1J0,12.0,22.0,10.0,SPEAKER_00,"Andrés, la guerra de las naciones. La guerra de las naciones. Un gallego con suadera. Un madrileño manga corta. Eres una vergüenza para tu tierra.",146,25
cvofPcZn1J0,22.0,35.0,13.0,SPEAKER_01,"Debo decir que ha sido sentarme ante los focos y estoy asándome de calor. Pero una vez hemos asumido esto, yo ya voy a acabar este vídeo con suadera como inaugurando la época de suaderas de Madrid.",197,37
cvofPcZn1J0,35.0,36.0,1.0,SPEAKER_00,Me acabo de acordarte una cosa.,31,6
cvofPcZn1J0,36.0,37.0,1.0,SPEAKER_01,¿De qué cosa?,13,3
cvofPcZn1J0,37.0,41.0,4.0,SPEAKER_00,Estoy metiéndome entre pecho y espalda estos días la serie de Farinha.,70,12
cvofPcZn1J0,41.0,44.0,3.0,SPEAKER_01,¡Oh! Seriaza. Javi... ¿cómo se llama el...?,43,7
cvofPcZn1J0,44.0,48.0,4.0,SPEAKER_00,Muchas referencias al Z de Vigo y al Dépor.,43,9
cvofPcZn1J0,48.0,52.0,4.0,SPEAKER_01,Uno de los jugadores del equipo de Sito Meñanco es el padre de Braz Mendes.,75,15
cvofPcZn1J0,52.0,54.0,2.0,SPEAKER_00,¡No jodas! No sabía yo esto.,28,6
cvofPcZn1J0,55.0,76.0,21.0,SPEAKER_00,"Bueno, de igual. No puedo hacer spoilers. Una cosa que me gusta es entender lo que dicen porque disfruto mucho pensando en gente que ha aprendido español, extranjera, un inglés de la vida, que dice, guay, a control del español, que lleva viviendo en España cinco años. Te pones farinha y estoy seguro que a Laureano Ubiña no entiendes ni una palabra.",350,62
cvofPcZn1J0,76.0,77.0,1.0,SPEAKER_01,"Y a Charlin, que...",19,4
cvofPcZn1J0,77.0,87.0,10.0,SPEAKER_00,"¡Guay! Y yo ahí diciendo, qué bien que les entiendo. ¡Jodete, extranjero, que crees que sabes español y no sabes nada! Esto es como cuando nosotros escuchamos una peli irlandesa. ¿Qué no entendemos de una palabra?",213,36
