audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words
jiBA9nwVfWU,0.0,31.24,31.24,SPEAKER_01,"¿Te gusta salir del bar y oler a choto? ¿Te gusta comer con las manos y que acaben llenas de aceite, de grasa? ¿Te gusta poner la música alta en el coche? ¿Te gusta ir contra las normas? ¿Te ponen una multa y dices la pago con honor? ¿Esto es una medalla para mí? Pues este es tu vídeo porque amigo Sean Dyche ha vuelto a la Premiere",333,68
jiBA9nwVfWU,39.68,49.56,9.880000000000003,SPEAKER_01,"Me he debatido, Pablo Me he debatido si hacer este vídeo sin camiseta ¿Sabes por qué? Porque no me he depilado",110,21
jiBA9nwVfWU,49.56,58.28,8.719999999999999,SPEAKER_00,"Tú te has debatido, yo te comunico que estoy haciendo este vídeo sin pantalones No, no, mira A ver, tienes que pillar No, no, mira, mira ¡Hacemos dos! ¿Y eso? ¡Chocad!",167,31
jiBA9nwVfWU,59.24,63.76,4.519999999999996,SPEAKER_00,"Si la gente tiene hambre aquí tiene merienda por parte de Nacho ¡Hombre, caballero!",83,14
jiBA9nwVfWU,63.76,66.28,2.520000000000003,SPEAKER_01,Ya sabéis de todas maneras que la 9mm mata igual,48,10
jiBA9nwVfWU,66.28,78.76,12.480000000000004,SPEAKER_00,"¿Cuántos vídeos se graba contigo? Bueno, 300 Creo que has sido tu mejor intro Te doy la enhorabuena Además no me la esperaba Por eso se me ha escuchado la risa hasta que me silencia",181,35
jiBA9nwVfWU,78.76,96.96,18.19999999999999,SPEAKER_01,"A los grandes autores Lo que pasa es que la obra en sí el mérito nada tiene el autor, la inspiración Y mi inspiración no es otra que el regreso de Sean Dyche ya no al fútbol ¿Qué digo al fútbol? A nuestras vidas Un hombre que jamás se debió oír y que ahora retorna como retornó el rey en la Tierra Media",303,63
jiBA9nwVfWU,96.96,103.92,6.960000000000008,SPEAKER_00,Literalmente a la luz de... ¿Cómo es? Al quinto día la luz del... No Al quinto día al Alba Miraleste Era algo así,113,23
jiBA9nwVfWU,103.92,105.12,1.2000000000000028,SPEAKER_01,Lo estoy viendo llegar,22,4
jiBA9nwVfWU,105.12,108.36,3.239999999999995,SPEAKER_00,con los rojirrim Mientras sube el sol aparece ahí,49,9
jiBA9nwVfWU,108.36,112.4,4.040000000000006,SPEAKER_01,con la espada blandiéndola ahí ¡Vamos por la libertad!,54,9
jiBA9nwVfWU,112.4,113.96,1.559999999999988,SPEAKER_00,Está Gandalf y los rojirrim,27,5
jiBA9nwVfWU,113.96,115.32,1.3599999999999994,SPEAKER_01,"Se está haciendo mezcla de pelitos, da igual",44,8
jiBA9nwVfWU,115.72,119.68,3.960000000000008,SPEAKER_00,"Chris Wood Tenemos un poquito... Sí, Cork Cork también está por ahí",67,12
jiBA9nwVfWU,119.68,123.88,4.199999999999989,SPEAKER_01,Viene también Tarkovsky Chris Wood ¿Chris Wood son los árboles? Claro ¿Qué les ayudaron?,88,14
jiBA9nwVfWU,123.88,129.88,6.0,SPEAKER_00,Mucho meme Luego lo veremos de lo feliz que está Chris Wood de volver a tener a Sean Dyche Lo primero que hay que decir,119,25
