start_sec;end_sec;speaker;text
0.000;8.000;SPEAKER_00;Hoy vamos a analizar 10 decisiones que tienen que tomar 10 de los 20 entrenadores de la liga tras este nuevo comienzo.
8.000;16.000;SPEAKER_00;Para muchos entrenadores este parón les sirve para meter en dinámica fichajes, para trabajar cosas, futbolistas que se recuperan.
16.000;20.000;SPEAKER_00;Y hay varias decisiones que nos parecen trascendentales y que tienen que tomar.
20.000;22.000;SPEAKER_01;No hay ningún entrenador que tenga que tomar dos decisiones, ¿no?
22.000;24.000;SPEAKER_01;Hay alguno, pero no. Solo uno. Solo uno.
24.000;25.000;SPEAKER_00;Solo uno. Solo uno.
25.000;26.000;SPEAKER_00;Ten el objetivo.
26.000;28.000;SPEAKER_00;10 entrenadores, 10 decisiones. Vale, vale.
28.000;30.000;SPEAKER_00;12 meses, 12 vidas.
30.000;32.000;SPEAKER_00;12 causas.
32.000;37.000;SPEAKER_00;Bueno, arrancamos con Sergio Francisco, técnico de la Real Sociedad.
37.000;43.000;SPEAKER_00;Creo que es un tema muy interesante porque está ligado al gran rendimiento de Miquel Hoyarzabal como 9 de la selección española.
43.000;47.000;SPEAKER_00;Ya analizamos el otro día. El contexto es completamente diferente.
47.000;52.000;SPEAKER_00;Yo, por ejemplo, en el Miquel Hoyarzabal delantero centro no creo tanto en esta Real Sociedad.
53.000;59.000;SPEAKER_00;Sí que creo más en su versión en banda izquierda o incluso en la media punta, cosa que hemos visto durante los partidos.
59.000;64.000;SPEAKER_00;Pero una cosa es lo que creo yo y otra es la que cree Sergio Francisco, que es lo que importa.
64.000;66.000;SPEAKER_00;Y todavía no sabemos por qué va a apostar.
66.000;71.000;SPEAKER_03;Segunda parte ante el español en la primera media hora frente al Real Oviedo.
71.000;75.000;SPEAKER_03;A mí me convenció mucho esa posición de Miquel Hoyarzabal por detrás de Óscar Soler.
75.000;78.000;SPEAKER_00;Pero con la llegada de Soler, con tanto media punta...
78.000;79.000;SPEAKER_03;Sí, pero ahora no están.
79.000;81.000;SPEAKER_03;Ahora por el momento no van a estar.
81.000;85.000;SPEAKER_03;O por lo menos de Ángel, que creo que es el que más le puede hacer crecer a la Real Sociedad en esa idea y vuelta.
85.000;92.000;SPEAKER_03;Yo, sinceramente, me sigo convenciendo o sigo convencido, mejor dicho, de que Hoyarzabal es el 10 que necesita la Real Sociedad.
92.000;95.000;SPEAKER_03;Sobre todo teniendo en cuenta el tipo de 9 que tiene la Real.
95.000;97.000;SPEAKER_03;Me parece que con Guedes y con O'Reilly puede encajar bien.
97.000;99.000;SPEAKER_00;Yo es que soy partidario de...
99.000;101.000;SPEAKER_00;A mí Barrenechea...
101.000;103.000;SPEAKER_00;Yo esperaba mucha más evolución.
103.000;108.000;SPEAKER_00;Creo que Barrenechea desde el rol de suplente puede aportar más y ser más importante para el equipo.
108.000;110.000;SPEAKER_00;Entonces, ver a un...
110.000;120.000;SPEAKER_00;...Yángel más Gorrocha en banda izquierda, Hoyarzabal en la media punta, Carlos Soler o Guedes en derecha,
120.000;124.000;SPEAKER_00;a Taque Cubo y arriba O'Ríos Casón, que por cierto se tiene que recuperar de los problemas físicos.
124.000;126.000;SPEAKER_00;A mí eso me encaja bastante.
126.000;128.000;SPEAKER_00;Veo más a Miquel en esa banda.
128.000;134.000;SPEAKER_00;Lo que pasa es que es verdad que el lateral izquierdo de largo recorrido, que podía ser Javi López, no lo va a ser ya.
134.000;140.000;SPEAKER_02;Sí, y esto es importante porque pierdes esa profundidad, ese vuelo por ese costado, porque Hoyarzabal no te lo va a dar.
