start_sec;end_sec;speaker;text
0.000;6.440;SPEAKER_03;El otro día, Alés de Llano me propuso que teníamos que hablar de el mejor futbolista
6.440;10.080;SPEAKER_03;que estuvo solo un año en los 20 equipos de la Liga.
10.080;11.080;SPEAKER_03;Vale, como ha dado.
11.080;12.760;SPEAKER_03;Es decir, bueno, el mejor futbolista de cada equipa.
12.760;13.760;SPEAKER_03;De cada equipa, sí, sí.
13.760;19.720;SPEAKER_03;Pero me refiero a este tipo de análisis que hacemos, de balance, hablando de futbolistas
19.720;23.600;SPEAKER_03;que por una cosa u otra son icónicos en los 20 equipos que tenemos en la primera división
23.600;24.600;SPEAKER_03;española.
24.600;28.240;SPEAKER_03;Me pareció un tema muy interesante porque son historias efímeras, al final un año
28.240;29.240;SPEAKER_03;como máximo.
29.240;32.320;SPEAKER_03;No tiene más tema, pero muy potentes y variadas.
32.320;33.320;SPEAKER_03;Un poquito de todo.
33.320;38.200;SPEAKER_03;Nos hemos dividido los equipos y yo en los míos he encontrado de todo tipo y condición.
38.200;39.200;SPEAKER_01;Ha tocado rebuscar mucho.
39.200;40.200;SPEAKER_01;A mí ha salido fácil.
40.200;47.360;SPEAKER_00;Yo he tenido que preguntar a tres o cuatro aficionados de ese club y no he terminado
47.360;48.360;SPEAKER_00;contento con la elección.
48.360;49.360;SPEAKER_00;Es complicado.
49.360;52.080;SPEAKER_01;Es difícil, pero es un reto chulo.
52.080;55.440;SPEAKER_00;Pero con otros he terminado muy contento y de hecho en uno ha habido hasta ayuda divina.
56.440;57.440;SPEAKER_01;De Dios.
57.440;59.440;SPEAKER_03;¿Me puedes decir en cuál?
59.440;62.440;SPEAKER_03;Para cuando lleguemos estar preparado.
62.440;64.440;SPEAKER_00;Es que te quiero sorprender, claro.
64.440;69.440;SPEAKER_03;Bueno, arrancamos con el Deportivo Alavés, con el glorioso.
69.440;72.440;SPEAKER_03;¿Un año le bastó para ser memorable a quién?
72.440;74.440;SPEAKER_01;A Marcos Llorente en el Deportivo Alavés.
74.440;75.440;SPEAKER_01;Ah, mira.
