start_sec;end_sec;speaker;text
0.000;3.560;SPEAKER_01;Arrancan los juegos del hambre.
4.240;7.480;SPEAKER_01;Del 1 al 10, ¿cuántas ganas tenéis de este draft?
9.000;11.400;SPEAKER_03;Yo siempre los draft un 10.
12.800;13.800;SPEAKER_03;Un 11.
15.920;16.920;SPEAKER_02;Un 13.
16.920;18.720;SPEAKER_??;¿Qué pasa, pizarritas?
18.720;20.720;SPEAKER_??;Hoy tenemos un draft internacional
20.720;22.720;SPEAKER_??;por el que Nahuel Miranda ya se ha creado
22.720;24.720;SPEAKER_??;un par de veces en los minutos previos
24.720;28.720;SPEAKER_01;porque es verdad que el reto es complicado, ¿vale?
28.720;33.720;SPEAKER_01;El reto es formar al mejor equipo del fútbol europeo
33.720;35.720;SPEAKER_01;en el siglo XXI,
35.720;37.720;SPEAKER_01;y el mejor equipo de la historia.
37.720;39.720;SPEAKER_01;Y el mejor equipo de la historia.
39.720;41.720;SPEAKER_01;Y el mejor equipo de la historia.
41.720;43.720;SPEAKER_01;Y el mejor equipo de la historia.
43.720;45.720;SPEAKER_01;Y el mejor equipo de la historia.
45.720;50.720;SPEAKER_01;En el siglo XXI, con varios requisitos, varias limitaciones.
50.720;52.720;SPEAKER_01;Un jugador por club
52.720;56.720;SPEAKER_01;y un jugador por país.
56.720;60.720;SPEAKER_01;En el país contamos dónde ha sido internacional
60.720;64.720;SPEAKER_01;y en el club contamos dónde ha jugado más partidos.
64.720;66.720;SPEAKER_01;Es decir, no podemos decir
66.720;69.720;SPEAKER_01;Cristiano Ronaldo es Sporting de Portugal.
69.720;71.720;SPEAKER_01;Ni Juve.
71.720;73.720;SPEAKER_01;Tendríamos que decir Real Madrid.
73.720;75.720;SPEAKER_01;Porque Leo Messi no valdría con el PSG
75.720;77.720;SPEAKER_01;solo con el FC Barcelona.
77.720;79.720;SPEAKER_01;En el caso de que algún jugador,
79.720;81.720;SPEAKER_01;que me parece complicado,
