start_sec;end_sec;speaker;text
0.000;5.120;SPEAKER_01;El otro día, Pizzarritas, hablamos de jugadores más bonitos que buenos.
5.560;7.040;SPEAKER_01;Hoy le damos la vuelta.
7.040;11.520;SPEAKER_01;Vamos con futbolistas más efectivos que estéticos.
20.120;22.080;SPEAKER_01;¿Qué pasa, Pizzarritas?
22.080;26.880;SPEAKER_01;Normalmente se suele decir eso de este jugador es más bonito que bueno,
26.880;28.920;SPEAKER_01;no es una crítica velada,
29.480;32.720;SPEAKER_01;pero hoy le vamos a dar la vuelta para hablar de esos futbolistas
33.000;38.040;SPEAKER_01;que quizás estéticamente, visualmente no nos llenan demasiado los ojos,
38.040;42.160;SPEAKER_01;no llenan demasiado los highlights, pero que son tremendamente buenos.
42.720;44.280;SPEAKER_01;Yo le he estado dando vueltas, chicos.
44.280;46.240;SPEAKER_01;Qué tal, Adri, Alex, Nao, ¿cómo estáis?
46.600;47.720;SPEAKER_01;Qué tal.
47.720;49.800;SPEAKER_01;Qué tal. Y me ha costado.
49.800;51.560;SPEAKER_01;Me cuesta ver.
51.560;55.320;SPEAKER_01;Es chungo, porque al final los que son buenos
55.360;59.240;SPEAKER_01;tienen cosas muy bonitas, por cualquier razón.
59.240;64.760;SPEAKER_01;O sea, un jugador que golpea muy bien el balón, un regateador, un gran portero.
64.920;67.280;SPEAKER_01;Es complicado coger casos,
67.800;74.120;SPEAKER_01;pero me ha salido una lista chula que, si os parece, inauguro con el jugador
74.120;76.680;SPEAKER_01;que primero me vino a la mente.
77.080;78.760;SPEAKER_01;Pedro Rodríguez.
79.200;84.360;SPEAKER_01;Pedro era un jugador que no te llenaba visualmente, era rápido.
84.360;88.600;SPEAKER_01;Sí, pero tenías que descifrarle, tenías que entender cómo jugaba,
89.000;90.440;SPEAKER_01;entender su valor.
90.440;94.160;SPEAKER_01;Un jugador luego que ha hecho muchas cifras sin tener ningún
95.080;97.560;SPEAKER_01;como se dice en Estados Unidos, signature move, ninguna jugada.
97.960;102.240;SPEAKER_01;Y me parece ese ejemplo perfecto de ser mucho más bueno que bonito.
102.480;104.680;SPEAKER_03;Y encima vigente. Claro.
104.680;109.800;SPEAKER_01;Yo esto lo considero un elogio, lo considero un elogio, porque creo que a Pedro,
110.160;112.040;SPEAKER_01;se le llegó a infravalorar por esto,
112.080;115.280;SPEAKER_01;porque no te entraba rápido por el ojo, aunque se le veía muy bueno.
116.040;118.480;SPEAKER_00;Tiene un signature move de Pedrito la frontal.
118.840;120.680;SPEAKER_00;Sí, sí, sí, sí.
121.720;125.280;SPEAKER_03;Ehh, en esa escuela.
125.680;130.680;SPEAKER_00;De esa escuela yo creo que es fácil tirar del hilo y salen unos cuantos.
130.680;133.400;SPEAKER_03;¿A qué llamáis escuela? Escuela Canarias.
133.400;135.320;SPEAKER_00;Delantero esforzado, delantero esforzado.
135.320;138.120;SPEAKER_03;Yo, bueno, yo tiraba por cantera a Barça,
138.160;142.360;SPEAKER_03;porque a mí me con esto que has comentado de Pedro me viene a la cabeza.
142.440;146.120;SPEAKER_03;Yo creo nuestras primeras sensaciones quizá cuando salió Cuenca.
147.600;149.760;SPEAKER_01;Pero Cuenca era al revés.
149.760;152.080;SPEAKER_01;Cuenca era más bonito que bueno, no?
152.080;154.280;SPEAKER_03;Yo yo yo creo que Cuenca bonito.
154.280;156.880;SPEAKER_03;La guardiola, no? Yo creo que Cuenca bonito.
157.800;159.280;SPEAKER_03;No vamos a ver.
159.280;161.440;SPEAKER_00;Hay jugadores que no son ni bonitos ni buenos.
161.480;163.880;SPEAKER_03;Claro, claro. Cuando salió era bueno.
163.880;167.240;SPEAKER_03;Ostras, fue titular en aquel Barça durante bastante tiempo.
167.880;170.600;SPEAKER_00;Bueno, durante un tiempo dijimos oye, Cuenca existe.
171.840;173.000;SPEAKER_01;Guardiola dijo que no era bonito.
173.000;174.960;SPEAKER_03;Creo que hay nombres mejores. Creo que hay nombres.
174.960;175.880;SPEAKER_03;No, bueno, sí, sí.
175.880;177.720;SPEAKER_03;Yo no, no, este no estaba en mi lista.
177.720;179.880;SPEAKER_03;He dicho que a raíz de lo que has comentado.
179.880;182.440;SPEAKER_01;¿Quieres que hablemos de Jeffren?
182.440;183.480;SPEAKER_01;No.
184.920;187.120;SPEAKER_02;Yo tengo, venga, salto yo, salto yo el mío.
187.120;190.360;SPEAKER_02;El el mejor que tengo de la lista.
191.960;197.200;SPEAKER_02;Es verdad, es verdad que ha tenido detalles preciosos en su carrera.
197.480;198.720;SPEAKER_01;Te lo adivino.
199.400;200.360;SPEAKER_02;¿Quién es?
200.360;201.760;SPEAKER_01;F.M.
203.160;205.200;SPEAKER_02;No, no, no.
205.200;206.680;SPEAKER_03;¿Quién es F.M.?
206.680;208.280;SPEAKER_01;Ferland Mendy.
208.280;208.720;SPEAKER_01;No, no.
208.720;211.680;SPEAKER_01;Creía que estaba hablando de las ruletas de Ferland Mendy en salida balón.
211.680;213.240;SPEAKER_01;Ferland Mendy es más bueno que bonito.
213.240;214.760;SPEAKER_01;Este es un ejemplo clarísimo.
214.760;216.680;SPEAKER_02;Yo veo a uno muchísimo mejor.
216.680;219.080;SPEAKER_02;Hablamos de uno de los mejores de siempre.
220.920;224.520;SPEAKER_02;Fuera del área, el tipo se trastabella siempre.
224.520;226.520;SPEAKER_02;No es un delantero bonito,
226.600;228.920;SPEAKER_02;pero es que se la lleva siempre que lo intenta.
229.920;231.200;SPEAKER_02;Luis Alberto Suárez.
232.840;233.840;SPEAKER_02;Bueno.
233.840;235.560;SPEAKER_02;Es mucho más bueno que bonito.
235.560;236.840;SPEAKER_01;Estoy de acuerdo.
236.840;237.800;SPEAKER_01;No es...
237.800;240.120;SPEAKER_01;Claro, tiene mucha más técnica.
240.840;243.960;SPEAKER_02;Las definiciones, sí, ojo, he dicho que tiene definiciones supertores.
243.960;244.960;SPEAKER_02;Pero estoy de acuerdo.
244.960;247.280;SPEAKER_02;Pero es un delantero bonito.
248.840;250.240;SPEAKER_00;Estoy de acuerdo.
250.240;251.800;SPEAKER_00;Pero hay jugadores...
253.440;255.480;SPEAKER_00;Bastante más feos.
255.880;258.480;SPEAKER_03;Yo iba a decir que Luis Suárez...
258.480;259.480;SPEAKER_03;Claro.
259.840;260.840;SPEAKER_03;Ahora...
260.840;262.640;SPEAKER_03;O sea, Luis Suárez de ahora...
263.640;266.600;SPEAKER_03;Es bueno, porque sigue siendo bueno en la definición,
266.600;270.280;SPEAKER_03;pero si tenía algo de preciosidad, la ha perdido.
271.640;274.520;SPEAKER_01;A ver, yo creo que el Suárez más bonito
274.520;276.960;SPEAKER_01;era el inicial.
276.960;278.440;SPEAKER_01;Esto se suele decir siempre, ¿no?
278.440;283.200;SPEAKER_01;Pero a mí era cuando jugaba en banda o en los años en Liverpool.
283.240;285.520;SPEAKER_01;Yo estoy de acuerdo con lo que dice, porque...
287.240;290.640;SPEAKER_01;No era muy fino o no parecía muy fino.
290.640;293.200;SPEAKER_01;Esto se habla más de parecer que otra cosa, pero era tremendo.
293.200;294.720;SPEAKER_00;Se escapa un control.
294.720;297.360;SPEAKER_00;No tiene una carrera especialmente fea.
297.360;299.760;SPEAKER_00;O sea, una carrera de forma de correr, quiero decir.
299.760;302.000;SPEAKER_00;La carrera de Suárez...
302.000;305.000;SPEAKER_03;Y ese recorte de este...
306.160;307.760;SPEAKER_00;Pero es que lo va a hacer toda la vida.
307.760;308.760;SPEAKER_00;Es buenísimo.
308.760;311.360;SPEAKER_00;Claro, pero ese recorte el que dices tú...
311.360;313.160;SPEAKER_01;Pero es feo, no es feo.
313.200;315.960;SPEAKER_01;Pero es mucho más bueno que bonito.
315.960;317.960;SPEAKER_01;Mira, mira.
317.960;319.160;SPEAKER_01;Un ejemplo.
319.160;320.840;SPEAKER_01;Pero es que... ¿Qué decir?
320.840;321.840;SPEAKER_01;No te parece...
321.840;325.200;SPEAKER_01;Un jugador más bueno que bonito, creo que hay muchos en general.
325.200;326.400;SPEAKER_01;Pero no te parece que aquí...
326.400;328.120;SPEAKER_01;Pero tiene que ser especialmente feo.
328.120;329.920;SPEAKER_01;Vale. O sea, no te encaja Haaland,
329.920;331.960;SPEAKER_01;porque lo tenía también a Haaland.
331.960;333.640;SPEAKER_03;Yo tengo un nombre polémico.
333.640;335.240;SPEAKER_00;Haaland es... Haaland...
335.240;338.880;SPEAKER_03;Un poco más que Suárez, claro, es que...
338.880;340.760;SPEAKER_02;Un poco más que Suárez.
340.760;342.960;SPEAKER_01;Nao, tu ejemplo perfecto.
343.000;345.640;SPEAKER_02;La escuela uruguaya se presta mucho a este vídeo.
345.640;346.640;SPEAKER_02;Sí, es verdad.
346.640;347.640;SPEAKER_02;Eso es verdad.
