start_sec;end_sec;speaker;text
0.000;6.600;SPEAKER_00;Hoy queremos ponernos pizarritas de verdad para analizar cómo está evolucionando el fútbol en
6.600;12.120;SPEAKER_00;relación a los esquemas, a los dibujos, los sistemas en estos últimos años. Siempre decimos
12.120;18.800;SPEAKER_00;que lo que funcionaba ayer no funciona hoy, mañana ya ni te cuento. Así que hay que estar
18.800;24.000;SPEAKER_00;constantemente dándole vueltas a qué hacer con el balón, cómo ocupar el espacio y de qué manera
24.000;31.080;SPEAKER_00;puedes ir minimizando, al contrario. A partir de esta premisa hay varias cositas que queremos
31.080;35.680;SPEAKER_00;comentar hoy acerca de las nuevas tendencias en los esquemas y dibujos de los equipos,
35.680;41.280;SPEAKER_00;porque chicos cada vez tiene menos sentido esto que hacemos los periodistas de analizarlo como
41.280;45.720;SPEAKER_00;una foto fija. Entiendo que claro en el periódico tienes que dibujar de alguna manera el esquema,
45.720;50.080;SPEAKER_00;que cuando nosotros estamos hablando aquí no podemos entrar en muchos detalles por
50.080;57.320;SPEAKER_00;menorizados, pero decir que este equipo juega en 4-3-3 en fases sí y en fases no. Y cada vez
57.320;62.040;SPEAKER_00;contiene menos información. Siempre ha sido aquello de que los esquemas son números de teléfono,
62.040;66.400;SPEAKER_00;que no sirven para tanto, que los jugadores se mueven, pero es que cada vez sirven para menos.
66.400;70.920;SPEAKER_02;Sí, es cierto, es cierto porque cambia mucho el rol y las posiciones de los futbolistas durante
70.920;75.200;SPEAKER_02;los partidos. Nos gustan más o menos los entrenadores, cada vez tienen más mano en los
75.200;78.840;SPEAKER_02;encuentros y más lo hemos visto ahora con los parones de hidratación, donde muchos aprovechan
78.840;83.040;SPEAKER_02;para dar instrucciones. Yo recuerdo una frase muy buena de Mendy Libar en una rueda de prensa diciendo
83.040;89.240;SPEAKER_02;no, no, a ver, en el fútbol dos o tres inventan, el resto copiamos. Dos o tres van innovando y van
89.240;93.800;SPEAKER_02;proponiendo nuevas cosas y el resto vamos subiéndonos esas tendencias. Y creo que colocamos a analizar
93.800;97.600;SPEAKER_03;ahora es un poquito esto. No, es que yo creo que últimamente se ha ido un paso más allá,
97.600;101.200;SPEAKER_03;porque siempre se ha hecho aquello de oye, oye, esto no es un futbolín. Claro. Evidentemente.
101.200;105.680;SPEAKER_03;¿Cuántas veces ha dicho un entrenador aquello de defender el lado débil? Oye, el lateral izquierdo,
105.680;109.680;SPEAKER_03;cuando te van a poner un centro desde la derecha, se mete por dentro. Claro, claro, oye,
109.680;112.920;SPEAKER_03;hace raro que te van a rematar. No se va a quedar en el bando del otro. Claro, se queda, se queda
112.920;117.440;SPEAKER_00;pegado. Pero lo que vamos a analizar va a ser un pasito. Sí, porque yo me acuerdo, cuando era pequeño,
117.440;123.160;SPEAKER_00;claro, evidentemente, leía mucho el diario marca, el único diario, el único diario, nada, leía también
123.160;129.920;SPEAKER_00;el diario as. Y me hacía mucha gracia ver como, claro, para analizar a un equipo se pintaba el
129.920;134.240;SPEAKER_00;dibujo. Las flechitas. Vamos a imaginar un 4-4-2, claro, los laterales siempre iban para arriba. Claro, claro.
134.240;138.560;SPEAKER_00;La flechita del lateral para arriba. Pero la de para abajo. Pero realmente sí que era un 4-4-2
138.560;145.280;SPEAKER_00;bastante académico, defendía así y atacaba así. Luego los jugadores se mueven 4-3-3, más o menos,
145.280;150.640;SPEAKER_00;entendíamos que muchas veces antes, hace 20 años, un lateral subía, el otro cerraba un poquito,
150.640;155.320;SPEAKER_00;pero cerraba como lateral, no cerraba como central, que es de lo que en parte vamos a hablar ahora.
155.320;161.120;SPEAKER_00;Digamos que antes de decir el esquema sí que aportaba información, ahora menos. Porque claro,
161.120;165.880;SPEAKER_00;todo esto que estamos contando hay que contextualizarlo un pasito más diciendo que
165.880;172.640;SPEAKER_00;vivimos en la era de las presiones. Esto lo marca todo. Todo. La mayoría de partidos están
172.640;179.600;SPEAKER_00;determinados por la salida de balón y la presión alta. Además de ambos equipos en muchos encuentros.
179.600;186.040;SPEAKER_00;Esta evolución que ahora vamos a comentar no deja de ser hija de este contexto, que a su vez es hija
186.040;190.240;SPEAKER_00;de unos cambios en el reglamento en su día, con el tema de la cesión atrás, la evolución de los
190.240;195.640;SPEAKER_00;porteros, de los defensas, la evolución del físico de los futbolistas. Bueno, bastantes cosas
