start_sec;end_sec;speaker;text
0.000;8.160;SPEAKER_01;Tenemos 10 historias de esta Champions League 2025-2026 que merecen la pena que analicemos como previa de una edición.
8.160;12.720;SPEAKER_01;Chicos, que así grosso modo, pinta particularmente bonita e igualada.
12.720;17.160;SPEAKER_01;Hemos venido hablando de favoritos, top 3, top 5.
17.160;24.320;SPEAKER_01;Mi sensación es que hay más candidatos, son más o menos entre comillas los de siempre, no hay ninguno que de repente haya emergido,
24.320;31.560;SPEAKER_01;pero mi sensación es que está todo bastante igualado y que no hay dos clarísimos favoritos como en otras ediciones.
31.560;33.960;SPEAKER_00;Yo en esta edición veo uno, claro, eh.
33.960;39.880;SPEAKER_00;Sí, pero te quiero decir, veo más alternativo.
39.880;46.040;SPEAKER_01;O sea, el año pasado, luego fíjate lo que pasó, pero el Madrid y el City parecían muy distanciales del resto.
46.040;51.600;SPEAKER_01;Claro, vimos un gran Liverpool, vimos un gran Barça, vimos la consolidación del Paris Saint-Germain.
51.760;56.360;SPEAKER_01;Claro, no sé ahora mismo cómo va a ir todo, va a ser una de nuestras historias de esta Champions,
56.360;62.880;SPEAKER_01;pero mi sensación es que hay 5 o 6 equipos, que más allá de que hay escalones, hacen de la competición algo muy igualado.
62.880;65.440;SPEAKER_00;Compro que el segundo escalón esté más repartido, esté más abierto.
65.440;68.480;SPEAKER_00;Hay más equipos en esa terna, pero para mí en el primero ahora mismo está el Liverpool.
68.480;71.760;SPEAKER_00;En la previa de la Champions, para mí el primero, el Liverpool, después el verano que se ha marcado.
71.760;76.680;SPEAKER_03;No le veo tan asentado a Liverpool para que ahora mismo en septiembre ya digamos candidatazo.
76.680;78.680;SPEAKER_03;O sea, creo que hay alguna duda.
78.760;83.040;SPEAKER_02;Yo creo que el único nombre que se puede salir de una terna más o menos habitual es el tema del Napoles,
83.040;86.160;SPEAKER_02;que viene a ser campeón en Italia, que ha empezado muy bien la temporada.
86.160;89.440;SPEAKER_02;Y bueno, ya sabemos cómo le suele ir a Conte en este tipo de historias,
89.440;94.120;SPEAKER_02;pero que es el único club que no meterías cualquier otra temporada, que igual este año puede tener un poquito más.
94.120;101.360;SPEAKER_01;Que se ha podido sumar. Yo ya digo que al menos en la previa veo algo diferente a los últimos años,
101.360;106.800;SPEAKER_01;donde creo que estaba más marcado, porque realmente en los últimos años Madrid y City prácticamente siempre
106.800;111.880;SPEAKER_01;partían como favoritos y ahora mismo estamos hablando de otros dos, de Paris Saint-Germain y de Liverpool.
111.880;120.760;SPEAKER_01;Porque claro, nuestra primera historia de esta edición, 25 o 26, debe ser la que protagoniza el vigente campeón,
120.760;127.920;SPEAKER_01;el Paris Saint-Germain. Sobre todo chicos para saber si ha sido un gran año o si puede ser el comienzo de una dinastía.
127.920;131.080;SPEAKER_01;Hay que recordar que solo el Real Madrid ha repetido Champions.
132.040;140.320;SPEAKER_01;Hay que recordar también que el Paris Saint-Germain gana la Champions, no como final de un ciclo, sino realmente como comienzo.
140.320;147.760;SPEAKER_01;Hay que ver si le da continuidad, pero no es un equipo que haya estado peleando y al final lo ha conseguido,
147.760;150.680;SPEAKER_01;como podría haber sido el Inter si llega a ganar la final de la Champions.
150.680;157.040;SPEAKER_01;Más bien es un equipo nuevo, de nueva creación, con mucho futbolista joven, que ha emergido y que ha dominado a todos.
157.200;163.680;SPEAKER_01;De hecho tengo aquí un dato, Adrián Blanco, que me parece que habla de que el Paris Saint-Germain en los próximos 5 años
163.680;172.160;SPEAKER_01;va a estar en el top 3 de favoritos. El año pasado gana la Champions su 11 titular, una media de 24,8 años.
172.160;183.600;SPEAKER_01;Media bajísima, si la comparamos con los últimos 4 campeones, el Real Madrid 27,5, City 27,7, Real Madrid 28,6, el de Karim Benzema
184.080;190.640;SPEAKER_01;y el Chelsea 26,9. Son dos años de diferencia respecto al Chelsea, que es el más joven de esos últimos 4 campeones.
190.640;194.480;SPEAKER_01;Yo creo que este Paris Saint-Germain quiere comenzar la dinastía.
194.480;200.240;SPEAKER_00;A diferencia de lo que ocurrió con el City de Guardiola, que seguramente fue la culminación del proyecto,
200.240;204.960;SPEAKER_00;después de muchos años tocando la puerta y a partir de ahí ya la gana y el proyecto cambia, se tiene que regenerar.
204.960;210.800;SPEAKER_00;Con el Paris Saint-Germain seguramente no ocurra eso, yo creo que la clave va a estar en el hambre que consiga mantener esa plantilla.
210.880;218.640;SPEAKER_00;La energía que consiga mantener Luis Enrique es del banquillo para que el equipo no se relaje una vez ya alcanzado la cuota mayor que puede alcanzar como un club europeo.
218.640;228.560;SPEAKER_03;Efectivamente, y el mercado de fichajes iba un poco dirigido a precisamente eso, reforzándose con Zabarny, teniendo distintos jugadores que le permitan mantener ese nivel de competitividad.
228.560;233.520;SPEAKER_02;Me recordó un poco a la España que ganó la Eurocopa, en el sentido de que igual ha ganado una Champions que no le tocaba.
233.520;239.120;SPEAKER_02;Siempre decía Luis Enrique en la previa de los partidos grandes, que el rival tiene más experiencia, tiene jugadores que saben lo que es competir aquí.
239.360;242.800;SPEAKER_02;Pero creo que es una generación muy joven que la ha demostrado de sobra que está capaz de ganar.
242.800;248.560;SPEAKER_01;Hay que ver cuánto le afecta el verano, de momento está teniendo muchas lesiones, y la marcha de Gigi Donnarumma.
248.560;252.480;SPEAKER_01;Que Donnarumma, sin Donnarumma el año pasado, no ha hecho a piensas.
252.480;254.480;SPEAKER_03;El día del Arsenal y el de la Ft. Villa.
254.480;256.480;SPEAKER_01;Y el de Liverpool.
256.480;258.480;SPEAKER_02;Es que te quedas por el camino.
258.480;266.480;SPEAKER_01;Ha fichado un gran portero como Saba Lié, pero yo creo que haciendo ese ejercicio de fútbol ficción lo hubiese costado al menos más.
267.360;274.160;SPEAKER_01;Segunda gran historia de esta Champions, nos quedamos con las ganas de ver ese FC Barcelona-Paris Saint-Germain-Adri.
274.160;279.200;SPEAKER_01;Y eso hace que el sueño de la sexta coja todavía más peso.
279.200;283.520;SPEAKER_00;Sí, para el FC Barcelona, claramente, debe ser el gran objetivo de la temporada.
283.520;288.880;SPEAKER_00;Estoy convencido de que Flick no va a aflojar en ninguna otra competición, no le va a permitir al equipo relajarse.
288.880;291.920;SPEAKER_00;Ya está apretando las tuercas incluso, y acaba de arrancar la temporada.
291.920;292.880;SPEAKER_00;Pero jugadores...
292.960;297.760;SPEAKER_00;Claro, esa plantilla seguro que tiene marcado a fuego lo que pasó la temporada pasada en Champions.
297.760;299.760;SPEAKER_00;Y que Racket sea esta temporada el gran objetivo.
299.760;301.760;SPEAKER_00;Además, el Barça cuenta con una VAL poderosa.
301.760;303.760;SPEAKER_00;La Champions son futbolistas.
303.760;304.800;SPEAKER_00;Es una competición de jugadores.
304.800;306.800;SPEAKER_00;Tiene a dos que de momento ya están entre los mejores del mundo.
306.800;308.800;SPEAKER_00;Uno es la Minyamal, el otro es Pedri.
308.800;314.800;SPEAKER_01;Y como quien dice, aunque sea también un equipo súper joven como el del Paris Saint-Germain, Nau ya la ha perdido.
314.800;316.800;SPEAKER_01;La ha perdido de verdad.
316.880;321.680;SPEAKER_01;Porque quiero decir, perder como perdió en su día ante el Paris Saint-Germain, la expulsión de Araujo o antes...
321.680;325.680;SPEAKER_01;Eso no era exactamente, y además antes era otro equipo.
325.680;329.680;SPEAKER_01;Este equipo ya lo ha perdido como lo perdió el Paris Saint-Germain hace dos años ante el Borussia Dortmund.
329.680;330.640;SPEAKER_02;Eso te iba a decir.
330.640;334.640;SPEAKER_01;Teniendo la sensación de que eres mejor equipo, pero que se te acaba marchando.
334.640;338.640;SPEAKER_01;Y yo tengo ese punto de que en la mayoría de casos hay excepciones.
338.640;340.640;SPEAKER_01;Quizás por ejemplo el Chelsea de Tuchel.
340.640;344.160;SPEAKER_01;Pero la mayoría de equipos tienen que perder antes que ganar.
344.240;346.240;SPEAKER_02;Sí, yo creo que ese aprendimiento está ahí.
346.240;350.240;SPEAKER_02;Y me da la sensación de que es el objetivo velado de la temporada del Barça.
350.240;352.240;SPEAKER_02;Que nadie te lo va a reconocer abiertamente.
352.240;356.240;SPEAKER_02;Pero creo que es uno de esos golpes que dejan marca y ganas de resarcirte.
356.240;360.240;SPEAKER_03;Esa copa tan linda y deseada, que se suele decir lo que decía Leo Messi.
360.240;362.240;SPEAKER_03;Pues veremos si la consiguen llevar al Camp Nou.
362.240;366.240;SPEAKER_00;El superordenador de Opta le da cuarto favorito.
366.240;368.240;SPEAKER_00;Cuarto favorito. 8,4% de opciones de ganar la Champions.
368.240;370.240;SPEAKER_00;Las mismas que me ha sorprendido que el Manchester City.
370.320;372.320;SPEAKER_01;Me sorprende más este punto que el anterior.
372.320;374.320;SPEAKER_01;Para mí el Barça está más arriba.
374.320;376.320;SPEAKER_01;Pero que esté empatado con el City.
376.320;378.320;SPEAKER_01;El superordenador de Alex de Llano.
