start_sec;end_sec;speaker;text
0.000;6.160;SPEAKER_00;Hoy vamos a hablar aquí en la pizarra de Quintana de los jugadores más infravalorados
6.160;12.240;SPEAKER_00;de la Liga española. Un tema que siempre da mucho que hablar, que siempre es muy interesante,
12.240;19.760;SPEAKER_00;porque claro, ¿qué es estar infravalorado? Claro. Depende de cada uno, de sus entornos,
19.760;24.920;SPEAKER_00;de sus expectativas. Yo os he pedido, chicos, que me hayáis hecho caso, eso ya no lo sé,
24.920;29.160;SPEAKER_00;pero yo os he pedido que busquéis nombres que estén infravalorados en la opinión pública,
29.160;33.200;SPEAKER_00;porque al final nosotros hablamos mucho entre nosotros y va a ser difícil sorprendernos,
33.200;37.200;SPEAKER_00;porque no es que tengamos criterios parecidos, salvo en el caso de Adrián Blanco y Servidor,
37.200;42.560;SPEAKER_00;pero sí que hablamos tanto de los mismos nombres que es raro que nos vaya a sorprender. Pero es
42.560;48.240;SPEAKER_00;verdad que luego hablas con amigos, quizás no tan futboleros, hablas en otros foros de debate y
48.240;53.640;SPEAKER_00;demás, y hay jugadores que pasan muy bajo el radar y que nos llama la atención porque vienen
53.640;58.560;SPEAKER_00;destacando. Buscamos a esos jugadores, básicamente. Yo ayer para hacer el ejercicio fui abriendo
58.560;63.000;SPEAKER_01;plantilla a plantilla los 20 equipos de la liga para no saltarme a nadie, para que no se me olvida
63.000;68.520;SPEAKER_01;a nadie. Y me costó encontrar. Me costó encontrar jugadores que diga, está infravalorado. Quizás
68.520;72.240;SPEAKER_01;sea porque estamos muy acostumbrados ya a verlo. Estamos demasiado acostumbrados. Claro, sabemos
72.240;76.240;SPEAKER_00;cómo juegan, sabemos qué pueden dar. A mí me cuesta más encontrar jugadores sobrevalorados.
76.240;80.240;SPEAKER_00;También es un ejercicio complejo. Es un ejercicio que haremos, pero me cuesta más. Si queréis,
80.240;85.720;SPEAKER_00;empiezo con el nombre que me llevo a decir, oye, vamos a hacer esto, que tampoco es… Esto lo
85.720;90.240;SPEAKER_00;hacemos recurrentemente. Cada dos, tres años siempre hacemos algo de este estilo. Para mí fue
90.240;96.480;SPEAKER_00;Sergi Altimira. O sea, viendo Altimira… No digo que esté infravalorado entre la afición del Betis
96.480;101.440;SPEAKER_00;porque creo que la consideración es buena, pero creo que es un jugador que juega realmente bien
101.440;108.680;SPEAKER_00;al fútbol, que entiende muy bien la posición, que puede encajar con diferentes perfiles y me parece
108.680;113.800;SPEAKER_00;ese típico centro campista del fútbol español con una gran percepción del entorno, con una gran
113.800;118.800;SPEAKER_00;salida de balón, que sabe jugar, que quizás no tiene el físico más dominante y por eso quizás
118.800;123.960;SPEAKER_00;tampoco llama tanto la atención. No es un jugador de highlight, pero es que juega muy bien al fútbol
123.960;129.520;SPEAKER_00;y me parece que está infravalorado claramente. El tema es que yo creo que Altimira… Bueno,
129.520;133.880;SPEAKER_02;para empezar es un fichaje de perfil muy bajo. Sí, el remontó en su día. Además, muy claro.
133.880;140.920;SPEAKER_02;Lo hemos robito a la Getafe. No llega a debutar con la Getafe. Sí, sí. Y yo creo que sobre todo en
140.920;146.200;SPEAKER_02;Altimira ha habido un crecimiento reciente, que creo que es lo que hace que esté infravalorado. Creo
146.200;149.560;SPEAKER_02;que su temporada pasada es muy buena, que ha empezado muy bien esta, pero que es un jugador
149.560;155.200;SPEAKER_00;que tampoco decía mucho. Sí, pero a mí por lo general es que me gusta. Me parece un jugador… Es
155.200;160.560;SPEAKER_02;que lo que hace lo hace todo bien. Yo creo que pasa mucho que cuando tú ves a un jugador por primera
