start_sec;end_sec;speaker;text
0.000;6.800;SPEAKER_01;Después de la enésima temporada sobresaliente de Mossalá en el Liverpool y del gran nivel que ha
6.800;12.080;SPEAKER_01;ofrecido Kora Basceli en el Paris Saint-Germain, me dio por pensar en todos aquellos futbolistas
12.080;16.680;SPEAKER_01;que al final no fueron One Season Wonder.
16.680;31.320;SPEAKER_01;Ya sabéis que en el mundo del fútbol tenemos aquello de One Season Wonder, para referirnos
31.320;37.520;SPEAKER_01;a los jugadores que tuvieron una sola temporada formidable y que tanto antes como después,
37.520;42.360;SPEAKER_01;bueno, ofrecieron un nivel muy de andar por casa. Creo que a todos se nos vienen
42.360;46.480;SPEAKER_03;grandes nombres. En Inglaterra es Michu. Por ejemplo, es verdad que claro, ahí obvian que en el
46.480;52.040;SPEAKER_01;trayo vallecano hizo un gran papel, pero ese tipo de futbolista con una gran temporada sobre todo,
52.040;56.480;SPEAKER_01;esto viene del One Hit Wonder de aquellas bandas que solo tuvieron una canción y esas canciones
56.480;62.240;SPEAKER_01;las recordamos todos. Los Fresones Rebeldes. El otro día vi un vídeo de cómo tocaban por primer
62.240;70.040;SPEAKER_03;vez, ¿cómo se llama la canción esta? No sé, no me es el título. No me ha quedado claro. La
70.080;77.720;SPEAKER_01;primera vez que lo tocaron en televisión. Muchas veces esto se utiliza de forma preventiva. Cuando
77.720;83.560;SPEAKER_01;ves a un jugador que está sobresaliendo dices, ¡uy! Va a ser un One Season Wonder porque no te lo
83.560;87.640;SPEAKER_01;crees, ¿no? Claro, sí, sí. Pero me parece una forma fea porque se les cuelga ese ambenito de
87.640;94.480;SPEAKER_01;One Season Wonder sin haberse visto si de verdad ese rendimiento lo podían prolongar o no. O sea,
94.480;99.120;SPEAKER_02;es muy preventivo, muy prejuicioso. Es un poco como lo de no tener amor, es nunca un cedido,
99.600;104.360;SPEAKER_02;estar disfrutando mucho con un fútbol y saco la temporada que hace, la primera vez que ves eso,
104.360;108.800;SPEAKER_02;está explotando y dices, ostras, esto lo podrá mantener y hay el uso de una manera preventiva.
108.800;113.280;SPEAKER_02;Aunque hay que decir que, claro, luego hay muchos que se confirman. Claro, hay muchos que se
113.280;119.320;SPEAKER_01;confirman. De hecho, bueno, nos salen muchos jugadores. Quizás no salen menos de los que
119.320;124.520;SPEAKER_01;lo dijimos y no lo fueron. Pero como citaba al principio, tenemos dos nombres de los que se
124.520;128.960;SPEAKER_01;dijo una barbaridad de veces que iban a ser One Season Wonder de Mosalaya aquel año en el Liverpool.
128.960;134.560;SPEAKER_01;Yo lo escuché mil veces. Pero es verdad que venía de Roma, que sí había mejorado. Al Madrid,
134.560;139.360;SPEAKER_01;no le marcó, yo creo, en Champions. Me suena. Sí. Y falla en ese eliminatorio una barbaridad.
139.360;145.000;SPEAKER_01;Exactamente. Bueno, sí, es un buen jugador tal. Pero, claro, el año de Liverpool es casi de balón
145.000;148.880;SPEAKER_01;de oro y la gente diciendo One Season Wonder, One Season Wonder. Bueno, pues esa temporada la
148.880;153.080;SPEAKER_02;ha replicado no sé si seis, siete, ocho veces. Y ahora es leyenda de la Premier League, Mosalaya. Sí,
153.200;158.840;SPEAKER_02;es buen ejemplo el tema. A ver, yo entiendo que todos, seamos cautos con los futbolistas porque
158.840;162.920;SPEAKER_02;el gran reto que tienen todos es, después de romperla una temporada, prolongar ese rendimiento.
162.920;167.240;SPEAKER_02;Es que con una temporada no vale. Hay que mantenerlo en el tiempo y eso es lo difícil. Sobre todo
167.240;174.760;SPEAKER_01;cuando la rompen, jugadores, a una edad tardía, el caso de Mohamed Salah, ahora se viene diciendo
174.760;180.480;SPEAKER_01;mucho esta temporada de Rafinha. Por ejemplo, ¿no? ¿Logrará mantener ese nivel de determinación,
181.040;184.800;SPEAKER_01;de ser decisivo o será One Season Wonder? Pero también hay que con los jóvenes. Yo, por ejemplo,
184.800;188.920;SPEAKER_02;tengo el caso de un joven que la partió en su momento y se dijo que era One Season Wonder y yo
188.920;192.960;SPEAKER_01;creo que no, que ha hecho mejor carrera. O mira, ahora me lo dices porque otro del que se dijo mucho
192.960;198.680;SPEAKER_01;cuando empieza a liderar el ataque del Napoli junto a Víctor Oshimen es Cuara Vazgelia. Creo que
198.680;204.160;SPEAKER_03;aquí tiene también un poquito de es georgiano. Sí, es como no me vaya a fiar de… Esto lo dice
204.160;209.080;SPEAKER_01;muchas veces en determinados países en Sudamérica diciendo que el DNI pesa y es verdad. Si un
209.080;213.280;SPEAKER_01;jugador fuese alemán, italiano, argentino, brasileño, muchas veces tiene una consideración
213.280;220.320;SPEAKER_01;de primera, superior. Así es, ecuatoriano, peruano… Porque no tienen esa edición. ¿Cuántos entrenadores
220.320;225.480;SPEAKER_02;y jugadores nos han dicho, a raíz de los éxitos de España, en 2008, 2010, 2012, se nos han abierto
225.480;229.400;SPEAKER_01;oportunidades laborales? Claro. Sí, sí, es normal. Pero que al final, con Cuara Vazgelia se decía,
229.400;234.600;SPEAKER_01;sobre todo porque era georgiano, un jugador particular que venía prácticamente, es verdad,
234.600;239.680;SPEAKER_01;de la nada se lo ofrece varias veces al Valencia. Sí, sí, sí. Y el Valencia dice, no, mira,
239.680;244.680;SPEAKER_01;con Mamarda suficiente chollo, no quiero más. Y al final, oye, lo ha demostrado esta temporada en
244.680;249.800;SPEAKER_01;el Paris Saint-Germain, jugadorazo. Lo que pasa también con Carles Vazgelia es que la Eurocopa
249.800;254.920;SPEAKER_02;que hace no hace justicia al nivel que sabemos que tiene. Claro, se lo come por completo. Igual
254.920;262.480;SPEAKER_01;mi caotache es One Tournament Wonder. Bueno, eso hay que hacerlos. Ya lo hice en su día en el canal
262.480;268.200;SPEAKER_01;de YouTube, me suena por los mil ambaros de la vida. Claro, sí, hostras, mil ambaros. Los Renato
268.200;274.400;SPEAKER_03;Sánchez. Buah, Renato Sánchez 2016. Para mí 2016 es Adrián Silva de Portugal. También, también.
274.400;278.800;SPEAKER_02;Estaba en el Leicester en ese momento. Estaba en el Leicester, sí. Adam Nagy, que me dices. Yo creo
278.800;282.760;SPEAKER_02;que lo intentó fichar en Leicester y ya con el contrato firmado no entró el FAX. Estuvo seis meses
282.760;287.280;SPEAKER_03;sin jugar. A mí me suena una movida así, es verdad. Creo que estaba en Portugal. Mira. Estaba en Portugal,
287.480;293.760;SPEAKER_02;el creo que es de Sporting. Creo que sí. Y no llega el FAX. Se tira seis meses sin jugar. Yo tengo
293.760;298.720;SPEAKER_03;One Season Wonder. O sea, que se le llamó One Season Wonder y que luego ha sido… Este ya es el primero.
298.720;304.720;SPEAKER_02;Claro, este es el primero. ¡Pam! ¿Lo puedo soltar? ¡Hombre! Ya quedaste perocido. ¿Me dejas? Me dejas liberar.
304.720;308.800;SPEAKER_01;Yo quería escuchar primero el de Adri, pero si Adri te hace el turno… Hombre, por favor. Perdón,
308.800;313.200;SPEAKER_03;perdón. Por favor. Perdón, Adri, es que me he emocionado. No, no, dale, dale. Para mí Chiro
313.200;318.960;SPEAKER_03;es inmóvil. Muy bueno. Lo tenía. Marcó 23 goles en el Torino. En el Dortmund lo ficha por un
318.960;324.400;SPEAKER_03;dineral nada. En Sevilla nada. Y luego en el Torino también cedió nada. Y luego ya en la Lacho, pum,
324.400;330.680;SPEAKER_01;pum, pum, pum, pum. A mí me parece de manual porque los marca en el Torino esos primeros 22 goles.
330.680;335.400;SPEAKER_03;Si tenía una temporada anterior en el Pescara… Claro, pero en segunda. Claro. Lo que has dicho,
335.400;340.040;SPEAKER_01;Dortmund-Sevilla no funciona y dices… Bacalao. Y tengo yo aquí la cantidad de goles que marca con
340.040;346.320;SPEAKER_01;la Lacho. 23, 29, 15, 36, 20, 27, 12 y 7. Este año en el Besita 15. Me parece un caso
346.320;350.600;SPEAKER_01;paradigmático porque sí que parecía que podía ser flor de un día, que es de lo que estamos
350.600;354.240;SPEAKER_01;hablando con los One Seasons Wonder, pero luego lo ha mantenido en el tiempo. Están más relacionados
354.240;358.160;SPEAKER_03;los One Seasons Wonder con el tema del gol, ¿no? Mucho con el gol. Es más fácil encontrarlo. A mí
358.160;362.480;SPEAKER_01;me ha resultado más fácil encontrarlo con delanteros que con otras posiciones, aunque he encontrado
362.480;366.600;SPEAKER_01;alguna que otra demarcación. Venga. Además, en el caso de Chiro Móvil es que encajaba muy bien con
366.640;371.520;SPEAKER_02;la idea de juego de la Lacho. A la hora de estirar, de correr, encajaba, caía de pie. El joven que te
371.520;376.920;SPEAKER_02;traía, la parte en su momento… A ver. … se da un buen batacazo y creo que ha repuntado muy bien.
376.920;384.360;SPEAKER_02;Patrick Sick. Ostras. Sí. Patrick Sick. Sí. La rompe en la Sampdoria. En la Roma no consigue
384.360;388.880;SPEAKER_02;demostrar el delantero que es. Sí. Y los números en el Evercuso me parecen muy buenos. Hace un gran
388.880;393.400;SPEAKER_01;torneo de Eurocopa. De Eurocopa. Esta temporada… De Mundial. De Mundial fue, ¿no? Yo creo que es
393.400;397.920;SPEAKER_02;Eurocopa, ¿no? Me suena a su mantido. Sí. La Eurocopa, la multisede. El partido que tiene el gol
397.920;402.400;SPEAKER_01;de medio campo. Eso es la del 21. Esta temporada con el Evercuso son 27 goles entre todas las
402.400;406.120;SPEAKER_02;competiciones. Tiene otra temporada de 24 goles. Yo creo que ha demostrado que no fue un juego
406.120;409.000;SPEAKER_01;en el Mundo Mundial. Es que he tenido mis idas y venidas con Patrick Sick. A mí sí que me ha gustado
409.000;414.000;SPEAKER_01;mucho. Por eso. Pero me ha gustado, pero luego he dicho… Como que le veo las condiciones… A pesar de
