start_sec;end_sec;speaker;text
0.000;5.800;SPEAKER_00;Ayer se completó el primero de los cuatro parones de selecciones de esta temporada,
5.800;10.840;SPEAKER_00;que debe llevarnos evidentemente a una Copa del Mundo que arranca en nueve meses.
10.840;16.120;SPEAKER_00;Queda bastante todavía, pero ya estamos en temporada de Mundial y sabemos lo que condiciona
16.120;19.560;SPEAKER_00;eso a futbolistas, entrenadores, equipos, etc.
19.560;24.760;SPEAKER_00;Es el momento perfecto para inaugurar una nueva sección aquí en la pizarra de Quintana,
24.760;29.920;SPEAKER_00;el Power Ranking del Mundial 2026, con el que vamos a ordenar parón a parón a nuestras
29.920;33.880;SPEAKER_00;diez grandes favoritas de cara al Mundial.
33.880;38.600;SPEAKER_00;Ya hacemos en nuestro canal de YouTube, en Pizarritas, un Power Ranking del Fútbol Europeo.
38.600;42.200;SPEAKER_00;Aquí medimos resultados, por supuesto, pero vamos un poquito más allá.
42.200;47.280;SPEAKER_00;Niveles, sensaciones de cara al Mundial, a sabiendas de que todavía hay muchas selecciones
47.280;48.800;SPEAKER_00;que no están clasificadas.
48.800;51.080;SPEAKER_00;Pero bueno, vamos haciendo ya nuestra quiniela.
51.080;54.800;SPEAKER_01;Sí, y quizá este primero tenga alguna sorpresita.
54.800;55.800;SPEAKER_01;¿Tú crees?
55.800;58.760;SPEAKER_02;No sé, yo creo que hay alguna selección ahora que la gente igual no espera.
58.760;63.560;SPEAKER_02;A mí hay una selección que creo que está baja, que la vi ayer, llevaba tiempo sin verla
63.560;64.560;SPEAKER_02;y me gustó.
64.560;67.240;SPEAKER_00;Yo estoy contento con el top 10 que nos ha salido.
67.240;69.480;SPEAKER_00;Yo creo que hay una selección que no debería estar.
69.480;70.480;SPEAKER_00;Vale.
70.480;74.280;SPEAKER_00;Vamos ya con el ranking porque estamos sin mucho tiempo, no nos vamos a meter a la sección
74.280;78.800;SPEAKER_00;clasificada, ya le iremos comentando y ya lo iremos actualizando parón a parón.
78.800;83.760;SPEAKER_00;No estaba lo de Cabo Verde tampoco en la escaleta ahí, me lo acabas de soltar.
83.760;84.760;SPEAKER_00;Es que nos ha clasificado Cabo Verde.
84.760;85.760;SPEAKER_00;Tarjeta amarilla, tarjeta amarilla.
85.760;87.600;SPEAKER_00;Vamos con el ranking.
87.600;95.800;SPEAKER_00;En décima posición hemos querido situar a una selección que no tiene una buena racha,
95.800;99.640;SPEAKER_00;pero que antes de la Copa América pintaba realmente bien.
99.640;103.160;SPEAKER_00;Yo sigo creyendo que es una de las 10 favoritas a ganar el Mundial.
103.160;105.840;SPEAKER_00;Es la selección uruguaya.
105.840;107.640;SPEAKER_03;No, no, no debería estar.
107.640;110.040;SPEAKER_03;Es imposible que gane Uruguay en Mundial.
110.040;111.240;SPEAKER_03;Pero más allá del contra agafe.
111.240;112.240;SPEAKER_03;Es imposible.
112.240;113.240;SPEAKER_03;Pero en el ranking.
113.240;114.600;SPEAKER_03;No puede estar, no puede ganar Uruguay.
