start_sec;end_sec;speaker;text
0.000;4.920;SPEAKER_02;Pues una vez ha finalizado el parón de selecciones de octubre creo que es el momento perfecto
4.920;9.940;SPEAKER_02;de que actualicemos nuestro power ranking de selecciones de cara al mundial. Ya sabéis
9.940;15.700;SPEAKER_02;este ranking que hacemos para establecer el top diez de favoritos de cara al próximo
15.700;21.780;SPEAKER_02;mundial. El último que hagamos pues será la semana previa al que arranque la competición.
21.780;26.500;SPEAKER_02;Eso hace que no haya mucho movimiento, ¿no? Los diez favoritos puede oscilar uno arriba,
26.500;30.940;SPEAKER_02;uno abajo, puede entrar una selección nueva que de hecho lo hace en este power ranking.
30.940;36.140;SPEAKER_02;Pero vamos, es algo que hacemos para evaluar un poquito cómo están las grandes selecciones
36.140;41.620;SPEAKER_02;e ir también nosotros posicionándonos en cuanto a los candidatos, los favoritos y los
41.620;48.340;SPEAKER_02;outsiders. Bueno, yo puse el ranking, lo he estado hablando con vosotros, en WhatsApp
48.340;54.380;SPEAKER_02;no hubo ninguna queja. Sí, hubo alguna queja. Sí, bueno, modificaciones que hemos tenido.
54.400;60.160;SPEAKER_02;Pero este ranking… ¡Va Misa! Bueno, a ver, a ver. No, no, no. A ver, que exista este ranking
60.160;65.140;SPEAKER_01;es una bacalá. Perdón. Pero bueno, ¿por qué? O sea, quiero decir… ¿por qué? Yo no…
65.140;69.460;SPEAKER_02;Primera… No, no, no. Voy a contextualizar. En este ranking no está Uruguay. No, no,
69.460;73.100;SPEAKER_01;no. Da igual, da igual. No, no, no. No está Uruguay. Bueno, Uruguay que ha ganado sus
73.100;77.220;SPEAKER_01;dos partidos del parón. Bueno, no está Uruguay. No está Uruguay. O sea, quiero decir, no
77.220;80.100;SPEAKER_02;tiene… Uruguay que ha ido con reservas. O sea, a mí me dijo un analista en el pasado
80.100;84.500;SPEAKER_02;Power Ranking que es la selección, creo que favorita número 40 de cara al mundial.
84.500;87.220;SPEAKER_01;Entonces, yo le he hecho caso. No, no, no. Sí, sí. Me da igual que esté Uruguay o
87.220;91.140;SPEAKER_01;no. O sea, quiero decir, eh… Yo lo que digo es, mola que nos juntemos aquí, hablemos
91.140;94.660;SPEAKER_01;de varias selecciones con candidatas, pero oye, el ranking como tal, oye, pues tiene
94.660;97.540;SPEAKER_01;la validez que tiene. O sea… Hombre, pero como todos los rankings…
97.540;100.700;SPEAKER_02;Es el de Rizar Rita. … como el balón de oro que… Bueno, es que
100.700;103.620;SPEAKER_02;luego la gente se hace cruces viendo el… Como cruces.
103.620;107.700;SPEAKER_02;Pero así se entretienen. Mientras se hacen cruces con un ranking, no hacen otras cosas
108.700;113.700;SPEAKER_03;Si nosotros estamos haciendo una labor social… Claro, claro. Es un mal menor. Entiéndelo
113.700;119.780;SPEAKER_03;como un mal menor, Nau. Bueno… Pero espero que la décima hayas entendido
119.780;123.500;SPEAKER_02;nuestra manera de entender. Ah, se le pasa a Daynoa. No os lo he pasado
123.500;125.060;SPEAKER_03;a vosotros. Sí, sí, sí. Vale, vale.
125.060;129.060;SPEAKER_02;Sí, sí. Está como me habéis dicho que esté. Porque te voy a dar un dato con la novena.
129.060;134.820;SPEAKER_02;Vale. Espérate, espérate. Bueno, el caso es que se cae Uruguay del top 10 y entra en
134.820;139.860;SPEAKER_02;décima posición… ¿Quién entra?
139.860;142.660;SPEAKER_02;Entra en décima posición… ¿Quién entra?
142.660;144.820;SPEAKER_02;La selección Colombia. Oh, ¿eh?
144.820;148.420;SPEAKER_02;Cafetera. Victoria 0-4 ante México, 0-0 ante Canadá.
148.420;151.060;SPEAKER_01;Muchas… Ah, que Colombia no ha ganado los dos partidos.
151.060;155.140;SPEAKER_01;Ah, que Colombia no ha ganado. O sea, es que no se ha convencido mucho.
155.140;159.460;SPEAKER_02;No, no, no, no. Increíble, increíble. Un dato importante que creo que infravaloramos
159.460;163.460;SPEAKER_02;en el ranking en septiembre. Eliminó Uruguay en la pasada Copa América.
163.700;164.740;SPEAKER_00;Claro. Eso pesa.
164.740;167.940;SPEAKER_02;Eso pesa… Claro, es con carácter retroactivo.
167.940;171.140;SPEAKER_01;Claro, que estaba en la reacción de Nauve. Sí, sí. Os pegaron un rejón por no meter
171.140;173.540;SPEAKER_01;a Colombia y habéis querido ser políticamente correctos.
173.540;175.540;SPEAKER_02;Estamos de acuerdo. Colombia tiene buena pinta.
175.540;178.020;SPEAKER_03;Daniel Muñoz es muy guantilateral. Sí, sí, sí.
178.020;181.140;SPEAKER_03;No jugó contra Canadá. Por eso se me agrada, claro.
181.140;183.140;SPEAKER_03;Canadá muy buena selección también. Hombre…
183.140;185.620;SPEAKER_03;Cristiano Río, el treinador, el excentador de League United…
185.620;187.620;SPEAKER_03;¿Qué dato tenías? Sí, la canadíña.
187.620;189.620;SPEAKER_03;No, es de la novena. Ah, es de la novena.
