start_sec;end_sec;speaker;text
0.000;17.560;SPEAKER_02;¿Qué pasa, pizarritas? Hoy nos mojamos con los pronósticos de la Champions League, aunque lo vamos a hacer solo de la fase de Ligilla, porque ya cuando esté la fase de Ligilla concluida y tengamos un poquito el bracket con la repesca y demás, ya nos mojaremos con todo el cuadro, pero es un poquito absurdo.
17.560;22.200;SPEAKER_02;Creo que lo que hicimos el año pasado de dar ya una final sin saber por qué lado del cuadro va a ir cada uno.
22.200;27.000;SPEAKER_02;Así que hoy nos mojamos con la fase Ligilla, top 8, top 24 y mejores futbolistas.
27.000;30.360;SPEAKER_02;Adrien Blanco, Alex De Llano, Nahuel Miranda, ¿estáis preparados?
30.360;31.960;SPEAKER_01;Vamos a ello, ¿qué tal chicos?
31.960;32.960;SPEAKER_00;Siempre ready.
32.960;33.960;SPEAKER_00;¿Qué tal?
33.960;39.480;SPEAKER_02;Hoy creo que, o sea, creo que esto es bastante más fácil, este ejercicio es bastante más sencillo que el de la Liga.
39.480;40.480;SPEAKER_02;¿Lo quiero decir?
40.480;41.480;SPEAKER_02;Sí.
41.480;42.480;SPEAKER_00;¿No?
42.480;45.480;SPEAKER_00;A ver, a ver, a ver.
45.480;55.960;SPEAKER_02;El año pasado, el año pasado de los 24, creo que acertamos todos 22, 23, creo que el Brest no lo acertamos, que nos dejamos al Girona fuera, el RLIC, creo.
55.960;60.520;SPEAKER_03;Bueno, pero si este formato venía a cambiar, ¿no?
60.520;62.880;SPEAKER_03;Estas fases de grupos que no...
62.880;64.880;SPEAKER_03;Pues ya empieza el relato.
64.880;67.880;SPEAKER_03;Los clásicos, vuelven los clásicos.
67.880;68.880;SPEAKER_03;Ha vuelto la campeona.
68.880;71.880;SPEAKER_03;Me he traído mi camiseta del Inter, tal.
71.880;79.400;SPEAKER_02;A ver, lo primero que os voy a preguntar, porque os voy a pedir luego el top 8 en orden, ¿vale?
79.400;82.200;SPEAKER_02;Y el top 24 sin orden, porque es un poco bajar.
82.280;85.920;SPEAKER_02;Pero os quiero preguntar, ¿qué español situáis primero?
85.920;93.520;SPEAKER_02;Entiendo que algunos se meterán en el top 8, pero ¿qué español Adrián Blanco quedará mejor clasificado en la fase de Ligilla?
93.520;95.400;SPEAKER_02;Solo fase de Ligilla.
95.400;97.520;SPEAKER_02;El Fútbol Club Barcelona.
97.520;98.760;SPEAKER_02;¿Ales de Llano?
98.760;100.520;SPEAKER_03;El Fútbol Club Barcelona.
100.520;102.440;SPEAKER_02;¿Nauel Miranda?
102.440;105.040;SPEAKER_03;Eh...
105.040;107.560;SPEAKER_03;Lleva al Barça yo también, pero no...
107.560;109.720;SPEAKER_03;Es que esto...
109.760;113.520;SPEAKER_02;A ver, yo también llevo al Barça porque ya dije en su momento...
113.520;117.520;SPEAKER_03;Entre Barça y Real Madrid tiene el sorteo más sencillo del Barça.
117.520;119.520;SPEAKER_02;Eso es lo que pensamos nosotros.
119.520;122.040;SPEAKER_02;Hay mucha gente que no lo ve de esa manera, pero bueno.
122.040;127.560;SPEAKER_03;Bueno, bueno, podemos hablar de la hostia monumental que sorteó Adrián Blanco con este tema.
127.560;128.560;SPEAKER_02;¡Ja!
129.800;131.440;SPEAKER_03;Estuvo bicheando, eh.
131.440;133.640;SPEAKER_03;¡Ay, no me lo fue, tío!
133.640;136.200;SPEAKER_02;Estuvo con la Lupita, estuvo con la Lupita.
136.200;139.440;SPEAKER_02;¡Ahí, Lupita!
139.480;142.680;SPEAKER_02;Los cuatro situamos al Barça en el Top 8.
142.680;144.880;SPEAKER_02;Eh... quiero un adelanto, Adri.
144.880;145.920;SPEAKER_02;¿Hay algún otro...?
145.920;147.800;SPEAKER_02;Bueno, he dicho en el Top 8.
147.800;149.080;SPEAKER_02;El que queda mejor, ¿no?
149.080;151.360;SPEAKER_02;Entiendo que el Barça está en vuestro Top 8.
151.360;152.040;SPEAKER_01;Sí.
152.040;156.120;SPEAKER_02;¿Cuántos españoles hay en tu Top 8, Adrián Blanco?
156.120;157.640;SPEAKER_01;Dos.
157.640;159.480;SPEAKER_02;¿Nau?
159.480;160.840;SPEAKER_02;Tres.
160.840;162.120;SPEAKER_02;¿Alex?
162.120;163.720;SPEAKER_02;Tres.
163.720;164.920;SPEAKER_02;Yo llevo dos.
164.920;169.280;SPEAKER_02;Venga, vamos con el Top 8 en orden a Cañón.
169.280;172.560;SPEAKER_02;Si hay alguna cosita que me queréis ir explicando por el camino,
172.560;176.720;SPEAKER_02;tema de calendario que yo lo he estado mirando mucho, sensaciones, lo que sea,
176.720;177.440;SPEAKER_02;pues lo decís.
177.440;178.640;SPEAKER_02;Adri.
178.640;179.920;SPEAKER_01;Ya abajo arriba.
179.920;181.440;SPEAKER_01;Del octavo al primero, ¿no?
181.440;182.480;SPEAKER_01;Venga.
182.480;184.800;SPEAKER_01;Octavo, Benfica.
184.800;186.920;SPEAKER_01;Séptimo, Nápoles.
186.920;188.880;SPEAKER_01;Sexto, Chelsea.
188.880;190.720;SPEAKER_01;Quinto, Arsenal.
190.720;193.000;SPEAKER_01;Cuarto, Real Madrid.
193.000;194.920;SPEAKER_01;Tercero, Bayern.
194.920;196.720;SPEAKER_01;Segundo, Barça.
196.720;198.880;SPEAKER_01;Y primero, Liverpool.
198.960;200.960;SPEAKER_02;No has metido al Paris Saint-Germain, ¿verdad?
200.960;201.640;SPEAKER_01;No.
201.640;203.280;SPEAKER_01;Tiene el calendario más complicado.
203.280;205.840;SPEAKER_01;El Bayern sí. El Bayern está tercero.
205.840;208.400;SPEAKER_02;El calendario del Paris Saint-Germain es una salvajada.
