start_sec;end_sec;speaker;text
0.000;3.680;SPEAKER_01;Fichar al fotolista que está en lo más alto, en la cresta de la ola
3.840;4.600;SPEAKER_01;Ah...
4.720;6.360;SPEAKER_01;en realidad es muy fácil, frateritos.
6.480;8.160;SPEAKER_01;Hay que tener dinero. Claro.
8.280;10.760;SPEAKER_01;Que es algo que nosotros, en abundancia...
10.880;12.400;SPEAKER_01;Bueno... Depende.
12.520;14.720;SPEAKER_01;Depende. Ahora que es la época de la renta...
14.840;17.240;SPEAKER_01;Ahora qué lo dices. Hablo a título personal.
17.360;18.800;SPEAKER_01;Si quieres ceder un poco...
18.920;20.160;SPEAKER_01;Pero, pero, pero...
20.640;23.120;SPEAKER_01;Y si no puedes, como vosotros, que sois...
23.240;24.680;SPEAKER_03;Bueno... Gente a pie.
24.800;26.080;SPEAKER_03;Sí. Gente trabajadora.
26.200;29.560;SPEAKER_01;Y tenéis que fichar a ese jugador que está en un momento más bajo.
29.640;31.680;SPEAKER_01;Como el Betis, ¿no? Con Anthony.
31.800;33.160;SPEAKER_01;Por ejemplo. Por ejemplo.
33.280;35.080;SPEAKER_01;Hoy vamos a hablar de futbolistas
35.200;37.120;SPEAKER_01;que están un poquito devaluados,
37.240;39.880;SPEAKER_01;pero que eso les hace más accesibles.
40.000;41.000;SPEAKER_??;-
41.120;44.720;SPEAKER_??;FUTBOLISTA
44.840;48.160;SPEAKER_??;FUTBOLISTA
48.280;51.320;SPEAKER_01;Hoy, como decía, vamos a hacer un once de futbolistas
51.440;54.560;SPEAKER_01;que, bueno, están perdiendo valor en el mercado,
54.680;57.360;SPEAKER_01;están atravesando un momento difícil en sus carreras,
57.400;60.200;SPEAKER_01;pero precisamente por eso igual es el momento
60.320;61.680;SPEAKER_01;para apostar por ellos.
61.800;63.680;SPEAKER_01;En este sentido, yo siempre recuerdo a Adri
63.800;66.400;SPEAKER_01;la historia que contaba Monchi sobre Lucas Ocampos.
66.520;67.600;SPEAKER_01;Ponía ese ejemplo
67.720;70.080;SPEAKER_01;que también ha seguido con otros nombres propios.
70.200;73.280;SPEAKER_01;A Lucas Ocampos el Sevilla le había seguido durante tiempo.
73.400;76.800;SPEAKER_01;Cuando llega a Europa, cuando ficha por el OM,
76.920;78.240;SPEAKER_01;estaba el Sevilla detrás,
78.360;82.040;SPEAKER_01;no puede alcanzar las cifras que termina pagando el conjunto francés,
82.160;84.640;SPEAKER_01;pero el Sevilla le sigue siguiendo.
84.760;86.360;SPEAKER_01;Valga la redundancia.
86.680;91.040;SPEAKER_01;Y cuando ve que Lucas Ocampos parece que ya está cansado de Marsella,
91.160;93.360;SPEAKER_01;que no está ofreciendo el máximo nivel,
93.480;95.480;SPEAKER_01;el Sevilla va, se lo lleva
95.600;98.800;SPEAKER_01;y le saca un gran rendimiento económico y deportivo.
99.320;101.200;SPEAKER_01;Claro, no siempre luego sale así,
101.320;103.240;SPEAKER_01;pero es verdad que muchas veces
103.360;106.280;SPEAKER_01;el momento de fichar es justo cuando jugadores
106.400;109.920;SPEAKER_01;que han movido mucha pasta no encajan en esos grandes clubes
110.040;111.400;SPEAKER_01;y van perdiendo ese valor.
111.520;113.600;SPEAKER_00;Sí, es el momento para arriesgar con ellos.
113.640;117.000;SPEAKER_00;Es verdad que para hacer este tipo de apuestas en el mercado
117.120;120.400;SPEAKER_00;tiene que ser un proyecto sano, un proyecto bien llevado,
120.520;123.040;SPEAKER_00;porque son apuestas que te pueden salir muy bien,
123.160;126.320;SPEAKER_00;como el caso de Lucas Ocampos, pero también ha habido apuestas
126.440;129.240;SPEAKER_00;de jugadores que venían a menos y se hunden en tu club.
129.360;133.000;SPEAKER_01;En este sentido, vamos a hablar de algún jugador del Manchester United,
133.120;136.320;SPEAKER_01;pero todos aquellos fútbolistas que salen del Manchester United
136.440;137.680;SPEAKER_01;se encuentran en la luz.
137.800;141.000;SPEAKER_01;Desde Chris Smolin a Anthony, pasando por…
141.120;143.040;SPEAKER_01;Bueno, Jadon Sancho en el Dortmund.
143.080;144.560;SPEAKER_03;Estuvo bien en el Villa.
144.680;146.480;SPEAKER_03;Lo de McTominay es un caso…
146.600;148.080;SPEAKER_03;McTominay. Frank Freed.
148.200;149.680;SPEAKER_01;Crack. Quiero decir…
149.800;152.720;SPEAKER_01;El Manchester United tiene algún que otro nombre.
152.840;157.480;SPEAKER_01;Hemos elaborado un once en un 4-4-2 con un poquito de todo.
157.600;159.240;SPEAKER_03;Bueno, canónico tampoco te pases.
159.360;162.680;SPEAKER_03;Canónico para la factoría Red Bull, porque es un 4-2-2-2-2.
162.800;164.080;SPEAKER_03;Sí, es ofensivo. Vale.
164.200;165.520;SPEAKER_01;Vamos de cara. Me gusta.
165.640;166.960;SPEAKER_01;Hay que apostar por ellos.
167.080;169.760;SPEAKER_01;En portería, hay que decir que nos ha costado encontrar
169.880;171.840;SPEAKER_01;un nombre muy, muy concreto.
171.840;173.920;SPEAKER_01;El primero que se nos venía a la cabeza
174.040;176.880;SPEAKER_01;por estar devaluado en un equipo en el que no ha funcionado
177.000;178.080;SPEAKER_01;es Andreo Nana.
178.200;179.200;SPEAKER_02;Pero, claro…
180.720;182.680;SPEAKER_01;Darle un oportunazo a Andreo Nana…
182.800;185.000;SPEAKER_02;Hostia, cuesta más, eh. Valente.
185.120;187.040;SPEAKER_02;Bueno, un portero de 50 kilos.
187.960;189.880;SPEAKER_02;A ver cuánto… Está bueno.
190.000;193.480;SPEAKER_02;A ver cuántos equipos se pueden permitir
193.600;196.440;SPEAKER_02;un Nana en plenitud en el Inter.
196.560;198.840;SPEAKER_01;Estuvo un poco sobrepagado en su momento.
198.960;200.320;SPEAKER_02;Bueno, sí, pero…
200.520;203.240;SPEAKER_02;Yo creo que es un portero con una gran trayectoria.
203.360;206.040;SPEAKER_01;¿Tú apostarías por él? ¿Tú abogabas por Metir?
206.160;210.000;SPEAKER_01;En función del club, creo que sí. ¿Qué club, así, voté pronto dirías?
210.720;212.520;SPEAKER_02;Bueno, el Betis necesita portero.
213.800;216.760;SPEAKER_03;El Betis, al final, se va a traer el Manchester United.
216.880;220.040;SPEAKER_02;No, es una relación… El United Bay va a quedar por delante.
220.160;223.040;SPEAKER_02;Hemos terminado el asiento… Habla castellano, además.
223.160;225.360;SPEAKER_03;Sí, claro. Si jugó con Alberto Chogo.
225.480;229.000;SPEAKER_01;Y es amigo de Alberto Chogo, lo cual debería ser, creo, una virtud.
229.120;231.960;SPEAKER_03;Sí. Bueno, tiene amigos que son complicados,
232.080;233.640;SPEAKER_03;como tú, Miguel, por ejemplo.
234.240;235.240;SPEAKER_03;Soy complicado.
235.360;236.760;SPEAKER_??;¡Jajaja!
236.880;239.080;SPEAKER_03;Perdón, perdón, es que me han puesto a vos.
239.200;241.200;SPEAKER_01;No, no. Soy complicado,
241.320;244.320;SPEAKER_01;pero no te preocupes, te puedo ahorrar las complicaciones.
244.440;247.800;SPEAKER_01;En todo caso, hemos elegido a Kepa Arrizabalaga,
247.920;251.040;SPEAKER_01;otro portero que movió mucho dinero, el más caro de la historia.
251.160;253.120;SPEAKER_01;Sí, claro. Evidentemente,
253.240;256.280;SPEAKER_01;está en otro momento completamente diferente de la carrera.
256.400;258.960;SPEAKER_01;Ahora su valor en transfer market es de 10 millones.
259.080;263.440;SPEAKER_01;Ha perdido un millón de valor en esta última actualización, el 9%.
263.560;265.800;SPEAKER_01;Parece que lo tiene hecho con el Arsenal.
265.920;268.840;SPEAKER_03;Sí, porque por lo visto hay una cláusula de cinco millones.
268.960;272.000;SPEAKER_03;El Arsenal necesitaba un portero para competir con David Raya.
272.120;275.320;SPEAKER_03;Parece que el elegido es él después de la temporada en el Bormoth,
275.440;277.200;SPEAKER_03;que ha sido un poco de asentar.
277.320;280.040;SPEAKER_03;De asentar de nuevo al Kepa, que es titular en un equipo,
280.160;282.960;SPEAKER_01;y en este caso el Bormoth. Yo esperaba un poquito esto.
283.080;285.840;SPEAKER_01;Ese pasito atrás… A mí me hacía interesante por esto.
285.880;288.400;SPEAKER_00;Está en la máxima élite,
288.520;290.800;SPEAKER_00;que no consigue cumplir con las expectativas.
290.920;293.200;SPEAKER_00;Dice, bueno, un momento de dar un pasito atrás.
293.320;296.360;SPEAKER_00;Me asiento como dice Álex, en una portería donde sé que jugaré
296.480;299.720;SPEAKER_00;y ahora aspirar al siguiente reto, que será el suplente en el Arsenal.
299.840;301.600;SPEAKER_01;Es un reto que me sale un poquito…
301.720;305.080;SPEAKER_00;Me gustaría verlo titular en otra portería y me gustaría que regresase.
305.200;306.560;SPEAKER_03;Cuidado. Cuidado.
307.320;308.320;SPEAKER_03;Cuidado.
309.640;310.840;SPEAKER_03;Cuidado no acabe.
311.080;312.880;SPEAKER_03;De titular, digo. Kepa.
313.080;314.400;SPEAKER_03;Por delante David Raya.
314.800;316.520;SPEAKER_01;¿Qué pasa con David Raya? No.
316.640;318.040;SPEAKER_03;No, hombre. No, no.
318.160;320.040;SPEAKER_03;Este cuidado. Este cuidado.
320.160;321.880;SPEAKER_01;Igual, igual. No.
322.000;324.160;SPEAKER_01;Como antes me has dicho que soy complicado,
324.280;326.800;SPEAKER_01;ahora te voy a complicar. ¿Qué pasa con David Raya?
326.920;328.360;SPEAKER_03;No pasa nada con David Raya.
328.480;329.880;SPEAKER_03;Pero el problema es…
330.000;332.200;SPEAKER_03;O sea, las situaciones que a Miquel Arteta
332.320;334.760;SPEAKER_03;le encanta la competitividad en los puestos.
334.880;336.400;SPEAKER_03;Y yo creo que por eso
336.520;340.280;SPEAKER_03;quería desde un principio a Zona García, porque sabía que era un portero.
340.400;342.680;SPEAKER_03;Obviamente, cuando David Raya flojeara, le iba a dar
342.720;344.640;SPEAKER_03;el nivel de ser titular en el Arsenal.
344.760;347.360;SPEAKER_03;Y yo creo que quiere a un Kepa que está en crecimiento
347.480;350.200;SPEAKER_03;que le va a dar una oportunidad a un equipo de Champions
350.320;353.240;SPEAKER_03;de… Oye, has visto lo que es no jugar competición europea,
353.360;356.960;SPEAKER_03;¿no? Estar más pendiente de otras cosas que no de jugar.
357.080;358.920;SPEAKER_01;A mí tu cuidado más sabía otra.
359.040;360.040;SPEAKER_02;No, no, no.
360.160;363.520;SPEAKER_02;Ha sido un cuidado como el de Marta Sánchez con Carlos Baute.
364.800;365.800;SPEAKER_03;Cuidado.
366.360;367.360;SPEAKER_03;Cuidado.
367.840;368.840;SPEAKER_03;No.
368.960;371.320;SPEAKER_03;Que mi corazón está colgando en tus manos.
371.360;373.880;SPEAKER_03;Eso le dice Arteta… Eso le dice Arteta Kepa.
374.000;375.000;SPEAKER_03;Claro, cuidado.
375.120;376.600;SPEAKER_01;Cuidado. Cuidado.
376.720;377.720;SPEAKER_01;En fin.
377.840;379.040;SPEAKER_01;Lateral derecho.
379.160;381.480;SPEAKER_01;Esta posición la tenías muy clara, Nahuel.
381.600;385.240;SPEAKER_01;Habíamos hablado de él antes de pensar un poquito este once
385.360;389.040;SPEAKER_01;que estamos haciendo de jugadores devaluados a los que hay que dar oportunidad.
389.160;390.800;SPEAKER_01;Jean Couto es un caso clarísimo.
390.920;394.320;SPEAKER_01;20 millones, ha perdido el 20 % de su valor en la última actualización,
394.440;395.440;SPEAKER_01;que son cinco.
395.560;398.480;SPEAKER_01;En el Dortmund encajaba o aparentemente encajaba bien.
398.600;399.800;SPEAKER_01;Nada de nada, eh.
400.120;401.240;SPEAKER_01;Nothing. Qué pena, eh.
401.360;403.160;SPEAKER_01;Eh… ¿Qué ha pasado ahí, Nahuel?
403.280;404.280;SPEAKER_02;Eh…
404.400;406.680;SPEAKER_02;Yo creo que el Dortmund es un desastre.
406.800;408.280;SPEAKER_02;La manera de funcionar…
408.400;411.520;SPEAKER_02;Quiere fichar todo el mundo y cada uno se la agarra por su cuenta.
411.640;413.280;SPEAKER_01;Pero encajaba a priori, ¿no?
413.400;417.080;SPEAKER_01;No era jugador City, parecía, ni jugador Real Madrid como sonó.
417.200;420.200;SPEAKER_01;Pero ese segundo nivel…
420.320;422.280;SPEAKER_01;A ver, yo creo que lo tenía sobra.
422.400;425.880;SPEAKER_02;Para empezar, el Dortmund no sabía muy bien qué ficharle a Nuni Sahin.
426.000;427.440;SPEAKER_02;Sí que es verdad.
427.640;430.800;SPEAKER_02;Claro, que al final no lo tenían muy controlado como técnico
430.920;433.320;SPEAKER_02;y haya habido, yo creo, bastantes desacuerdos.
433.440;438.320;SPEAKER_02;Luego llega Nico Kovac y dice que nunca había visto jugar a Jean Couto.
438.440;439.880;SPEAKER_02;No, no. No vi a Girona.
440.000;441.640;SPEAKER_02;No vi a Girona. Bien, Nico.
441.760;444.400;SPEAKER_02;Trabando. Y no la ha dado ningún tipo de protagonismo.
444.520;448.080;SPEAKER_02;Creo que el futbolista también tiene pinta de ser un jugador complicado.
448.200;449.480;SPEAKER_02;Oye, yo me siento…
449.600;452.920;SPEAKER_02;Y de hecho lo vimos incluso en las buenas, en el Girona,
453.040;454.960;SPEAKER_02;que era un jugador con mucho carácter.
455.000;457.360;SPEAKER_02;Oye, si tú lo metes en vereda
457.480;460.240;SPEAKER_02;y él se siente protagonista y líder del equipo,
460.360;463.840;SPEAKER_02;te puede sumar mucho, pero creo que Dortmund se ha visto dejado de lado
463.960;466.600;SPEAKER_02;y tampoco ha puesto todo su parte para tener minutos.
466.720;469.680;SPEAKER_01;En el centro de la defensa tenemos un caso paradigmático.
469.800;471.800;SPEAKER_01;Incluso más que el de Jean Couto.
471.920;474.720;SPEAKER_01;Ronald Adabujo ha perdido el 50 % su valor
474.840;478.440;SPEAKER_01;para transformar, que tampoco hay que asumirlo como si fuese la Biblia,
478.560;480.600;SPEAKER_01;que siempre es una guía interesante.
480.720;483.120;SPEAKER_01;Es el momento para apostar por Ronald Adabujo.
483.160;485.160;SPEAKER_01;Es el momento más bajo de su carrera.
485.280;487.920;SPEAKER_01;Un central del que hace dos años planteaba debates
488.040;489.680;SPEAKER_01;de mejor central del mundo.
489.800;491.280;SPEAKER_03;Ahora es poco popular decirlo.
491.400;493.480;SPEAKER_03;Y se hablaba de una venta alta del Barça.
493.600;497.040;SPEAKER_03;Cuando el Barça se ha ido a vender, se hablaba de esos 80 millones.
497.160;499.360;SPEAKER_01;Se piensan 70-80 millones y me encantaba.
499.480;501.640;SPEAKER_03;Y acuérdate, cuando salió la oferta de la Juve,
501.760;504.040;SPEAKER_03;que era una cesión con obligación de compra
504.160;505.880;SPEAKER_03;que no superaba los 20 millones.
506.000;507.080;SPEAKER_01;Creo que eran 25.
507.200;508.680;SPEAKER_00;Bueno, me parece raro.
508.800;511.440;SPEAKER_00;Sonaba raro, pero creo que llegados a este punto
511.480;513.880;SPEAKER_00;que Adabujo y el Barça se pare en sus caminos.
514.000;517.560;SPEAKER_01;Si costase 35, como dice Transfer Market,
517.680;520.720;SPEAKER_01;¿irías a por Ronald Adabujo antes que por el Cuti Romero?
520.840;521.840;SPEAKER_00;Sí, sí.
522.440;524.160;SPEAKER_00;Además, lo tengo bastante claro.
524.280;525.280;SPEAKER_01;Es que...
525.400;528.040;SPEAKER_01;Insisto, si esto no lo dicen hace dos años...
528.760;530.160;SPEAKER_00;Pues pensaríamos que...
530.280;533.720;SPEAKER_01;Está en un momento muy bajo a nivel anímico que habría que cuidar.
533.840;537.160;SPEAKER_01;Por ejemplo, el otro central que hemos elegido es Kim Minjae.
537.280;540.360;SPEAKER_01;A Kim Minjae le he visto costuras en el Bayern.
540.520;542.400;SPEAKER_03;Es que yo creo que el Bayern no es...
542.520;545.080;SPEAKER_03;El Bayern de company no es para Kim Minjae.
545.200;548.600;SPEAKER_01;Lo de Ronald Adabujo también se puede decir que el Barça no es para él,
548.720;551.360;SPEAKER_01;pero me creo más a Ronald Adabujo que a Kim Minjae.
551.480;553.600;SPEAKER_00;Si nos dicen esto de Adabujo hace dos años,
553.720;556.360;SPEAKER_00;hubiésemos pensado que ha sufrido una grave lesión
556.480;558.680;SPEAKER_00;que ha frenado. Más o menos la ha sufrido.
558.800;561.080;SPEAKER_00;Ha sufrido muchas, sobre todo musculares.
