start_sec;end_sec;speaker;text
0.000;11.000;SPEAKER_02;¿Qué pasa, pizarritas? Sé que hoy es día 30 de septiembre, que por ende no ha acabado el mes de septiembre, es evidente, es obvio, no, o sea, quiero decir, no me equivoco,
11.000;19.000;SPEAKER_02;pero hoy es día de Power Ranking porque esta segunda jornada de la Champions y de la Europa League, la primera de la Conference, la vamos a incluir en el mes de octubre,
19.000;27.000;SPEAKER_02;porque es que al este llano teníamos muchas ganas ya de Power Ranking, es que tengo muchas ganas de que nos cuentes cuáles han sido los equipos más en forma del fútbol europeo.
27.000;34.000;SPEAKER_00;Sí, lo tengo, analógico. ¿Cómo? Hoy es un Power Ranking analógico. ¿Quién ha escrito? ¡Esquíta mano!
34.000;43.000;SPEAKER_00;Papel y boli, ¿eh? Me he puesto nostálgico, me he puesto nostálgico y he dicho, vamos a hacer un Power Ranking a la antigua ausanza, como un buen periodista, Miguel.
43.000;52.000;SPEAKER_02;No, no, no, no, te ha faltado el whiskito para completar el pack analógico, pero bueno, conociéndote seguramente lo lleves ya encima.
52.000;56.000;SPEAKER_02;Sobre todo el lunes. Sobre todo el lunes, hombre.
56.000;59.000;SPEAKER_02;No hay mejor día para un whiskito que el lunes. ¿Cuándo si no?
60.000;65.000;SPEAKER_03;Oye, por cierto. Ya os contaré una historia de Álex de Llano y el whisky, que no de frauda.
65.000;72.000;SPEAKER_03;¡Uuuh! ¡Mustracis! Me gusta, me gusta. Lo dejamos para el Q&A del viernes, ¿os parece? Vale.
72.000;82.000;SPEAKER_02;Vale, porque hoy tenemos un Power Ranking muy molón, porque además creo que de Llano es el primero de verdad, no porque el del mes de agosto teníamos muy poquitos partidos,
82.000;86.000;SPEAKER_02;muy complicado de elegir, ordenar. Había poca materia aquí. Aquí ya tenemos chicha hoy.
86.000;93.000;SPEAKER_00;Ya hay chicha, ya ha habido Champions, ya ha habido Europa League, la Conferencia tendrá que esperar, pero aviso que hay sorpresas.
93.000;105.000;SPEAKER_02;Hay sorpresas, hay entradas muy potentes de equipos que no estaban en agosto. Ahora lo repasamos todo, pero antes de analizar cuáles son los equipos más en forma en el fútbol europeo en estos momentos,
105.000;115.000;SPEAKER_02;tengo que contaros cuál es, sin lugar a dudas, aquí no hay duda, aquí no hay ranking, sólo hay uno, el máster en periodismo deportivo más en forma del panorama español,
115.000;124.000;SPEAKER_02;porque MCD quiere cambiar las reglas del juego hasta el punto, Adrián Blanco, de que ha dicho, vamos a fichar a los mejores profesores.
124.000;133.000;SPEAKER_01;Y eso es lo que ha hecho, eso es lo que ha hecho. Se les ha ido la cabeza completamente. Se les ha ido y nos han fichado a nosotros dentro del claustro de profesores del máster de MCD.
133.000;138.000;SPEAKER_01;A nosotros y a todos grandes profesionales del sector quintana, porque es un claustro muy variadito.
138.000;146.000;SPEAKER_02;Son los que suben el nivel, por ejemplo, también hay máster class de profesionales como Jordi Alba, Paula Vadosa, José Manuel Calderón.
146.000;160.000;SPEAKER_02;Es un máster online, chicos, esto es importante, máster online y que quiere adaptarse mucho a los tiempos que corren y no impartir algo que ya en el mundo actual, pues oye, ya queda un poquito desfasado.
160.000;171.000;SPEAKER_03;El máster es online, pero hay presentación en vivo y en directo. El próximo jueves día 2 en el Estadio Metropolitano, que no es que se organise esto en el salón de mi casa,
171.000;182.000;SPEAKER_03;que es un lugar a la altura con varios de los profesores que van a impartir clases durante este máster y a los que vais a poder conocer mientras tenéis buenas vistas.
182.000;191.000;SPEAKER_03;Buenas vistas, su lugar ideal para la práctica de este tipo de eventos en el Estadio Metropolitano. Muy adecuado.
191.000;197.000;SPEAKER_03;Después de esta exhibición, era el término que yo...
197.000;199.000;SPEAKER_03;¡Vaya profesores!
199.000;207.000;SPEAKER_02;Cosas así son las que podéis aprender en el máster de MCD, elocuencia, comunicación, concreción.
207.000;214.000;SPEAKER_03;Una de mis clases va a incluir un segmento donde se enseña a huir hacia adelante.
214.000;217.000;SPEAKER_03;Muy importante, muy importante.
217.000;223.000;SPEAKER_02;Chicos, si queréis más información para esa clase de huir hacia adelante o de suegreo, que creo que ese es el nivel 2,
223.000;229.000;SPEAKER_02;tenéis el enlace en la cajita de descripción y el jueves nos vemos por el Metropolitano.
229.000;232.000;SPEAKER_02;Pero ahora nos vemos aquí en el Power Ranking.
232.000;238.000;SPEAKER_02;Para empezar, chicos, Alés de Llano comentar que en este Power Ranking que hicimos en el mes de agosto,
238.000;246.000;SPEAKER_02;salían muchos equipos top con PSG, Valle y Real Madrid en lo más alto, pero se caen unos cuantos.
246.000;252.000;SPEAKER_02;Hay mucha variación respecto al mes de agosto como es normal porque en los primeros meses suele haber más baile.
252.000;256.000;SPEAKER_00;Sí, efectivamente. Hay equipos que empiezan como un cañón y luego se caen.
256.000;261.000;SPEAKER_00;Hay equipos que se aprovechan que hay otros que no terminan de tener todos los fichajes,
261.000;264.000;SPEAKER_00;jugadores que nos han lesionado y va a haber cambios.
264.000;268.000;SPEAKER_00;Y de hecho hay cambios también en las menciones que venen.
268.000;271.000;SPEAKER_00;Me ha dicho nuestro editor cuando se las he pasado,
271.000;275.000;SPEAKER_00;¡Ostras! No has metido nada de fútbol underground y es verdad.
275.000;279.000;SPEAKER_02;Todavía no hay campeón de la Liga de Estonia, claro.
279.000;281.000;SPEAKER_02;Estoy convirtiendo en uno de vosotros, chicos.
281.000;283.000;SPEAKER_03;Te estás vendiendo al mainstream.
283.000;286.000;SPEAKER_03;Pero escucha, hay algo que puedes meter.
286.000;290.000;SPEAKER_03;Es de Tayikistán el equipo que gana siempre.
290.000;292.000;SPEAKER_03;Turkemistán.
292.000;295.000;SPEAKER_00;Es de Turkmenistán y es Asia, ¿no?
295.000;297.000;SPEAKER_00;No se puede, solo se puede Europa.
297.000;301.000;SPEAKER_02;No, aunque es verdad que aquí creo que alguna vez has mencionado a la Copiña.
301.000;305.000;SPEAKER_00;Sí, pero no he metido nunca al Ético Mineiro, no he metido nunca a Flamengo...
305.000;308.000;SPEAKER_02;No, no, no. Y te honra, Álex de Llano.
308.000;312.000;SPEAKER_02;Antes de ir con las menciones honoríficas, estoy contando...
312.000;315.000;SPEAKER_02;Hay cinco equipos que entran por primera vez,
315.000;318.000;SPEAKER_02;cinco equipos que no estaban en este Power Ranking del mes de agosto.
318.000;320.000;SPEAKER_02;Así que ya decimos que se vienen novedades.
320.000;323.000;SPEAKER_02;Una de ellas, creo que no os la esperáis.
323.000;326.000;SPEAKER_02;Y no es una bizarrada, ¿vale?
326.000;329.000;SPEAKER_00;No es una sesión.
329.000;333.000;SPEAKER_02;No es una paja, no lo es.
333.000;335.000;SPEAKER_02;Bizarro, igual es un rato.
335.000;338.000;SPEAKER_03;Qué pesado, la polla, hombre, qué pesado.
338.000;341.000;SPEAKER_02;Tremendo Cipote, Miguel, tremendo.
341.000;345.000;SPEAKER_02;Oye, que la gente puso que no sabía a qué me refería.
345.000;348.000;SPEAKER_02;Solo aquí iba a decir en Madrid,
348.000;352.000;SPEAKER_02;se utiliza el término grandilocuente de Cipote para hablar de...
352.000;355.000;SPEAKER_02;Grandilocuente era el tuyo, Miguel.
355.000;357.000;SPEAKER_01;Para hablar de...
357.000;360.000;SPEAKER_03;El mío es grande en ilocuente, ¿no?
360.000;362.000;SPEAKER_03;Miguel Quintana, aka el surcoreano.
362.000;366.000;SPEAKER_02;Y solo se habla en Madrid, porque en Madrid lo he escuchado.
366.000;369.000;SPEAKER_02;No solo en mi grupo de amigos, como Lio, como...
369.000;372.000;SPEAKER_00;Sí, ¿no?
372.000;376.000;SPEAKER_00;No es Emilio de aquí en el que viva que dice Cipote, ¿no?
376.000;380.000;SPEAKER_02;Claro, es que mucha gente, supongo que la generación Z,
380.000;383.000;SPEAKER_02;que ahora tiene otros términos, no.
383.000;387.000;SPEAKER_03;Igual podríamos decir nuestro...
387.000;390.000;SPEAKER_03;¿Sabéis los términos de la generación Z? Por favor, en los comentarios.
390.000;395.000;SPEAKER_02;Pero igual nuestro Cipote es el cantidubidubi de los boomers, ¿sabes?
395.000;398.000;SPEAKER_00;El me pi... Hasta luego, cocodrilo, ¿no?
398.000;400.000;SPEAKER_00;Claro, claro.
400.000;402.000;SPEAKER_03;Me pica vampiro, eh.
402.000;405.000;SPEAKER_03;A mi sobrina para enseñarle a despedirse,
405.000;408.000;SPEAKER_03;porque despedirse así en frío no le hace mucha gracia.
408.000;411.000;SPEAKER_02;Pero si dice chau pescado, le hace gracia.
411.000;413.000;SPEAKER_03;Y eso te lo dice.
