audio_id,start_sec,end_sec,duration_sec,speaker,text,n_chars,n_words,merged_segments
bxE-t0uDGxM,0.0,20.0,20.0,SPEAKER_00,"Hoy vamos a analizar 10 decisiones que tienen que tomar 10 de los 20 entrenadores de la liga tras este nuevo comienzo. Para muchos entrenadores este parón les sirve para meter en dinámica fichajes, para trabajar cosas, futbolistas que se recuperan. Y hay varias decisiones que nos parecen trascendentales y que tienen que tomar.",328,54,3.0
bxE-t0uDGxM,20.0,24.0,4.0,SPEAKER_01,"No hay ningún entrenador que tenga que tomar dos decisiones, ¿no? Hay alguno, pero no. Solo uno. Solo uno.",106,19,2.0
bxE-t0uDGxM,24.0,52.0,28.0,SPEAKER_00,"Solo uno. Solo uno. Ten el objetivo. 10 entrenadores, 10 decisiones. Vale, vale. 12 meses, 12 vidas. 12 causas. Bueno, arrancamos con Sergio Francisco, técnico de la Real Sociedad. Creo que es un tema muy interesante porque está ligado al gran rendimiento de Miquel Hoyarzabal como 9 de la selección española. Ya analizamos el otro día. El contexto es completamente diferente. Yo, por ejemplo, en el Miquel Hoyarzabal delantero centro no creo tanto en esta Real Sociedad.",471,77,9.0
bxE-t0uDGxM,53.0,66.0,13.0,SPEAKER_00,"Sí que creo más en su versión en banda izquierda o incluso en la media punta, cosa que hemos visto durante los partidos. Pero una cosa es lo que creo yo y otra es la que cree Sergio Francisco, que es lo que importa. Y todavía no sabemos por qué va a apostar.",258,53,3.0
bxE-t0uDGxM,66.0,75.0,9.0,SPEAKER_03,Segunda parte ante el español en la primera media hora frente al Real Oviedo. A mí me convenció mucho esa posición de Miquel Hoyarzabal por detrás de Óscar Soler.,162,29,2.0
bxE-t0uDGxM,75.0,78.0,3.0,SPEAKER_00,"Pero con la llegada de Soler, con tanto media punta...",54,10,1.0
bxE-t0uDGxM,78.0,97.0,19.0,SPEAKER_03,"Sí, pero ahora no están. Ahora por el momento no van a estar. O por lo menos de Ángel, que creo que es el que más le puede hacer crecer a la Real Sociedad en esa idea y vuelta. Yo, sinceramente, me sigo convenciendo o sigo convencido, mejor dicho, de que Hoyarzabal es el 10 que necesita la Real Sociedad. Sobre todo teniendo en cuenta el tipo de 9 que tiene la Real. Me parece que con Guedes y con O'Reilly puede encajar bien.",427,84,6.0
bxE-t0uDGxM,97.0,134.0,37.0,SPEAKER_00,"Yo es que soy partidario de... A mí Barrenechea... Yo esperaba mucha más evolución. Creo que Barrenechea desde el rol de suplente puede aportar más y ser más importante para el equipo. Entonces, ver a un... ...Yángel más Gorrocha en banda izquierda, Hoyarzabal en la media punta, Carlos Soler o Guedes en derecha, a Taque Cubo y arriba O'Ríos Casón, que por cierto se tiene que recuperar de los problemas físicos. A mí eso me encaja bastante. Veo más a Miquel en esa banda. Lo que pasa es que es verdad que el lateral izquierdo de largo recorrido, que podía ser Javi López, no lo va a ser ya.",592,109,10.0
bxE-t0uDGxM,134.0,142.0,8.0,SPEAKER_02,"Sí, y esto es importante porque pierdes esa profundidad, ese vuelo por ese costado, porque Hoyarzabal no te lo va a dar. Te lo digo, a mí...",140,27,2.0
bxE-t0uDGxM,142.0,162.0,20.0,SPEAKER_00,"Fíjate que son jugadores diferentes, ¿no? Pero Hoyarzabal tiene cositas de Rafinha en ese sentido, un jugador que es muy inteligente, que se mueve bien, muy dinámico, con olfato. Claro, el Barça lo compensa con Valdé. Aquí la Real, a Yen creo que aporta en otro sentido. Y Sergio Gómez, que todavía no tenemos clara si va a ser su posición, tampoco es ese lateral largo. Es cierto.",381,68,6.0
bxE-t0uDGxM,162.0,185.0,23.0,SPEAKER_02,"A mí me gusta más por dentro. Yo sigo confiando en Miquel por dentro. Yo también. No sé si como nuevo o como media punta, como dice Alex, que me parece una variante interesante. Recordó la temporada pasada en Montilivi. El juega muy bien, tiene una racha de partidos que son dos, tres... En derecha. En derecha, efectivamente. En derecha ahora está Atake Cubo, lógicamente. Pero bueno, acercándolo al área, acercándolo al remate, la temporada pasada creo que también supo rendir con Imanol en esa seguidilla de partidos, pero aún así yo lo veo por dentro.",555,96,9.0
bxE-t0uDGxM,186.0,194.0,8.0,SPEAKER_01,Le damos ataque a un estatus de indiscutible y yo creo que está siendo un jugador lo suficiente irregular como para que nos hagamos alguna pregunta al respecto.,160,28,1.0
bxE-t0uDGxM,194.0,198.0,4.0,SPEAKER_00,"Sí, pero es que no hay más. Pero menos me lo hago con Barnechea, Mariano Salmón...",82,16,2.0
bxE-t0uDGxM,198.0,217.0,19.0,SPEAKER_01,"Claro, es que Oscar Son entre que no han apostado mucho por él... Bueno, no apostó. ...y que él también ha tenido problemas de lesiones y falta de continuidad. Es complicado. Yo sobre todo tengo ganas de ver a Oliar Zalcon Guedes. Yo creo que se pueden entender los dos muy bien, pueden jugar a una doble punta o con uno de los dos partidos del costado y creo que puede ser una buena sociedad.",393,75,6.0
bxE-t0uDGxM,217.0,251.0,34.0,SPEAKER_00,"Estoy de acuerdo. Segunda decisión de Bordalas, claro. Aquí Bordalas nos va a mandar a paseo porque tú me planteabas tú esta decisión. De hecho, Adria, ese que te miro a ti, me decías ¿hay que hablar de quién hará de Uche en el Getafe? Uche. A ver, yo creo que nadie va a hacer de Uche en el Getafe, pero es verdad que Uche le daba cosas que le daba en su día a la pareja Mata-Molina. Ese juego de espaldas, ese poner de cara al tercer hombre normalmente Luis Milla, ese equipo que es capaz de jugar vertical con sentido y que en tres pases se planta en área contraria. Esto pasaba con Uche. Ahora...",600,117,8.0
bxE-t0uDGxM,251.0,277.0,26.0,SPEAKER_02,"Sobre todo en este arranque de temporada, Uche desde la posición de nueve, al lado de Adrián Liso le estaba permitiendo a Bordalas ser más conservador en su propuesta. No ir tan arriba en la presión, sino poder defender un poquito más abajo, acularse más cerquita de la área de visoria y desplegarse a través del juego directo sobre Uche. Ahora que no va a estar Uche, entiendo que a Bordalas no le queda otra que recuperar el plan habitual del Getafe, de ir a morder arriba, ser mucho más incómodo y acercar más cerca de la corte de arriba.",541,100,3.0
bxE-t0uDGxM,277.0,282.0,5.0,SPEAKER_00,"No hay nada parecido. Porque eso no lo de Randi en teca el último día de mercado. Bueno, le reconoció Martín Presa.",115,22,1.0
bxE-t0uDGxM,282.0,284.0,2.0,SPEAKER_01,Carlos Martín también sonó que podía...,39,6,1.0
bxE-t0uDGxM,284.0,290.0,6.0,SPEAKER_00,"Mayoral sí que te aporta ese fútbol de espaldas, pero ya sabemos que Borja Mayoral no puede jugar con esa continuidad.",118,21,1.0
bxE-t0uDGxM,290.0,318.0,28.0,SPEAKER_03,"Chicos, en duelo aéreos, esta temporada el que más había ganado era el propio Uche. La temporada pasada estaba Álvaro Rodríguez ahí, que podía ser un perfil que quizás lo podría aprovechar. ¿Y su bienatasa? Sí, justo. Pero es que esta temporada, fíjate, para irnos al atacante que más duelo aéreos ganó después de Uche y de Álvaro Rodríguez la temporada pasada, nos vamos a Mayoral. Pero con un número bajísimo, 17. Para que os hagáis una idea, Uche el año pasado fueron 91 duelo aéreos ganados. Es un perfil muy diferente ahora.",529,93,6.0
bxE-t0uDGxM,318.0,327.0,9.0,SPEAKER_01,"Me ha acordado de Vertug. Sí, Vertug, efectivamente. 73 duelo aéreos. Se ha quedado el Reims. Ha jugado dos minutos, un partido. Bueno, mira...",143,24,4.0
bxE-t0uDGxM,327.0,340.0,13.0,SPEAKER_00,Recordemos que llegó al Getafe o había marcado un gol o ninguno. Así como presagio del delantero ya tenía la pinta de irme. Como jugó la Eurocopa. El tema es que me llegue el típico delante del necni mega que ha marcado 15 goles que me engañe.,243,47,3.0
bxE-t0uDGxM,340.0,352.0,12.0,SPEAKER_01,"Pero si ya llega con ninguno o uno... Sería muy de gordo a las inventarse una solución para que Koba, que es un futbolista que nos ha gustado hasta el momento, más a todos los de fuera que a bógaras, de repente sea una estrella del Getafe ahí arriba.",250,49,2.0
bxE-t0uDGxM,352.0,365.0,13.0,SPEAKER_00,"A ver qué inventas. Javi Muñoz. Estoy viendo la plantilla y digo que puede ser algo parecido Javi Muñoz, pero... Pues que no. Bueno, pero Uche... No era... Te gusta defender, te gustaba. Uche tampoco era eso.",208,37,4.0
bxE-t0uDGxM,365.0,382.0,17.0,SPEAKER_03,"Pero al menos el cuerpo lo tenía. Sí, sí. El cuerpazo. Y chicos, si el equipo pasa a atacar con dos delanteros que sean dos extremos, es decir, que en lugar de estirarse a través de una referencia, sea a través de estirar precisamente al rival y que pique en esa zona, por ejemplo Mario Mantis...",296,56,3.0
bxE-t0uDGxM,382.0,419.0,37.0,SPEAKER_00,"Liso puede ser un poquito eso. A ver, Abu Kamara. Nos le conocemos esta Juami. Bueno, vamos a ver. Tercera cuestión, bastante concreta y muy debatida, pero todavía no tenemos respuesta y vamos a ampliar con una cosa que hemos comentado en el debate. Flick. Tienen que encontrar compañero Pau Cubarsí. Román aportó el nombre de Jules Conde poniendo a Eric García de lateral derecho. Albert Fernández dijo directamente Eric García. Los nombres más lógicos serían Ronald Araujo y Andreas Christensen. ¿Qué queréis que va a hacer Flick? No lo queréis vosotros. ¿Qué queréis que va a hacer Hans Dieter Flick? Araujo. ¿Apostar por el que tiene más potencial? Yo creo que sí.",668,113,10.0
bxE-t0uDGxM,419.0,424.0,5.0,SPEAKER_02,Yo creo que va a apostar por Araujo. A mí me gusta ver a Christensen. A mí también.,83,18,2.0
bxE-t0uDGxM,424.0,426.0,2.0,SPEAKER_00,A lao de Cubarsí. Porque crees que encaja mejor.,48,9,1.0
bxE-t0uDGxM,426.0,429.0,3.0,SPEAKER_02,Creo que encaja mejor y porque creo que el momento de Araujo es tan tan bajo ahora mismo.,89,18,1.0
bxE-t0uDGxM,429.0,438.0,9.0,SPEAKER_01,"Marca un golazo con Dinamarca el otro día y no mueves a Cubarsí el perfil favorito. Sí, pero es verdad que... Christensen es un central muy diferente a Iñigo.",158,29,2.0
bxE-t0uDGxM,438.0,447.0,9.0,SPEAKER_00,"Si el fútbol te ha obligado a darle una segunda oportunidad a zarrono al Araujo, porque la marcha de Iñigo es a lo que te lleva... Si hay un momento, está ahora en septiembre.",175,34,2.0
bxE-t0uDGxM,447.0,458.0,11.0,SPEAKER_01,"Es que realmente, yo creo en Estebarca, mira que se debatió mucho en su día entre el Araujo lateral y el Araujo central. Es que el Araujo lateral creo que tendría mucho más juego con Estebarca.",193,36,2.0
bxE-t0uDGxM,458.0,464.0,6.0,SPEAKER_00,"Sí, pero necesita... Ahí la MIM necesita un jugador con buen pie al lado. Es que por eso Erick funciona también.",112,21,2.0
bxE-t0uDGxM,464.0,470.0,6.0,SPEAKER_01,Claro. Pero es tan imprescindible un jugador de buen pie. Yo creo que sobre todo lo que necesita es un buen defensor para hacer frente.,135,25,3.0
bxE-t0uDGxM,471.0,478.0,7.0,SPEAKER_01,"Sí, sí, pero... Es que la MIM parece que el partido de Levante son 28 pérdidas. Alguien que pueda correr y que pueda cologir.",125,24,3.0
bxE-t0uDGxM,478.0,486.0,8.0,SPEAKER_00,Pero creo que la MIM interpreta muy bien el juego de pares y de hecho el 2x2 con Cundé. Funciona de loco. Entonces ahí Araujo tengo mi duda.,140,28,3.0
