start_sec;end_sec;speaker;text
0.000;11.560;SPEAKER_02;¿Qué pasa, pizarritas? Ya estamos un viernes más de esta nueva temporada. Ya sabéis, sin intro, con el Q&A tradicional picadito, variadito y de nuevo siendo cuatro.
11.560;19.840;SPEAKER_02;Así que, Adrián Blanco, bienvenido, aunque bueno, ya sé que está en los últimos vídeos en la pizarra, ya lo sabemos, pero esto ya sabéis que funciona de otra manera.
19.840;27.560;SPEAKER_01;¿Qué tal, chicos? ¿Cómo estáis? Sí, vengo con camisetón, que con Xenacta, pereciosa camiseta del Celta de Vigo,
27.800;35.480;SPEAKER_01;cambiando el escenario y sin gafas pero con lentillas. Así que, temporada de cambios para Adrián Blanco en la 25-26.
35.480;42.760;SPEAKER_02;Un Adrián Blanco renovado, Alex de Llano y Nahuel Miranda son los de siempre. En el mejor sentido posible, pero bueno.
44.440;53.640;SPEAKER_02;Tenemos a Alex con una camiseta de fútbol de barro y un Nahuel Miranda. La carita que estáis viendo es porque
53.640;63.720;SPEAKER_02;está peleándose con la tecnología, con la evolución realmente. O sea, ahora mismo le gustaría estar viviendo en 1840, por ejemplo.
63.720;67.960;SPEAKER_02;¿Qué tal, Nahuel? ¿Cómo estás? Bien, bien, todo bien.
72.840;80.760;SPEAKER_02;No sabéis la pelea que ha tenido con el foco el pobre, está todavía peleándose, pero tranquilo, Nahuel, que tengo buenas preguntas de fútbol
80.920;89.480;SPEAKER_02;para que hablemos con nuestros pizarritas. Me dice siempre Alexander que os recuerde que si no estáis suscritos al canal, mal.
89.480;96.680;SPEAKER_02;Y si todavía no seéis en redes sociales, peor. Somos pizarritas en Instagram y en arroba pizzarritas en TikTok.
96.680;102.760;SPEAKER_02;La primera cuestión de David Francisco dice así.
103.080;112.920;SPEAKER_02;Equipo que más ganas tenéis de ver después de ver el último día de mercado, ya sea por fichajes o inscripciones.
112.920;118.840;SPEAKER_02;Que me gusta que diga esto también porque abre el abanico para Sevilla o Getafe, por decirlo de alguna manera.
118.840;124.760;SPEAKER_02;¿Cuál es ese equipo que después de ese lunes de cierre de mercado, Adri, más ganas te den de ver ahora?
124.760;131.800;SPEAKER_01;A ver, el más evidente es el Villarreal, por el mercado que ha hecho, por la cantidad de fútbolistas que ha incorporado,
131.800;135.000;SPEAKER_01;porque es un mercado muy ambicioso y porque me apetece mucho.
135.000;143.480;SPEAKER_01;Pero te diré que tengo mucha curiosidad por ver cómo utiliza Corberán Adam Juma y Adam Ramazzani en la punta de Valencia.
143.480;147.160;SPEAKER_02;Pero Adri, eso no es el último día de mercado.
147.160;150.680;SPEAKER_01;Bueno, pero es que yo no estuve cuando la analizasteis. Entonces quiero analizarla ahora.
150.680;152.680;SPEAKER_01;Quiero hablar de esos dos movimientos.
152.680;161.240;SPEAKER_00;Claro, Adri. Y como naciste en el 95, pues nada, analiza, no sé, al Milan de Saki si te apetece.
161.320;164.840;SPEAKER_01;Si queréis algún día hablamos de ello.
164.840;168.520;SPEAKER_01;Pero a ver, es que si no, el más evidente, el más obvio es el Villarreal.
168.520;170.520;SPEAKER_01;Creo que vamos a decir los cuatro al mismo, ¿no?
170.520;174.600;SPEAKER_00;No, mira, yo lo tengo muy claro. Yo tengo ganas de ver al Girona.
175.640;177.640;SPEAKER_03;Era mi nombre, era mi nombre.
177.640;180.440;SPEAKER_03;El Villarreal que ha fichado mi caotache que está muy bien, pero...
180.440;181.720;SPEAKER_02;Claro, o sea...
181.720;190.440;SPEAKER_02;A ver, para Adrián Blanco el último día de mercado comprende desde más o menos el 1 de agosto al 1 de septiembre, que es el tiempo en el que ha estado fuera.
190.440;193.480;SPEAKER_02;Ha sido un día muy largo.
193.480;195.480;SPEAKER_02;A ver, yo tengo muchas ganas de ver al Girona.
195.480;199.480;SPEAKER_02;Luego vamos a hablar del equipo de Michel en particular con los últimos nombres.
199.480;203.800;SPEAKER_02;Pero bueno, eso del Ivakovic, lo de Brian Hill...
203.800;207.960;SPEAKER_02;Creo que Banat es algún día antes, pero todavía no ha jugado.
207.960;213.480;SPEAKER_02;Bueno, yo tengo ganas de ver también la Real Sociedad con el tema de Jangel y Soler.
214.440;218.920;SPEAKER_00;Sí, desde luego. Para ver cómo ese centro del campo evoluciona, si crece...
218.920;223.800;SPEAKER_00;Lo de Jangel vamos a tener que esperar bastante para verlo.
223.800;233.800;SPEAKER_00;Pero bueno, sí que hay ganas de sobre todo ver cómo Soler vuelve a la Liga española después de haber recibido la cara más amarga del fútbol internacional.
