start_sec;end_sec;speaker;text
0.000;8.440;SPEAKER_01;No sé, Adri, Álex, Nao, si estáis preparados para el último Q&A de esta Liga 2024-2025.
8.440;9.680;SPEAKER_01;¿El último ya?
9.680;10.560;SPEAKER_01;El último.
10.560;11.760;SPEAKER_01;The last, the dance.
11.760;13.480;SPEAKER_01;Nunca es el último.
13.480;20.400;SPEAKER_01;En este caso sí, no de la temporada, pero sí de la Liga y como siempre,
20.400;26.520;SPEAKER_01;en honor a lo que ha sido esta Liga 2024-2025, viene variadito y picadito.
30.000;36.800;SPEAKER_01;¿Qué pasa, pizarritas?
36.800;42.200;SPEAKER_01;Ya estamos aquí con un nuevo Q&A de la Liga, el último, en el que vamos a hablar un poquito
42.200;46.280;SPEAKER_01;de lo que hay en juego, evidentemente este próximo fin de semana, cuestiones de mercado,
46.280;49.640;SPEAKER_01;balance, nos vamos a preguntar por el mejor momento de la Liga, la mejor actuación,
49.640;53.400;SPEAKER_01;fichajes decepcionantes que pueden mejorar la próxima temporada.
53.400;57.680;SPEAKER_01;Hoy, chicos, tenemos plancha, que se suele decir.
58.640;63.280;SPEAKER_02;Hoy, por ser el último, propongo un jueguito, facilito, rapidito.
63.280;63.800;SPEAKER_01;Ya empezamos.
63.800;65.120;SPEAKER_01;Papel y boli.
65.120;66.000;SPEAKER_01;Papel y boli.
66.000;72.120;SPEAKER_02;Apuntad cuánto creéis que va a durar el Q&A y a ver quién se acerca más al final del vídeo.
72.120;79.400;SPEAKER_01;Pero no vale luego hacer trampas, no vale que Álex de Llano apunte 2 horas y 27 y empieza
79.400;81.000;SPEAKER_01;a dar datos como un puto loco.
81.000;86.760;SPEAKER_03;Que no tengo cerca el papel y boli.
87.240;89.000;SPEAKER_03;Yo me lo he apuntado aquí en el blog de notas.
89.000;92.000;SPEAKER_00;En el blog de notas voy a poner aquí el tal.
92.000;92.920;SPEAKER_00;Yo me lo he puesto ya.
92.920;94.120;SPEAKER_00;Va.
94.120;95.400;SPEAKER_00;Venga.
95.400;95.920;SPEAKER_01;Vale.
95.920;99.160;SPEAKER_01;Este es un juego al que los pizarritas no pueden jugar, claro, pero bueno.
99.160;99.680;SPEAKER_00;Claro.
99.680;100.320;SPEAKER_00;Oye.
100.320;101.960;SPEAKER_00;Hombre, sería trampa, ¿no?
101.960;106.520;SPEAKER_00;Podrías entrar al vídeo sin ver la duración, poner la pantalla completa, ¿no?
106.520;108.120;SPEAKER_00;Y la gente flipando.
108.120;109.120;SPEAKER_00;Y dejándose llevar.
109.120;113.600;SPEAKER_03;La duración de los Q&A parece los de una vuelta de clasificación en Mónaco ya.
113.600;116.840;SPEAKER_03;Pero no de Aston Martin.
116.840;117.600;SPEAKER_01;De momento.
117.600;118.880;SPEAKER_01;Bueno.
118.880;120.320;SPEAKER_03;Bueno, cuidado.
120.320;120.920;SPEAKER_03;Vamos.
120.920;122.200;SPEAKER_01;Hay Mónaco, ¿no?
122.200;124.640;SPEAKER_01;Hay gran premio de Mónaco este fin de semana.
124.640;127.120;SPEAKER_01;Bueno, chicos, vamos con la primera cuestión.
127.120;130.120;SPEAKER_01;Vamos a empezar por las dos cuestiones más relevantes de este fin de semana.
130.120;132.440;SPEAKER_01;Permanencia y Europa.
132.440;133.840;SPEAKER_01;Pregunta Adrián.
133.840;135.880;SPEAKER_01;¿Español o leganés?
135.880;137.120;SPEAKER_01;¿Quién baja?
137.120;138.480;SPEAKER_01;¿Quién desciende?
138.480;139.480;SPEAKER_01;¿Quién se salva?
139.480;140.520;SPEAKER_01;¿Cómo lo veis, chicos?
140.520;142.800;SPEAKER_02;Creo que leganés.
