start_sec;end_sec;speaker;text
0.000;7.040;SPEAKER_02;Suegra o cuñado, nuestro formatín tóxico de cabecera favorito.
7.040;8.040;SPEAKER_01;Vale mucho.
8.040;10.480;SPEAKER_02;Una pregunta, dos opciones y una sola respuesta.
10.480;11.480;SPEAKER_02;La peor.
11.480;12.480;SPEAKER_02;Vale.
12.480;13.480;SPEAKER_02;La que menos nos gusta.
13.480;14.480;SPEAKER_02;Bien.
14.480;15.480;SPEAKER_02;La que menos nos convence.
15.480;16.480;SPEAKER_02;Sí.
16.480;17.480;SPEAKER_02;Es el reverso negativo de papá-mamá.
17.480;18.480;SPEAKER_02;Básicamente.
18.480;19.480;SPEAKER_02;Vale.
19.480;22.000;SPEAKER_02;Para todo aquel que nos esté escuchando por primera vez, viendo en YouTube por primera
22.000;25.320;SPEAKER_02;vez, nosotros te lo facilitamos de esa manera.
25.320;28.520;SPEAKER_02;Para que entendáis un poquito la dinámica, he escogido una primera pregunta que os va
28.520;29.520;SPEAKER_02;a encantar.
29.520;31.040;SPEAKER_02;Es de Victor Carras.
31.040;34.560;SPEAKER_02;Todas estas preguntas nos las dejan en Instagram en Arrobas somos pizarritas, donde te recomendamos
34.560;35.560;SPEAKER_02;que nos sigas.
35.560;36.560;SPEAKER_02;Si lo eres, somos.
36.560;38.560;SPEAKER_02;La pregunta de Victor es…
38.560;39.560;SPEAKER_02;No.
39.560;41.600;SPEAKER_02;Si quieres mejorar tu carrera…
41.600;42.600;SPEAKER_02;Ok.
42.600;43.600;SPEAKER_02;…¿qué es peor?
43.600;45.600;SPEAKER_02;¿Irte a Arabia o al Manchester United?
45.600;46.600;SPEAKER_02;Me encanta.
46.600;49.600;SPEAKER_00;Claramente al Manchester United es peor.
49.600;50.600;SPEAKER_00;Sí, peor.
50.600;51.600;SPEAKER_00;Vas a jugar menos.
51.600;52.600;SPEAKER_00;El club es un desastre.
52.600;53.600;SPEAKER_00;Clima.
53.600;56.400;SPEAKER_00;En Arabia te van a pagar muy bien.
56.400;57.400;SPEAKER_00;Vas a jugar.
57.480;59.880;SPEAKER_00;Tu transfer igual no llega.
59.880;62.080;SPEAKER_00;Bueno, esto es si te vas haciendo las cosas mal.
62.080;63.080;SPEAKER_00;Bueno, bueno…
63.080;65.080;SPEAKER_00;Que también hemos hablado poco de…
65.080;67.080;SPEAKER_00;Con el United igual tampoco llega.
67.080;68.080;SPEAKER_00;Claro.
68.080;69.080;SPEAKER_00;Bueno, es que esa es otra.
69.080;70.080;SPEAKER_00;Y…
70.080;71.080;SPEAKER_00;Empate.
71.080;75.600;SPEAKER_00;Llenas el buche y ya tu próximo paso puede ser la mejor decisión a nivel deportivo.
75.600;76.600;SPEAKER_00;O sea, tú…
76.600;77.800;SPEAKER_00;Arabia todos los días del año.
77.800;78.800;SPEAKER_00;Salvo United.
78.800;80.800;SPEAKER_00;O sea, United es mucho peor.
80.800;82.520;SPEAKER_00;United es mucho peor.
82.520;84.000;SPEAKER_03;Yo United es peor, sí.
84.000;86.000;SPEAKER_03;San Juan es en la Premier, pero…
86.600;87.600;SPEAKER_03;A ver, a ver si juegas.
87.600;88.600;SPEAKER_03;Sí, pero es que es un bajón.
88.600;89.600;SPEAKER_03;O sea, es un bajón.
89.600;92.600;SPEAKER_01;A nivel deportivo, peor United.
92.600;93.600;SPEAKER_01;Yo no así diría a Arabia.
93.600;96.600;SPEAKER_01;A ver, si te dan igual los derechos humanos, pues claro, puedes regir.
96.600;97.600;SPEAKER_01;Bueno, claro, sí.
97.600;99.600;SPEAKER_01;Si te dan igual los derechos deportivos…
99.600;100.600;SPEAKER_02;Claro, claro.
100.600;101.600;SPEAKER_01;Depende de cómo lo empuques.
101.600;102.600;SPEAKER_02;Rafa Ascote.
102.600;109.600;SPEAKER_02;¿Qué es peor, la venta de Uche o la de Dodi Luquevacchio?
109.600;110.600;SPEAKER_01;Uf…
110.600;111.600;SPEAKER_02;Luquevacchio.
111.600;112.600;SPEAKER_01;¿Por qué?
113.200;117.200;SPEAKER_01;Fue futbolista diferencial marcando muchos goles la temporada pasada.
117.200;118.200;SPEAKER_00;Vale.
118.200;119.200;SPEAKER_00;A mí me parece mucho peor la de Uche.
119.200;120.200;SPEAKER_00;Yo estoy con…
120.200;121.200;SPEAKER_00;O sea, Uche…
121.200;126.200;SPEAKER_00;Bueno, escuchábamos a Toni Muñoz haciendo el balance de mercado en la presentación
126.200;132.200;SPEAKER_00;de Abu Kamara y le preguntaba ¿no podías haber encontrado algo más para sustituir a
132.200;133.200;SPEAKER_00;Uche?
133.200;135.200;SPEAKER_00;Y dice que lo vendimos el último día de la 10 de la noche.
135.200;138.200;SPEAKER_00;El Sevilla ya tenía perfiles en plantilla para sustituir a Luquevacchio.
138.200;140.200;SPEAKER_00;De peor nivel, por supuesto.
140.200;142.200;SPEAKER_00;No tiene un duro el Sevilla.
142.200;148.800;SPEAKER_00;Pero está la situación contemplada y creo que en la medida de lo posible bien resuelta.
148.800;152.800;SPEAKER_00;El Getafe ni siquiera le encuentra a Uche cuando llevan todo el verano queriendo venderlo.
152.800;153.800;SPEAKER_00;Igual el reemplazo es Abkar.
153.800;155.800;SPEAKER_01;Se lo inventa a Bordalas.
155.800;157.800;SPEAKER_01;Se empieza a jugar en largos…
157.800;158.800;SPEAKER_01;Onayu.
158.800;159.800;SPEAKER_01;Algo parecido y ya está.
159.800;161.800;SPEAKER_02;O Da Vinci, puesto a se inventar.
161.800;162.800;SPEAKER_03;Sí, claro.
162.800;165.800;SPEAKER_03;Yo diría la de Uche, sí, también.
165.800;166.800;SPEAKER_03;Vale.
166.800;168.800;SPEAKER_03;Igual el recambio puede ser el primo de Dejano.
168.800;169.800;SPEAKER_03;Claro.
169.800;170.800;SPEAKER_03;Que es liso.
170.800;171.800;SPEAKER_??;¿Eh?
172.400;173.400;SPEAKER_02;Ahí está.
173.400;177.400;SPEAKER_03;Se da en la mano.
177.400;179.400;SPEAKER_03;Momento muy radiofónico, efectivamente.
179.400;181.400;SPEAKER_02;Creo que a veces la radio tiene que pasar a un plano secundario.
