start_sec;end_sec;speaker;text
0.000;4.040;SPEAKER_00;Hoy, Pizarritas, hemos preparado un Q&A de lo más completo,
4.120;7.080;SPEAKER_00;ya que en estas últimas semanas estamos hablando mucho de Madrid,
7.160;8.400;SPEAKER_00;Barça y Atlético de Madrid,
8.480;11.760;SPEAKER_00;pues hoy nos vamos a centrar en los otros 17.
20.200;22.240;SPEAKER_00;¿Qué pasa, Pizarritas?
22.320;26.080;SPEAKER_00;Ya estamos aquí con un nuevo Q&A centrado en la Liga española
26.160;28.840;SPEAKER_00;a partir, básicamente, de la cuarta posición,
28.880;32.360;SPEAKER_00;porque, insisto, ya estábamos hablando mucho de Barça y Real Madrid,
32.440;35.080;SPEAKER_00;sobre todo de ellos dos, también habíamos hablado del tema Griezmann,
35.160;37.680;SPEAKER_00;habíamos hablado mucho de la Atleti en anteriores Q&A,
37.760;40.120;SPEAKER_00;y digo, bueno, vamos a centrarnos en el resto también,
40.200;42.840;SPEAKER_00;que son muy importantes aquí en nuestro canal.
42.920;45.600;SPEAKER_00;¿Qué tal, Adrián Blanco, Álex de Jan, Unauel Miranda, cómo estáis?
45.680;47.280;SPEAKER_00;¿Qué tal, chicos? Muy buenas.
47.360;48.440;SPEAKER_00;¿Cómo estamos?
48.520;49.800;SPEAKER_00;¿Qué tal? Muy buenas.
49.880;53.360;SPEAKER_00;¿Os parece bien la idea de preguntarles, primero,
53.440;54.840;SPEAKER_00;a los Pizarritas por otros temas
54.920;56.840;SPEAKER_00;y que sean ellos los que nos lancen los debates?
56.960;60.240;SPEAKER_00;Pues hoy vamos a hablar de Real Sociedad, de Sevilla, de Villarreal,
60.320;63.120;SPEAKER_00;del descenso, de cuestiones generales también bonitas.
63.200;64.280;SPEAKER_00;¿Os parece correcto?
64.360;65.880;SPEAKER_01;Siempre hablamos de todo, Miguel.
65.960;68.680;SPEAKER_01;Lo paso siempre... Hay alguno que llora, pero siempre hablamos de todo.
68.760;71.720;SPEAKER_00;No, no, no, pero fíjate, no ha sido nada...
71.800;73.880;SPEAKER_00;No he escuchado comentarios al respecto,
73.960;76.880;SPEAKER_00;pero sí que es verdad que me gusta, al final de cada semana,
