start_sec;end_sec;speaker;text
0.000;4.320;SPEAKER_00;Aunque el Porto no ha hecho precisamente un gran Mundial de Clubs, más bien al contrario,
4.320;10.100;SPEAKER_00;ha dado cosita a verle, en sus filas tiene un pequeño gran genio que ha sido de lo más
10.100;19.180;SPEAKER_00;destacado de su campeonato. Se llama Rodrigo Mora, es del 2007, gran añada y mola mucho verle jugar.
19.180;33.460;SPEAKER_00;Tenemos que deciros, que ya llevábamos varios meses con ganas de hablar de Rodrigo Mora,
33.460;39.780;SPEAKER_00;no habíamos encontrado el momento hasta ahora, hasta esta fecha, justo tras la eliminación del
39.780;45.460;SPEAKER_00;Porto en el Mundial de Clubs, pero también justo antes de que se pueda mover en el mercado de
45.460;50.980;SPEAKER_00;fichajes, porque estoy convencido que muchos clubes no, porque que le puedan fichar hay
50.980;58.380;SPEAKER_00;pocos, pero dentro de esos 10 clubes el 80% tiene que tener el nombre de Rodrigo Mora,
58.380;62.220;SPEAKER_00;su rayada en amarillo, porque es ese tipo de genio por el que hay que apostar ahora,
62.220;70.300;SPEAKER_00;porque si no apuestas ahora y la apuesta sale buena, salvo cosas raras, no le puedes fichar.
70.300;76.940;SPEAKER_02;Yo he de decir una cosa y lo digo ya, para ya destaparnos las cartas. No te gusta Rodrigo Mora.
76.940;82.260;SPEAKER_02;No me entusiasma Rodrigo Mora, he de decir que además para el tipo de equipo que creo que
82.260;89.100;SPEAKER_02;económicamente se puede permitir su fichaje, PSG sería su mejor destino yo creo, pero Premier
89.100;94.940;SPEAKER_02;League me cuesta. Porque es pequeñito ¿no? No porque sea pequeñito, que yo creo que al final
94.940;103.700;SPEAKER_02;un jugador pequeñito David Silva la premisa adaptó fácilmente. Claro, o sea me parece que le falta
103.700;110.340;SPEAKER_00;algo de motor cuando sale del regate. Bueno, menos mal que no es una carrera de fórmula 1. Estoy de
110.340;116.420;SPEAKER_00;acuerdo, ahora vamos a hablar de las cosas de Rodrigo Mora, pero me bajas el sufle antes de
116.420;122.380;SPEAKER_02;haber mezclado los ingredientes. Espérate, yo he presentado un pequeño disclaimer que la gente
122.380;129.780;SPEAKER_00;debe conocer. Bueno, lo importante. Aquí todos sois muy Rodrigo Moristas. A mí me ha gustado menos
129.780;135.420;SPEAKER_00;en la revisión que en los highlights, gustándome mucho. Mira, pero eso es algo normal ¿no? No,
135.420;139.820;SPEAKER_00;porque con Franco Mastanto no me pasó al revés, que era una diferencia que quería hacer. O sea,
139.820;146.620;SPEAKER_00;yo a Franco Mastanto no le había visto y solo los highlights y bien, muy bien, pero tal, pero luego
146.620;152.020;SPEAKER_00;le di jugar y me encantó más. Sin embargo, Rodrigo Mora, o sea Mastanto es más guapo en persona ¿no?
152.500;157.260;SPEAKER_00;Muy bien tirada. Sí, sí, gana en directo. Y sin embargo, Rodrigo Mora es muy fotogénico,
157.260;161.380;SPEAKER_00;se saca partido en el perfil. Dicho lo cual, me parece que es un jugador del que tenemos que hablar
161.380;167.140;SPEAKER_00;y por eso estamos aquí, porque para empezar ha tenido un impacto estelar en el Porto, que es un
167.140;172.580;SPEAKER_00;equipo que como luego vamos a comentar, no le da nada a Rodrigo Mora. No, es verdad, y el impacto
172.580;176.420;SPEAKER_01;ha sido en cuestión de meses, porque él debuta en el mes de septiembre y pierde el primero en
176.420;181.340;SPEAKER_01;Europa League y después en Liga, aún con Víctor Bruno en el banquillo del Porto, marca su primer
181.340;185.940;SPEAKER_01;goal en la Liga portuguesa a finales del mes de octubre y no es hasta mediados de diciembre,
185.940;191.380;SPEAKER_01;diciembre de 2024, hace nada, cuando empieza a entrar ya con regularidad como titular en los
191.380;195.660;SPEAKER_00;planes del Porto. Es un camino bastante parecido al de João Félix en aquel año de la explosión con
195.660;201.300;SPEAKER_00;el Benziga, solo que en el caso de João hizo más cifras e hizo una web Europa League más resultona
201.300;206.900;SPEAKER_00;para que el Atlético de Madrid paga esos 127 millones porque formó parte del club de los engañados
206.900;211.100;SPEAKER_01;por João Félix como servidor. No ha pasado desapercibido el impacto que ha tenido en el
211.100;215.660;SPEAKER_01;Porto, ya ha ido convocado con Portugal Nations, no llegó a debutar con Roberto Martínez, pero
215.660;222.100;SPEAKER_01;bueno, ya estaba en la convocatoria de la Nations League y es un jugador que en la Youth League con
222.100;226.620;SPEAKER_01;el Porto en la temporada 23-24 hace siete goles, nueve partidos, es decir, que venía pisando fuerte
226.620;230.420;SPEAKER_01;ya en las categorías inferiores del Porto. Es uno de esos jugadores a los que ves llegar.
230.420;234.100;SPEAKER_01;Claro, y ha conseguido trasladar ese rendimiento que tienen las categorías inferiores al primer
234.100;237.940;SPEAKER_01;equipo de un Porto que ahora vamos a analizar como tú decías Quintana, que no le da nada,
237.940;243.260;SPEAKER_00;absolutamente nada. Diez goles, cuatro asistencias también comentaba que pertenece a una gran añada,
243.260;253.780;SPEAKER_00;la del 2007, siempre recordamos la del 87, que es la de Leo Messi, Luis Suárez, el Kun, Gonzalo
