start_sec;end_sec;speaker;text
0.000;3.760;SPEAKER_02;Hoy, pizarritas, tenemos un Q&A variadito.
3.840;5.600;SPEAKER_02;Vamos a hablar de fútbol de selecciones y de clubes.
5.680;8.800;SPEAKER_02;Si eso no es variadito, vosotros me diréis qué carajo es esto
8.880;12.680;SPEAKER_02;que vais a tener una hora delante mientras desayunáis, coméis, cenáis
12.760;15.520;SPEAKER_02;o os fumáis el piti de después.
15.600;18.520;SPEAKER_02;Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿qué tal, chicos? ¿Cómo estáis?
18.600;21.280;SPEAKER_02;¿Qué tal, chicos? Muy buenas. Hola, hola, ¿cómo estamos?
21.360;22.720;SPEAKER_02;¿Qué tal? Muy buenas.
22.800;25.440;SPEAKER_02;Me gusta que este sea un formato plenamente adaptable
25.520;29.560;SPEAKER_02;a cualquier tipo de acontecimiento diario de la gente, es decir...
29.600;32.320;SPEAKER_02;Sí. Normalmente nos ven comiendo.
32.400;35.640;SPEAKER_00;¿Diario? ¿Hay algo que has dicho diario? ¡Qué cuidado!
37.640;40.480;SPEAKER_00;Estoy casado, hermano. Por eso.
40.560;45.080;SPEAKER_02;Vas a hablarle de plátanos a papá mono.
45.160;48.360;SPEAKER_01;A lo Celso. El regreso de papá mono.
48.440;50.360;SPEAKER_02;¡Otra vez! Oye, hace poquito...
50.440;54.000;SPEAKER_02;No me hagas cagar el Twitter. Hace poquito, no sé quién fue,
54.080;56.960;SPEAKER_02;creo que un compañero de la selección argentina lo puso.
57.040;58.800;SPEAKER_02;Me lo pasó de Llano, si no me equivoco.
58.840;61.200;SPEAKER_02;Sí, sí, le puse algo de mono, sí, sí.
61.280;62.280;SPEAKER_02;Sí, sí, bueno.
62.360;64.080;SPEAKER_02;Tenemos mucho de lo que hablar
64.160;67.480;SPEAKER_02;y tenemos que arrancar con Argentina y con España.
67.560;69.640;SPEAKER_02;Ayer publicamos ese primer Power Ranking
69.720;72.560;SPEAKER_02;del top 10 de favoritos al Mundial 2026,
72.640;75.960;SPEAKER_02;pero vamos a darle un poquito de continuidad.
76.040;79.400;SPEAKER_02;Esperemos que sí. Vamos a darle un poquito de continuidad.
79.480;81.640;SPEAKER_02;A ver, Jerón 40, porque dice...
88.800;89.800;SPEAKER_02;Tiene pinta.
94.360;97.680;SPEAKER_02;Me gusta mucho la pregunta, porque nos gusta mucho,
97.760;99.200;SPEAKER_02;lo comentamos otro día, Nau,
99.280;101.640;SPEAKER_02;que la finalísima esté antes del Mundial,
101.720;104.600;SPEAKER_02;creo que le da un puntito de trascendencia,
104.680;109.800;SPEAKER_02;de rivalidad, de entidad muy considerable.
109.880;113.240;SPEAKER_02;Claro, pero claro, puede tener su aquel
113.320;115.880;SPEAKER_02;para aquel que gane en lo positivo y para aquel que pierda,
115.960;118.720;SPEAKER_02;sobre todo, diría, el que pierda en lo negativo.
118.800;122.400;SPEAKER_01;A ver, salvo que sea un partido como aquel amistoso
122.480;124.960;SPEAKER_01;en el Metropolitano antes del Mundial de Rusia,
125.040;127.440;SPEAKER_01;no creo que deba cambiar grandes cosas.
127.520;130.240;SPEAKER_01;Es cierto que, claro, es que el precedente que tenemos,
130.320;132.560;SPEAKER_01;había una selección que no fue al Mundial,
132.640;134.040;SPEAKER_01;que, claro...
134.920;135.920;SPEAKER_01;Sí.
