start_sec;end_sec;speaker;text
0.000;7.520;SPEAKER_01;Ya os avisamos que los viernes va a seguir habiendo Q&A aunque haya acabado la temporada 24-25 o más
7.520;12.040;SPEAKER_01;o menos porque tenemos mundial de clubes, ya hablaremos del mundial suficiente la próxima
12.040;16.880;SPEAKER_01;semana pero hoy este Q&A se va a centrar sobre todo en el mercado de fichajes.
16.880;31.100;SPEAKER_01;Te pasa pizarritas ya estamos aquí los de siempre y como siempre de forma variadita y
31.100;35.600;SPEAKER_01;picadita Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿cómo estáis chicos? ¿Qué tal chicos?
35.600;43.560;SPEAKER_01;¿Cómo estamos? ¿Qué tal? Muy buenas. Muy buena Cami, la de Adrián Blanco, el cual por cierto viene
43.560;51.320;SPEAKER_01;siendo cada vez más elogiado por la creciente distancia entre un hombro y otro. Sí, sí, ya
51.320;57.800;SPEAKER_00;hay cuatro euros de carrera de taxi que diría Alberto de Yogo, hay todavía seis euro. Ya hay
57.800;64.080;SPEAKER_01;gente que se está empezando a plantearse cosas, que se está haciendo preguntas, preguntas para
64.080;70.720;SPEAKER_02;los que quizás no tiene respuestas. Bueno, oye, abierto. ¿Hay algo ilegal ahí? ¿Hay algo ilegal?
70.880;79.400;SPEAKER_02;No, de momento no. De momento no. Me gusta porque dice de momento. La cosa tira hacia adelante. No,
79.400;84.720;SPEAKER_03;no, siempre natis, chicos, siempre natis. ¿Cómo que natis? ¿Puedo pegar ya el primer palo? Sí,
84.720;92.560;SPEAKER_03;por favor. Creo que es de las peores camisetas del Levante que yo he visto. Sí, bueno. A todo
92.560;98.640;SPEAKER_02;peor el Levante, pero es una camiseta cuestionable. Bueno, activamos el... A parte de Adrián Blanco,
98.800;105.320;SPEAKER_03;así de grande, así de fuerte, parece Nikola Vuksevich. Sí, sí, sí. Te vas a trabajar, eh.
105.320;115.640;SPEAKER_01;Activamos el contador de suegreos, van uno. A ver dónde acabamos. La media es prometedora. A mí me
115.640;122.120;SPEAKER_01;mola, eh, porque siempre las camisetas del Levante me molan. El toquecito granota y no tan azulgrana
122.120;127.360;SPEAKER_01;como Eibar Barca creo que queda muy bien con ese tipo de azulgrana. A ver, a mí me amaba porque el
127.680;133.280;SPEAKER_02;Levante abrió su outlet y me tocó bien. No, no. Adiós. Adiós. Lo peor que te puede pasar.
136.600;143.280;SPEAKER_03;Esto es lo peor que te puede pasar. Jaque mate. No me lo puedo creer, tío. No me lo puedo creer.
143.280;150.240;SPEAKER_03;Bueno. Vamos a apañar esto como se puede. Además es que... Cago en diez, encima está lleno de polvos.
150.240;160.560;SPEAKER_00;Las hierbitas del mate son aputadas, eh. Ay, qué putada. Se cuela por todos lados. La alfombrilla
160.560;168.200;SPEAKER_01;está para limpiarla después. Nada, nada. Yo... Bueno, estaba diciendo... Sí, sí. No, pero no sé si empezar
168.200;174.920;SPEAKER_01;o aflitarte mientras... A ver, puedes hacer dos cosas a la vez. Yo sé que te cuesta un poco eso,
174.920;181.080;SPEAKER_01;Miguel, que es un reto profesional, pero... Tengo mi cámara aquí, ¿vale? Y os tengo vosotros ahí.
181.080;188.440;SPEAKER_03;Entonces... Vale. Todavía... Mira, deja de mirarme un segundo y me tiran de la primera pregunta y
188.440;196.400;SPEAKER_01;la tengo por texto, ¿eh? Me parece, me parece de bien. José BJ17 pregunta si creemos que la
196.400;203.000;SPEAKER_01;flexibilidad de las normas del fairplay va a propiciar que más equipos tengan más posibilidades
203.000;208.040;SPEAKER_01;de retener a sus jugadores clave. Recordamos que la liga ha cambiado alguna que otra cosita,
208.040;214.320;SPEAKER_01;ha matizado alguna que otra norma, ha flexibilizado en resumen algún que otro criterio referido,
214.320;220.920;SPEAKER_01;por ejemplo, a establecer un límite mínimo del 30% de la cifra de negocio, que a veces veíamos
220.920;225.480;SPEAKER_01;alguna cifra rarísima, por ejemplo, del Sevilla, que dices que no tiene sentido, entonces lo han
225.480;234.360;SPEAKER_01;dejado en 30%. Luego ha establecido algo que se llama... ¿Hadón Salto, no? No he entendido,
234.360;239.280;SPEAKER_03;no he entendido, pero bueno... Vas a ver un mensaje que había petado la cámara y he tenido que
239.280;244.240;SPEAKER_03;refrescar. Vale, vale, vale. No quería explicarlo, quería que pasara de puntillas, pero bueno, ya que
244.240;249.920;SPEAKER_03;nos paramos de nuevo, esto está siendo muy complicado, ¿eh? Luego la liga ha creado algo que se
249.920;254.520;SPEAKER_01;llaman como fichajes a cámara lenta, en el sentido de que permite inscribir a futbolistas con la
254.520;263.360;SPEAKER_01;garantía de que luego, durante el año, se cree ese espacio salarial para realizar esa inscripción.
263.360;267.800;SPEAKER_01;Y luego, por último, también la liga, y esto me parece importante porque quizás va referida a la
267.800;273.880;SPEAKER_01;pregunta de José, la liga también ha reflexibilizado las reglas para renovar a jugadores menores de 24
273.880;281.400;SPEAKER_01;años, incluso si el club no tiene espacio salarial, sino está en el 1-1. Es decir, que con esto los
281.400;288.240;SPEAKER_01;clubes van a tener más facilidad para negociar según qué fichajes y también según qué renovaciones.
288.240;294.160;SPEAKER_01;¿Cuánto va a permitir a los clubes retener su talento? Hombre, no creo que vaya a cambiar una
294.160;300.160;SPEAKER_01;barbaridad, pero sí que es verdad, Zadri, que así quizás muchos clubes dejan de tener una posición
300.160;305.320;SPEAKER_01;perdedora en el mercado. Esto es lo que veníamos criticando. No es que el límite salarial no fuese
305.320;309.960;SPEAKER_01;justo, que eso, oye, son los criterios que establecen entre todos, los aprueba la liga, la liga son los
309.960;315.360;SPEAKER_01;clubes, bien, parante, pero si solo la liga se establece con ese límite salarial y el resto de
315.360;321.400;SPEAKER_01;ligas hacen un poquito, la mayoría, lo que les da la gana, pues deja en una posición, insisto, de
321.400;327.520;SPEAKER_01;indefensión al fútbol español cuando luego acude al mercado común. Absolutamente, yo creo que dentro
327.520;333.480;SPEAKER_02;de un control, que esto no se vuelva a alocar y los clubes se vuelvan a hundir dentro de las deudas
333.480;337.560;SPEAKER_02;con la ciencia de la seguridad social, yo creo que en todo un control, creo que los cuatro somos
337.560;341.560;SPEAKER_02;partidarios de que hay que flexibilizar un poquito la norma y que hay que tratar de ser un poquito
341.560;346.400;SPEAKER_02;más creativos, un poquito más flexibles para dar un poquito más de margen en el mercado, es que si
346.400;350.720;SPEAKER_02;no, del contrario, estamos viendo que cada vez que se abre el mercado de fichajes España se estaba
350.720;358.520;SPEAKER_00;convirtiendo en un mercadillo. Es inevitable que venga un Brighton de turno, un Chelsea,
358.520;364.120;SPEAKER_00;eso va a seguir pasando y se lo va a llevar. A veces que cobran de media cobran 100 kilos más que los equipos
364.120;370.040;SPEAKER_01;españoles por los derechos. Y la masa salarial muchas veces, por ejemplo, hace que esa cláusula de
370.040;375.120;SPEAKER_01;los jugadores, de los jóvenes talentos, no pueda ser todo lo que le gustaría, no se trata de poner
375.120;380.240;SPEAKER_01;venga 100 millones de cláusulas, este joven talento que tengo aquí, tiene que ir acorde al salario.
380.240;386.440;SPEAKER_01;Yo recuerdo a varios clubes hablar del modelo, no sé si me equivoco, el modelo alemán que
386.440;392.200;SPEAKER_01;hacía esto en trienios, a la hora de calcular el tema del límite salarial o se hacía que los
392.200;397.720;SPEAKER_01;clubes tuviesen cierto margen para tener un año quizás de ciertas pérdidas e inversión, pero que
397.720;405.920;SPEAKER_01;en tres años se compensase. Creo que hay que controlar... Esto no era tanto el límite salarial,
405.920;410.920;SPEAKER_03;sino que a la hora de hacer el reparto de los derechos de televisión se tenía en cuenta como
410.920;416.800;SPEAKER_03;el ranking de UEFA en las últimas cinco temporadas, que por eso fue por lo que el Leipzig tardó tanto
416.800;421.800;SPEAKER_03;en poder estar a nivel de gasto de los más grandes en Alemania. No podía hacerlo nada más subir a
421.800;429.360;SPEAKER_03;un desliga. Luego lo que hace Alemania es con cada club hacer una auditoría todas las temporadas y
429.360;435.840;SPEAKER_03;decide si le entrega la licencia o no, que fue noticia porque con el Schalke 04 hubo alguna
435.840;441.080;SPEAKER_03;temporada donde en segunda división estaba complicado. Bueno vamos a ver qué impacto tiene,
441.080;447.800;SPEAKER_01;pero sí que es verdad que se han flexibilizado ciertas normas en ese sentido y que creo que puede
447.800;452.280;SPEAKER_01;ayudar al fútbol español a que en el mercado de fichajes oye se maneje de una mejor manera.
452.280;459.600;SPEAKER_01;Fran J. Benitez 10 pregunta a Les De Llano por la posición que debe priorizar el Sevilla en
459.600;466.080;SPEAKER_01;este mercado y aclara, si no lo teníamos claro nosotros, estamos flojos en todas. Hay que tener
466.080;469.480;SPEAKER_01;en cuenta que está a puntito de llegar cordón. Nosotros estamos hablando de esto el miércoles
469.480;474.320;SPEAKER_01;4 de junio 12 y cuarto, ya se ha anunciado la marcha de Víctor Horta. No sabemos exactamente
474.320;481.160;SPEAKER_01;qué va a pasar con el entrenador, pero llegue cordón o no, llegue algo así o no,
481.160;487.200;SPEAKER_01;llegue quien llegue. Alex, la plantilla es muy justita. La plantilla es justita. Obviamente yo
487.200;493.680;SPEAKER_00;creo que a la gente el cuerpo le pedirá gol, le pedirá un tipo que yo se las tire y las marque.
493.680;498.720;SPEAKER_00;Que me parece que Sol Sevilla no lo ha tenido esta temporada, ha tenido Luque Bakio, pero al margen
498.720;503.400;SPEAKER_00;de eso, que habrá que ver si se termina quedando o no, que termina corriendo con su situación.
504.600;512.720;SPEAKER_00;A mí si el entrenador es un estilo Imanol, pongamos que no es Imanol, pero se busca de ese estilo. A
512.720;517.800;SPEAKER_00;mí ese equipo me parece que le falta un centro van pista de juego, o sea un pivote, pero aquí
517.800;523.600;SPEAKER_00;a Lima. Yo te diría que esas son las que yo veo que podrían preocupar un poquito más. También entiendo
523.600;528.680;SPEAKER_00;que se irá a Bade o que tiene muchas posibilidades de irse y ahí ya necesitas un central. Yo creo
528.680;534.080;SPEAKER_00;que es un equipo que necesita muchísimas, pero yo te diría que para mí la prioridad sería en esas tres.
534.080;541.440;SPEAKER_03;Yo te acuerdo con eso. Todas, todas, todas no hay que reforzar. Extremos no.
542.760;551.000;SPEAKER_03;A mí la defensa me gusta. Bueno, dentro del contexto. Hay que ver qué pasa con Kike Salas,
551.000;557.520;SPEAKER_01;hay que ver qué pasa con Loic y Bade, pero sí que es verdad que el tema del 9 me parece prioritario.
557.520;562.360;SPEAKER_01;Es verdad que venimos de ver a Imanol Aguacil en la Real Sociedad no potenciar a los 9, pero no sabemos
562.360;568.280;SPEAKER_01;qué es Imanol Aguacil fuera de la Real Sociedad. A mí lo del 9 me parece prioritario incluso por
568.280;575.000;SPEAKER_01;encima del centro van pista. Yo creo que Agumé ha hecho un buen final de temporada y a mí es un
575.000;579.920;SPEAKER_01;jugador que creo que hay que mantenerlo, que creo que está bien, pero hay que acompañarlo de un
579.920;583.720;SPEAKER_01;jugador con buen pie. Esas serían las dos prioridades básicas, pero si tengo que poner,
583.920;590.800;SPEAKER_01;si tengo 10 millones por hacerlo muy simplón. Adri, pongo 7 en el delantero y 3 en el centro
590.800;596.440;SPEAKER_01;campista porque además el delantero va a ser más caro que el centro campista aunque tenga un nivel
596.440;601.800;SPEAKER_02;más o menos parecido. Sí, es verdad que con Imanol hemos visto la doble punta, pero a mí me gustaría
601.800;607.600;SPEAKER_02;ver una inversión de un 9 que pueda jugar con Isaac Romero para así, oye, igual matas dos pájaros
607.600;612.680;SPEAKER_02;un tiro. Tienes un delantero que te haga los goles y un futbolista que potencia a su vez a Isaac Romero
612.680;617.800;SPEAKER_01;como hacía en el sirio. Lo vimos alguna vez con Sorro C. Isaac, yo recuerdo un día en el
617.800;625.160;SPEAKER_01;metropolitano de Sorro C. Isaac, pero vamos, contadas ocasiones. Sí, a ver, yo, esto lo hemos hablado ya
625.160;629.600;SPEAKER_02;cuando estaba un Víctor Horta en el Cargua, a Sevilla le va a tocar ser muy creativo en el
629.600;636.280;SPEAKER_02;mercado de fichajes, igual sería buena idea, seguro que lo estudiara Cordón, buscar sesiones
636.280;641.880;SPEAKER_02;tipo Fabio Silvano en Deportivo a las Palmas. Es decir, yo voy a intentar pescar en futbolistas
641.880;645.720;SPEAKER_02;que estén un poquito venidos a menos o jugadores jóvenes que traten de encontrar la oportunidad
645.720;652.840;SPEAKER_02;buscar ese tipo de operaciones a las que sí puede acceder el Sevilla y no compras. Y a Core Adams
652.840;662.760;SPEAKER_00;no nos tiene que demostrar más, no? Es que ha jugado a poco. Cuatro partidos, no? Hay que decir que Horta intentó esa
662.760;669.320;SPEAKER_03;vía la que comenta. Has usado la pregunta pero tenías la respuesta preparada. Ha apuntado a Adri la vía de
669.320;673.760;SPEAKER_01;la cesión de esos jugadores talentosos que además el Sevilla tiene mucho mercado, mucho más que la
673.760;679.560;SPEAKER_01;mayoría de equipos que suelen pedir sesiones. Realmente lo intentó con Aníbal Meirri, salió muy mal
679.560;688.680;SPEAKER_03;desde la primera semana y Loconga... Con Marco, con Beliz, uno del español de esta temporada.
