start_sec;end_sec;speaker;text
0.000;6.400;SPEAKER_01;¿Qué pasa, Pizarritas? Hoy es viernes y no es un viernes cualquiera porque hoy hemos venido
6.400;13.040;SPEAKER_01;perfectamente uniformados y bellísimos, esto ya lo digo yo, pero bueno, imagino que vosotros pensaréis lo mismo
13.040;19.640;SPEAKER_01;con las nuevas equipaciones de Pizarritas, Bay, Gambéa, ¿qué tal Adrián Blanco, Alés de Llano, Nahuel, Miranda, cómo estáis?
19.640;21.040;SPEAKER_01;¿Qué tal chicos, muy buenas?
21.040;22.400;SPEAKER_01;¿Qué tal, cómo estamos?
24.520;26.320;SPEAKER_00;Qué complicado es empezar así.
26.360;33.000;SPEAKER_01;Sí, la verdad es que los comienzos son siempre difíciles y mira que hay alguno que es particularmente duro.
33.000;39.960;SPEAKER_02;Bellos, Quintana, bellos estamos siempre, pero hoy en pantalla hay más bello de la habitual.
39.960;46.800;SPEAKER_01;Es que mira ese bigotito que se asoma por encima de la P de Pizarritas.
46.840;56.680;SPEAKER_03;Chicos, yo lo siento porque no podéis expresar vuestra hombría simplemente quitándoos la camiseta,
56.680;67.360;SPEAKER_03;si no tenéis que hacer más cosas, pero los hombres normalmente, los machos, el macho ibérico tiene pelo en el pecho.
67.360;70.440;SPEAKER_00;No sé cómo de macho eres, pero ibérico eres.
70.440;75.360;SPEAKER_00;Oye, que refresca un poquito en Madrid, pero eso de ponerte la térmica para grabar el vídeo es como raro.
77.480;78.880;SPEAKER_03;Bueno, que tenemos...
78.880;81.280;SPEAKER_03;La chaqueta con borreguito, eh, me he puesto.
81.280;86.400;SPEAKER_01;Tenemos nuevas equipaciones de Gambéa para Pizarritas, es un primer prototipo,
86.400;92.560;SPEAKER_01;quizás en el segundo por la salud capilar del pecho de Alex de Llano lo cerramos un poquito,
92.560;101.520;SPEAKER_01;pero Adri, enséñale los detallitos, porque el escudo está bordado a mano por el señor Gambéa.
101.520;102.120;SPEAKER_01;Directamente.
102.120;104.800;SPEAKER_02;Uno a uno, puntada a puntada.
104.800;107.400;SPEAKER_02;Sí, sí, pero lo mejor es esto.
107.400;109.400;SPEAKER_02;¡Espera, espera, espera!
109.400;116.400;SPEAKER_01;Claro, espera, espera, porque a ver, lo que mola de Gambéa y de esta faceta custom que tienen en la tienda
116.400;122.080;SPEAKER_01;es que ellos te personalizan, pero personalizado de verdad, y te asesoran,
122.080;127.520;SPEAKER_01;no como a veces algunas marcas que le dan la misma equipación pero con otro color, yo qué sé,
127.520;133.680;SPEAKER_01;a cinco equipos de las grandes ligas, que son la misma, pero una roja, otra verde y otra blanca, ¿vale?
133.680;138.680;SPEAKER_01;Aquí no, aquí hay personalización, adaptación, asesoría, un diseñador top,
138.680;143.520;SPEAKER_01;ahora os explicamos cositas de esto, pero el caso es que a nosotros nos han visto,
143.520;149.320;SPEAKER_01;sobre todo a uno de nosotros, cara de Adriano, y han dicho, levanta, levanta Adri.
149.320;152.320;SPEAKER_02;Mira, mira, mira, mira, mira, mira.
152.320;152.920;SPEAKER_01;¡Eeeeh!
152.920;157.680;SPEAKER_00;Es espectacular, lo de Pizarritas con la P de Pirelli es espectacular.
157.680;161.240;SPEAKER_00;Para poder derrapar en las mejores condiciones.
161.800;164.320;SPEAKER_03;Claro, todo va sobre ruedas en la pizarras de hecho.
164.320;171.640;SPEAKER_00;A ver, prontito, la historia de éxito, Miguel, es el Panathinauticos,
171.640;177.920;SPEAKER_00;mejor equipo del Fútbol Siete madrileño, el año pasado vestía muy parecido a su equipo homónimo,
177.920;182.960;SPEAKER_00;este temporada ha encargado no una, sino dos equipaciones nuevas.
182.960;188.520;SPEAKER_01;Sí, con Gambea, con la personalización de las camisetas.
188.560;194.440;SPEAKER_01;Exactamente, es que custom, la verdad es que no, custom, customización, lo hacemos castellano,
194.440;199.920;SPEAKER_01;con esa asesoría exactamente perfecta para equipos de fútbol, grupos de amigos,
199.920;204.760;SPEAKER_01;despedidas de soltero o gente con pelo en pecho, como estáis viendo.
204.760;210.920;SPEAKER_03;Mira, ahora que citas lo de la despedida soltero, vi una idea de despedida soltero que me pareció supergraciosa, que era...
210.920;211.760;SPEAKER_03;Como cañete.
211.760;216.120;SPEAKER_03;No, no digas nada, porque igual...
217.120;218.880;SPEAKER_02;La de Nahuel dices.
218.880;220.880;SPEAKER_01;No, no, la de...
220.880;225.800;SPEAKER_01;Ya igual, se van dando pasos ¿no?
225.800;228.760;SPEAKER_02;Sí, en firme además.
228.760;230.760;SPEAKER_02;¡Ya tenemos casa!
230.760;232.760;SPEAKER_02;¡Vamos!
232.760;234.280;SPEAKER_02;¡Vamos!
234.280;236.280;SPEAKER_02;¡Es propietario, Adrián Blanco!
236.280;238.280;SPEAKER_02;Propietario, propietario por fin.
238.280;239.800;SPEAKER_02;P de propietario.
239.800;241.800;SPEAKER_02;P de propietario, efectivamente, va por ello.
241.800;243.800;SPEAKER_03;P de pelado y P de...
243.800;245.800;SPEAKER_03;¡De porrero!
245.800;247.800;SPEAKER_02;¡De porrero!
247.800;252.440;SPEAKER_02;He pasado por el aro de la inmobiliaria, lo cual me ha puteado bastante también con P,
252.440;256.520;SPEAKER_02;porque me he dejado una pasta también con P en la inmobiliaria,
256.520;259.880;SPEAKER_02;pero sí, sí, ya estamos por eso.
259.880;263.400;SPEAKER_02;No sale Zetangana últimamente en los vídeos, chicos.
263.400;267.560;SPEAKER_01;No, no, no vamos a contar cuál es tu nueva profesión para poderla pagar la hipoteca,
267.560;269.080;SPEAKER_01;pero también empieza por P.
269.080;273.320;SPEAKER_01;El caso, prontito, prontito, prontito en
273.400;277.160;SPEAKER_01;gambaesopeninstagram y somospizzarritas.
277.160;280.840;SPEAKER_01;Vamos a sortear una equipación para vuestro equipo, grupo de amigos,
280.840;283.080;SPEAKER_01;lo que sea, lo que vosotros queráis.
283.080;285.080;SPEAKER_01;Prontito en Instagram, próxima semana.
285.080;293.800;SPEAKER_01;Atentos. Mientras, si es que os podéis concentrar en el fútbol viendo esos pelitos,
293.800;295.800;SPEAKER_01;vamos con la primera cuestión de Aguilera.
295.800;298.520;SPEAKER_01;Es que yo no puedo, yo no puedo, yo no puedo, pero voy a intentarlo.
298.520;300.520;SPEAKER_01;No, mira, mira.
300.520;307.880;SPEAKER_01;Aguilera79 nos pregunta ¿qué futbolista iguala barra mejora a Julián Álvarez a balón parado?
307.880;309.880;SPEAKER_01;¿Se os ocurre algún nombre de primeras?
309.880;311.080;SPEAKER_00;Dilo now.
311.080;314.840;SPEAKER_00;A ver, el único sería Grimaldo por tema de goles,
314.840;319.960;SPEAKER_00;pero bueno, es difícil mejorar a Julián, yo creo que la pelea está ahí,
319.960;323.480;SPEAKER_00;aunque la pregunta puede servir para hablar de grandes lanzadores,
323.480;327.400;SPEAKER_00;sobre todo ya no tanto en cuanto a las faltas, sino en cuanto a Corners.
327.640;330.360;SPEAKER_00;Hay uno por cierto que ha jugado poco hasta ahora en la Liga,
330.360;333.160;SPEAKER_00;pero tiene muy buena pinta que es Ugrinic en Valencia,
333.160;335.640;SPEAKER_00;que lanza muy bien los Corners,
335.640;339.560;SPEAKER_00;y de hecho es parte del motivo por el cual lo fichan.
339.560;344.680;SPEAKER_01;Luego hay una pregunta sobre esto, sobre elegir una pareja de lanzadores rematador,
344.680;345.960;SPEAKER_01;que podamos dar.
345.960;347.960;SPEAKER_01;¿De la Liga o de Europa?
347.960;351.240;SPEAKER_01;De la Liga y de Europa, no sé si haces la pregunta, luego os la planteo.
351.240;353.240;SPEAKER_00;No tenía una de Asia, fíjate.
353.240;356.760;SPEAKER_01;Hay una cosa, comentarlo de Grimaldo,
356.760;361.320;SPEAKER_01;creo que Grimaldo tiene pinta, porque estamos descubriendo a Julián también en esta faceta,
361.320;365.400;SPEAKER_01;que ya había marcado goles, pero bueno, lo estamos descubriendo aquí en Atlético Madrid.
365.400;369.880;SPEAKER_01;Grimaldo me parece que tiene más rango y más variedad, es mi sensación,
369.880;375.000;SPEAKER_01;pero el golpeo de Julián en la frontal, que es un golpeo muy parecido al que luego tienen los Corners,
375.000;378.360;SPEAKER_01;lo está automatizando, Adri, es que no se le levanta el balón.
378.360;382.360;SPEAKER_01;Tú no ves un Corner de Julián que no vaya a zona de remate,
382.440;389.080;SPEAKER_01;y no ves un disparo a balón parado directo de Julián que se vaya al tercer anfiteatro,
389.080;393.400;SPEAKER_01;luego lo puede parar el portero, puede ir fuera, pero es automático,
393.400;398.280;SPEAKER_01;se está cogiendo ya esa técnica y la tiene muy depurada.
398.280;404.920;SPEAKER_02;Sí, el otro día decía Simeone que le recordaba mucho cómo chutaba Julián a cómo chutaba en su día Pantic,
404.920;408.280;SPEAKER_02;también, que cae muy a plomo la pelota, que cae muy a plomo,
408.360;412.120;SPEAKER_02;él no sabe cómo conseguir levantarla para que después caiga inmediatamente,
412.120;415.880;SPEAKER_02;ha hablado después de marcarle el gol a Courtois en el derbi.
415.880;420.920;SPEAKER_02;Aquí la clave es, falta la minuto 89, ¿quién tira esa falta o quién quiere que tire esa falta?
420.920;421.880;SPEAKER_01;¿Dónde está?
421.880;426.360;SPEAKER_02;Hoy por hoy yo sigo diciendo que tire Grimaldo, pero...
426.360;427.640;SPEAKER_01;Aunque esté en la frontal.
429.640;431.640;SPEAKER_01;En la retraso un poco.
431.640;433.640;SPEAKER_01;En la retraso un poco.
433.640;436.440;SPEAKER_01;Y una cosa, Leomé si sigue en activo.
437.080;439.080;SPEAKER_02;Sí, también es verdad.
439.080;444.280;SPEAKER_02;Lo digo a ver si vamos a pasar esta pregunta y no mencionamos a Leo.
444.280;448.680;SPEAKER_02;Dicho esto, ¿se va a seguir encargando Julián del balón parado de la Lety?
448.680;450.680;SPEAKER_02;Porque vuelve Baena.
450.680;455.480;SPEAKER_02;Y Baena en los corners, la pone muy bien.
455.480;459.880;SPEAKER_01;Una pregunta que ya sabéis que tengo problemas con esto, Julián es diestro o zurdo?
459.880;461.080;SPEAKER_00;Diestro.
461.080;463.080;SPEAKER_01;Y Baena, diestro.
463.720;471.320;SPEAKER_00;Esto lo escuché a Tiago el otro día que decía que en general entre los centrocampistas hay demasiado perfil diestro.
471.320;479.000;SPEAKER_00;Que le hablaba de acomodar el perfil más jugón, ponerlo a pierna cambiada.
479.000;483.240;SPEAKER_00;Por aquello de meterse mucho hacia adentro y el perfil más box to box que juega a pierna natural.
483.240;491.240;SPEAKER_01;Sí, bueno de hecho esto hablan, no sé qué entrenador fue, que se habla mucho de no poner a dos centrales zurdos.
491.400;495.880;SPEAKER_01;Pero menos de no poner a dos centrales zurdos.
495.880;499.400;SPEAKER_01;Porque el zurdo, ¿por qué se dice esto del zurdo en vez del diestro?
499.400;503.560;SPEAKER_01;Porque por norma general suele ser más cerrado.
503.560;506.840;SPEAKER_01;Y claro, eso ya para un central puede ser un problema.
506.840;512.680;SPEAKER_01;Pero en el centro del campo donde tienes que girar, perfilar y demás, es que anulas una parte del campo.
512.680;518.280;SPEAKER_01;O sea, piensas en cualquier central y siempre tienes un lado natural y un lado más ciego.
518.520;521.480;SPEAKER_01;Y esto no es un tema...
521.480;527.080;SPEAKER_03;Yo creo que la pareja de mejores lanzadores de balón parado, que veremos cómo se asienta la de Baena Julián, la tiene el Arsenal.
527.080;531.880;SPEAKER_01;Con Reis y Odegaard.
531.880;537.720;SPEAKER_01;Me gustan mucho los corners de Julián, de verdad.
537.720;539.720;SPEAKER_01;Si los defienden en el entro de Frankfurt más.
539.720;545.480;SPEAKER_00;El que saca muy bien los corners con las dos piernas es Cazorla también.
545.880;547.880;SPEAKER_02;Brutal, eh.
547.880;549.880;SPEAKER_02;Esto le gana Casillas.
549.880;551.880;SPEAKER_01;Es verdad.
551.880;555.160;SPEAKER_01;De hecho creo que es el primer gol que te hace dudar de Casillas.
555.160;558.120;SPEAKER_01;¿Es en el Bernabéu ese gol?
558.120;560.600;SPEAKER_01;Creo que sí, lo estoy visualizando.
560.600;563.080;SPEAKER_01;Golazo de Santi Cazorla.
563.080;565.080;SPEAKER_01;Segunda cuestión.
565.080;567.080;SPEAKER_01;Gauchia Pastor.
567.080;574.360;SPEAKER_01;Dice, visto lo ocurrido en las últimas jornadas de Liga, se empieza a dudar de Carlos Corberán por Twitter.
574.760;577.720;SPEAKER_01;Dice Gauchia Pastor que le da todo el crédito del mundo.
577.720;582.200;SPEAKER_01;Pero nos pregunta si pensamos que puede haber cama por parte de los futbolistas.
582.200;588.440;SPEAKER_01;Aquí, Now Alex, lo hemos venido hablando fuera de micros durante la mañana de hoy.
588.440;591.400;SPEAKER_01;Para nosotros es miércoles, que estamos hablando hasta el miércoles al mediodía.
594.440;596.440;SPEAKER_01;Hay run run.
596.440;598.920;SPEAKER_01;Y lo han conjuntado nuestros compañeros de Radio Marca Valencia.
598.920;601.720;SPEAKER_01;Con ciertas decisiones de Corberán.
601.960;605.160;SPEAKER_01;Con ciertas sensaciones del vestuario.
605.160;611.320;SPEAKER_01;Y creo que es pronto para hablar de desaveniencias, al menos por lo que vamos conociendo.
611.320;614.840;SPEAKER_01;Pero sí que podemos entrar en el terreno de las tiranteces.
614.840;617.880;SPEAKER_00;Estoy completamente, sí.
617.880;621.560;SPEAKER_00;Ha habido cosas raras durante el verano.
621.560;623.560;SPEAKER_00;Se habló mucho del tema del dorsal de Dan Yuma.
623.560;630.840;SPEAKER_00;Las dudas con la salida de Guillamón, que no fue tratado de la mejor manera.
631.800;637.400;SPEAKER_00;El tema de la capitania de Pepelu, que viene de la temporada pasada y todo el jaleo de Rafa Mir.
637.400;645.080;SPEAKER_00;En fin, daba la sensación de que el año pasado el vestuario consiguió unirse en una situación muy negativa.
645.080;649.000;SPEAKER_00;Y que esta temporada ya no está en el mismo punto.
649.000;654.040;SPEAKER_00;Es que Corberán rechaza hablar de la situación de Raba, que venía siendo muy importante.
654.040;660.760;SPEAKER_00;Y que después de la expulsión de Gaya en el Sadar, hace un mal gesto al vestuario y ha pasado a ser un futbolista totalmente residual.
661.720;663.720;SPEAKER_00;Y Corberán dice que está todo bien.
663.720;672.680;SPEAKER_00;Hay dudas sobre todo por eso, pero la gente que mejor conoce el vestuario habla de que la situación está un poquito rara ahí dentro.
672.680;678.680;SPEAKER_03;Y yo sobre todo creo que se han ido generando esos problemas que comentabais.
678.680;681.480;SPEAKER_03;Pero es que las declaraciones después del partido del Real Oviedo,
681.480;685.480;SPEAKER_03;o sea, el momento en que piden analizar los goles y analiza el 1-1 y el 1-2.
685.480;686.200;SPEAKER_03;Cuidadito eso, eh.
686.200;693.480;SPEAKER_03;Y empieza a repartir hacia todos los jugadores, porque habla de Santa María, habla de Gaya, habla de todos.
693.480;694.840;SPEAKER_03;Creo que de Diakaví.
694.840;699.320;SPEAKER_01;Parece que con Diakaví es una parte de los problemas importantes.
699.320;700.280;SPEAKER_03;Sí.
700.280;708.280;SPEAKER_03;Y claro, ahora mismo pues el valencianismo se encuentra de nuevo en mitad en un desastre que puede ser.
708.280;712.520;SPEAKER_03;El hecho de que el vestuario no termine de aceptar a Carlos Corberán.
712.520;716.120;SPEAKER_03;Porque ya sería una temporada más en la que el Valencia entra en el bucle.
716.120;717.400;SPEAKER_01;También entrado.
717.400;723.800;SPEAKER_01;Esto es lo peor posible, porque el Valencia en verano asume ciertos riesgos en la gestión de grupo.
723.800;726.200;SPEAKER_01;Esto en su día con Baraja, lo comentamos alguna vez.
