start_sec;end_sec;speaker;text
0.000;6.920;SPEAKER_01;Papá mamá, una pregunta complicada, dos opciones y una única respuesta. Hoy os voy
6.920;11.320;SPEAKER_01;a plantear cuestiones muy variadas que nos han dejado los pizarritas en Instagram, en
11.320;15.920;SPEAKER_01;arroba somos pizarritas. Arrancamos por ejemplo con una de la selección.
15.920;22.400;SPEAKER_01;Vale, vale. Venga. Pregunta Mantú López. Como 9 de España,
22.400;25.760;SPEAKER_01;Mikel Ollarzabal o Ferran Torres? Mikel Ollarzabal.
25.760;28.960;SPEAKER_03;Mikel Ollarzabal. Ferran Torres.
28.960;34.880;SPEAKER_01;Yo me quedo con Mikel por lo visto en la selección. Si no le estuviesemos viendo rindiendo tan
34.880;38.880;SPEAKER_01;bien creo que sería unánime Ferran Torres. Sí, claro. Lógicamente.
38.880;45.200;SPEAKER_01;Es que es lógico. No, lo que voy es que si de repente se lesionan
45.200;49.600;SPEAKER_01;los dos delanteros y hay que ubicar a uno, creo que no había dudas con Ferran por su
49.600;53.520;SPEAKER_01;nivel con el club. Pero rindiendo también Mikel con la selección…
53.520;57.200;SPEAKER_03;Sí, ya que está funcionando tan bien, yo no lo tocaría de momento.
57.200;62.960;SPEAKER_02;Así tú lo cambiarías ¿no? Sí, pensalo sobre todo en el Mundial. Creo
62.960;69.600;SPEAKER_02;que… Es que Ferran… Esto lo decía mucho Luis Enrique cuando apostaba mucho por Morata
69.600;72.880;SPEAKER_02;y lo terminaba cambiando. El trabajo de desgaste que te puede generar un delantero como Ferran
72.880;79.760;SPEAKER_02;me parece valiosísimo. Creo que atrae muchas atenciones más que lo que puede atraer Ollarzabal.
79.760;84.880;SPEAKER_02;Creo que además para esos tipos de partidos contra selecciones del mismo nivel que España
85.360;88.000;SPEAKER_02;te saca un poquito a jugar más y que no se encierre tan atrás, creo que te puedes tirar
88.000;90.960;SPEAKER_02;un poco mejor. A mí es un 9 que me gusta más que Ollarzabal.
