start_sec;end_sec;speaker;text
0.000;5.120;SPEAKER_00;Hoy vamos a sacar las primeras conclusiones de lo que está siendo este primer Mundial de Clubes
5.120;10.840;SPEAKER_00;tras completarse una fase de grupos de la que además vamos a hacer nuestro 11 Ideal.
19.240;25.400;SPEAKER_00;Ha habido mucho debate sobre el Mundial de Clubes desde el inicio, creo que ahora que ya se ha
25.400;31.600;SPEAKER_00;disputado la mitad del torneo, que ya sabemos lo mejor y lo peor, que ya sabemos lo que más nos
31.600;37.120;SPEAKER_00;gusta y lo que menos, es un buen momento para hacer un poco de balance tanto de lo competitivo
37.120;43.160;SPEAKER_00;como de lo futbolístico que al menos nos está dejando esta primera edición. Para arrancar,
43.160;50.760;SPEAKER_00;una pregunta para saber un poquito cómo respiramos. Exactamente, nota al campeonato con todo,
51.120;56.040;SPEAKER_00;englobamos todo a este primer Mundial de Clubes con lo que estamos viendo en esta fase de grupos.
56.040;62.480;SPEAKER_00;Nahuel, ¿qué nota le pondrías? Yo le pongo un 7. Vale, Adri, yo bajo al 6. Tú, Alex de Llano. Yo
62.480;70.920;SPEAKER_01;estoy muy cerca del 9. 9. Voy a decir un 9. Ostras, un 9. Es que me está gustando mucho. Es muy proclivia
70.920;75.320;SPEAKER_00;que a Alex le guste mucho, seguramente es de los que más disfruta fútbol con mebol, fútbol también
75.320;80.680;SPEAKER_00;africano, asiático y evidentemente vivir un Mundial de Clubes, pues en ese sentido es una bacanal
80.680;87.200;SPEAKER_00;para nuestro Alejandro de Llano, ya que no se puede pegar otro tipo de bacanal. El fútbol nunca falla.
87.200;92.960;SPEAKER_00;El fútbol nunca te abandona. Esta es una lección para todos vosotros, pizarritas. Yo le pondría un
92.960;100.080;SPEAKER_00;7. Estoy de acuerdo con la nota que le ha puesto Nahuel. Me parece un torneo, una competición que
100.080;104.840;SPEAKER_00;está siendo notable, que tiene puntos fuertes, que tiene cosas que mejorar. Sí, yo creo que tienen
104.840;110.720;SPEAKER_00;bastantes que mejorar. Pero sabiendo los condicionantes y el contexto, me está gustando
110.720;116.600;SPEAKER_01;más incluso de lo que estaba. Pero mira, Miguel, un pequeño apunte. Fíjate que uno de los puntos que
116.600;120.480;SPEAKER_01;más se comentaba para tirar un poquito por tierra Mundial de Clubes era ¿Pero cómo va a jugar el
120.480;126.200;SPEAKER_01;Oakland City? Y el Oakland City ha hecho más puntos que muchos equipos que han conseguido su pase y
126.200;132.400;SPEAKER_01;de hecho, claro, tú vete a preguntar ahora. Claro, tú vete ahora a los alrededores de la Bombonera
132.400;137.920;SPEAKER_00;preguntar por Christian Grey. No va a ser el de las sombras. Sin embargo, alrededor del monumental
137.920;143.720;SPEAKER_00;igual se termina haciendo una estatua. Claro, tal cual. Se llama Christian Grey. O sea, acabo de caer.
145.120;154.200;SPEAKER_00;Es que es duro. La sombra del empate es alargada. A ver, vamos a ir primero dejando conclusiones
154.200;159.080;SPEAKER_00;del formato, estructura, sede, competición y luego pasamos al departivo y cerramos con el 11
159.080;165.360;SPEAKER_00;ideal que hemos diseñado de la fase de grupos. En cuanto al torneo, tú me decías, Nahuel,
