start_sec;end_sec;speaker;text
0.000;6.640;SPEAKER_03;Hoy estrenamos Formatin, triples imposibles sobre el mercado de fichajes.
15.120;19.640;SPEAKER_03;¿Qué pasa, pizarritas? Como decía, hoy estrenamos nuevo formato.
19.640;26.960;SPEAKER_03;Queremos jugar un poquito a esto de ser adivinos con triples imposibles,
26.960;30.720;SPEAKER_03;triples de espaldas desde el centro del campo que, oye, luego si entran,
30.720;36.840;SPEAKER_03;pues nos anotamos el tanto y sacamos el clip-in, que esto es algo que nos gusta bastante.
36.840;41.280;SPEAKER_03;Entonces, esto lo vamos a hacer durante la próxima temporada,
41.280;43.960;SPEAKER_03;hablaremos, yo que sé, de triples imposibles sobre la liga,
43.960;48.720;SPEAKER_03;triples imposibles sobre la Champions, y arrancamos con una edición sobre el mercado de fichajes,
48.720;55.240;SPEAKER_03;donde tenemos 10 de vuestros triplines y, aparte, nosotros vamos a aportar 3 cada uno,
55.240;59.120;SPEAKER_03;Adrián Blanco, Álex de Llano, Nahuel Miranda y Servidor. ¿Qué tal, chicos? ¿Cómo estáis?
59.120;60.480;SPEAKER_00;¿Qué tal? ¿Cómo estamos?
60.480;62.320;SPEAKER_00;Aquí preparando la muñeca para ver qué...
62.320;63.720;SPEAKER_00;Calienta, calienta.
63.720;65.920;SPEAKER_00;La mecánica, la mecánica...
65.920;69.960;SPEAKER_03;Bueno, bien el codo...
69.960;70.600;SPEAKER_03;Muy caporable.
70.600;72.880;SPEAKER_00;Pero el codo está en posición...
72.880;74.480;SPEAKER_03;90 grados ya, pero la...
74.480;78.680;SPEAKER_00;Es que sabes lo que pasa, que no me deja... el plano no me deja desarrollar bien.
78.680;80.880;SPEAKER_03;Sí, sí, sí, es el plano, precisamente.
80.880;81.600;SPEAKER_03;Es el plano justo.
81.960;87.040;SPEAKER_03;Bueno, vamos a arrancar con el primer triple imposible, que es una combinación que nos plantea
87.040;93.280;SPEAKER_03;Álex 21MC... No, Álex, no, Adam, 21MC, que es una maravilla.
93.280;101.920;SPEAKER_03;Nico se queda en Atletik, Rasfor al Barça, Grilis al Villa, Rodrigo al City y el Arsenal se come los mogos.
101.920;103.920;SPEAKER_03;¿Cómo de probable veis esto?
103.920;105.760;SPEAKER_02;Ah, pero esto no son triples, ¿no? Bueno, lo de...
105.760;108.120;SPEAKER_02;Joder, Nico...
108.120;108.760;SPEAKER_02;¿No?
