start_sec;end_sec;speaker;text
0.000;8.000;MIGUEL;Hoy vamos a analizar 10 decisiones que tienen que tomar 10 de los 20 entrenadores de la liga tras este nuevo comienzo.
8.000;16.000;MIGUEL;Para muchos entrenadores este parón les sirve para meter en dinámica fichajes, para trabajar cosas, futbolistas que se recuperan.
16.000;20.000;MIGUEL;Y hay varias decisiones que nos parecen trascendentales y que tienen que tomar.
20.000;22.000;NAHUEL;No hay ningún entrenador que tenga que tomar dos decisiones, ¿no?
22.000;24.000;NAHUEL;Hay alguno, pero no. Solo uno. Solo uno.
24.000;25.000;MIGUEL;Solo uno. Solo uno.
25.000;26.000;MIGUEL;Ten el objetivo.
26.000;28.000;MIGUEL;10 entrenadores, 10 decisiones. Vale, vale.
28.000;30.000;MIGUEL;12 meses, 12 vidas.
30.000;32.000;MIGUEL;12 causas.
32.000;37.000;MIGUEL;Bueno, arrancamos con Sergio Francisco, técnico de la Real Sociedad.
37.000;43.000;MIGUEL;Creo que es un tema muy interesante porque está ligado al gran rendimiento de Miquel Hoyarzabal como 9 de la selección española.
43.000;47.000;MIGUEL;Ya analizamos el otro día. El contexto es completamente diferente.
47.000;52.000;MIGUEL;Yo, por ejemplo, en el Miquel Hoyarzabal delantero centro no creo tanto en esta Real Sociedad.
53.000;59.000;MIGUEL;Sí que creo más en su versión en banda izquierda o incluso en la media punta, cosa que hemos visto durante los partidos.
59.000;64.000;MIGUEL;Pero una cosa es lo que creo yo y otra es la que cree Sergio Francisco, que es lo que importa.
64.000;66.000;MIGUEL;Y todavía no sabemos por qué va a apostar.
66.000;71.000;ALEX;Segunda parte ante el español en la primera media hora frente al Real Oviedo.
71.000;75.000;ALEX;A mí me convenció mucho esa posición de Miquel Hoyarzabal por detrás de Óscar Soler.
75.000;78.000;MIGUEL;Pero con la llegada de Soler, con tanto media punta...
78.000;79.000;ALEX;Sí, pero ahora no están.
79.000;81.000;ALEX;Ahora por el momento no van a estar.
81.000;85.000;ALEX;O por lo menos de Ángel, que creo que es el que más le puede hacer crecer a la Real Sociedad en esa idea y vuelta.
85.000;92.000;ALEX;Yo, sinceramente, me sigo convenciendo o sigo convencido, mejor dicho, de que Hoyarzabal es el 10 que necesita la Real Sociedad.
92.000;95.000;ALEX;Sobre todo teniendo en cuenta el tipo de 9 que tiene la Real.
95.000;97.000;ALEX;Me parece que con Guedes y con O'Reilly puede encajar bien.
97.000;99.000;MIGUEL;Yo es que soy partidario de...
99.000;101.000;MIGUEL;A mí Barrenechea...
101.000;103.000;MIGUEL;Yo esperaba mucha más evolución.
103.000;108.000;MIGUEL;Creo que Barrenechea desde el rol de suplente puede aportar más y ser más importante para el equipo.
108.000;110.000;MIGUEL;Entonces, ver a un...
110.000;120.000;MIGUEL;...Yángel más Gorrocha en banda izquierda, Hoyarzabal en la media punta, Carlos Soler o Guedes en derecha,
120.000;124.000;MIGUEL;a Taque Cubo y arriba O'Ríos Casón, que por cierto se tiene que recuperar de los problemas físicos.
124.000;126.000;MIGUEL;A mí eso me encaja bastante.
126.000;128.000;MIGUEL;Veo más a Miquel en esa banda.
128.000;134.000;MIGUEL;Lo que pasa es que es verdad que el lateral izquierdo de largo recorrido, que podía ser Javi López, no lo va a ser ya.
134.000;140.000;ADRIAN;Sí, y esto es importante porque pierdes esa profundidad, ese vuelo por ese costado, porque Hoyarzabal no te lo va a dar.
140.000;142.000;ADRIAN;Te lo digo, a mí...
142.000;144.000;MIGUEL;Fíjate que son jugadores diferentes, ¿no?
144.000;150.000;MIGUEL;Pero Hoyarzabal tiene cositas de Rafinha en ese sentido, un jugador que es muy inteligente, que se mueve bien, muy dinámico, con olfato.
150.000;152.000;MIGUEL;Claro, el Barça lo compensa con Valdé.
152.000;156.000;MIGUEL;Aquí la Real, a Yen creo que aporta en otro sentido.
156.000;161.000;MIGUEL;Y Sergio Gómez, que todavía no tenemos clara si va a ser su posición, tampoco es ese lateral largo.
161.000;162.000;MIGUEL;Es cierto.
162.000;164.000;ADRIAN;A mí me gusta más por dentro.
164.000;166.000;ADRIAN;Yo sigo confiando en Miquel por dentro.
166.000;167.000;ADRIAN;Yo también.
167.000;170.000;ADRIAN;No sé si como nuevo o como media punta, como dice Alex, que me parece una variante interesante.
170.000;172.000;ADRIAN;Recordó la temporada pasada en Montilivi.
172.000;174.000;ADRIAN;El juega muy bien, tiene una racha de partidos que son dos, tres...
174.000;175.000;ADRIAN;En derecha.
175.000;177.000;ADRIAN;En derecha, efectivamente. En derecha ahora está Atake Cubo, lógicamente.
177.000;185.000;ADRIAN;Pero bueno, acercándolo al área, acercándolo al remate, la temporada pasada creo que también supo rendir con Imanol en esa seguidilla de partidos, pero aún así yo lo veo por dentro.
186.000;194.000;NAHUEL;Le damos ataque a un estatus de indiscutible y yo creo que está siendo un jugador lo suficiente irregular como para que nos hagamos alguna pregunta al respecto.
194.000;196.000;MIGUEL;Sí, pero es que no hay más.
196.000;198.000;MIGUEL;Pero menos me lo hago con Barnechea, Mariano Salmón...
198.000;203.000;NAHUEL;Claro, es que Oscar Son entre que no han apostado mucho por él...
203.000;205.000;NAHUEL;Bueno, no apostó.
205.000;209.000;NAHUEL;...y que él también ha tenido problemas de lesiones y falta de continuidad.
209.000;210.000;NAHUEL;Es complicado.
210.000;212.000;NAHUEL;Yo sobre todo tengo ganas de ver a Oliar Zalcon Guedes.
212.000;217.000;NAHUEL;Yo creo que se pueden entender los dos muy bien, pueden jugar a una doble punta o con uno de los dos partidos del costado y creo que puede ser una buena sociedad.
217.000;218.000;MIGUEL;Estoy de acuerdo.
218.000;225.000;MIGUEL;Segunda decisión de Bordalas, claro. Aquí Bordalas nos va a mandar a paseo porque tú me planteabas tú esta decisión.
225.000;229.000;MIGUEL;De hecho, Adria, ese que te miro a ti, me decías ¿hay que hablar de quién hará de Uche en el Getafe?
229.000;230.000;MIGUEL;Uche.
230.000;238.000;MIGUEL;A ver, yo creo que nadie va a hacer de Uche en el Getafe, pero es verdad que Uche le daba cosas que le daba en su día a la pareja Mata-Molina.
238.000;248.000;MIGUEL;Ese juego de espaldas, ese poner de cara al tercer hombre normalmente Luis Milla, ese equipo que es capaz de jugar vertical con sentido y que en tres pases se planta en área contraria.
248.000;250.000;MIGUEL;Esto pasaba con Uche.
250.000;251.000;MIGUEL;Ahora...
251.000;261.000;ADRIAN;Sobre todo en este arranque de temporada, Uche desde la posición de nueve, al lado de Adrián Liso le estaba permitiendo a Bordalas ser más conservador en su propuesta.
261.000;268.000;ADRIAN;No ir tan arriba en la presión, sino poder defender un poquito más abajo, acularse más cerquita de la área de visoria y desplegarse a través del juego directo sobre Uche.
268.000;277.000;ADRIAN;Ahora que no va a estar Uche, entiendo que a Bordalas no le queda otra que recuperar el plan habitual del Getafe, de ir a morder arriba, ser mucho más incómodo y acercar más cerca de la corte de arriba.
277.000;282.000;MIGUEL;No hay nada parecido. Porque eso no lo de Randi en teca el último día de mercado. Bueno, le reconoció Martín Presa.
282.000;284.000;NAHUEL;Carlos Martín también sonó que podía...
284.000;290.000;MIGUEL;Mayoral sí que te aporta ese fútbol de espaldas, pero ya sabemos que Borja Mayoral no puede jugar con esa continuidad.
290.000;295.000;ALEX;Chicos, en duelo aéreos, esta temporada el que más había ganado era el propio Uche.
295.000;300.000;ALEX;La temporada pasada estaba Álvaro Rodríguez ahí, que podía ser un perfil que quizás lo podría aprovechar.
300.000;301.000;ALEX;¿Y su bienatasa?
301.000;309.000;ALEX;Sí, justo. Pero es que esta temporada, fíjate, para irnos al atacante que más duelo aéreos ganó después de Uche y de Álvaro Rodríguez la temporada pasada, nos vamos a Mayoral.
309.000;316.000;ALEX;Pero con un número bajísimo, 17. Para que os hagáis una idea, Uche el año pasado fueron 91 duelo aéreos ganados.
316.000;318.000;ALEX;Es un perfil muy diferente ahora.
318.000;320.000;NAHUEL;Me ha acordado de Vertug.
320.000;323.000;NAHUEL;Sí, Vertug, efectivamente. 73 duelo aéreos.
323.000;326.000;NAHUEL;Se ha quedado el Reims. Ha jugado dos minutos, un partido.
326.000;327.000;NAHUEL;Bueno, mira...
327.000;333.000;MIGUEL;Recordemos que llegó al Getafe o había marcado un gol o ninguno. Así como presagio del delantero ya tenía la pinta de irme.
333.000;335.000;MIGUEL;Como jugó la Eurocopa.
335.000;340.000;MIGUEL;El tema es que me llegue el típico delante del necni mega que ha marcado 15 goles que me engañe.
340.000;342.000;NAHUEL;Pero si ya llega con ninguno o uno...
342.000;352.000;NAHUEL;Sería muy de gordo a las inventarse una solución para que Koba, que es un futbolista que nos ha gustado hasta el momento, más a todos los de fuera que a bógaras, de repente sea una estrella del Getafe ahí arriba.
352.000;359.000;MIGUEL;A ver qué inventas. Javi Muñoz. Estoy viendo la plantilla y digo que puede ser algo parecido Javi Muñoz, pero...
359.000;360.000;MIGUEL;Pues que no.
360.000;361.000;MIGUEL;Bueno, pero Uche...
361.000;365.000;MIGUEL;No era... Te gusta defender, te gustaba. Uche tampoco era eso.
365.000;367.000;ALEX;Pero al menos el cuerpo lo tenía.
367.000;369.000;ALEX;Sí, sí. El cuerpazo.
369.000;382.000;ALEX;Y chicos, si el equipo pasa a atacar con dos delanteros que sean dos extremos, es decir, que en lugar de estirarse a través de una referencia, sea a través de estirar precisamente al rival y que pique en esa zona, por ejemplo Mario Mantis...
382.000;383.000;MIGUEL;Liso puede ser un poquito eso.
383.000;385.000;MIGUEL;A ver, Abu Kamara.
385.000;388.000;MIGUEL;Nos le conocemos esta Juami. Bueno, vamos a ver.
388.000;395.000;MIGUEL;Tercera cuestión, bastante concreta y muy debatida, pero todavía no tenemos respuesta y vamos a ampliar con una cosa que hemos comentado en el debate. Flick.
395.000;398.000;MIGUEL;Tienen que encontrar compañero Pau Cubarsí.
398.000;406.000;MIGUEL;Román aportó el nombre de Jules Conde poniendo a Eric García de lateral derecho. Albert Fernández dijo directamente Eric García.
406.000;410.000;MIGUEL;Los nombres más lógicos serían Ronald Araujo y Andreas Christensen.
410.000;414.000;MIGUEL;¿Qué queréis que va a hacer Flick? No lo queréis vosotros. ¿Qué queréis que va a hacer Hans Dieter Flick?
414.000;416.000;MIGUEL;Araujo.
416.000;419.000;MIGUEL;¿Apostar por el que tiene más potencial? Yo creo que sí.
419.000;423.000;ADRIAN;Yo creo que va a apostar por Araujo. A mí me gusta ver a Christensen.
423.000;424.000;ADRIAN;A mí también.
424.000;426.000;MIGUEL;A lao de Cubarsí. Porque crees que encaja mejor.
426.000;429.000;ADRIAN;Creo que encaja mejor y porque creo que el momento de Araujo es tan tan bajo ahora mismo.
429.000;434.000;NAHUEL;Marca un golazo con Dinamarca el otro día y no mueves a Cubarsí el perfil favorito.
434.000;438.000;NAHUEL;Sí, pero es verdad que... Christensen es un central muy diferente a Iñigo.
438.000;445.000;MIGUEL;Si el fútbol te ha obligado a darle una segunda oportunidad a zarrono al Araujo, porque la marcha de Iñigo es a lo que te lleva...
445.000;447.000;MIGUEL;Si hay un momento, está ahora en septiembre.
447.000;455.000;NAHUEL;Es que realmente, yo creo en Estebarca, mira que se debatió mucho en su día entre el Araujo lateral y el Araujo central.
455.000;458.000;NAHUEL;Es que el Araujo lateral creo que tendría mucho más juego con Estebarca.
458.000;462.000;MIGUEL;Sí, pero necesita... Ahí la MIM necesita un jugador con buen pie al lado.
462.000;464.000;MIGUEL;Es que por eso Erick funciona también.
464.000;465.000;NAHUEL;Claro.
465.000;467.000;NAHUEL;Pero es tan imprescindible un jugador de buen pie.
467.000;470.000;NAHUEL;Yo creo que sobre todo lo que necesita es un buen defensor para hacer frente.
471.000;472.000;NAHUEL;Sí, sí, pero...
472.000;475.000;NAHUEL;Es que la MIM parece que el partido de Levante son 28 pérdidas.
475.000;478.000;NAHUEL;Alguien que pueda correr y que pueda cologir.
478.000;482.000;MIGUEL;Pero creo que la MIM interpreta muy bien el juego de pares y de hecho el 2x2 con Cundé.
482.000;484.000;MIGUEL;Funciona de loco.
484.000;486.000;MIGUEL;Entonces ahí Araujo tengo mi duda.
486.000;490.000;ALEX;Y de hecho, por cierto, pensando en esto, en la Champions tengo un poco de...
490.000;495.000;ALEX;Se me enciende una bombilla y decir, ostras, un extremo rápido que le planteé un Anthony Gordon, por ejemplo, con el Newcastle,
495.000;499.000;ALEX;que le planteé una dificultad a Araujo a campo abierto, es que se me viene el recuerdo de Barcola.
500.000;502.000;ALEX;Sí, es que a ver, es difícil.
502.000;503.000;MIGUEL;Es difícil.
503.000;505.000;MIGUEL;Esa posición es muy demandante.
505.000;510.000;MIGUEL;Yo creo que a mí lo de probar a Cundé y con Éric en el lateral derecho no me parece ninguna locura.
510.000;511.000;MIGUEL;No es locura.
511.000;516.000;MIGUEL;No me lo había planteado y Éric nos ha gustado ahí, encajado con la MIM y Cundé...
516.000;521.000;ALEX;También sería la leche que después de que Cundé, con todo lo de que no quería jugar de lateralidad, lo convences.
521.000;523.000;ALEX;Es lateral titular en la sesión francesa.
523.000;526.000;MIGUEL;Que puedes marear a Cundé, sí.
526.000;528.000;MIGUEL;Cundé ha llegado tarde alguna vez, pasa de Cundé.
528.000;530.000;MIGUEL;Cundé, apaga, apaga.
530.000;532.000;MIGUEL;¿Te acuerdas cuando viniste tarde, Cundé?
532.000;534.000;MIGUEL;¿Te acuerdas de que ibas a ser central?
534.000;538.000;MIGUEL;Cuarta decisión, cuarto entrenador, Chacho Coudet.
538.000;542.000;MIGUEL;Me planteabas dos posibilidades sales para hablar de esto.
542.000;548.000;MIGUEL;Una era el centro del campo, llega Denis, cae Pablo Ibáñez, pasa a Juan Pablo por delante.
548.000;550.000;MIGUEL;Antonio Blanco es sin móvil, evidentemente.
550.000;556.000;MIGUEL;Pero me gusta más el tema del 9 porque ha fichado a Mariano, ha fichado a...
556.000;557.000;MIGUEL;Voye, menos mal.
557.000;559.000;MIGUEL;Voye que se ha entrenado ya con el grupo.
559.000;561.000;MIGUEL;Está Toni Martínez, está jugando John Guridi.
561.000;565.000;MIGUEL;A veces un poquito por detrás, a veces al lado del punta.
565.000;567.000;MIGUEL;Y esta es una idea interesante.
567.000;569.000;MIGUEL;¿Qué va a hacer ahí? ¿Qué perfiles va a elegir?
569.000;574.000;ALEX;Yo lo que creo que va a ocurrir es que Denis Suárez, una vez esté a punto físico idóneo,
574.000;579.000;ALEX;me parece que la plaza de Guridi, o bueno, la plaza de Ibáñez la va a ocupar Denis Suárez.
579.000;580.000;ALEX;¿Denis con Antonio?
580.000;583.000;ALEX;Denis con Antonio Blanco y que va a ser un segundo punta que juegue ahí.
583.000;584.000;ALEX;Fíjate el partiente.
584.000;585.000;ALEX;¿Quién?
585.000;587.000;ALEX;Yo entiendo que va a ser Voye.
587.000;590.000;ALEX;Porque creo que Voye le va a aportar ese juego entre líneas
590.000;593.000;ALEX;y Toni le puede aportar ese movimiento hacia la espalda.
593.000;594.000;ALEX;Yo te digo una cosa.
594.000;599.000;ALEX;La sensación que tengo es que Guridi ha jugado muy bien pero le ha faltado el paso.
599.000;600.000;ALEX;Es que no marca.
600.000;601.000;ALEX;El día del Betis.
601.000;604.000;ALEX;Es que el día del Betis te cambia esa jugada, te cambia el partido.
604.000;606.000;NAHUEL;Es la tónica habitual de Guridi.
606.000;607.000;NAHUEL;Sí, sí.
607.000;611.000;MIGUEL;Y creo que viendo que no va sobrado de goles, no te puedes permitir a Guridi.
611.000;615.000;MIGUEL;Hace unos años en el diario de un playlist deportivo en mi canal de YouTube,
615.000;619.000;MIGUEL;lo podemos hacer un día porque ha pasado unos cuantos años,
619.000;624.000;MIGUEL;hice un vídeo, un análisis de, le mejoras un defecto a un jugador.
624.000;625.000;MIGUEL;Ah, muy chulo.
625.000;627.000;MIGUEL;Yo decía, por ejemplo, Iñaki Williams mejorando los controles.
627.000;628.000;MIGUEL;Sería otro jugador.
628.000;630.000;MIGUEL;De hecho creo que ha mejorado bastante los controles.
630.000;631.000;MIGUEL;Y ahí está su mejora.
631.000;635.000;MIGUEL;Pues si a John Guridi le arreglas el tema del disparo a puerta,
635.000;637.000;MIGUEL;ha desesperado a no pocos entrenadores.
637.000;638.000;MIGUEL;Pasa a otro nivel.
638.000;639.000;MIGUEL;Sí, porque es que llega…
639.000;643.000;MIGUEL;A mí me recuerda, fíjate, Sami Khedira era un fotodista que llegaba muy bien desde atrás,
643.000;644.000;MIGUEL;pero es que no…
644.000;645.000;MIGUEL;No lo sentía así.
645.000;646.000;MIGUEL;No definía bien.
646.000;651.000;NAHUEL;Yo cuando me levanto esta mañana no esperaba escuchar a John Guridi, a Sami Khedira la misma frase.
651.000;652.000;NAHUEL;Es Los Misterios de la Pizarra.
652.000;653.000;NAHUEL;Sí, sí.
653.000;654.000;NAHUEL;A ver, te sorprende.
654.000;655.000;ADRIAN;Fútbol.
655.000;656.000;ADRIAN;Yo no sentaba…
656.000;658.000;ADRIAN;A mí te digo que si mejoras a Boye de cara a puerta, sería Benzema.
658.000;659.000;ADRIAN;No, claro.
659.000;660.000;ADRIAN;Claro.
660.000;661.000;ADRIAN;El inseco, eh.
661.000;662.000;ALEX;El inseco.
662.000;664.000;ALEX;Sería el titular de la selección argentina, ¿no?
664.000;666.000;ALEX;No habríamos oído el autónomo.
666.000;669.000;ADRIAN;Pero si piese las cifras que debería hacer un 9 como Boye…
669.000;670.000;ADRIAN;Sí, pero imagina…
670.000;671.000;ADRIAN;No teníamos ni debate.
671.000;674.000;MIGUEL;Es un ejercicio que está chulo porque hemos acabado de hablar de ronar a Ujo, pues imagínate
674.000;675.000;MIGUEL;si tuviese un pie derecho.
675.000;676.000;MIGUEL;Ya, ya.
676.000;677.000;ADRIAN;Eso te digo.
677.000;681.000;ADRIAN;Y si Boye tuviese mejores cifras, sería él el 9.
681.000;683.000;ADRIAN;¿Sabes cómo podría llamarse el formato?
683.000;684.000;MIGUEL;¿Cómo?
684.000;685.000;MIGUEL;Y si mi abuela tuviera tres ruedas.
685.000;686.000;MIGUEL;Me gusta.
686.000;687.000;ADRIAN;Compro, compro.
687.000;690.000;ADRIAN;Pero me gusta la fórmula que plantea Alex, de la doble punta.
690.000;693.000;ADRIAN;Me gusta hasta que Mariano Díaz Mejía tirela por abajo.
694.000;698.000;MIGUEL;Hay que tener en cuenta que además la necesidad de un juego interior es relativa porque Aleñá
698.000;699.000;MIGUEL;se mete mucho por dentro.
699.000;700.000;MIGUEL;Claro.
700.000;701.000;MIGUEL;Así que ahí puede compensar.
701.000;704.000;MIGUEL;Julián Calero, Levante Unión Deportiva.
704.000;707.000;MIGUEL;Aquí es una pregunta un poquito más genérica, now.
707.000;714.000;MIGUEL;Un poquito más abstracta porque todos entendemos que Taeyong tiene que ser fundamental para
714.000;715.000;MIGUEL;el Levante.
715.000;716.000;MIGUEL;Nos está encantando.
716.000;721.000;MIGUEL;El primer impacto en el Levante parece que es muy bueno por lo que se comenta, que Calero
721.000;722.000;MIGUEL;está enamorado.
722.000;727.000;MIGUEL;El punto es cómo le acompañas y cuánto le acercas al área contraria.
727.000;730.000;MIGUEL;No es que sea un jugador de área, es un jugador que se puede mover muy bien también a campo
730.000;731.000;MIGUEL;abierto.
731.000;735.000;MIGUEL;Pero sí que me parece que es un futbolista que en el Villarreal estaba muy bien alimentado.
735.000;737.000;MIGUEL;Igual ahora mismo en el Levante pasa a Bruna.
737.000;743.000;NAHUEL;Me llama mucho la atención porque Taeyong en su presentación ha hablado mucho de Bruguí
743.000;747.000;NAHUEL;y de Carlos Álvarez, que dice que le parece muy buenos compañeros para la delantera.
747.000;748.000;NAHUEL;¿Es futbolero, Taeyong?
748.000;749.000;NAHUEL;Eso parece.
749.000;753.000;NAHUEL;Habrá que pegarle un toque a Taeyong.
753.000;757.000;ALEX;Además de llegar como medio centro a la cantera del Cádiz y de repente que alguien le puso
757.000;758.000;ALEX;ahí…
758.000;759.000;ALEX;Llegó como medio centro.
759.000;760.000;ALEX;Sí, él empieza como medio centro.
760.000;764.000;ALEX;La temporada en la que debuta efectivamente y se empieza a salir a nivel goleador y es
764.000;766.000;ALEX;espectacular lo suyo.
766.000;772.000;NAHUEL;El debate en el Levante es renunciar a la línea de cinco, que parecía el plan A de Calero.
772.000;776.000;MIGUEL;Que le mete muy atrás los partidos que hemos visto del Levante.
776.000;779.000;NAHUEL;Al final va a poder contar con las gasti con vencedor.
779.000;783.000;NAHUEL;Que unos fichaje de último día y otros una inscripción.
783.000;785.000;NAHUEL;Yo creo que tiene cierto sentido.
785.000;787.000;NAHUEL;Esperaba algo más parecido con 4-3-3.
787.000;790.000;NAHUEL;Es cierto que tienes laterales muy largos con manos antes de con y con Tolyan.
790.000;794.000;NAHUEL;A ver si el equipo lo puede soportar a nivel defensivo, pero creo que todo esto puede repercutir
794.000;796.000;NAHUEL;en una buena versión de Taeyong.
796.000;797.000;NAHUEL;Aquí confío en Carlos Romero.
797.000;799.000;ADRIAN;Esa me perdoné en Carlos Álvarez.
799.000;800.000;ADRIAN;Confío en él.
800.000;803.000;ADRIAN;Es que estaba leyendo Iván Romero en la página de Fútbol Fantasy.
803.000;805.000;ADRIAN;Tienen puesto de Taeyong y bajo Iván Romero.
805.000;807.000;ADRIAN;Por eso me he mezclado los dos nombres.
807.000;809.000;ADRIAN;Carlos Romero juega bien.
809.000;811.000;MIGUEL;Juega dos partidos contra el Taeyong.
811.000;813.000;ADRIAN;Podemos confiar en él.
813.000;816.000;ADRIAN;Pero confío en que sea él. Por talento que sea él quien acerque a el Taeyong.
816.000;818.000;NAHUEL;Es una asustada porque está jugando bien Iván Romero.
818.000;820.000;MIGUEL;Sí, pero le falta...
820.000;822.000;MIGUEL;Pero a quién marca el gol?
822.000;823.000;MIGUEL;Al Barça.
823.000;825.000;MIGUEL;Sí, es un golazo.
825.000;826.000;MIGUEL;La cinta esa.
826.000;827.000;MIGUEL;Me pareció escandalosa.
827.000;829.000;MIGUEL;El día de la laves no me convenció demasiado.
829.000;831.000;NAHUEL;El día de la elcha estuvo muy bien.
831.000;833.000;MIGUEL;Es que...
833.000;834.000;NAHUEL;El Levante...
834.000;836.000;NAHUEL;Para mí me sobran...
836.000;838.000;NAHUEL;Por ejemplo, el que no me convence demasiado es el Rey.
838.000;839.000;NAHUEL;No.
839.000;840.000;NAHUEL;Pablo Martínez sí.
840.000;841.000;NAHUEL;O Rey.
841.000;843.000;NAHUEL;Pero es que Pablo Martínez está jugando fuera de posición.
843.000;845.000;NAHUEL;Está jugando muy abajo.
845.000;848.000;NAHUEL;Entonces me da la sensación de que aspirar a una doble punta...
848.000;852.000;NAHUEL;Aprovechado que Bruguet puede jugar por dentro o por fuera.
852.000;855.000;NAHUEL;Con esa alternativa de Iván Romero.
855.000;857.000;NAHUEL;Es que al final, yo creo que Levante tiene con qué.
857.000;859.000;NAHUEL;Pero hasta ahora Julián no ha tenido pocas alternativas.
859.000;861.000;MIGUEL;Vamos con otro recién ascendido.
861.000;864.000;MIGUEL;Vamos con Belko Pounovic.
864.000;866.000;MIGUEL;La pregunta es...
866.000;868.000;MIGUEL;La decisión es...
868.000;870.000;MIGUEL;Debe entregarse a Hassan.
870.000;875.000;MIGUEL;Porque Hassan fue indiscutible en el Real Lobo del año pasado.
875.000;878.000;MIGUEL;Pero ya hemos visto algún partido donde ha jugado Ilic.
878.000;880.000;MIGUEL;El otro día...
880.000;882.000;MIGUEL;Bueno, hace ya dos semanas.
882.000;883.000;MIGUEL;Estuvo realmente bien.
883.000;885.000;MIGUEL;Evidentemente Hassan.
885.000;886.000;MIGUEL;Pero entrando desde el banquillo.
886.000;887.000;NAHUEL;Luego hubo dedicatoria.
887.000;889.000;NAHUEL;Luego ha habido perdón, disculpa y tal.
889.000;893.000;MIGUEL;Pero sí que me parece que es una pregunta casi filosófica.
893.000;897.000;MIGUEL;¿Me entrego a un tío que genera caos al contrario?
897.000;898.000;ALEX;Y a mí.
898.000;902.000;MIGUEL;O voy con un centrocampista, porque Ilic es un centrocampista...
902.000;904.000;MIGUEL;Que me controla más todo.
904.000;907.000;MIGUEL;Pero también que le facilita más la tarea del lateral contrario.
907.000;909.000;MIGUEL;¿Yo soy lateral contrario?
