start_sec;end_sec;speaker;text
0.000;6.320;MIGUEL;Hoy, pizarritas, tenemos uno de esos drafts que sacan lo peor de nosotros mismos.
6.320;13.840;MIGUEL;Y además en el de hoy no se va a poder repetir ni club, ni país, ni año de nacimiento.
13.840;18.800;MIGUEL;Con estos tres condicionantes tenemos que montar el mejor equipo del mundo.
18.800;22.760;MIGUEL;Adrián Blanco, Álex de Llanó, Nahuel Miranda, ¿estáis preparados?
22.760;25.400;ADRIAN;Papel y bolí, mi gente. Papel y bolí.
25.400;27.120;NAHUEL;We are so ready.
28.000;29.200;NAHUEL;Muy turra este draft.
29.200;31.200;NAHUEL;Es muy difícil este draft.
31.200;35.760;NAHUEL;Aparte, me jode porque he tenido yo la idea de, oye, podríamos hacer un draft.
35.760;38.000;ALEX;Pero la verdad que no lo quería tirar por aquí.
38.000;40.720;ALEX;Now, now, now, now, now.
43.680;45.280;NAHUEL;Lo vas a disfrutar, Nahuel.
45.280;50.880;NAHUEL;Mi idea, claro, es que yo te dije, Miguel, oye, que tras el marco ha actualizado los valores del mercado de la liga.
50.880;56.560;MIGUEL;Claro, pues ese es otro formatín, el de hacer un equipo Champions con 100 millones.
56.640;63.120;MIGUEL;Eso lo repetiremos, pero estamos en parón de selecciones y hemos dicho, venga, vamos a montar el mejor equipo.
63.120;64.480;MIGUEL;Bueno, hemos dicho no, has dicho tú, Miguel.
64.480;65.200;NAHUEL;Lo he dicho yo.
65.200;67.200;NAHUEL;Yo esto no apoyo, ¿vale?
67.200;68.320;NAHUEL;Lo he dicho yo.
68.320;69.440;MIGUEL;Quiero que quede claro.
69.440;73.680;MIGUEL;Lo he dicho yo, pero si luego te encanta y, ¡uy, mira qué equipo he hecho!
73.680;76.640;MIGUEL;¡Uy, qué fichaje! ¡Uy, es mi mejor conjunto!
76.640;77.840;MIGUEL;A ver, a ver, a ver.
77.840;79.360;MIGUEL;A ver, a ver, a ver.
79.360;80.880;MIGUEL;Me lo tomo de conga, me lo tomo de conga.
80.880;82.160;MIGUEL;Me lo tomo de conga.
82.160;83.680;MIGUEL;Me lo tomo de conga y luego me voy a olvidar.
83.760;90.000;MIGUEL;Es que es el típico, Nauel, es el típico que dice no voy a salir y a las 3 de la mañana llega una cogorza encima.
90.000;91.760;MIGUEL;Ah, Naúl, porfa, coherencia.
91.760;92.560;MIGUEL;Me ha pasado nunca eso.
92.560;93.360;NAHUEL;¡Mis cojones!
93.360;94.240;MIGUEL;Vaya, pues sí.
94.240;98.400;NAHUEL;Que os pase la manita por la cara constantemente en el grab.
98.400;101.200;NAHUEL;Relato, relato, relato.
101.200;101.920;NAHUEL;Bueno, a ver.
101.920;103.040;NAHUEL;Balotelli, Balotelli.
103.040;103.760;NAHUEL;Importante.
103.760;104.960;NAHUEL;El cartero celebra cuando entrega una carta.
104.960;105.680;NAHUEL;Importante.
105.680;109.440;MIGUEL;Objetivo, montar el mejor equipo del mundo en 2025.
109.440;112.800;MIGUEL;Valoramos al futbolista por su nivel en 2025.
112.880;114.880;MIGUEL;Oye, que alguno puede estar lesionado, no pasa nada.
114.880;117.120;MIGUEL;No nos referimos a estado de forma puntual.
