start_sec;end_sec;speaker;text
0.000;6.440;MIGUEL;El otro día, Alés de Llano me propuso que teníamos que hablar de el mejor futbolista
6.440;10.080;MIGUEL;que estuvo solo un año en los 20 equipos de la Liga.
10.080;11.080;MIGUEL;Vale, como ha dado.
11.080;12.760;MIGUEL;Es decir, bueno, el mejor futbolista de cada equipa.
12.760;13.760;MIGUEL;De cada equipa, sí, sí.
13.760;19.720;MIGUEL;Pero me refiero a este tipo de análisis que hacemos, de balance, hablando de futbolistas
19.720;23.600;MIGUEL;que por una cosa u otra son icónicos en los 20 equipos que tenemos en la primera división
23.600;24.600;MIGUEL;española.
24.600;28.240;MIGUEL;Me pareció un tema muy interesante porque son historias efímeras, al final un año
28.240;29.240;MIGUEL;como máximo.
29.240;32.320;MIGUEL;No tiene más tema, pero muy potentes y variadas.
32.320;33.320;MIGUEL;Un poquito de todo.
33.320;38.200;MIGUEL;Nos hemos dividido los equipos y yo en los míos he encontrado de todo tipo y condición.
38.200;39.200;ADRIAN;Ha tocado rebuscar mucho.
39.200;40.200;ADRIAN;A mí ha salido fácil.
40.200;47.360;ALEX;Yo he tenido que preguntar a tres o cuatro aficionados de ese club y no he terminado
47.360;48.360;ALEX;contento con la elección.
48.360;49.360;ALEX;Es complicado.
49.360;52.080;ADRIAN;Es difícil, pero es un reto chulo.
52.080;55.440;ALEX;Pero con otros he terminado muy contento y de hecho en uno ha habido hasta ayuda divina.
56.440;57.440;ADRIAN;De Dios.
57.440;59.440;MIGUEL;¿Me puedes decir en cuál?
59.440;62.440;MIGUEL;Para cuando lleguemos estar preparado.
62.440;64.440;ALEX;Es que te quiero sorprender, claro.
64.440;69.440;MIGUEL;Bueno, arrancamos con el Deportivo Alavés, con el glorioso.
69.440;72.440;MIGUEL;¿Un año le bastó para ser memorable a quién?
72.440;74.440;ADRIAN;A Marcos Llorente en el Deportivo Alavés.
74.440;75.440;ADRIAN;Ah, mira.
75.440;76.440;ADRIAN;Marcos Llorente.
76.440;77.440;ADRIAN;Ahí donde elegir.
77.440;78.440;ADRIAN;Ese año.
78.440;79.440;ADRIAN;Claro, el año que además llegaron a la final de Copa.
79.440;80.440;ADRIAN;Teo Hernández.
80.440;81.440;ADRIAN;Teo Hernández.
81.440;82.440;ADRIAN;Ahí donde elegir.
82.440;83.440;ADRIAN;Recientes.
83.440;84.440;ADRIAN;Samo Morodion.
84.440;85.440;ADRIAN;Rafa Marín.
85.440;86.440;ADRIAN;Claro.
86.440;87.440;ADRIAN;Giuliano Simeone.
87.440;89.440;ADRIAN;Jonathan Kaleri también está en la temporada.
89.440;90.440;ADRIAN;Johnny Rodríguez.
90.440;91.440;ADRIAN;Munir.
91.440;93.440;ADRIAN;Insisto, ahí donde elegir en el Deportivo Alavés.
93.440;95.440;ADRIAN;Le propuse todos a John Prada.
95.440;98.440;ADRIAN;John Prada, por ejemplo, me recordó el caso de Fabrizio Colocini.
98.440;99.440;ADRIAN;Temporada 2001-2002.
99.440;100.440;ADRIAN;Mi prueba.
100.440;101.440;ADRIAN;Cedido por el Milan.
101.440;106.440;ADRIAN;Había donde elegir, como digo, con el glorioso, pero él me dijo Marcos Llorente.
106.440;110.440;ADRIAN;No hemos visto de verdad un impacto como el de Marcos Llorente en aquel centro del campo.
110.440;112.440;ADRIAN;Creo que estuvo más de una temporada.
112.440;114.440;ADRIAN;Pero es que yo creo que…
114.440;115.440;NAHUEL;No, no, no, no.
115.440;116.440;MIGUEL;Lo busco.
116.440;117.440;NAHUEL;No, no, no.
117.440;120.440;NAHUEL;Pero ¿me vas a dejar hablar o vas a hacer la de siempre?
120.440;121.440;NAHUEL;Igual hableado.
121.440;126.440;NAHUEL;Claro, aquella primera temporada con Pellegrino en el banquillo, yo creo que se recuerda por
126.440;129.440;NAHUEL;muchas etapas efímeras, Marcos Llorente, Teo Hernández, lo repasábais.
129.440;132.440;NAHUEL;Creo que estuvo más de una temporada a Davison.
132.440;133.440;NAHUEL;Sí, sí.
133.440;134.440;NAHUEL;Camarasa.
