start_sec;end_sec;speaker;text
0.000;3.560;MIGUEL;Arrancan los juegos del hambre.
4.240;7.480;MIGUEL;Del 1 al 10, ¿cuántas ganas tenéis de este draft?
9.000;11.400;ALEX;Yo siempre los draft un 10.
12.800;13.800;ALEX;Un 11.
15.920;16.920;NAHUEL;Un 13.
16.920;18.720;MIGUEL;¿Qué pasa, pizarritas?
18.720;20.720;MIGUEL;Hoy tenemos un draft internacional
20.720;22.720;MIGUEL;por el que Nahuel Miranda ya se ha creado
22.720;24.720;MIGUEL;un par de veces en los minutos previos
24.720;28.720;MIGUEL;porque es verdad que el reto es complicado, ¿vale?
28.720;33.720;MIGUEL;El reto es formar al mejor equipo del fútbol europeo
33.720;35.720;MIGUEL;en el siglo XXI,
35.720;37.720;MIGUEL;y el mejor equipo de la historia.
37.720;39.720;MIGUEL;Y el mejor equipo de la historia.
39.720;41.720;MIGUEL;Y el mejor equipo de la historia.
41.720;43.720;MIGUEL;Y el mejor equipo de la historia.
43.720;45.720;MIGUEL;Y el mejor equipo de la historia.
45.720;50.720;MIGUEL;En el siglo XXI, con varios requisitos, varias limitaciones.
50.720;52.720;MIGUEL;Un jugador por club
52.720;56.720;MIGUEL;y un jugador por país.
56.720;60.720;MIGUEL;En el país contamos dónde ha sido internacional
60.720;64.720;MIGUEL;y en el club contamos dónde ha jugado más partidos.
64.720;66.720;MIGUEL;Es decir, no podemos decir
66.720;69.720;MIGUEL;Cristiano Ronaldo es Sporting de Portugal.
69.720;71.720;MIGUEL;Ni Juve.
71.720;73.720;MIGUEL;Tendríamos que decir Real Madrid.
73.720;75.720;MIGUEL;Porque Leo Messi no valdría con el PSG
75.720;77.720;MIGUEL;solo con el FC Barcelona.
77.720;79.720;MIGUEL;En el caso de que algún jugador,
79.720;81.720;MIGUEL;que me parece complicado,
81.720;83.720;MIGUEL;Roy Neymar, imaginaos que
83.720;85.720;MIGUEL;donde más ha jugado es en el Santos,
85.720;87.720;MIGUEL;pues iríamos al segundo equipo.
87.720;89.720;MIGUEL;Sería el primer europeo.
89.720;91.720;MIGUEL;Creo que no hay ningún caso así,
91.720;94.720;MIGUEL;pero lo estaba pensando por el tema de Neymar.
94.720;96.720;MIGUEL;Y por si acaso...
96.720;98.720;ADRIAN;Pues me acabas de joder el 11.
98.720;100.720;ADRIAN;¿Sí?
100.720;102.720;ADRIAN;Sí, hombre, joder.
102.720;104.720;ADRIAN;¿Por qué?
104.720;106.720;ADRIAN;Porque Neymar entraba dentro de mis planes.
106.720;108.720;ADRIAN;Ahora, si contamos el primer europeo,
108.720;110.720;ADRIAN;ya es el Barcelona.
