start_sec;end_sec;speaker;text
0.000;5.120;MIGUEL;El otro día, Pizzarritas, hablamos de jugadores más bonitos que buenos.
5.560;7.040;MIGUEL;Hoy le damos la vuelta.
7.040;11.520;MIGUEL;Vamos con futbolistas más efectivos que estéticos.
20.120;22.080;MIGUEL;¿Qué pasa, Pizzarritas?
22.080;26.880;MIGUEL;Normalmente se suele decir eso de este jugador es más bonito que bueno,
26.880;28.920;MIGUEL;no es una crítica velada,
29.480;32.720;MIGUEL;pero hoy le vamos a dar la vuelta para hablar de esos futbolistas
33.000;38.040;MIGUEL;que quizás estéticamente, visualmente no nos llenan demasiado los ojos,
38.040;42.160;MIGUEL;no llenan demasiado los highlights, pero que son tremendamente buenos.
42.720;44.280;MIGUEL;Yo le he estado dando vueltas, chicos.
44.280;46.240;MIGUEL;Qué tal, Adri, Alex, Nao, ¿cómo estáis?
46.600;47.720;MIGUEL;Qué tal.
47.720;49.800;MIGUEL;Qué tal. Y me ha costado.
49.800;51.560;MIGUEL;Me cuesta ver.
51.560;55.320;MIGUEL;Es chungo, porque al final los que son buenos
55.360;59.240;MIGUEL;tienen cosas muy bonitas, por cualquier razón.
59.240;64.760;MIGUEL;O sea, un jugador que golpea muy bien el balón, un regateador, un gran portero.
64.920;67.280;MIGUEL;Es complicado coger casos,
67.800;74.120;MIGUEL;pero me ha salido una lista chula que, si os parece, inauguro con el jugador
74.120;76.680;MIGUEL;que primero me vino a la mente.
77.080;78.760;MIGUEL;Pedro Rodríguez.
79.200;84.360;MIGUEL;Pedro era un jugador que no te llenaba visualmente, era rápido.
84.360;88.600;MIGUEL;Sí, pero tenías que descifrarle, tenías que entender cómo jugaba,
89.000;90.440;MIGUEL;entender su valor.
90.440;94.160;MIGUEL;Un jugador luego que ha hecho muchas cifras sin tener ningún
95.080;97.560;MIGUEL;como se dice en Estados Unidos, signature move, ninguna jugada.
97.960;102.240;MIGUEL;Y me parece ese ejemplo perfecto de ser mucho más bueno que bonito.
102.480;104.680;ALEX;Y encima vigente. Claro.
104.680;109.800;MIGUEL;Yo esto lo considero un elogio, lo considero un elogio, porque creo que a Pedro,
110.160;112.040;MIGUEL;se le llegó a infravalorar por esto,
112.080;115.280;MIGUEL;porque no te entraba rápido por el ojo, aunque se le veía muy bueno.
116.040;118.480;NAHUEL;Tiene un signature move de Pedrito la frontal.
118.840;120.680;NAHUEL;Sí, sí, sí, sí.
121.720;125.280;ALEX;Ehh, en esa escuela.
125.680;130.680;NAHUEL;De esa escuela yo creo que es fácil tirar del hilo y salen unos cuantos.
130.680;133.400;ALEX;¿A qué llamáis escuela? Escuela Canarias.
133.400;135.320;NAHUEL;Delantero esforzado, delantero esforzado.
135.320;138.120;ALEX;Yo, bueno, yo tiraba por cantera a Barça,
138.160;142.360;ALEX;porque a mí me con esto que has comentado de Pedro me viene a la cabeza.
142.440;146.120;ALEX;Yo creo nuestras primeras sensaciones quizá cuando salió Cuenca.
147.600;149.760;MIGUEL;Pero Cuenca era al revés.
149.760;152.080;MIGUEL;Cuenca era más bonito que bueno, no?
152.080;154.280;ALEX;Yo yo yo creo que Cuenca bonito.
154.280;156.880;ALEX;La guardiola, no? Yo creo que Cuenca bonito.
157.800;159.280;ALEX;No vamos a ver.
159.280;161.440;NAHUEL;Hay jugadores que no son ni bonitos ni buenos.
161.480;163.880;ALEX;Claro, claro. Cuando salió era bueno.
163.880;167.240;ALEX;Ostras, fue titular en aquel Barça durante bastante tiempo.
167.880;170.600;NAHUEL;Bueno, durante un tiempo dijimos oye, Cuenca existe.
171.840;173.000;MIGUEL;Guardiola dijo que no era bonito.
173.000;174.960;ALEX;Creo que hay nombres mejores. Creo que hay nombres.
174.960;175.880;ALEX;No, bueno, sí, sí.
175.880;177.720;ALEX;Yo no, no, este no estaba en mi lista.
177.720;179.880;ALEX;He dicho que a raíz de lo que has comentado.
179.880;182.440;MIGUEL;¿Quieres que hablemos de Jeffren?
182.440;183.480;MIGUEL;No.
184.920;187.120;ADRIAN;Yo tengo, venga, salto yo, salto yo el mío.
187.120;190.360;ADRIAN;El el mejor que tengo de la lista.
191.960;197.200;ADRIAN;Es verdad, es verdad que ha tenido detalles preciosos en su carrera.
197.480;198.720;MIGUEL;Te lo adivino.
199.400;200.360;ADRIAN;¿Quién es?
200.360;201.760;MIGUEL;F.M.
203.160;205.200;ADRIAN;No, no, no.
205.200;206.680;ALEX;¿Quién es F.M.?
206.680;208.280;MIGUEL;Ferland Mendy.
208.280;208.720;MIGUEL;No, no.
208.720;211.680;MIGUEL;Creía que estaba hablando de las ruletas de Ferland Mendy en salida balón.
211.680;213.240;MIGUEL;Ferland Mendy es más bueno que bonito.
213.240;214.760;MIGUEL;Este es un ejemplo clarísimo.
214.760;216.680;ADRIAN;Yo veo a uno muchísimo mejor.
216.680;219.080;ADRIAN;Hablamos de uno de los mejores de siempre.
220.920;224.520;ADRIAN;Fuera del área, el tipo se trastabella siempre.
224.520;226.520;ADRIAN;No es un delantero bonito,
226.600;228.920;ADRIAN;pero es que se la lleva siempre que lo intenta.
229.920;231.200;ADRIAN;Luis Alberto Suárez.
232.840;233.840;ADRIAN;Bueno.
233.840;235.560;ADRIAN;Es mucho más bueno que bonito.
235.560;236.840;MIGUEL;Estoy de acuerdo.
236.840;237.800;MIGUEL;No es...
237.800;240.120;MIGUEL;Claro, tiene mucha más técnica.
240.840;243.960;ADRIAN;Las definiciones, sí, ojo, he dicho que tiene definiciones supertores.
243.960;244.960;ADRIAN;Pero estoy de acuerdo.
244.960;247.280;ADRIAN;Pero es un delantero bonito.
248.840;250.240;NAHUEL;Estoy de acuerdo.
250.240;251.800;NAHUEL;Pero hay jugadores...
253.440;255.480;NAHUEL;Bastante más feos.
255.880;258.480;ALEX;Yo iba a decir que Luis Suárez...
258.480;259.480;ALEX;Claro.
259.840;260.840;ALEX;Ahora...
260.840;262.640;ALEX;O sea, Luis Suárez de ahora...
263.640;266.600;ALEX;Es bueno, porque sigue siendo bueno en la definición,
266.600;270.280;ALEX;pero si tenía algo de preciosidad, la ha perdido.
271.640;274.520;MIGUEL;A ver, yo creo que el Suárez más bonito
274.520;276.960;MIGUEL;era el inicial.
276.960;278.440;MIGUEL;Esto se suele decir siempre, ¿no?
278.440;283.200;MIGUEL;Pero a mí era cuando jugaba en banda o en los años en Liverpool.
283.240;285.520;MIGUEL;Yo estoy de acuerdo con lo que dice, porque...
287.240;290.640;MIGUEL;No era muy fino o no parecía muy fino.
290.640;293.200;MIGUEL;Esto se habla más de parecer que otra cosa, pero era tremendo.
293.200;294.720;NAHUEL;Se escapa un control.
294.720;297.360;NAHUEL;No tiene una carrera especialmente fea.
297.360;299.760;NAHUEL;O sea, una carrera de forma de correr, quiero decir.
299.760;302.000;NAHUEL;La carrera de Suárez...
302.000;305.000;ALEX;Y ese recorte de este...
306.160;307.760;NAHUEL;Pero es que lo va a hacer toda la vida.
307.760;308.760;NAHUEL;Es buenísimo.
308.760;311.360;NAHUEL;Claro, pero ese recorte el que dices tú...
311.360;313.160;MIGUEL;Pero es feo, no es feo.
313.200;315.960;MIGUEL;Pero es mucho más bueno que bonito.
315.960;317.960;MIGUEL;Mira, mira.
317.960;319.160;MIGUEL;Un ejemplo.
319.160;320.840;MIGUEL;Pero es que... ¿Qué decir?
320.840;321.840;MIGUEL;No te parece...
321.840;325.200;MIGUEL;Un jugador más bueno que bonito, creo que hay muchos en general.
325.200;326.400;MIGUEL;Pero no te parece que aquí...
326.400;328.120;MIGUEL;Pero tiene que ser especialmente feo.
328.120;329.920;MIGUEL;Vale. O sea, no te encaja Haaland,
329.920;331.960;MIGUEL;porque lo tenía también a Haaland.
331.960;333.640;ALEX;Yo tengo un nombre polémico.
333.640;335.240;NAHUEL;Haaland es... Haaland...
335.240;338.880;ALEX;Un poco más que Suárez, claro, es que...
338.880;340.760;ADRIAN;Un poco más que Suárez.
340.760;342.960;MIGUEL;Nao, tu ejemplo perfecto.
343.000;345.640;ADRIAN;La escuela uruguaya se presta mucho a este vídeo.
345.640;346.640;ADRIAN;Sí, es verdad.
346.640;347.640;ADRIAN;Eso es verdad.
347.640;351.640;ADRIAN;El amigo Federico Albert de Ipeta también es mucho más bueno que bonito.
352.640;355.200;NAHUEL;Yo creo que es fácil ir al jugador sacrificado.
