start_sec;end_sec;speaker;text
0.000;6.600;MIGUEL;Hoy queremos ponernos pizarritas de verdad para analizar cómo está evolucionando el fútbol en
6.600;12.120;MIGUEL;relación a los esquemas, a los dibujos, los sistemas en estos últimos años. Siempre decimos
12.120;18.800;MIGUEL;que lo que funcionaba ayer no funciona hoy, mañana ya ni te cuento. Así que hay que estar
18.800;24.000;MIGUEL;constantemente dándole vueltas a qué hacer con el balón, cómo ocupar el espacio y de qué manera
24.000;31.080;MIGUEL;puedes ir minimizando, al contrario. A partir de esta premisa hay varias cositas que queremos
31.080;35.680;MIGUEL;comentar hoy acerca de las nuevas tendencias en los esquemas y dibujos de los equipos,
35.680;41.280;MIGUEL;porque chicos cada vez tiene menos sentido esto que hacemos los periodistas de analizarlo como
41.280;45.720;MIGUEL;una foto fija. Entiendo que claro en el periódico tienes que dibujar de alguna manera el esquema,
45.720;50.080;MIGUEL;que cuando nosotros estamos hablando aquí no podemos entrar en muchos detalles por
50.080;57.320;MIGUEL;menorizados, pero decir que este equipo juega en 4-3-3 en fases sí y en fases no. Y cada vez
57.320;62.040;MIGUEL;contiene menos información. Siempre ha sido aquello de que los esquemas son números de teléfono,
62.040;66.400;MIGUEL;que no sirven para tanto, que los jugadores se mueven, pero es que cada vez sirven para menos.
66.400;70.920;ADRIAN;Sí, es cierto, es cierto porque cambia mucho el rol y las posiciones de los futbolistas durante
70.920;75.200;ADRIAN;los partidos. Nos gustan más o menos los entrenadores, cada vez tienen más mano en los
75.200;78.840;ADRIAN;encuentros y más lo hemos visto ahora con los parones de hidratación, donde muchos aprovechan
78.840;83.040;ADRIAN;para dar instrucciones. Yo recuerdo una frase muy buena de Mendy Libar en una rueda de prensa diciendo
83.040;89.240;ADRIAN;no, no, a ver, en el fútbol dos o tres inventan, el resto copiamos. Dos o tres van innovando y van
89.240;93.800;ADRIAN;proponiendo nuevas cosas y el resto vamos subiéndonos esas tendencias. Y creo que colocamos a analizar
93.800;97.600;NAHUEL;ahora es un poquito esto. No, es que yo creo que últimamente se ha ido un paso más allá,
97.600;101.200;NAHUEL;porque siempre se ha hecho aquello de oye, oye, esto no es un futbolín. Claro. Evidentemente.
101.200;105.680;NAHUEL;¿Cuántas veces ha dicho un entrenador aquello de defender el lado débil? Oye, el lateral izquierdo,
105.680;109.680;NAHUEL;cuando te van a poner un centro desde la derecha, se mete por dentro. Claro, claro, oye,
109.680;112.920;NAHUEL;hace raro que te van a rematar. No se va a quedar en el bando del otro. Claro, se queda, se queda
112.920;117.440;MIGUEL;pegado. Pero lo que vamos a analizar va a ser un pasito. Sí, porque yo me acuerdo, cuando era pequeño,
117.440;123.160;MIGUEL;claro, evidentemente, leía mucho el diario marca, el único diario, el único diario, nada, leía también
123.160;129.920;MIGUEL;el diario as. Y me hacía mucha gracia ver como, claro, para analizar a un equipo se pintaba el
129.920;134.240;MIGUEL;dibujo. Las flechitas. Vamos a imaginar un 4-4-2, claro, los laterales siempre iban para arriba. Claro, claro.
134.240;138.560;MIGUEL;La flechita del lateral para arriba. Pero la de para abajo. Pero realmente sí que era un 4-4-2
138.560;145.280;MIGUEL;bastante académico, defendía así y atacaba así. Luego los jugadores se mueven 4-3-3, más o menos,
145.280;150.640;MIGUEL;entendíamos que muchas veces antes, hace 20 años, un lateral subía, el otro cerraba un poquito,
150.640;155.320;MIGUEL;pero cerraba como lateral, no cerraba como central, que es de lo que en parte vamos a hablar ahora.
155.320;161.120;MIGUEL;Digamos que antes de decir el esquema sí que aportaba información, ahora menos. Porque claro,
161.120;165.880;MIGUEL;todo esto que estamos contando hay que contextualizarlo un pasito más diciendo que
165.880;172.640;MIGUEL;vivimos en la era de las presiones. Esto lo marca todo. Todo. La mayoría de partidos están
172.640;179.600;MIGUEL;determinados por la salida de balón y la presión alta. Además de ambos equipos en muchos encuentros.
179.600;186.040;MIGUEL;Esta evolución que ahora vamos a comentar no deja de ser hija de este contexto, que a su vez es hija
186.040;190.240;MIGUEL;de unos cambios en el reglamento en su día, con el tema de la cesión atrás, la evolución de los
190.240;195.640;MIGUEL;porteros, de los defensas, la evolución del físico de los futbolistas. Bueno, bastantes cosas
195.640;203.560;MIGUEL;complejas. Ahora, por ir entrando ya en materia, chicos, tenemos equipos que salen de atrás con
203.560;210.240;MIGUEL;tres futbolistas. Esta es una clara respuesta a los equipos que han ido presionando. ¿Qué sucede,
210.240;216.920;MIGUEL;Adri? Que hemos visto una evolución a la hora de formar esos tres jugadores al inicio, en construcción,
216.920;221.800;MIGUEL;que se suele decir. ¿Por qué se juega con tres? Porque normalmente los equipos rivales defienden
221.800;226.000;MIGUEL;en 4-4-2 y para tener superioridad numérica, donde el rival tiene dos, yo necesito tres,
226.000;231.520;MIGUEL;aunque lo pierda por delante. ¿Qué sucede? Que hace 15-20 años hablábamos de la salida a la
231.520;236.520;MIGUEL;volpiana, que era los dos centros que se abrían y el medio centro bajaba. Esto lo vimos en muchísimos
