start_sec;end_sec;speaker;text
0.000;6.160;MIGUEL;Hoy vamos a hablar aquí en la pizarra de Quintana de los jugadores más infravalorados
6.160;12.240;MIGUEL;de la Liga española. Un tema que siempre da mucho que hablar, que siempre es muy interesante,
12.240;19.760;MIGUEL;porque claro, ¿qué es estar infravalorado? Claro. Depende de cada uno, de sus entornos,
19.760;24.920;MIGUEL;de sus expectativas. Yo os he pedido, chicos, que me hayáis hecho caso, eso ya no lo sé,
24.920;29.160;MIGUEL;pero yo os he pedido que busquéis nombres que estén infravalorados en la opinión pública,
29.160;33.200;MIGUEL;porque al final nosotros hablamos mucho entre nosotros y va a ser difícil sorprendernos,
33.200;37.200;MIGUEL;porque no es que tengamos criterios parecidos, salvo en el caso de Adrián Blanco y Servidor,
37.200;42.560;MIGUEL;pero sí que hablamos tanto de los mismos nombres que es raro que nos vaya a sorprender. Pero es
42.560;48.240;MIGUEL;verdad que luego hablas con amigos, quizás no tan futboleros, hablas en otros foros de debate y
48.240;53.640;MIGUEL;demás, y hay jugadores que pasan muy bajo el radar y que nos llama la atención porque vienen
53.640;58.560;MIGUEL;destacando. Buscamos a esos jugadores, básicamente. Yo ayer para hacer el ejercicio fui abriendo
58.560;63.000;ADRIAN;plantilla a plantilla los 20 equipos de la liga para no saltarme a nadie, para que no se me olvida
63.000;68.520;ADRIAN;a nadie. Y me costó encontrar. Me costó encontrar jugadores que diga, está infravalorado. Quizás
68.520;72.240;ADRIAN;sea porque estamos muy acostumbrados ya a verlo. Estamos demasiado acostumbrados. Claro, sabemos
72.240;76.240;MIGUEL;cómo juegan, sabemos qué pueden dar. A mí me cuesta más encontrar jugadores sobrevalorados.
76.240;80.240;MIGUEL;También es un ejercicio complejo. Es un ejercicio que haremos, pero me cuesta más. Si queréis,
80.240;85.720;MIGUEL;empiezo con el nombre que me llevo a decir, oye, vamos a hacer esto, que tampoco es… Esto lo
85.720;90.240;MIGUEL;hacemos recurrentemente. Cada dos, tres años siempre hacemos algo de este estilo. Para mí fue
90.240;96.480;MIGUEL;Sergi Altimira. O sea, viendo Altimira… No digo que esté infravalorado entre la afición del Betis
96.480;101.440;MIGUEL;porque creo que la consideración es buena, pero creo que es un jugador que juega realmente bien
101.440;108.680;MIGUEL;al fútbol, que entiende muy bien la posición, que puede encajar con diferentes perfiles y me parece
108.680;113.800;MIGUEL;ese típico centro campista del fútbol español con una gran percepción del entorno, con una gran
113.800;118.800;MIGUEL;salida de balón, que sabe jugar, que quizás no tiene el físico más dominante y por eso quizás
118.800;123.960;MIGUEL;tampoco llama tanto la atención. No es un jugador de highlight, pero es que juega muy bien al fútbol
123.960;129.520;MIGUEL;y me parece que está infravalorado claramente. El tema es que yo creo que Altimira… Bueno,
129.520;133.880;NAHUEL;para empezar es un fichaje de perfil muy bajo. Sí, el remontó en su día. Además, muy claro.
133.880;140.920;NAHUEL;Lo hemos robito a la Getafe. No llega a debutar con la Getafe. Sí, sí. Y yo creo que sobre todo en
140.920;146.200;NAHUEL;Altimira ha habido un crecimiento reciente, que creo que es lo que hace que esté infravalorado. Creo
146.200;149.560;NAHUEL;que su temporada pasada es muy buena, que ha empezado muy bien esta, pero que es un jugador
149.560;155.200;MIGUEL;que tampoco decía mucho. Sí, pero a mí por lo general es que me gusta. Me parece un jugador… Es
155.200;160.560;NAHUEL;que lo que hace lo hace todo bien. Yo creo que pasa mucho que cuando tú ves a un jugador por primera
160.560;165.280;NAHUEL;vez, más o menos haces una idea del jugador y esa idea es muy difícil moverla. Y creo que Altimira
165.840;171.200;ADRIAN;ha tenido un crecimiento que nos planteemos para cambiarla. Exactamente. No obstante,
171.200;175.680;ADRIAN;el rey de esta categoría es un compañero suyo que juega en el Real Madrid-Bolombia.
175.680;180.320;ADRIAN;Altimira. Sí. ¿Quién? El rey de los infravalorados de la Liga, Saito Ruival.
180.320;189.360;ADRIAN;¡Uy! Sí, sí. Me gusta. Ruival está muy infravalorado. Sí, sí. Sí. Yo creo que todo el mundo
189.360;192.800;MIGUEL;tiene muy claro que Ruival… Ha aprendido a valorar su rol de equipo. Eso estoy agrediendo.
192.800;198.240;ADRIAN;A mí me parece mejor futbolista de lo que… Hombre, un jugador que es capaz de hacer las
198.240;202.760;ALEX;posiciones y que te rinde bien. Claro. Pero yo creo que no es una cosa… Yo creo que no es
202.760;207.000;NAHUEL;una cosa de Ruival como tal, sino de ese tipo de futbolista. Estoy de acuerdo. De ese tipo de rol.
207.000;212.840;NAHUEL;El perfil. Que no valoras el jugador que dices no es un fenómeno, no son fogos artificiales
212.840;217.080;NAHUEL;constantes, pero que siempre te aporte y siempre te complementa lo que ya tienes en el equipo. Yo
217.080;221.520;NAHUEL;creo que por ahí hay muchos jugadores de ese perfil que tenemos que infravalorar. Suéltate
221.520;227.040;ALEX;un hombrecito. Alex de Llano. Yo tengo uno que además es internacional con España. Pero me
227.040;230.720;ALEX;parece que está… Y está infravalorado. Para mí sí. ¿Ha sido recientemente internacional?
230.720;235.120;ALEX;Recientemente. Es que yo en mi lista tenía Jorge de Frutos antes de ir con la selección. Pues no,
235.120;240.200;ALEX;el mío no era Jorge de Frutos. El mío es Daniel Vivian. Me parece que está muy infravalorado
240.200;246.480;ALEX;respecto a su rendimiento. Es el central y capital general de la mejor defensa de la temporada pasada
246.480;252.200;ALEX;en la Liga y creo que ninguno te lo hubiera incluido quizá en el mejor once de la temporada
252.200;258.160;MIGUEL;pasada en la Liga. ¿Sabes lo que influye en esto muchas veces con el espectador sobre todo que vea
258.160;263.680;MIGUEL;a Vivian? Pues si eres madridista pues en el Madrid Athletic. Lo ves también contra el Barça,
263.680;268.840;MIGUEL;a ver si tal. Pero lo ves en pocos partidos. Que con la selección ha tenido altos y bajos.
268.840;272.960;MIGUEL;Sí. Ha tenido momentos de lucimiento. Bueno, como hay torparedes quizá, ¿no? Que es un poco…
273.160;278.640;MIGUEL;Pero ha tenido otros momentos más complicados. Pero a mí me parece un nombre…
278.640;282.320;ADRIAN;Yo creo que la Vivian ya está más… Pero yo no sé si entre nosotros.
282.320;287.440;ALEX;Yo creo que es entre nosotros. Yo creo que… O sea, ahora mismo te vas a…
287.440;293.280;ALEX;Si tú preguntas. Dame una lista de los… Dime, los cinco mejores centrales de la Liga.
293.280;296.800;ALEX;Casi ninguno te meta Vivian. Sí, estoy de acuerdo.
296.800;300.000;NAHUEL;Yo te diría que del Athletic, que creo que tiene unos cuantos,
300.640;305.760;NAHUEL;el más infravalorado me parece a Iñaki Williams. Que creo que es la eterna constancia,
