start_sec;end_sec;speaker;text
0.000;5.800;MIGUEL;Ayer se completó el primero de los cuatro parones de selecciones de esta temporada,
5.800;10.840;MIGUEL;que debe llevarnos evidentemente a una Copa del Mundo que arranca en nueve meses.
10.840;16.120;MIGUEL;Queda bastante todavía, pero ya estamos en temporada de Mundial y sabemos lo que condiciona
16.120;19.560;MIGUEL;eso a futbolistas, entrenadores, equipos, etc.
19.560;24.760;MIGUEL;Es el momento perfecto para inaugurar una nueva sección aquí en la pizarra de Quintana,
24.760;29.920;MIGUEL;el Power Ranking del Mundial 2026, con el que vamos a ordenar parón a parón a nuestras
29.920;33.880;MIGUEL;diez grandes favoritas de cara al Mundial.
33.880;38.600;MIGUEL;Ya hacemos en nuestro canal de YouTube, en Pizarritas, un Power Ranking del Fútbol Europeo.
38.600;42.200;MIGUEL;Aquí medimos resultados, por supuesto, pero vamos un poquito más allá.
42.200;47.280;MIGUEL;Niveles, sensaciones de cara al Mundial, a sabiendas de que todavía hay muchas selecciones
47.280;48.800;MIGUEL;que no están clasificadas.
48.800;51.080;MIGUEL;Pero bueno, vamos haciendo ya nuestra quiniela.
51.080;54.800;ADRIAN;Sí, y quizá este primero tenga alguna sorpresita.
54.800;55.800;ADRIAN;¿Tú crees?
55.800;58.760;ALEX;No sé, yo creo que hay alguna selección ahora que la gente igual no espera.
58.760;63.560;ALEX;A mí hay una selección que creo que está baja, que la vi ayer, llevaba tiempo sin verla
63.560;64.560;ALEX;y me gustó.
64.560;67.240;MIGUEL;Yo estoy contento con el top 10 que nos ha salido.
67.240;69.480;MIGUEL;Yo creo que hay una selección que no debería estar.
69.480;70.480;MIGUEL;Vale.
70.480;74.280;MIGUEL;Vamos ya con el ranking porque estamos sin mucho tiempo, no nos vamos a meter a la sección
74.280;78.800;MIGUEL;clasificada, ya le iremos comentando y ya lo iremos actualizando parón a parón.
78.800;83.760;MIGUEL;No estaba lo de Cabo Verde tampoco en la escaleta ahí, me lo acabas de soltar.
83.760;84.760;MIGUEL;Es que nos ha clasificado Cabo Verde.
84.760;85.760;MIGUEL;Tarjeta amarilla, tarjeta amarilla.
85.760;87.600;MIGUEL;Vamos con el ranking.
87.600;95.800;MIGUEL;En décima posición hemos querido situar a una selección que no tiene una buena racha,
95.800;99.640;MIGUEL;pero que antes de la Copa América pintaba realmente bien.
99.640;103.160;MIGUEL;Yo sigo creyendo que es una de las 10 favoritas a ganar el Mundial.
103.160;105.840;MIGUEL;Es la selección uruguaya.
105.840;107.640;NAHUEL;No, no, no debería estar.
107.640;110.040;NAHUEL;Es imposible que gane Uruguay en Mundial.
110.040;111.240;NAHUEL;Pero más allá del contra agafe.
111.240;112.240;NAHUEL;Es imposible.
112.240;113.240;NAHUEL;Pero en el ranking.
113.240;114.600;NAHUEL;No puede estar, no puede ganar Uruguay.
114.600;115.600;NAHUEL;Pero más allá del contra agafe.
115.600;116.600;NAHUEL;No puede estar.
116.600;117.600;NAHUEL;¿Está mal Uruguay?
117.600;118.600;NAHUEL;¿Tú es la que no querías que estuviera?
118.600;123.480;NAHUEL;No, no, es que de hecho, candidata clara a la primera ronda fuera.
123.480;126.680;NAHUEL;Es lo que viene pasando últimamente, ¿pero crees que va a volver a pasar?
126.680;130.840;NAHUEL;Eso es mentira, pero yo creo que ya está, no ya está, se acaba Uruguay.
130.840;135.640;MIGUEL;Vale, voy a ir al fútbol entonces, de Giano, Nau, o sea, Adri.
135.640;140.000;ALEX;Yo tengo una sensación con la selección uruguaya que es, creo que por las imágenes
140.000;144.280;ALEX;que hemos podido ver de la celebración de la clasificación, se han limado las perezas
144.280;148.360;ALEX;entre cuerpo técnico y grupo, que eso parecía bastante relevante.
148.360;153.000;ALEX;Parecía un poco guerra civil, acordáos en el primer parón de 2024.
153.000;156.240;ALEX;En definitiva, parecía que se iban a complicar mucho las cosas.
156.240;159.440;ALEX;Ha ganado tres partidos desde la Copa América, eso sí que es verdad.
159.440;162.200;ALEX;Ha conseguido la clasificación un poco… ¿Tres de cuántos?
162.200;163.200;ALEX;De 12.
163.240;165.600;ALEX;Le ha faltado media convocatoria.
167.000;170.200;ALEX;Y en 2025 ha ganado dos partidos, ha empatado dos y ha perdido dos.
170.200;171.800;ALEX;O sea, ha hecho todo perfecto.
171.800;174.400;ALEX;Para mí, sensaciones que creo que pueden ir a mejor.
174.400;177.040;ALEX;Una vez ya se ha pasado ese proceso de clasificación…
177.040;178.040;ALEX;Te liberas.
178.040;180.040;ALEX;… y que creo que es una selección que puede llegar bien.
180.040;181.040;ALEX;Ahora bien.
181.040;185.360;ALEX;No me parece que tampoco tenga un jugador individual que le alce.
185.360;189.520;MIGUEL;A mí es la selección que más me… Evidentemente, por eso está décima.
189.560;193.360;MIGUEL;Aquí podía notar diferentes selecciones, pero yo sigo creyendo.
193.360;195.760;MIGUEL;Es que me gustó mucho Uruguay antes de la Copa América.
195.760;198.240;MIGUEL;Esos partidos contra Brasil, contra Argentina.
199.040;202.320;MIGUEL;Luego es Uruguay, tiene esa tradición, hay que ganarla.
203.320;206.000;MIGUEL;Bueno, yo creo que tiene que estar aquí, pero no.
206.000;207.880;MIGUEL;Con muchos equipos.
207.880;212.240;ADRIAN;Quiero creer en esta selección uruguaya, pero creo que si a alguien le sienta bien,
212.240;216.000;ADRIAN;llegar fuera de este power ranking al Mundial, es la selección uruguaya.
216.000;217.360;MIGUEL;También te digo, está décima.
217.400;220.800;ADRIAN;Bueno, bueno, pero que igual el Nadal Mirandas ha descrémado el 15º puesto.
220.800;221.800;ADRIAN;No, no, no.
221.800;222.800;ADRIAN;A lo Bajini.
222.800;223.800;NAHUEL;No creo que…
