start_sec;end_sec;speaker;text
0.000;4.920;MIGUEL;Pues una vez ha finalizado el parón de selecciones de octubre creo que es el momento perfecto
4.920;9.940;MIGUEL;de que actualicemos nuestro power ranking de selecciones de cara al mundial. Ya sabéis
9.940;15.700;MIGUEL;este ranking que hacemos para establecer el top diez de favoritos de cara al próximo
15.700;21.780;MIGUEL;mundial. El último que hagamos pues será la semana previa al que arranque la competición.
21.780;26.500;MIGUEL;Eso hace que no haya mucho movimiento, ¿no? Los diez favoritos puede oscilar uno arriba,
26.500;30.940;MIGUEL;uno abajo, puede entrar una selección nueva que de hecho lo hace en este power ranking.
30.940;36.140;MIGUEL;Pero vamos, es algo que hacemos para evaluar un poquito cómo están las grandes selecciones
36.140;41.620;MIGUEL;e ir también nosotros posicionándonos en cuanto a los candidatos, los favoritos y los
41.620;48.340;MIGUEL;outsiders. Bueno, yo puse el ranking, lo he estado hablando con vosotros, en WhatsApp
48.340;54.380;MIGUEL;no hubo ninguna queja. Sí, hubo alguna queja. Sí, bueno, modificaciones que hemos tenido.
54.400;60.160;MIGUEL;Pero este ranking… ¡Va Misa! Bueno, a ver, a ver. No, no, no. A ver, que exista este ranking
60.160;65.140;NAHUEL;es una bacalá. Perdón. Pero bueno, ¿por qué? O sea, quiero decir… ¿por qué? Yo no…
65.140;69.460;MIGUEL;Primera… No, no, no. Voy a contextualizar. En este ranking no está Uruguay. No, no,
69.460;73.100;NAHUEL;no. Da igual, da igual. No, no, no. No está Uruguay. Bueno, Uruguay que ha ganado sus
73.100;77.220;NAHUEL;dos partidos del parón. Bueno, no está Uruguay. No está Uruguay. O sea, quiero decir, no
77.220;80.100;MIGUEL;tiene… Uruguay que ha ido con reservas. O sea, a mí me dijo un analista en el pasado
80.100;84.500;MIGUEL;Power Ranking que es la selección, creo que favorita número 40 de cara al mundial.
84.500;87.220;NAHUEL;Entonces, yo le he hecho caso. No, no, no. Sí, sí. Me da igual que esté Uruguay o
87.220;91.140;NAHUEL;no. O sea, quiero decir, eh… Yo lo que digo es, mola que nos juntemos aquí, hablemos
91.140;94.660;NAHUEL;de varias selecciones con candidatas, pero oye, el ranking como tal, oye, pues tiene
94.660;97.540;NAHUEL;la validez que tiene. O sea… Hombre, pero como todos los rankings…
97.540;100.700;MIGUEL;Es el de Rizar Rita. … como el balón de oro que… Bueno, es que
100.700;103.620;MIGUEL;luego la gente se hace cruces viendo el… Como cruces.
103.620;107.700;MIGUEL;Pero así se entretienen. Mientras se hacen cruces con un ranking, no hacen otras cosas
108.700;113.700;ALEX;Si nosotros estamos haciendo una labor social… Claro, claro. Es un mal menor. Entiéndelo
113.700;119.780;ALEX;como un mal menor, Nau. Bueno… Pero espero que la décima hayas entendido
119.780;123.500;MIGUEL;nuestra manera de entender. Ah, se le pasa a Daynoa. No os lo he pasado
123.500;125.060;ALEX;a vosotros. Sí, sí, sí. Vale, vale.
125.060;129.060;MIGUEL;Sí, sí. Está como me habéis dicho que esté. Porque te voy a dar un dato con la novena.
129.060;134.820;MIGUEL;Vale. Espérate, espérate. Bueno, el caso es que se cae Uruguay del top 10 y entra en
134.820;139.860;MIGUEL;décima posición… ¿Quién entra?
139.860;142.660;MIGUEL;Entra en décima posición… ¿Quién entra?
142.660;144.820;MIGUEL;La selección Colombia. Oh, ¿eh?
144.820;148.420;MIGUEL;Cafetera. Victoria 0-4 ante México, 0-0 ante Canadá.
148.420;151.060;NAHUEL;Muchas… Ah, que Colombia no ha ganado los dos partidos.
151.060;155.140;NAHUEL;Ah, que Colombia no ha ganado. O sea, es que no se ha convencido mucho.
155.140;159.460;MIGUEL;No, no, no, no. Increíble, increíble. Un dato importante que creo que infravaloramos
159.460;163.460;MIGUEL;en el ranking en septiembre. Eliminó Uruguay en la pasada Copa América.
163.700;164.740;ADRIAN;Claro. Eso pesa.
164.740;167.940;MIGUEL;Eso pesa… Claro, es con carácter retroactivo.
167.940;171.140;NAHUEL;Claro, que estaba en la reacción de Nauve. Sí, sí. Os pegaron un rejón por no meter
171.140;173.540;NAHUEL;a Colombia y habéis querido ser políticamente correctos.
173.540;175.540;MIGUEL;Estamos de acuerdo. Colombia tiene buena pinta.
175.540;178.020;ALEX;Daniel Muñoz es muy guantilateral. Sí, sí, sí.
178.020;181.140;ALEX;No jugó contra Canadá. Por eso se me agrada, claro.
181.140;183.140;ALEX;Canadá muy buena selección también. Hombre…
183.140;185.620;ALEX;Cristiano Río, el treinador, el excentador de League United…
185.620;187.620;ALEX;¿Qué dato tenías? Sí, la canadíña.
187.620;189.620;ALEX;No, es de la novena. Ah, es de la novena.
189.620;192.260;MIGUEL;Es de la novena. Pero decimos que la novena y décima selección
192.260;196.100;MIGUEL;en este top va a ir oscilando también. De hecho, tú proponías…
196.100;198.100;MIGUEL;Yo iba a decir proponías. Proponías.
198.100;199.300;MIGUEL;Proponías. Proponías.
199.300;203.300;ALEX;A Noruega, que poco… Hombre, para mí Noruega viene a hacer
203.300;205.780;ALEX;un parón prácticamente perfecto. No, no, no. Sí, impecable.
205.780;208.740;ALEX;Pero meterla en el top 10 de favoritas al Mundial…
208.740;212.500;ALEX;Sí, bueno, mejor perder una selección que solo ha ganado uno de los dos partidos que ha disputado en el parón.
212.500;214.020;ALEX;¿No? Sí, lo proponiste tú.
214.020;214.820;ALEX;¿Lo de Colombia? Sí.
214.820;217.300;ALEX;Yo proponía a Noruega. Yo proponía a Noruega.
217.300;220.420;MIGUEL;Vale. Vamos a meter a Noruega que no ha jugado a un Mundial desde el 98.
220.500;222.500;MIGUEL;Claro. Y que, de hecho, no está clasificada todavía.
222.500;224.500;ALEX;Bueno, pero está. Colombia sí que está.
224.500;226.500;ALEX;Está semi clasificada. Pero Colombia sí que está.
226.500;227.460;MIGUEL;Sí, ¿no? Sí, sí.
227.460;229.460;MIGUEL;¿Está bien el dato? Sí, pero…
229.460;231.460;MIGUEL;¿Tercera Colombia? No, pero Miguel…
231.460;232.980;MIGUEL;¿Tercera Colombia? Miguel.
232.980;234.980;MIGUEL;Y claro, entonces… Miguel…
234.980;237.780;MIGUEL;Primera fue Argentina. Segunda Uruguay.
237.780;239.780;ADRIAN;No. ¿Cómo?
239.780;241.780;ADRIAN;Segunda Ecuador. Segunda Ecuador, claro.
241.780;243.780;ALEX;Es que tenía un Jermet y Ecuador.
243.780;246.820;ALEX;El problema de Ecuador es que está pasando por debajo del radar porque no tiene gol.
246.820;248.820;ALEX;O sea, es la selección…
248.900;250.900;ALEX;Eh… 0-0.
250.900;252.900;ADRIAN;Ha marcado en la mitad de los goles que Colombia en la fase de clasificación.
252.900;254.900;MIGUEL;Besos. Por eso.
254.900;256.900;MIGUEL;Novena posición baja…
256.900;258.900;MIGUEL;No, no baja un puesto. Se queda igual.
258.900;260.900;MIGUEL;Se queda igual. Que en el pasado
260.900;262.900;MIGUEL;power ranking del mes de septiembre…
262.900;264.900;MIGUEL;Marruecos. Victoria por 1-0
264.900;266.900;NAHUEL;ante Bahrein. El partido amistoso.
266.900;268.900;NAHUEL;1-0 ante la República del Congo. Claro.
268.900;270.900;NAHUEL;Partidos que te cambian. Te digo una cosa.
270.900;272.900;NAHUEL;El concepto que hay de Marruecos. Marruecos es…
272.900;274.900;ALEX;Arrasado en su grupo de clasificación.
274.900;276.900;ALEX;Marruecos es la selección…
276.980;278.180;ALEX;¿Qué?
