start_sec;end_sec;speaker;text
0.000;17.560;MIGUEL;¿Qué pasa, pizarritas? Hoy nos mojamos con los pronósticos de la Champions League, aunque lo vamos a hacer solo de la fase de Ligilla, porque ya cuando esté la fase de Ligilla concluida y tengamos un poquito el bracket con la repesca y demás, ya nos mojaremos con todo el cuadro, pero es un poquito absurdo.
17.560;22.200;MIGUEL;Creo que lo que hicimos el año pasado de dar ya una final sin saber por qué lado del cuadro va a ir cada uno.
22.200;27.000;MIGUEL;Así que hoy nos mojamos con la fase Ligilla, top 8, top 24 y mejores futbolistas.
27.000;30.360;MIGUEL;Adrien Blanco, Alex De Llano, Nahuel Miranda, ¿estáis preparados?
30.360;31.960;ADRIAN;Vamos a ello, ¿qué tal chicos?
31.960;32.960;ALEX;Siempre ready.
32.960;33.960;ALEX;¿Qué tal?
33.960;39.480;MIGUEL;Hoy creo que, o sea, creo que esto es bastante más fácil, este ejercicio es bastante más sencillo que el de la Liga.
39.480;40.480;MIGUEL;¿Lo quiero decir?
40.480;41.480;MIGUEL;Sí.
41.480;42.480;ALEX;¿No?
42.480;45.480;ALEX;A ver, a ver, a ver.
45.480;55.960;MIGUEL;El año pasado, el año pasado de los 24, creo que acertamos todos 22, 23, creo que el Brest no lo acertamos, que nos dejamos al Girona fuera, el RLIC, creo.
55.960;60.520;NAHUEL;Bueno, pero si este formato venía a cambiar, ¿no?
60.520;62.880;NAHUEL;Estas fases de grupos que no...
62.880;64.880;NAHUEL;Pues ya empieza el relato.
64.880;67.880;NAHUEL;Los clásicos, vuelven los clásicos.
67.880;68.880;NAHUEL;Ha vuelto la campeona.
68.880;71.880;NAHUEL;Me he traído mi camiseta del Inter, tal.
71.880;79.400;MIGUEL;A ver, lo primero que os voy a preguntar, porque os voy a pedir luego el top 8 en orden, ¿vale?
79.400;82.200;MIGUEL;Y el top 24 sin orden, porque es un poco bajar.
82.280;85.920;MIGUEL;Pero os quiero preguntar, ¿qué español situáis primero?
85.920;93.520;MIGUEL;Entiendo que algunos se meterán en el top 8, pero ¿qué español Adrián Blanco quedará mejor clasificado en la fase de Ligilla?
93.520;95.400;MIGUEL;Solo fase de Ligilla.
95.400;97.520;MIGUEL;El Fútbol Club Barcelona.
97.520;98.760;MIGUEL;¿Ales de Llano?
98.760;100.520;NAHUEL;El Fútbol Club Barcelona.
100.520;102.440;MIGUEL;¿Nauel Miranda?
102.440;105.040;NAHUEL;Eh...
105.040;107.560;NAHUEL;Lleva al Barça yo también, pero no...
107.560;109.720;NAHUEL;Es que esto...
109.760;113.520;MIGUEL;A ver, yo también llevo al Barça porque ya dije en su momento...
113.520;117.520;NAHUEL;Entre Barça y Real Madrid tiene el sorteo más sencillo del Barça.
117.520;119.520;MIGUEL;Eso es lo que pensamos nosotros.
