start_sec;end_sec;speaker;text
0.000;11.560;MIGUEL;¿Qué pasa, pizarritas? Ya estamos un viernes más de esta nueva temporada. Ya sabéis, sin intro, con el Q&A tradicional picadito, variadito y de nuevo siendo cuatro.
11.560;19.840;MIGUEL;Así que, Adrián Blanco, bienvenido, aunque bueno, ya sé que está en los últimos vídeos en la pizarra, ya lo sabemos, pero esto ya sabéis que funciona de otra manera.
19.840;27.560;ADRIAN;¿Qué tal, chicos? ¿Cómo estáis? Sí, vengo con camisetón, que con Xenacta, pereciosa camiseta del Celta de Vigo,
27.800;35.480;ADRIAN;cambiando el escenario y sin gafas pero con lentillas. Así que, temporada de cambios para Adrián Blanco en la 25-26.
35.480;42.760;MIGUEL;Un Adrián Blanco renovado, Alex de Llano y Nahuel Miranda son los de siempre. En el mejor sentido posible, pero bueno.
44.440;53.640;MIGUEL;Tenemos a Alex con una camiseta de fútbol de barro y un Nahuel Miranda. La carita que estáis viendo es porque
53.640;63.720;MIGUEL;está peleándose con la tecnología, con la evolución realmente. O sea, ahora mismo le gustaría estar viviendo en 1840, por ejemplo.
63.720;67.960;MIGUEL;¿Qué tal, Nahuel? ¿Cómo estás? Bien, bien, todo bien.
72.840;80.760;MIGUEL;No sabéis la pelea que ha tenido con el foco el pobre, está todavía peleándose, pero tranquilo, Nahuel, que tengo buenas preguntas de fútbol
80.920;89.480;MIGUEL;para que hablemos con nuestros pizarritas. Me dice siempre Alexander que os recuerde que si no estáis suscritos al canal, mal.
89.480;96.680;MIGUEL;Y si todavía no seéis en redes sociales, peor. Somos pizarritas en Instagram y en arroba pizzarritas en TikTok.
96.680;102.760;MIGUEL;La primera cuestión de David Francisco dice así.
103.080;112.920;MIGUEL;Equipo que más ganas tenéis de ver después de ver el último día de mercado, ya sea por fichajes o inscripciones.
112.920;118.840;MIGUEL;Que me gusta que diga esto también porque abre el abanico para Sevilla o Getafe, por decirlo de alguna manera.
118.840;124.760;MIGUEL;¿Cuál es ese equipo que después de ese lunes de cierre de mercado, Adri, más ganas te den de ver ahora?
124.760;131.800;ADRIAN;A ver, el más evidente es el Villarreal, por el mercado que ha hecho, por la cantidad de fútbolistas que ha incorporado,
131.800;135.000;ADRIAN;porque es un mercado muy ambicioso y porque me apetece mucho.
135.000;143.480;ADRIAN;Pero te diré que tengo mucha curiosidad por ver cómo utiliza Corberán Adam Juma y Adam Ramazzani en la punta de Valencia.
143.480;147.160;MIGUEL;Pero Adri, eso no es el último día de mercado.
147.160;150.680;ADRIAN;Bueno, pero es que yo no estuve cuando la analizasteis. Entonces quiero analizarla ahora.
150.680;152.680;ADRIAN;Quiero hablar de esos dos movimientos.
152.680;161.240;ALEX;Claro, Adri. Y como naciste en el 95, pues nada, analiza, no sé, al Milan de Saki si te apetece.
161.320;164.840;ADRIAN;Si queréis algún día hablamos de ello.
164.840;168.520;ADRIAN;Pero a ver, es que si no, el más evidente, el más obvio es el Villarreal.
168.520;170.520;ADRIAN;Creo que vamos a decir los cuatro al mismo, ¿no?
170.520;174.600;ALEX;No, mira, yo lo tengo muy claro. Yo tengo ganas de ver al Girona.
175.640;177.640;NAHUEL;Era mi nombre, era mi nombre.
177.640;180.440;NAHUEL;El Villarreal que ha fichado mi caotache que está muy bien, pero...
180.440;181.720;MIGUEL;Claro, o sea...
181.720;190.440;MIGUEL;A ver, para Adrián Blanco el último día de mercado comprende desde más o menos el 1 de agosto al 1 de septiembre, que es el tiempo en el que ha estado fuera.
190.440;193.480;MIGUEL;Ha sido un día muy largo.
193.480;195.480;MIGUEL;A ver, yo tengo muchas ganas de ver al Girona.
195.480;199.480;MIGUEL;Luego vamos a hablar del equipo de Michel en particular con los últimos nombres.
199.480;203.800;MIGUEL;Pero bueno, eso del Ivakovic, lo de Brian Hill...
203.800;207.960;MIGUEL;Creo que Banat es algún día antes, pero todavía no ha jugado.
207.960;213.480;MIGUEL;Bueno, yo tengo ganas de ver también la Real Sociedad con el tema de Jangel y Soler.
214.440;218.920;ALEX;Sí, desde luego. Para ver cómo ese centro del campo evoluciona, si crece...
218.920;223.800;ALEX;Lo de Jangel vamos a tener que esperar bastante para verlo.
223.800;233.800;ALEX;Pero bueno, sí que hay ganas de sobre todo ver cómo Soler vuelve a la Liga española después de haber recibido la cara más amarga del fútbol internacional.
234.040;239.080;ALEX;Sí, en el París Saint Germain y en el West Ham, pues es que le ha pasado de todo.
239.080;244.520;ALEX;Ha visto pasar por allí a muchos entrenadores y menos fútbol del que probablemente esperaba.
244.520;246.520;NAHUEL;¿Nau, cuál sería tu equipo?
246.520;250.520;NAHUEL;Yo diría el Getafe. A ver si Bordas puede hacer más de dos cambios a algún partido.
250.520;252.520;NAHUEL;Se ha marchado mucho además.
252.520;253.640;NAHUEL;Yo creo que...
253.640;255.640;NAHUEL;Yo creo que a Adri yo voy con el Getafe.
255.640;257.640;NAHUEL;Yo también, yo también.
257.640;260.600;ADRIAN;El Getafe hizo un fichaje y no lo conocemos.
260.600;262.600;ALEX;Pero inscripciones.
263.400;267.400;ADRIAN;Ya las conocíamos, ya sabemos quiénes eran. A Javi Muñoz ya lo conocemos.
267.400;269.400;ADRIAN;A Abkar también.
269.400;271.400;ADRIAN;Cero minutos.
271.400;275.400;NAHUEL;Es que a Abkar se va a llevar una tibia de sombrero en el minuto 10 del próximo partido.
275.400;277.400;NAHUEL;Que no sé contra quién es.
277.400;283.400;MIGUEL;Oye, no puede ser que el primer sobregreo haya sido de Adrián Blanco.
283.400;285.400;MIGUEL;No puedo hablar de Valencia.
285.400;287.400;MIGUEL;Vale, pues nada.
288.200;294.200;MIGUEL;A mí también me apetece lo del Getafe porque es verdad que muchos de los jugadores, salvo Abu Kamara,
294.200;296.200;MIGUEL;pero los jugadores que han sido inscritos les conocemos.
296.200;302.200;MIGUEL;Pero también sabemos que con Bordalas, lo que conocemos antes de Bordalas y después de Bordalas,
