start_sec;end_sec;speaker;text
0.000;7.040;MIGUEL;Suegra o cuñado, nuestro formatín tóxico de cabecera favorito.
7.040;8.040;ADRIAN;Vale mucho.
8.040;10.480;MIGUEL;Una pregunta, dos opciones y una sola respuesta.
10.480;11.480;MIGUEL;La peor.
11.480;12.480;MIGUEL;Vale.
12.480;13.480;MIGUEL;La que menos nos gusta.
13.480;14.480;MIGUEL;Bien.
14.480;15.480;MIGUEL;La que menos nos convence.
15.480;16.480;MIGUEL;Sí.
16.480;17.480;MIGUEL;Es el reverso negativo de papá-mamá.
17.480;18.480;MIGUEL;Básicamente.
18.480;19.480;MIGUEL;Vale.
19.480;22.000;MIGUEL;Para todo aquel que nos esté escuchando por primera vez, viendo en YouTube por primera
22.000;25.320;MIGUEL;vez, nosotros te lo facilitamos de esa manera.
25.320;28.520;MIGUEL;Para que entendáis un poquito la dinámica, he escogido una primera pregunta que os va
28.520;29.520;MIGUEL;a encantar.
29.520;31.040;MIGUEL;Es de Victor Carras.
31.040;34.560;MIGUEL;Todas estas preguntas nos las dejan en Instagram en Arrobas somos pizarritas, donde te recomendamos
34.560;35.560;MIGUEL;que nos sigas.
35.560;36.560;MIGUEL;Si lo eres, somos.
36.560;38.560;MIGUEL;La pregunta de Victor es…
38.560;39.560;MIGUEL;No.
39.560;41.600;MIGUEL;Si quieres mejorar tu carrera…
41.600;42.600;MIGUEL;Ok.
42.600;43.600;MIGUEL;…¿qué es peor?
43.600;45.600;MIGUEL;¿Irte a Arabia o al Manchester United?
45.600;46.600;MIGUEL;Me encanta.
46.600;49.600;NAHUEL;Claramente al Manchester United es peor.
49.600;50.600;NAHUEL;Sí, peor.
50.600;51.600;NAHUEL;Vas a jugar menos.
51.600;52.600;NAHUEL;El club es un desastre.
52.600;53.600;NAHUEL;Clima.
53.600;56.400;NAHUEL;En Arabia te van a pagar muy bien.
56.400;57.400;NAHUEL;Vas a jugar.
57.480;59.880;NAHUEL;Tu transfer igual no llega.
59.880;62.080;NAHUEL;Bueno, esto es si te vas haciendo las cosas mal.
62.080;63.080;NAHUEL;Bueno, bueno…
63.080;65.080;NAHUEL;Que también hemos hablado poco de…
65.080;67.080;NAHUEL;Con el United igual tampoco llega.
67.080;68.080;NAHUEL;Claro.
68.080;69.080;NAHUEL;Bueno, es que esa es otra.
69.080;70.080;NAHUEL;Y…
70.080;71.080;NAHUEL;Empate.
71.080;75.600;NAHUEL;Llenas el buche y ya tu próximo paso puede ser la mejor decisión a nivel deportivo.
75.600;76.600;NAHUEL;O sea, tú…
76.600;77.800;NAHUEL;Arabia todos los días del año.
77.800;78.800;NAHUEL;Salvo United.
78.800;80.800;NAHUEL;O sea, United es mucho peor.
80.800;82.520;NAHUEL;United es mucho peor.
82.520;84.000;ALEX;Yo United es peor, sí.
84.000;86.000;ALEX;San Juan es en la Premier, pero…
86.600;87.600;ALEX;A ver, a ver si juegas.
87.600;88.600;ALEX;Sí, pero es que es un bajón.
88.600;89.600;ALEX;O sea, es un bajón.
89.600;92.600;ADRIAN;A nivel deportivo, peor United.
92.600;93.600;ADRIAN;Yo no así diría a Arabia.
93.600;96.600;ADRIAN;A ver, si te dan igual los derechos humanos, pues claro, puedes regir.
96.600;97.600;ADRIAN;Bueno, claro, sí.
97.600;99.600;ADRIAN;Si te dan igual los derechos deportivos…
99.600;100.600;MIGUEL;Claro, claro.
100.600;101.600;ADRIAN;Depende de cómo lo empuques.
101.600;102.600;MIGUEL;Rafa Ascote.
102.600;109.600;MIGUEL;¿Qué es peor, la venta de Uche o la de Dodi Luquevacchio?
109.600;110.600;ADRIAN;Uf…
110.600;111.600;MIGUEL;Luquevacchio.
111.600;112.600;ADRIAN;¿Por qué?
113.200;117.200;ADRIAN;Fue futbolista diferencial marcando muchos goles la temporada pasada.
117.200;118.200;NAHUEL;Vale.
118.200;119.200;NAHUEL;A mí me parece mucho peor la de Uche.
119.200;120.200;NAHUEL;Yo estoy con…
120.200;121.200;NAHUEL;O sea, Uche…
121.200;126.200;NAHUEL;Bueno, escuchábamos a Toni Muñoz haciendo el balance de mercado en la presentación
126.200;132.200;NAHUEL;de Abu Kamara y le preguntaba ¿no podías haber encontrado algo más para sustituir a
132.200;133.200;NAHUEL;Uche?
133.200;135.200;NAHUEL;Y dice que lo vendimos el último día de la 10 de la noche.
135.200;138.200;NAHUEL;El Sevilla ya tenía perfiles en plantilla para sustituir a Luquevacchio.
138.200;140.200;NAHUEL;De peor nivel, por supuesto.
140.200;142.200;NAHUEL;No tiene un duro el Sevilla.
142.200;148.800;NAHUEL;Pero está la situación contemplada y creo que en la medida de lo posible bien resuelta.
148.800;152.800;NAHUEL;El Getafe ni siquiera le encuentra a Uche cuando llevan todo el verano queriendo venderlo.
152.800;153.800;NAHUEL;Igual el reemplazo es Abkar.
153.800;155.800;ADRIAN;Se lo inventa a Bordalas.
155.800;157.800;ADRIAN;Se empieza a jugar en largos…
157.800;158.800;ADRIAN;Onayu.
158.800;159.800;ADRIAN;Algo parecido y ya está.
159.800;161.800;MIGUEL;O Da Vinci, puesto a se inventar.
161.800;162.800;ALEX;Sí, claro.
162.800;165.800;ALEX;Yo diría la de Uche, sí, también.
165.800;166.800;ALEX;Vale.
166.800;168.800;ALEX;Igual el recambio puede ser el primo de Dejano.
168.800;169.800;ALEX;Claro.
169.800;170.800;ALEX;Que es liso.
170.800;171.800;MIGUEL;¿Eh?
172.400;173.400;MIGUEL;Ahí está.
173.400;177.400;ALEX;Se da en la mano.
177.400;179.400;ALEX;Momento muy radiofónico, efectivamente.
179.400;181.400;MIGUEL;Creo que a veces la radio tiene que pasar a un plano secundario.
181.400;183.400;MIGUEL;Como los derechos humanos en Arabia.
183.400;185.400;MIGUEL;David Esturillo, 10.
185.400;186.400;MIGUEL;¿Qué es peor?
186.400;190.400;MIGUEL;¿El vestuario del Valladolid 24-25 o el del Mallorca 25-26?
190.400;192.400;MIGUEL;Esto es canela en rama.
192.400;193.400;MIGUEL;Porque es verdad.
193.400;196.400;MIGUEL;Todavía los jugadores del Mallorca no se han peleado de forma pública.
196.400;198.400;MIGUEL;Pero sabemos que ha pasado de forma privada.
198.400;199.400;MIGUEL;Hombre, gracias.
199.400;204.400;MIGUEL;Ayer habíamos en Puzzel antes de que Luis Pérez y la Tasa se zumbasen.
204.400;208.400;ALEX;Luis Pérez y una entrevista en verano de tres horas explicando el tema.
208.400;209.400;NAHUEL;Sí.
209.400;210.400;NAHUEL;¿Molulu?
210.400;212.400;NAHUEL;Lo del Valladolid parece mucho peor.
212.400;214.400;NAHUEL;Sí, porque además…
214.400;217.400;NAHUEL;El Mallorca, aún peleándose, saca 18 puntos.
217.400;218.400;NAHUEL;¿Qué decir?
218.400;219.400;MIGUEL;Ya, pero…
219.400;221.400;MIGUEL;Es que también tiene más.
221.400;224.400;MIGUEL;El vestuario del Valladolid, aunque utilizas el poder de la amistad,
224.400;226.400;MIGUEL;también la plantilla es la que es.
226.400;228.400;MIGUEL;Y también se puede ir a hacer una broma.
228.400;230.400;NAHUEL;Que siguen siendo los centros muy justos.
230.400;232.400;NAHUEL;Bueno, pero estamos hablando de esto también.
232.400;234.400;NAHUEL;Que el vestuario es peor.
234.400;236.400;NAHUEL;A nivel de equipo estoy de acuerdo.
236.400;240.400;NAHUEL;Se juntan y juegan más o menos bien los del Mallorca.
240.400;242.400;MIGUEL;A nivel de vestuario, yo digo Mallorca.
242.400;244.400;MIGUEL;Igual estoy sobrereaccionando a lo actual.
244.400;245.400;MIGUEL;Yo creo que sí.
245.400;248.400;ALEX;Es que el Valladolid ya tenemos la confirmación de, primero,
248.400;251.400;ALEX;pelea vista por todo el mundo en cámara, descenso…
251.400;253.400;ALEX;Para mí, el Valladolid.
253.400;256.400;NAHUEL;De cierto, tenía preparado una anahuelada.
256.400;258.400;NAHUEL;Que es que tiene destino ya Enrique Silva,
258.400;261.400;NAHUEL;que es este chico que vino del Lyon para por hacer una vuelta.
261.400;263.400;NAHUEL;Hombre, sí, el lateral.
263.400;267.400;NAHUEL;Sí, ha acabado jugando en el Turanto Bus de Azerbaiyán.
267.400;269.400;NAHUEL;¿Es la final de visión de Azerbaiyán?
269.400;271.400;NAHUEL;Entiendo que sí.
271.400;274.400;NAHUEL;Está el fútbol a hacer y tirando la casa por la ventana.
274.400;275.400;MIGUEL;Ehh…
275.400;277.400;ADRIAN;Peor lo del Mallorca actual.
277.400;278.400;ADRIAN;Está cuarto.
278.400;279.400;ADRIAN;En primera.
279.400;280.400;ADRIAN;Esta temporada, sí.
280.400;281.400;ADRIAN;De cuatro.
281.400;284.400;ADRIAN;Aunque el nombre de Juanmi Latasa, insuperable.
284.400;285.400;ADRIAN;Y se dice poco.
285.400;287.400;ADRIAN;Ojo, balón de oro, Latasa.
287.400;288.400;ADRIAN;Porque no una cesión.
288.400;290.400;ADRIAN;Juan Miguel Latasa Fernández de Laíos.
290.400;291.400;ADRIAN;Superado.
291.400;292.400;ADRIAN;Nombre de torero, eh.
292.400;293.400;MIGUEL;Podría John Cuombre.
293.400;295.400;MIGUEL;Hombre, que gente con pasas.
295.400;297.400;MIGUEL;Pero lo toreo bastante.
297.400;299.400;MIGUEL;A ver, Rullog97.
299.400;300.400;MIGUEL;Rullog.
300.400;303.400;MIGUEL;¿El Liverpool Pre-Club o el Athletic Presimione?
303.400;304.400;MIGUEL;¿Qué era peor?
304.400;306.400;MIGUEL;El Athletic Presimione.
306.400;309.400;MIGUEL;Y eso que vosotros no lo habéis vivido con SuperFlight.
309.400;311.400;MIGUEL;El Liverpool Pre-Club pelea una Premier.
311.400;314.400;MIGUEL;Ya, bueno, pero el Athletic Presimione también gana un Europa League.
314.400;317.400;MIGUEL;A veces se olvida un poquito los años de Kike.
317.400;318.400;MIGUEL;Dimensión es diferente.
318.400;320.400;NAHUEL;Que no, no, yo estoy de acuerdo.
320.400;321.400;NAHUEL;El Atlético Madrid…
321.400;324.400;NAHUEL;El Liverpool Pre-Club pasó Suárez por ahí, eh.
324.400;326.400;ALEX;Bueno, y Torres por Atlético.
326.400;329.400;ALEX;A ver, es que claro, ¿el Pre dónde se establece?
329.400;330.400;MIGUEL;¿En el año anterior?
330.400;332.400;MIGUEL;No, yo creo que se refieren a…
332.400;335.400;MIGUEL;O sea, no es justo el año anterior, sino el ciclo anterior.
335.400;336.400;MIGUEL;La etapa anterior.
336.400;337.400;MIGUEL;La etapa anterior.
337.400;340.400;MIGUEL;O sea, no cien años de historia, pero no el día 1.
340.400;342.400;MIGUEL;Claro, es que se ha de establecerlo.
342.400;345.400;NAHUEL;Si íbamos a los años de Torres, Torres también pasó por el Liverpool.
345.400;347.400;NAHUEL;Y tenía un equipazo con Rafa Benítez.
347.400;348.400;NAHUEL;Ya, pero…
348.400;349.400;NAHUEL;O sea, tuvo…
349.400;352.400;NAHUEL;Realmente el Liverpool tiene cuatro o cinco años de ser un equipo nefasto.
352.400;353.400;NAHUEL;Pero no mucho más.
353.400;355.400;NAHUEL;Sí que no, que yo estoy de acuerdo con el Athletic.
355.400;357.400;MIGUEL;Es que la gente todavía se olvida.
357.400;361.400;MIGUEL;Yo entiendo que tú puedes cuestionar a Simeone y puedes ver ciertas historias.
361.400;363.400;MIGUEL;Y el club ha evolucionado y ha cambiado.
363.400;364.400;MIGUEL;Gracias a Simeone.
365.400;367.400;MIGUEL;Pero lo pre era muy duro, eh.
367.400;368.400;MIGUEL;Sí, sí.
368.400;369.400;MIGUEL;Muy duro.
369.400;372.400;MIGUEL;Nico Díaz, hablando de dureza, en clave Sevilla.
372.400;374.400;MIGUEL;¿Marcao o Niangshu?
374.400;375.400;ADRIAN;Buff.
375.400;376.400;ADRIAN;Niangshu.
376.400;378.400;ADRIAN;Niangshu porque ha jugado más.
378.400;379.400;MIGUEL;Marcao.
379.400;381.400;ADRIAN;Y porque le ha costado más pasta, ¿no?
381.400;383.400;MIGUEL;Bueno, pero Marcao bajó el sueldo.
383.400;385.400;MIGUEL;Marcao bajó el sueldo, Niangshu ha dicho que…
385.400;388.400;ALEX;La renovación de Marcao permitió escribir dos fútbolistas.
388.400;390.400;MIGUEL;Los partidos de Niangshu fueron demenciales.
390.400;393.400;NAHUEL;Niangshu todavía tiene un poco la esperanza y dice, bueno, a ver si con 28…
393.400;394.400;MIGUEL;Sí, claro.
394.400;395.400;MIGUEL;Marcao.
395.400;397.400;MIGUEL;A ver si algún día el niño se va de casa.
397.400;398.400;MIGUEL;Marcao maravillado.
398.400;401.400;MIGUEL;SamuRF18, de Sevilla a Valencia.
401.400;402.400;MIGUEL;¿Negredo o Cavani?
402.400;403.400;MIGUEL;Espera.
406.400;407.400;NAHUEL;¿Qué fue peor?
407.400;408.400;NAHUEL;Peor, Cavani.
408.400;409.400;NAHUEL;Te honra.
409.400;410.400;NAHUEL;Honor.
410.400;413.400;NAHUEL;Es que es muy bonito el gol de Negredo contra el Monaco.
413.400;417.400;NAHUEL;Luego Negredo hizo muchísimas cosas malas en Valencia para empezar a estar constantemente
417.400;419.400;NAHUEL;pasado de peso, pelearse con Nuno.
419.400;422.400;NAHUEL;Y aún así fue un fichaje, además…
422.400;426.400;NAHUEL;Si hubiera sido el Negredo del City, habría sido un fichaje, pero no estuvo nunca cerca
426.400;428.400;NAHUEL;de esa versión y el Valencia iba sobrado de nueves.
428.400;429.400;NAHUEL;Y aún así…
429.400;432.400;NAHUEL;La primera vuelta de Cavani no es mala.
432.400;434.400;NAHUEL;Pero claro, es que lo de la segunda fue terrible.
434.400;437.400;NAHUEL;El chico de Bocas Juniors lo vio claro.
437.400;438.400;MIGUEL;Sí, sí.
438.400;439.400;MIGUEL;Pobre.
439.400;440.400;MIGUEL;Javi Gonzado.
440.400;443.400;MIGUEL;¿Chimi en el Betis o Tecatito en el Sevilla?
443.400;445.400;NAHUEL;Chimi en el Betis.
445.400;446.400;NAHUEL;De acuerdo.
446.400;447.400;ALEX;Sí, Chimi en el Betis.
447.400;450.400;NAHUEL;Tecatito tiene el componente de la lesión, pero antes era un jugador importante.
450.400;455.400;MIGUEL;Es verdad que cobra más Tecatito, pero es que el Chimi transmite una negatividad en el Betis ya.
455.400;457.400;MIGUEL;Sale y igual soy yo, pero…
457.400;461.400;ALEX;¿Os acordáis la imagen aquella en la República Checa con los aficionados diciendo
461.400;466.400;ALEX;sí, sí, yo les digo que peleen a los jugadores y tal, como también echando un poquito de fuego al vestuario?
466.400;467.400;ALEX;No, no.
467.400;468.400;ALEX;Fue un fichaje extraño porque no encaja mucho con ese vestuario.
468.400;470.400;ALEX;Fue en invierno, ¿no? Fue en invierno.
470.400;471.400;ALEX;Sí, sí.
471.400;473.400;MIGUEL;Una semanita complicada para el chico.
473.400;474.400;MIGUEL;Le largan en Pamplona.
474.400;475.400;MIGUEL;Sí, sí.
475.400;476.400;MIGUEL;Kuko MH.
476.400;478.400;MIGUEL;Estás de fútbol en general, ¿vale?
478.400;482.400;MIGUEL;¿Qué es peor recibir gol en el 44, o sea, justo antes de tu descanso?
482.400;483.400;MIGUEL;O el psicológico.
483.400;485.400;MIGUEL;Sí, o en el 46, justo después. ¿Qué es peor?
485.400;487.400;NAHUEL;Bueno, yo en el 46 los querría matar a todos.
487.400;488.400;NAHUEL;Totalmente acuerdo.
488.400;490.400;MIGUEL;Y me parece que no puedes intervenir.
490.400;494.400;MIGUEL;Es verdad que emocionalmente el del 44 te deja un poquito bluff, pero el del 46…
494.400;495.400;NAHUEL;Te tira todo por los solos.
495.400;500.400;NAHUEL;No es un gol, pero la batallita de Mourinho con Balotelli en el Inter…
500.400;502.400;NAHUEL;Ah, sí, la de la tarjeta marina.
502.400;506.400;NAHUEL;… que creo que es, que solo tiene a Balotelli de nueve, se va con amarilla al descanso,
506.400;508.400;NAHUEL;se tiran los 15 minutos del descanso y dicen a él,
508.400;511.400;NAHUEL;Mario, no presiones. Si te dicen algo, no contestas.
511.400;514.400;NAHUEL;A la primera, pum, segundo amarilla y para afuera.
514.400;516.400;NAHUEL;Si sabes cómo me pongo, ¿pa' qué me invitas?
516.400;517.400;MIGUEL;Bueno, no tenía con qué cambiarlo.
517.400;519.400;MIGUEL;Sí, peor el 46.
519.400;521.400;MIGUEL;Es que normalmente se hizo lo contrario.
521.400;523.400;ALEX;Pero me parece un poco topiquero.
523.400;526.400;ALEX;No, pero es que el del 44 lo puedes solucionar medianamente.
526.400;528.400;ALEX;El del 46 ya, uf, hay que remar mucho.
528.400;533.400;MIGUEL;Carlos Comt. En el Real Madrid. ¿Qué fue peor, lo de Lucas Hilo o lo de Nuri Sahin?
533.400;537.400;MIGUEL;A nivel de excepción, en el Nuri Sahin, el Dortmund me volvió loquísimo.
537.400;541.400;MIGUEL;Me encanta ese Dortmund con Cagaua, Lucas Barrios, Lewandowski, Gotsi y tal.
541.400;543.400;NAHUEL;Muy duro meter aquí a Sahin.
543.400;545.400;NAHUEL;Joder. Yo creo que Lucas Silva mucho peor.
545.400;547.400;NAHUEL;Es que en el Nuri Sahin no es fan. Nada, pero…
547.400;549.400;NAHUEL;Noci. Pero Lucas Silva también…
549.400;551.400;NAHUEL;Es un poco como lo de Kaká también, que llega al lesionado.
551.400;553.400;NAHUEL;Lucas Silva también tiene el problema ese.
553.400;555.400;NAHUEL;De corazón. Lucas Silva…
555.400;558.400;NAHUEL;No ha tenido ni una sola temporada en el nivel de lo que fue en el Nuri Sahin.
558.400;560.400;NAHUEL;Sí, pero están preguntando en el Madrid.
560.400;562.400;ALEX;Quiero decir, no juega ninguno.
562.400;564.400;ALEX;Ocho partidos, tres titularidades.
564.400;566.400;ALEX;Lucas Silva. ¿Y Sahin?
566.400;568.400;ALEX;Sahin, espérate. De banda…
568.400;570.400;ALEX;De banda por ahí, sí.
570.400;572.400;ALEX;¿Por los dos? ¿Qué más da?
572.400;574.400;ADRIAN;Peor ha sido Reynier.
574.400;576.400;ALEX;Pues mira… No he mutado, ¿no?
576.400;578.400;ALEX;No, no llego a jugar.
578.400;580.400;ALEX;Te estoy hablando de Liga. Cuatro partidos de Liga.
580.400;582.400;ALEX;Nuri Sahin con el Madrid.
582.400;584.400;ALEX;Y dos del titular. Sahin.
584.400;586.400;ADRIAN;Lo de Sahin. ¿Tenemos gol de falta antes?
586.400;590.400;ADRIAN;Me suena. Es que me suena con camiseta de los detalles dorados.
590.400;592.400;MIGUEL;Los detalles dorados, ¿no?
592.400;594.400;ADRIAN;La temporada de la Liga de los récords.
594.400;596.400;ADRIAN;Es que también es igual.
596.400;598.400;ADRIAN;No recuerdo.
598.400;600.400;MIGUEL;Juega en Madrid. Que era complicado.
600.400;602.400;MIGUEL;Pero Nuri Sahin en el Dortmund era un escándalo.
602.400;604.400;ADRIAN;Entonces, si entra o…
604.400;606.400;ADRIAN;Vale. Cero goles.
606.400;608.400;ADRIAN;Nuri Sahin que jugó en el Liverpool Club también.
608.400;610.400;MIGUEL;Sí, exactamente. De ahí fue.
610.400;612.400;MIGUEL;Exactamente.
612.400;614.400;MIGUEL;Joel Hurtado.
