start_sec;end_sec;speaker;text
0.000;4.040;MIGUEL;Hoy, Pizarritas, hemos preparado un Q&A de lo más completo,
4.120;7.080;MIGUEL;ya que en estas últimas semanas estamos hablando mucho de Madrid,
7.160;8.400;MIGUEL;Barça y Atlético de Madrid,
8.480;11.760;MIGUEL;pues hoy nos vamos a centrar en los otros 17.
20.200;22.240;MIGUEL;¿Qué pasa, Pizarritas?
22.320;26.080;MIGUEL;Ya estamos aquí con un nuevo Q&A centrado en la Liga española
26.160;28.840;MIGUEL;a partir, básicamente, de la cuarta posición,
28.880;32.360;MIGUEL;porque, insisto, ya estábamos hablando mucho de Barça y Real Madrid,
32.440;35.080;MIGUEL;sobre todo de ellos dos, también habíamos hablado del tema Griezmann,
35.160;37.680;MIGUEL;habíamos hablado mucho de la Atleti en anteriores Q&A,
37.760;40.120;MIGUEL;y digo, bueno, vamos a centrarnos en el resto también,
40.200;42.840;MIGUEL;que son muy importantes aquí en nuestro canal.
42.920;45.600;MIGUEL;¿Qué tal, Adrián Blanco, Álex de Jan, Unauel Miranda, cómo estáis?
45.680;47.280;MIGUEL;¿Qué tal, chicos? Muy buenas.
47.360;48.440;MIGUEL;¿Cómo estamos?
48.520;49.800;MIGUEL;¿Qué tal? Muy buenas.
49.880;53.360;MIGUEL;¿Os parece bien la idea de preguntarles, primero,
53.440;54.840;MIGUEL;a los Pizarritas por otros temas
54.920;56.840;MIGUEL;y que sean ellos los que nos lancen los debates?
56.960;60.240;MIGUEL;Pues hoy vamos a hablar de Real Sociedad, de Sevilla, de Villarreal,
60.320;63.120;MIGUEL;del descenso, de cuestiones generales también bonitas.
63.200;64.280;MIGUEL;¿Os parece correcto?
64.360;65.880;NAHUEL;Siempre hablamos de todo, Miguel.
65.960;68.680;NAHUEL;Lo paso siempre... Hay alguno que llora, pero siempre hablamos de todo.
68.760;71.720;MIGUEL;No, no, no, pero fíjate, no ha sido nada...
71.800;73.880;MIGUEL;No he escuchado comentarios al respecto,
73.960;76.880;MIGUEL;pero sí que es verdad que me gusta, al final de cada semana,
76.960;79.440;MIGUEL;echar una vista atrás a lo que hemos hecho en el canal
79.520;81.520;MIGUEL;y, claro, al final, la Copa del Rey,
81.600;84.600;MIGUEL;la Champions con el Barça, la renovación de Griezmann.
84.680;88.960;MIGUEL;Ostras, estábamos haciendo demasiado de esos tres
89.040;92.080;MIGUEL;y me parece una bonita forma de compensarlo
92.160;95.080;MIGUEL;y sé que nuestros Pizarritas, que son la gran mayoría de Barça,
95.160;97.600;MIGUEL;María Atleti, también creen en nuestro contenido
97.680;98.920;MIGUEL;y en el contenido de la Liga española,
99.000;100.720;MIGUEL;así que sé que también van a dar like,
100.800;102.920;MIGUEL;porque, por ejemplo, la primera cuestión...
103.000;106.280;MIGUEL;Creo que es una cuestión interesante, de verdad, sí, al turrón.
106.360;110.040;MIGUEL;Adrian Blanco pregunta Gaucha Pastor.
110.120;113.720;MIGUEL;Teniendo en cuenta la política de fichajes del IMP,
113.760;117.800;MIGUEL;que sería algo bastante complejo de explicar, analizar...
117.880;121.920;MIGUEL;De hecho, me parece bastante atrevido llamarle política, ¿vale?
122.000;124.120;MIGUEL;Aunque solo sea por rentabilidad a futuro,
124.200;127.200;MIGUEL;no veis completamente obligatorio traer en propiedad
127.280;128.920;MIGUEL;a Enzo Barrenechea.
129.000;131.080;MIGUEL;Hay que recordar, Adri, que no hay opción de compra,
131.160;133.120;MIGUEL;como sí en el caso de Omar Sadik.
133.200;135.520;ADRIAN;Sí, hay que negociar por Barrenechea.
135.600;139.400;ADRIAN;A ver, sí, sería una grandísima opción para el Valencia,
139.480;142.080;ADRIAN;porque creo que está rindiendo muy bien
142.120;145.160;ADRIAN;y me parece un futbolista de nivel...
145.240;147.920;ADRIAN;Top, de nivel muy importante para el equipo.
148.000;150.920;ADRIAN;Pero, como es todo lo que es en Ameriton,
151.000;153.200;ADRIAN;como ya sabemos qué pasa con Peter Lin,
153.280;154.880;ADRIAN;ya veremos qué pasa en verano, pero sí,
154.960;157.360;ADRIAN;probablemente sería un gran acierto por parte de Valencia
157.440;159.720;ADRIAN;para quedarse al jugador, para sacar una plusvalía.
159.800;162.480;MIGUEL;¿De cuántos millones estamos hablando, Álex?
