start_sec;end_sec;speaker;text
0.000;4.320;MIGUEL;Aunque el Porto no ha hecho precisamente un gran Mundial de Clubs, más bien al contrario,
4.320;10.100;MIGUEL;ha dado cosita a verle, en sus filas tiene un pequeño gran genio que ha sido de lo más
10.100;19.180;MIGUEL;destacado de su campeonato. Se llama Rodrigo Mora, es del 2007, gran añada y mola mucho verle jugar.
19.180;33.460;MIGUEL;Tenemos que deciros, que ya llevábamos varios meses con ganas de hablar de Rodrigo Mora,
33.460;39.780;MIGUEL;no habíamos encontrado el momento hasta ahora, hasta esta fecha, justo tras la eliminación del
39.780;45.460;MIGUEL;Porto en el Mundial de Clubs, pero también justo antes de que se pueda mover en el mercado de
45.460;50.980;MIGUEL;fichajes, porque estoy convencido que muchos clubes no, porque que le puedan fichar hay
50.980;58.380;MIGUEL;pocos, pero dentro de esos 10 clubes el 80% tiene que tener el nombre de Rodrigo Mora,
58.380;62.220;MIGUEL;su rayada en amarillo, porque es ese tipo de genio por el que hay que apostar ahora,
62.220;70.300;MIGUEL;porque si no apuestas ahora y la apuesta sale buena, salvo cosas raras, no le puedes fichar.
70.300;76.940;ALEX;Yo he de decir una cosa y lo digo ya, para ya destaparnos las cartas. No te gusta Rodrigo Mora.
76.940;82.260;ALEX;No me entusiasma Rodrigo Mora, he de decir que además para el tipo de equipo que creo que
82.260;89.100;ALEX;económicamente se puede permitir su fichaje, PSG sería su mejor destino yo creo, pero Premier
89.100;94.940;ALEX;League me cuesta. Porque es pequeñito ¿no? No porque sea pequeñito, que yo creo que al final
94.940;103.700;ALEX;un jugador pequeñito David Silva la premisa adaptó fácilmente. Claro, o sea me parece que le falta
103.700;110.340;MIGUEL;algo de motor cuando sale del regate. Bueno, menos mal que no es una carrera de fórmula 1. Estoy de
110.340;116.420;MIGUEL;acuerdo, ahora vamos a hablar de las cosas de Rodrigo Mora, pero me bajas el sufle antes de
116.420;122.380;ALEX;haber mezclado los ingredientes. Espérate, yo he presentado un pequeño disclaimer que la gente
122.380;129.780;MIGUEL;debe conocer. Bueno, lo importante. Aquí todos sois muy Rodrigo Moristas. A mí me ha gustado menos
129.780;135.420;MIGUEL;en la revisión que en los highlights, gustándome mucho. Mira, pero eso es algo normal ¿no? No,
135.420;139.820;MIGUEL;porque con Franco Mastanto no me pasó al revés, que era una diferencia que quería hacer. O sea,
139.820;146.620;MIGUEL;yo a Franco Mastanto no le había visto y solo los highlights y bien, muy bien, pero tal, pero luego
146.620;152.020;MIGUEL;le di jugar y me encantó más. Sin embargo, Rodrigo Mora, o sea Mastanto es más guapo en persona ¿no?
152.500;157.260;MIGUEL;Muy bien tirada. Sí, sí, gana en directo. Y sin embargo, Rodrigo Mora es muy fotogénico,
157.260;161.380;MIGUEL;se saca partido en el perfil. Dicho lo cual, me parece que es un jugador del que tenemos que hablar
161.380;167.140;MIGUEL;y por eso estamos aquí, porque para empezar ha tenido un impacto estelar en el Porto, que es un
167.140;172.580;MIGUEL;equipo que como luego vamos a comentar, no le da nada a Rodrigo Mora. No, es verdad, y el impacto
172.580;176.420;ADRIAN;ha sido en cuestión de meses, porque él debuta en el mes de septiembre y pierde el primero en
176.420;181.340;ADRIAN;Europa League y después en Liga, aún con Víctor Bruno en el banquillo del Porto, marca su primer
181.340;185.940;ADRIAN;goal en la Liga portuguesa a finales del mes de octubre y no es hasta mediados de diciembre,
185.940;191.380;ADRIAN;diciembre de 2024, hace nada, cuando empieza a entrar ya con regularidad como titular en los
191.380;195.660;MIGUEL;planes del Porto. Es un camino bastante parecido al de João Félix en aquel año de la explosión con
195.660;201.300;MIGUEL;el Benziga, solo que en el caso de João hizo más cifras e hizo una web Europa League más resultona
201.300;206.900;MIGUEL;para que el Atlético de Madrid paga esos 127 millones porque formó parte del club de los engañados
206.900;211.100;ADRIAN;por João Félix como servidor. No ha pasado desapercibido el impacto que ha tenido en el
211.100;215.660;ADRIAN;Porto, ya ha ido convocado con Portugal Nations, no llegó a debutar con Roberto Martínez, pero
215.660;222.100;ADRIAN;bueno, ya estaba en la convocatoria de la Nations League y es un jugador que en la Youth League con
222.100;226.620;ADRIAN;el Porto en la temporada 23-24 hace siete goles, nueve partidos, es decir, que venía pisando fuerte
226.620;230.420;ADRIAN;ya en las categorías inferiores del Porto. Es uno de esos jugadores a los que ves llegar.
230.420;234.100;ADRIAN;Claro, y ha conseguido trasladar ese rendimiento que tienen las categorías inferiores al primer
234.100;237.940;ADRIAN;equipo de un Porto que ahora vamos a analizar como tú decías Quintana, que no le da nada,
237.940;243.260;MIGUEL;absolutamente nada. Diez goles, cuatro asistencias también comentaba que pertenece a una gran añada,
243.260;253.780;MIGUEL;la del 2007, siempre recordamos la del 87, que es la de Leo Messi, Luis Suárez, el Kun, Gonzalo
253.780;259.540;MIGUEL;Higuain, Gerard Piquet, Cesc Fábregas, esa gran generación del Barça, pero aparte hay muchos
259.540;268.260;MIGUEL;jugadores también en el mundo. Claro, en 2007 han nacido Lamín Llaval, Pau Cubarsí, Franco Mastantuono,
268.260;279.820;MIGUEL;Esteban, Kendri Páez y Rodrigo Mora. Cuidado, alguno de estos se caerá. De hecho, lo más normal es
279.820;284.460;MIGUEL;que dos o tres no lleguen a ser lo que prometen ahora porque si no es que prometen ser de estos
285.180;291.340;MIGUEL;cinco de los diez mejores jugadores del mundo. Pero mamma mía. Sí, sí, telita con lo que se viene con
291.340;295.940;ADRIAN;esta generación, dos de ellos españoles. Dos de ellos españoles, exactamente. Dos carnes de selección
295.940;299.340;MIGUEL;absoluta para muchos años. Y a otros ya lo vamos a ver aquí en la Liga Española como es el caso de
299.340;308.300;MIGUEL;Franco Mastantuono. Rodrigo Mora es un mediapunta, aunque en el sistema de Anselmi ha jugado de
308.300;314.140;MIGUEL;media punta, pero una media punta de dos. Sí, doble media punta. Exactamente lo que tiene que hacer
314.140;318.860;MIGUEL;a veces con Fabio Vieira, lo hemos visto en el Mundial de Clubes con Gabriel Veiga. Bueno, ha ido
318.860;324.540;MIGUEL;alternando ahí Anselmi, pero la clave es que es un futbolista de jugar entre líneas con un giro muy
324.540;328.460;MIGUEL;rápido y siempre con vocación de acelerar. Sí, incluso en el Mundial de Clubes hemos visto cómo
328.460;334.140;ADRIAN;segundo punta por detrás de Samu. Sí. Con quien me cuentan que tiene una gran relación. Mira,
334.140;339.260;ADRIAN;pues es importante para que mezquen bien. Claro, es que Mora tiene las letras de amor, entonces es
339.260;343.260;MIGUEL;fácil yo a ese momento. Mira, ya la has soltado. Sí, la habías pensado desde el principio y dices…
343.260;347.900;NAHUEL;A ver, cuéntale a la cual. Hay un sketch muy famoso de José María Listorti que no lo conocéis,
347.900;354.460;NAHUEL;pero yo os recomiendo que lo veáis. Estoy aquí yo recomendando dos cosas… Que luego os caen en saco
354.460;358.940;NAHUEL;roto, ¿no? Sí, sí, sí. Pero bueno, yo os recomiendo mucho a José María Listorti que tiene un sketch con
359.420;366.380;NAHUEL;esto. Ahora lo veo. Tú ves. La falta de respeto es tremenda. Es como eres complicado como amigo,
366.380;373.260;NAHUEL;Miguel, tío. No nos hace caso. Estoy aquí yo como recomendando de cosas como Rufián a Vito Quiles y
373.260;380.220;MIGUEL;tú sudando. Pues como Rufián de Vito Quiles. Total. Sí, a ver, es un juego que destaca por la calidad.
380.220;384.820;ADRIAN;De estos jugadores es que uno ve y entra rápido por el off. Sí, muy suave. Porque lo ves es diferente,
384.820;388.900;ADRIAN;es especial. Es un juego con mucho talento, con mucha habilidad técnica, que gira muy bien
388.900;393.540;ADRIAN;cuando recibe de espaldas, que sabe proteger muy bien la pelota. Un poco peonza. A veces gira un
393.540;398.260;ADRIAN;poco de más, ¿no? Sí, pero como no tiene la velocidad punta, que antes destacaba Álex porque
398.260;401.940;ADRIAN;no tiene una gran zancada, al ser pequeñito… Es verdad que la utiliza como recurso. Es que gira
401.940;406.340;MIGUEL;una vez, inicia la conducción, como ve que no se va a imponer, gira otra vez. Gira otra vez y le
406.340;411.420;ADRIAN;hacen la falta. Muchas veces consigue sacar así y rascar faltas para darle metros al porto. Me parece
411.420;415.500;ADRIAN;un jugador bastante ingenioso en el tercer final del campo. Es un jugador que va bastante lanzado
415.500;421.060;ADRIAN;porque cuando recibe en zona de tres cuartos no da un pase de más, sino que rápidamente levanta
421.060;424.980;ADRIAN;la cabeza y si puede filtrar el paseo, filtra y si puede buscar por terreno, mejor. Porque luego…
424.980;430.820;ALEX;El gol al Agli, por ejemplo. Sí, eso es. Y ahí es verdad que se vieron parte de sus cualidades,
430.820;436.700;ALEX;¿no? Tanto del giro como del movimiento rápido de pies y luego, sobre todo, bastante facilidad
436.700;440.980;ALEX;para encontrar el gol, que creo que es lo más sorprendente en esta temporada. Me gusta que
440.980;445.180;MIGUEL;destaque es lo de velocidad de pies porque es verdad. O sea, es verdad que no es un jugador
445.180;450.100;MIGUEL;súper potente y que encima, como es liviano, cada vez que va el choque palma, claro. Sí, es que…
450.100;455.460;MIGUEL;Pero es muy rápido de pies. O sea, es un futbolista que en esos espacios reducidos es capaz de tocar
455.460;461.140;MIGUEL;varias veces la pelota o de cambiar de dirección antes de que el defensa haya elegido por dónde ir.
461.140;466.540;ADRIAN;Es un metro sesenta y ocho, Rodrigo Morá. Que a la misma altura de Messi. Ah, pues mira, seguramente
466.540;472.380;ADRIAN;será más veloz de mente para salir de esas situaciones, imaginar rápido dónde puede estar
472.380;476.260;ADRIAN;la solución porque en el choque es verdad que sufre. Y no os sorprende, chicos, que hablando de
476.260;481.140;ALEX;Rodrigo Morá, como estamos hablando, me apunta imaginativo, resolutivo… El perfil izquierdo siempre.
481.140;486.620;ALEX;Sí, el perfil izquierdo, resolutivo, etcétera. … y lo hace dentro. ¿Sea más goleador que asistente?
486.620;491.220;ALEX;O sea, porque el perfil Rodrigo Morá… No tiene mucho que ver aquí el equipo. Estoy de acuerdo,
491.220;495.980;MIGUEL;el perfil Rodrigo Morá te lleva a que sea ese futbolista genial que te filtra balones. Es
495.980;501.460;MIGUEL;Martíno de Garport, por citar un ejemplo. Sí. Pues es que aquí mi sensación es que está
501.460;505.500;MIGUEL;condicionado por el equipo porque muchas veces es que tiene que bajar a recibir muy abajo. Sí, sí.
505.500;510.820;MIGUEL;Demasiado. Porque el Porto ha echado mucho de menos a Nico González. Y luego tiene que trasladar la
510.820;515.420;MIGUEL;pelota arriba porque también perdió a Wondersong Galeno al comienzo del año. Cierto. Que era ese
515.420;519.020;MIGUEL;jugador de conducción, de desborde… Differencial, sí, sí. … que te añadía un poquito. Y es que
