start_sec;end_sec;speaker;text
0.000;6.400;MIGUEL;¿Qué pasa, Pizarritas? Hoy es viernes y no es un viernes cualquiera porque hoy hemos venido
6.400;13.040;MIGUEL;perfectamente uniformados y bellísimos, esto ya lo digo yo, pero bueno, imagino que vosotros pensaréis lo mismo
13.040;19.640;MIGUEL;con las nuevas equipaciones de Pizarritas, Bay, Gambéa, ¿qué tal Adrián Blanco, Alés de Llano, Nahuel, Miranda, cómo estáis?
19.640;21.040;MIGUEL;¿Qué tal chicos, muy buenas?
21.040;22.400;MIGUEL;¿Qué tal, cómo estamos?
24.520;26.320;NAHUEL;Qué complicado es empezar así.
26.360;33.000;MIGUEL;Sí, la verdad es que los comienzos son siempre difíciles y mira que hay alguno que es particularmente duro.
33.000;39.960;ADRIAN;Bellos, Quintana, bellos estamos siempre, pero hoy en pantalla hay más bello de la habitual.
39.960;46.800;MIGUEL;Es que mira ese bigotito que se asoma por encima de la P de Pizarritas.
46.840;56.680;ALEX;Chicos, yo lo siento porque no podéis expresar vuestra hombría simplemente quitándoos la camiseta,
56.680;67.360;ALEX;si no tenéis que hacer más cosas, pero los hombres normalmente, los machos, el macho ibérico tiene pelo en el pecho.
67.360;70.440;NAHUEL;No sé cómo de macho eres, pero ibérico eres.
70.440;75.360;NAHUEL;Oye, que refresca un poquito en Madrid, pero eso de ponerte la térmica para grabar el vídeo es como raro.
77.480;78.880;ALEX;Bueno, que tenemos...
78.880;81.280;ALEX;La chaqueta con borreguito, eh, me he puesto.
81.280;86.400;MIGUEL;Tenemos nuevas equipaciones de Gambéa para Pizarritas, es un primer prototipo,
86.400;92.560;MIGUEL;quizás en el segundo por la salud capilar del pecho de Alex de Llano lo cerramos un poquito,
92.560;101.520;MIGUEL;pero Adri, enséñale los detallitos, porque el escudo está bordado a mano por el señor Gambéa.
101.520;102.120;MIGUEL;Directamente.
102.120;104.800;ADRIAN;Uno a uno, puntada a puntada.
104.800;107.400;ADRIAN;Sí, sí, pero lo mejor es esto.
107.400;109.400;ADRIAN;¡Espera, espera, espera!
109.400;116.400;MIGUEL;Claro, espera, espera, porque a ver, lo que mola de Gambéa y de esta faceta custom que tienen en la tienda
116.400;122.080;MIGUEL;es que ellos te personalizan, pero personalizado de verdad, y te asesoran,
122.080;127.520;MIGUEL;no como a veces algunas marcas que le dan la misma equipación pero con otro color, yo qué sé,
127.520;133.680;MIGUEL;a cinco equipos de las grandes ligas, que son la misma, pero una roja, otra verde y otra blanca, ¿vale?
133.680;138.680;MIGUEL;Aquí no, aquí hay personalización, adaptación, asesoría, un diseñador top,
138.680;143.520;MIGUEL;ahora os explicamos cositas de esto, pero el caso es que a nosotros nos han visto,
143.520;149.320;MIGUEL;sobre todo a uno de nosotros, cara de Adriano, y han dicho, levanta, levanta Adri.
149.320;152.320;ADRIAN;Mira, mira, mira, mira, mira, mira.
152.320;152.920;MIGUEL;¡Eeeeh!
152.920;157.680;NAHUEL;Es espectacular, lo de Pizarritas con la P de Pirelli es espectacular.
157.680;161.240;NAHUEL;Para poder derrapar en las mejores condiciones.
161.800;164.320;ALEX;Claro, todo va sobre ruedas en la pizarras de hecho.
164.320;171.640;NAHUEL;A ver, prontito, la historia de éxito, Miguel, es el Panathinauticos,
171.640;177.920;NAHUEL;mejor equipo del Fútbol Siete madrileño, el año pasado vestía muy parecido a su equipo homónimo,
177.920;182.960;NAHUEL;este temporada ha encargado no una, sino dos equipaciones nuevas.
182.960;188.520;MIGUEL;Sí, con Gambea, con la personalización de las camisetas.
188.560;194.440;MIGUEL;Exactamente, es que custom, la verdad es que no, custom, customización, lo hacemos castellano,
194.440;199.920;MIGUEL;con esa asesoría exactamente perfecta para equipos de fútbol, grupos de amigos,
199.920;204.760;MIGUEL;despedidas de soltero o gente con pelo en pecho, como estáis viendo.
204.760;210.920;ALEX;Mira, ahora que citas lo de la despedida soltero, vi una idea de despedida soltero que me pareció supergraciosa, que era...
210.920;211.760;ALEX;Como cañete.
211.760;216.120;ALEX;No, no digas nada, porque igual...
217.120;218.880;ADRIAN;La de Nahuel dices.
218.880;220.880;MIGUEL;No, no, la de...
220.880;225.800;MIGUEL;Ya igual, se van dando pasos ¿no?
225.800;228.760;ADRIAN;Sí, en firme además.
228.760;230.760;ADRIAN;¡Ya tenemos casa!
230.760;232.760;ADRIAN;¡Vamos!
232.760;234.280;ADRIAN;¡Vamos!
234.280;236.280;ADRIAN;¡Es propietario, Adrián Blanco!
236.280;238.280;ADRIAN;Propietario, propietario por fin.
238.280;239.800;ADRIAN;P de propietario.
239.800;241.800;ADRIAN;P de propietario, efectivamente, va por ello.
241.800;243.800;ALEX;P de pelado y P de...
243.800;245.800;ALEX;¡De porrero!
245.800;247.800;ADRIAN;¡De porrero!
247.800;252.440;ADRIAN;He pasado por el aro de la inmobiliaria, lo cual me ha puteado bastante también con P,
