start_sec;end_sec;speaker;text
0.000;19.760;MIGUEL;¿Qué pasa, Pizzarritas? No, no es viernes todavía, es jueves, pero como tenemos Jornada de Liga entre semana y mañana tenemos que dar las notas de la sexta Jornada de Liga, pues hemos dicho, vamos a adelantar el Q&A y así le damos a nuestros Pizzarritas la sensación de que ya se está acabando la semana.
19.760;25.880;MIGUEL;Todavía no ha acabado, queda un día, más o menos, pero vamos por el buen camino.
25.880;28.800;MIGUEL;Adrián Blanco, Alex de Llano, Nahuel Miranda, ¿qué tal chicos, cómo estáis?
29.000;31.000;MIGUEL;¿Qué tal chicos, muy buenas? ¿Jueves?
31.000;37.200;NAHUEL;Sí, algunos se equivocará de mañana no ir al colegio o a trabajar o a lo que sea.
37.200;40.200;ALEX;Es que los Pizzarritas me dijeron que era viernes.
40.200;54.800;MIGUEL;La verdad es que yo lo he intentado disfrazar, pero a ver mucha gente que el cuerpito, ¿sabes? Esto de casi memoria muscular, que a ti un contenido te sitúa en el día que es, claro, Q&A, día de viernes, mucha gente lo tomaba.
54.800;56.800;ALEX;Le pasó a Dwight en The Office.
56.800;58.800;MIGUEL;Mira.
58.800;60.800;ALEX;¡Epa!
60.800;62.800;MIGUEL;¡Empleado del mes!
62.800;70.800;MIGUEL;Claro, mucha gente que nos ve el Q&A en la comida del viernes ya cuando ha acabado de currar porque tiene jornada intensiva.
70.800;74.800;MIGUEL;Está con el picorcito ya en la comida.
74.800;79.800;ALEX;Se toma, se bebe un vasito de agua en la comida, pero le pide la comida.
79.800;81.800;MIGUEL;Son grupos de WhatsApp.
82.800;86.800;MIGUEL;Pero voy a hacer que no he escuchado nada, sobre todo de Alex de Llano.
86.800;88.800;MIGUEL;Yo no he dicho nada malo.
88.800;90.800;MIGUEL;Os recomendaría...
90.800;92.800;MIGUEL;Ha sido más Adri.
92.800;94.800;MIGUEL;Es el demonio, tío.
94.800;96.800;ALEX;Sí, sí, sí.
96.800;102.800;MIGUEL;Esto de unos se llevan la fama y otros cardan la lana, pues el que carda la lana siempre es Adrián Blanco.
102.800;104.800;MIGUEL;Adam Lalana, claro.
104.800;106.800;MIGUEL;Oye, ¿sabéis esto de...?
106.800;110.800;NAHUEL;Uno se lleva la fama y otros Adam Lalana, tío.
113.800;115.800;MIGUEL;A ver, ¿sabéis esto?
115.800;117.800;MIGUEL;Que tampoco quiero que lo aprendáis vosotros.
117.800;119.800;MIGUEL;O sea, podéis...
119.800;124.800;MIGUEL;Yo os voy a pedir en vez de cerrar los ojos, poneros las manos a los oídos, por favor.
124.800;125.800;MIGUEL;¿No escucháis?
125.800;126.800;MIGUEL;No, como Riquelme, no.
126.800;127.800;MIGUEL;¿No escucháis?
127.800;128.800;MIGUEL;¿No escucháis?
128.800;130.800;MIGUEL;Tengo el casco puesto.
130.800;132.800;MIGUEL;Quitaos los cascos, más fácil.
132.800;134.800;NAHUEL;Pásame las gafas que no te escucho.
136.800;144.800;MIGUEL;Existe una cosa que se llama Día de Asuntos Propios y yo creo que os lo podéis pedir mañana a Pizzarritas por aquello de que hoy hemos publicado el Q&A para no pasarlo mal y ya está.
144.800;146.800;MIGUEL;¿Ya os lo...
146.800;148.800;MIGUEL;¿Lo has escuchado?
148.800;150.800;MIGUEL;Bueno, esto no era para vosotros.
150.800;152.800;MIGUEL;No hemos escuchado nada.
152.800;154.800;MIGUEL;Vale, bien.
154.800;156.800;MIGUEL;Que así sea.
156.800;158.800;MIGUEL;Vamos con la primera cuestión.
158.800;160.800;MIGUEL;La verdad es que Nahuel fije muy bien la cara de...
160.800;162.800;MIGUEL;Te estoy escuchando.
162.800;164.800;MIGUEL;Sí, sí, sí.
164.800;166.800;MIGUEL;Nahuel finge en los Q&A.
166.800;168.800;MIGUEL;Quiero decir...
168.800;170.800;MIGUEL;A ver, finge.
170.800;172.800;MIGUEL;A ver.
172.800;174.800;MIGUEL;Hay Q&A donde no finge.
174.800;180.800;NAHUEL;El único fingimiento demostrado que hemos tenido en la historia de los Q&A fue el otro día que no sé qué...
180.800;184.800;NAHUEL;que Alessandria no se rió y no tenía ni idea de qué era.
184.800;186.800;NAHUEL;La Lenany, la Urs y...
186.800;188.800;ALEX;Correcto.
188.800;190.800;ALEX;Feísima.
190.800;192.800;NAHUEL;Pero porque yo me río de todo lo que he visto.
192.800;196.800;ALEX;Pero porque yo me río de todo lo que dicen mis compañeros porque los quiero y me hacen gracias.
196.800;202.800;MIGUEL;La verdad es que Aless está generando un buen rollo increíble.
202.800;204.800;MIGUEL;Es una pena que se tenga que marchar al final de temporada.
204.800;206.800;MIGUEL;Primera cuestión Santi ATM.
